{' b': -9.0694, ' A': -5.038006, ' B': -0.0068035806, ' "': -9.309352, " '": -10.436121}
{' b': -9.561007, ' A': -6.9443507, 'B': -10.553621, ' B': -0.0011232363, ' "': -10.234303}
{' b': -9.723371, ' A': -7.6696243, 'B': -10.603153, ' B': -0.00060488336, ' "': -10.412103}
{' b': -9.409148, ' A': -7.171339, 'B': -10.594093, ' B': -0.00096368726, ' "': -9.862051}
{' b': -9.700981, ' A': -7.8211904, 'B': -10.660051, ' B': -0.0005327809, ' "': -10.548938}
{' b': -9.669623, ' A': -8.04067, 'B': -10.720813, ' B': -0.00045144022, ' "': -10.601664}
{' B': -0.00047147667, ' A': -8.041262, ' b': -9.580581, ' "': -10.351237, 'B': -10.645615}
{' b': -9.59256, ' A': -8.15082, 'B': -10.654657, ' B': -0.00042794488, ' "': -10.533619}
{' b': -9.51956, ' A': -8.428935, 'B': -10.729509, ' B': -0.0003850729, ' "': -10.047837}
{' b': -9.566899, ' A': -8.491361, 'B': -10.674128, ' B': -0.0003487011, ' "': -10.463768}
{' B': -0.00037684283, ' A': -8.317721, ' b': -9.656075, ' "': -10.512848, 'B': -10.715253}
{' B': -0.00034929716, ' A': -8.397177, ' b': -9.76195, ' "': -10.58191, 'B': -10.720039}
{' b': -9.720385, ' A': -8.764029, 'B': -10.756492, ' B': -0.00030070322, ' "': -10.177739}
{' b': -9.586446, ' A': -8.024958, 'B': -10.701369, ' B': -0.00049383816, ' "': -9.981688}
{' b': -9.6185, ' A': -6.747187, 'B': -10.73932, ' B': -0.0013282921, ' "': -10.222863}
{' b': -9.423331, ' A': -5.71923, 'B': -10.59963, ' B': -0.0034640422, ' "': -10.219036}
{' b': -9.568759, ' A': -5.9114323, 'B': -10.686753, ' B': -0.0028573761, ' "': -10.524837}
{' b': -9.6074505, ' A': -5.3442216, 'B': -10.627155, ' B': -0.0049350024, ' "': -10.457911}
{' b': -9.686207, ' A': -5.7950826, 'B': -10.655297, ' B': -0.0031855362, ' "': -10.467513}
{' b': -9.834371, ' A': -5.844561, 'B': -10.718346, ' B': -0.0030411403, ' "': -10.202934}
{' b': -9.511022, ' A': -6.076101, 'B': -10.624925, ' B': -0.0024568366, ' "': -10.429171}
{' b': -9.54223, ' A': -5.729627, 'B': -10.633474, ' B': -0.0034042932, ' "': -10.49388}
{' b': -9.549128, ' A': -5.658262, 'B': -10.620472, ' B': -0.0036408037, ' "': -10.583543}
{' b': -9.5606985, ' A': -5.933969, 'B': -10.639891, ' B': -0.0027980797, ' "': -10.540108}
{' b': -9.777077, ' A': -5.6805196, 'B': -10.742554, ' B': -0.0035522687, ' "': -10.37694}
{' b': -9.53436, ' A': -6.089419, 'B': -10.656532, ' B': -0.0024192568, ' "': -10.460897}
{' b': -9.637959, ' A': -6.233289, 'B': -10.77442, ' B': -0.0021049029, ' "': -10.449263}
{' b': -9.55302, ' A': -6.513614, 'B': -10.688218, ' B': -0.0016320101, ' "': -10.460413}
{' b': -9.685782, ' A': -6.0393467, 'B': -10.774022, ' B': -0.002522208, ' "': -10.528408}
{' b': -9.882025, ' A': -7.0727696, 'B': -10.864845, ' B': -0.00097222155, ' "': -10.423825}
{' B': -0.0018506622, ' A': -6.3601627, ' b': -9.821529, ' "': -10.59294, 'B': -10.828547}
{' b': -9.737509, ' A': -6.18649, 'B': -10.782522, ' B': -0.0021870967, ' "': -10.569277}
{' b': -9.623264, ' A': -6.132383, 'B': -10.745719, ' B': -0.00230986, ' "': -10.58546}
{' b': -9.585424, ' A': -5.7435546, 'B': -10.685564, ' B': -0.0033528593, ' "': -10.476988}
{' b': -9.624433, ' A': -5.9634385, 'B': -10.767691, ' B': -0.0027228284, ' "': -10.265169}
{' b': -9.555872, ' A': -6.1950817, 'B': -10.674554, ' B': -0.0021864988, ' "': -10.515235}
{' B': -0.0010320023, ' A': -7.0184727, ' b': -9.663825, ' "': -10.428161, 'B': -10.78143}
{' b': -9.742206, ' A': -6.3596606, 'B': -10.770728, ' B': -0.001862905, ' "': -10.445598}
{' b': -9.854583, ' A': -7.174033, 'B': -10.871875, ' B': -0.00088243204, ' "': -10.590109}
{' B': -0.0012316054, ' A': -6.832845, ' b': -9.610958, ' "': -10.160111, 'B': -10.879874}
{' b': -9.8079, ' A': -7.423487, 'B': -10.821513, ' B': -0.0007259036, ' "': -10.408113}
{' b': -9.7011595, ' A': -7.0266705, 'B': -10.819757, ' B': -0.0010210839, ' "': -10.4610195}
{' b': -9.743347, ' A': -7.3533354, 'B': -10.8167, ' B': -0.0007703421, ' "': -10.465091}
{' b': -9.677575, ' A': -7.102468, 'B': -10.809366, ' B': -0.0009576029, ' "': -10.473108}
{' b': -9.708353, ' A': -7.527194, 'B': -10.94911, ' B': -0.000670909, ' "': -10.366535}
{' b': -9.616063, ' A': -7.3644342, 'B': -10.831322, ' B': -0.0007734435, ' "': -10.39676}
{' b': -9.695136, ' A': -7.5127254, 'B': -10.889194, ' B': -0.0006805105, ' "': -10.348868}
{' B': -0.00061227806, ' A': -7.608349, ' b': -9.832181, ' "': -10.607764, 'B': -10.916433}
{' b': -9.973751, ' A': -8.179053, 'B': -11.006638, ' B': -0.00039819148, ' "': -10.349445}
{' b': -10.05261, ' A': -7.9786105, 'B': -11.001129, ' B': -0.0004535869, ' "': -10.408744}
{' b': -9.778242, ' A': -7.163518, 'B': -10.876486, ' B': -0.00089806155, ' "': -10.396743}
{' b': -9.724321, ' A': -7.0405483, 'B': -10.853722, ' B': -0.0010016323, ' "': -10.48686}
{' b': -9.690387, ' A': -6.760055, 'B': -10.828162, ' B': -0.0012800678, ' "': -10.682334}
{' b': -9.72171, ' A': -6.164062, 'B': -10.745631, ' B': -0.0022293294, ' "': -10.60875}
{' b': -9.721354, ' A': -7.3483157, 'B': -10.794044, ' B': -0.0007684329, ' "': -10.500597}
{' b': -9.814995, ' A': -6.245536, 'B': -10.789979, ' B': -0.0020727692, ' "': -10.267801}
{' b': -9.640899, ' A': -6.767567, 'B': -10.73438, ' B': -0.0012810224, ' "': -10.592898}
{' b': -9.629758, ' A': -6.7468824, 'B': -10.792099, ' B': -0.001302328, ' "': -10.626107}
{' b': -9.69225, ' A': -6.508544, 'B': -10.792152, ' B': -0.0016112922, ' "': -10.717205}
{' b': -9.671398, ' A': -6.6129346, 'B': -10.772766, ' B': -0.0014675407, ' "': -10.649931}
{' b': -9.835698, ' A': -6.0705457, 'B': -10.802761, ' B': -0.0024328204, ' "': -10.4736595}
{' b': -9.742027, ' A': -6.705575, 'B': -10.838322, ' B': -0.001340288, ' "': -10.709882}
{' b': -9.8337345, ' A': -7.2790947, 'B': -10.88107, ' B': -0.00079962896, ' "': -10.6658}
{' b': -9.68457, ' A': -6.9364705, 'B': -10.79278, ' B': -0.001095609, ' "': -10.619235}
{' B': -0.0007821523, ' A': -7.3122387, ' b': -9.810372, ' "': -10.645748, 'B': -10.878491}
{' b': -9.982718, ' A': -7.514379, 'B': -10.910366, ' B': -0.00065420853, ' "': -10.49418}
{' b': -9.915318, ' A': -6.897276, 'B': -10.902239, ' B': -0.0011122569, ' "': -10.801492}
{' B': -0.0018384793, ' A': -6.358932, ' b': -9.844223, ' "': -10.815425, 'B': -10.883266}
{' b': -9.797625, ' A': -6.740296, 'B': -10.853575, ' B': -0.0012921803, ' "': -10.810976}
{' b': -9.752965, ' A': -6.282134, 'B': -10.831282, ' B': -0.001986403, ' "': -10.703317}
{' b': -9.702689, ' A': -6.4096904, 'B': -10.869746, ' B': -0.0017741096, ' "': -10.437361}
{' B': -0.0014256403, ' A': -6.6415443, ' b': -9.690852, ' "': -10.689515, 'B': -10.81389}
{' b': -9.708543, ' A': -7.6079087, 'B': -10.905246, ' B': -0.00061311346, ' "': -10.662789}
{' b': -9.81883, ' A': -7.1654816, 'B': -10.881201, ' B': -0.0008832665, ' "': -10.676859}
{' b': -9.915243, ' A': -7.824092, 'B': -10.958054, ' B': -0.0005014722, ' "': -10.739807}
{' b': -9.7947, ' A': -7.055068, 'B': -10.947126, ' B': -0.0009871329, ' "': -10.370062}
{' b': -9.834857, ' A': -7.9834323, 'B': -10.962683, ' B': -0.0004533485, ' "': -10.566572}
{' b': -9.77946, ' A': -7.755251, 'B': -10.98726, ' B': -0.00054459006, ' "': -10.498205}
{' b': -9.83477, ' A': -8.579484, 'B': -11.043008, ' B': -0.00029855556, ' "': -10.537339}
{' b': -9.7849, ' A': -8.376406, 'B': -11.001099, ' B': -0.0003402345, ' "': -10.674532}
{' b': -9.821568, ' A': -8.555047, 'B': -11.023912, ' B': -0.0003067838, ' "': -10.463842}
{' b': -9.709928, ' A': -8.639863, 'B': -10.987719, ' B': -0.00029700773, ' "': -10.519999}
{' b': -9.844982, ' A': -8.488693, 'B': -11.004278, ' B': -0.00031274796, ' "': -10.633093}
{' b': -9.933978, ' A': -8.607609, 'B': -11.06206, ' B': -0.0002824577, ' "': -10.693236}
{' b': -10.092237, ' A': -9.119842, 'B': -11.129758, ' B': -0.0002113333, ' "': -10.375923}
{' b': -10.022823, ' A': -8.116227, 'B': -11.061323, ' B': -0.00040403462, ' "': -10.427895}
{' b': -9.764999, ' A': -6.819578, ' B': -0.0012974339, ' "': -9.464555, " '": -10.593929}
{' B': -0.002552804, ' A': -6.044821, ' b': -9.666464, ' "': -9.793919, 'B': -10.743419}
{' B': -0.00227975, ' A': -6.165514, ' b': -9.6162815, ' "': -9.865616, 'B': -10.723926}
{' b': -9.687384, ' A': -5.501978, 'B': -10.680453, ' B': -0.004261355, ' "': -9.913321}
{' b': -9.734656, ' A': -5.8970366, 'B': -10.703007, ' B': -0.0029213375, ' "': -9.850132}
{' b': -9.797924, ' A': -5.7677226, 'B': -10.713796, ' B': -0.0033226563, ' "': -9.54332}
{' b': -9.710208, ' A': -6.1058497, 'B': -10.68186, ' B': -0.0024084407, ' "': -9.876508}
{' b': -9.604622, ' A': -5.575921, 'B': -10.657491, ' B': -0.003974489, ' "': -9.862217}
{' B': -0.0034941868, ' A': -5.7088413, ' b': -9.653765, ' "': -9.958377, 'B': -10.666597}
{' b': -9.728981, ' A': -6.151999, 'B': -10.698633, ' B': -0.0023011372, ' "': -9.897037}
{' b': -9.780763, ' A': -5.8288383, 'B': -10.767788, ' B': -0.0031170752, ' "': -9.7591915}
{' B': -0.0022127829, ' A': -6.1955237, ' b': -9.695571, ' "': -9.874534, 'B': -10.744189}
{' b': -9.74891, ' A': -6.606128, 'B': -10.7424555, ' B': -0.0015256254, ' "': -9.80891}
{' B': -0.0022011315, ' A': -6.2043204, ' b': -9.708663, ' "': -9.796425, 'B': -10.744425}
{' b': -9.74019, ' A': -6.0859966, 'B': -10.776004, ' B': -0.0024475749, ' "': -9.866684}
{' b': -9.824594, ' A': -6.6357794, ' B': -0.0014971496, ' "': -9.589878, " '": -10.769016}
{' b': -9.860012, ' A': -6.4057455, 'B': -10.820078, ' B': -0.0018093409, ' "': -9.919387}
{' b': -9.805432, ' A': -5.970508, 'B': -10.795528, ' B': -0.0027157762, ' "': -9.937151}
{' b': -9.704684, ' A': -6.0881968, 'B': -10.731381, ' B': -0.0024482312, ' "': -9.834113}
{' B': -0.0043152287, ' A': -5.488524, ' b': -9.663004, ' "': -9.855759, 'B': -10.7215395}
{' b': -9.762865, ' A': -6.2040997, ' B': -0.0022127829, ' "': -9.590259, " '": -10.719951}
{' b': -9.715503, ' A': -6.212507, 'B': -10.760064, ' B': -0.0021775987, ' "': -9.856079}
{' b': -9.739711, ' A': -7.0834937, 'B': -10.840113, ' B': -0.0010141633, ' "': -9.732954}
{' B': -0.0013361082, ' A': -6.7691655, ' "': -9.601375, ' b': -9.766487, " '": -10.768281}
{' b': -9.853633, ' A': -7.3661337, 'B': -10.847334, ' B': -0.00080261106, ' "': -9.723739}
{' b': -9.714049, ' A': -6.5266733, ' B': -0.0016686664, ' "': -9.42623, " '": -10.692101}
{' B': -0.0008113217, ' A': -7.3572216, ' "': -9.63932, ' b': -9.897983, " '": -10.7662525}
{' b': -9.765752, ' A': -7.175371, 'B': -10.856042, ' B': -0.00093481154, ' "': -9.76403}
{' b': -9.816827, ' A': -7.5105453, ' B': -0.0007211925, ' "': -9.697784, " '": -10.818879}
{' b': -9.689192, ' A': -6.9323034, 'B': -10.829373, ' B': -0.0011439439, ' "': -9.839361}
{' B': -0.0007540565, ' A': -7.472058, ' "': -9.591063, ' b': -9.690633, " '": -10.811406}
{' b': -9.581367, ' A': -7.5752244, 'B': -10.823244, ' B': -0.0007028194, ' "': -9.658919}
{' b': -9.654325, ' A': -7.1837373, 'B': -10.836176, ' B': -0.00093803304, ' "': -9.713853}
{' B': -0.00078191294, ' A': -7.402889, ' "': -9.695691, ' b': -9.752456, 'B': -10.873976}
{' b': -9.913045, ' A': -7.9174266, ' B': -0.0005433961, ' "': -9.496458, " '": -10.773978}
{' b': -9.864982, ' A': -7.888095, ' B': -0.0005529375, ' "': -9.5511875, " '": -10.828665}
{' b': -9.69013, ' A': -4.7297926, 'B': -10.305505, ' B': -0.009127984, ' "': -9.344403}
{' b': -9.7992735, ' A': -4.5193267, 'B': -10.297955, ' B': -0.0111786565, ' "': -9.676463}
{' B': -0.008811339, ' A': -4.76226, ' "': -9.663058, ' b': -9.670076, 'B': -10.281277}
{' B': -0.014164726, ' A': -4.2818074, ' "': -9.560089, ' b': -9.573891, 'B': -10.218767}
{' b': -9.647869, ' A': -4.67779, 'B': -10.259159, ' B': -0.009596731, ' "': -9.4048395}
{' b': -9.782562, ' A': -4.5476832, 'B': -10.234762, ' B': -0.010894321, ' "': -9.471957}
{' b': -9.755591, ' A': -4.4137955, 'B': -10.225824, ' B': -0.012407573, ' "': -9.716916}
{' B': -0.013513296, ' A': -4.328197, ' "': -9.641198, ' b': -9.722722, 'B': -10.219532}
{' b': -9.7323, ' A': -4.46613, 'B': -10.2568865, ' B': -0.011776886, ' "': -9.7522545}
{' b': -9.721807, ' A': -4.541613, 'B': -10.252804, ' B': -0.010927641, ' "': -9.811579}
{' b': -9.774297, ' A': -4.1474233, 'B': -10.331564, ' B': -0.016175305, ' "': -9.493937}
{' b': -9.806494, ' A': -4.6349454, 'B': -10.297434, ' B': -0.009966541, ' "': -9.731852}
{' b': -9.718121, ' A': -4.8808846, 'B': -10.28241, ' B': -0.007835947, ' "': -9.694294}
{' B': -0.009239329, ' A': -4.713501, ' "': -9.678992, ' b': -9.70706, 'B': -10.247737}
{' b': -9.818118, ' A': -4.604782, 'B': -10.299765, ' B': -0.010273017, ' "': -9.721584}
{' b': -9.73799, ' A': -5.075004, 'B': -10.271038, ' B': -0.006517007, ' "': -9.467622}
{' b': -9.8378105, ' A': -4.921449, 'B': -10.333534, ' B': -0.007518632, ' "': -9.75777}
{' b': -9.797231, ' A': -4.5490227, 'B': -10.305297, ' B': -0.010845333, ' "': -9.762777}
{' b': -9.703344, ' A': -4.726591, 'B': -10.285049, ' B': -0.00911523, ' "': -9.736963}
{' b': -9.741478, ' A': -4.445304, 'B': -10.300167, ' B': -0.012017555, ' "': -9.752239}
{' b': -9.698519, ' A': -4.6193037, 'B': -10.331982, ' B': -0.010155954, ' "': -9.444061}
{' B': -0.010043362, ' A': -4.6269064, ' "': -9.762157, ' b': -9.792744, 'B': -10.298786}
{' b': -9.735736, ' A': -5.0171432, 'B': -10.329651, ' B': -0.006864552, ' "': -9.632351}
{' b': -9.793538, ' A': -4.9072127, 'B': -10.313268, ' B': -0.007648176, ' "': -9.533495}
{' B': -0.0049513546, ' A': -5.352304, ' "': -9.669972, ' b': -9.884616, 'B': -10.36718}
{' b': -9.673083, ' A': -5.38581, 'B': -10.392816, ' B': -0.0048479107, ' "': -9.341273}
{' b': -9.883183, ' A': -5.5658545, 'B': -10.3483515, ' B': -0.0040450445, ' "': -9.624828}
{' b': -9.798801, ' A': -5.3229375, 'B': -10.375116, ' B': -0.0051048333, ' "': -9.612907}
{' B': -0.0040409733, ' A': -5.567134, ' "': -9.614865, ' b': -9.822152, 'B': -10.384194}
{' B': -0.0047744825, ' A': -5.3943486, ' "': -9.568755, ' b': -9.769885, 'B': -10.357163}
{' b': -9.6957445, ' A': -5.3748775, 'B': -10.376732, ' B': -0.004890259, ' "': -9.372924}
{' b': -9.737628, ' A': -5.730791, 'B': -10.3552065, ' B': -0.0034660765, ' "': -9.63108}
{' b': -9.826235, ' A': -5.967886, 'B': -10.400604, ' B': -0.0027905472, ' "': -9.42147}
{' b': -9.814969, ' A': -6.045033, 'B': -10.413924, ' B': -0.002573599, ' "': -9.670969}
{' b': -9.886729, ' A': -6.964777, 'B': -10.37844, ' B': -0.0011719288, ' "': -9.426007}
{' b': -10.125597, ' A': -6.1581984, 'B': -10.438301, ' B': -0.002343735, ' "': -9.330816}
{' B': -0.0018454076, ' A': -6.407847, ' b': -9.681804, ' "': -9.795218, 'B': -10.519093}
{' b': -9.764756, ' A': -5.9237432, 'B': -10.445402, ' B': -0.0028526536, ' "': -10.003689}
{' b': -9.720447, ' A': -6.1992397, 'B': -10.475052, ' B': -0.0022085994, ' "': -9.976278}
{' B': -0.005206145, ' A': -5.296441, ' b': -9.61636, ' "': -9.998224, 'B': -10.376467}
{' b': -9.878386, ' A': -5.9955463, 'B': -10.496679, ' B': -0.002653859, ' "': -9.991602}
{' b': -9.889351, ' A': -5.953683, 'B': -10.471526, ' B': -0.002778354, ' "': -9.827201}
{' b': -9.673846, ' A': -6.2093763, 'B': -10.427145, ' B': -0.0021857829, ' "': -10.073601}
{' b': -9.664542, ' A': -5.7174673, 'B': -10.45934, ' B': -0.0034687691, ' "': -10.037795}
{' b': -9.719502, ' A': -5.518399, 'B': -10.486253, ' B': -0.0041835993, ' "': -10.12604}
{' b': -9.717218, ' A': -6.0314894, 'B': -10.462573, ' B': -0.0025745546, ' "': -10.04993}
{' B': -0.0040358896, ' A': -5.5548663, ' "': -9.97144, ' b': -9.983219, 'B': -10.550052}
{' b': -9.762935, ' A': -6.503613, 'B': -10.48161, ' B': -0.0016659207, ' "': -10.065305}
{' b': -9.828474, ' A': -6.767993, 'B': -10.521063, ' B': -0.0013095491, ' "': -10.033624}
{' B': -0.0026572065, ' A': -5.9997287, ' b': -9.664236, ' "': -10.030488, 'B': -10.399902}
{' b': -9.907632, ' A': -6.286225, 'B': -10.4795685, ' B': -0.0020163837, ' "': -10.153031}
{' b': -9.991139, ' A': -7.1483526, 'B': -10.555308, ' B': -0.0009492508, ' "': -9.923084}
{' B': -0.0024410053, ' A': -6.0848265, ' b': -9.724433, ' "': -10.098766, 'B': -10.4850025}
{' b': -9.793738, ' A': -5.778075, 'B': -10.492678, ' B': -0.0032632737, ' "': -10.099984}
{' B': -0.0034123668, ' A': -5.7332363, ' b': -9.754661, ' "': -10.026592, 'B': -10.487673}
{' b': -9.701192, ' A': -5.5233717, 'B': -10.431722, ' B': -0.004172765, ' "': -10.087566}
{' b': -9.848373, ' A': -5.693922, 'B': -10.568197, ' B': -0.0035444337, ' "': -9.884962}
{' b': -9.707788, ' A': -5.6473074, 'B': -10.467324, ' B': -0.0037003274, ' "': -10.146856}
{' B': -0.0013882754, ' A': -6.702476, ' b': -9.8471365, ' "': -10.040451, 'B': -10.541571}
{' b': -9.873955, ' A': -6.3160043, 'B': -10.548107, ' B': -0.0019712918, ' "': -9.982043}
{' b': -9.968878, ' A': -6.720531, 'B': -10.588397, ' B': -0.0013598034, ' "': -10.018943}
{' b': -9.82136, ' A': -6.53247, ' B': -0.0016420396, ' "': -9.748588, " '": -10.629466}
{' b': -9.877951, ' A': -7.0101776, 'B': -10.630054, ' B': -0.0010647612, ' "': -9.971782}
{' B': -0.0012443194, ' A': -6.8261414, ' b': -9.841998, ' "': -10.035514, 'B': -10.641926}
{' b': -9.893581, ' A': -7.0716553, 'B': -10.658619, ' B': -0.0010148794, ' "': -9.870182}
{' B': -0.0010544962, ' A': -7.0127006, ' b': -9.875777, ' "': -10.074622, 'B': -10.607176}
{' b': -9.904915, ' A': -7.4273186, 'B': -10.698214, ' B': -0.00075560535, ' "': -9.914776}
{' b': -9.793983, ' A': -7.283786, 'B': -10.606912, ' B': -0.00085385767, ' "': -9.961141}
{' b': -9.940688, ' A': -7.186521, 'B': -10.638832, ' B': -0.000903609, ' "': -10.076722}
{' b': -10.039679, ' A': -7.440421, 'B': -10.6608095, ' B': -0.00072972104, ' "': -10.077034}
{' b': -10.294616, ' A': -8.042665, 'B': -10.743098, ' B': -0.00045680837, ' "': -9.97377}
{' B': -0.00055365276, ' A': -7.7742805, ' "': -10.066845, ' b': -10.231681, 'B': -10.765952}
{' b': -9.375087, ' A': -6.937747, 'B': -10.527505, ' B': -0.0011495523, ' "': -10.15648}
{' b': -9.456194, ' A': -6.644404, 'B': -10.534367, ' B': -0.0014599038, ' "': -10.470757}
{' b': -9.458383, ' A': -6.690394, 'B': -10.510991, ' B': -0.0013951398, ' "': -10.622165}
{' B': -0.0024181802, ' A': -6.089652, ' b': -9.507662, 'B': -10.464952, ' "': -10.624429}
{' B': -0.0014419362, ' A': -6.6508102, ' b': -9.524025, 'B': -10.505567, ' "': -10.51023}
{' b': -9.444624, ' A': -6.637812, 'B': -10.505378, ' B': -0.0014833598, ' "': -10.142988}
{' b': -9.464749, ' A': -6.612556, 'B': -10.468086, ' B': -0.0014955389, ' "': -10.62555}
{' b': -9.3861685, ' A': -6.523117, 'B': -10.475011, ' B': -0.001633084, ' "': -10.501906}
{' b': -9.454484, ' A': -6.259999, 'B': -10.493855, ' B': -0.002062554, ' "': -10.680165}
{' b': -9.51717, ' A': -6.4438868, 'B': -10.478269, ' B': -0.0017405538, ' "': -10.587931}
{' B': -0.002642206, ' A': -6.00133, ' b': -9.5118685, ' "': -10.218396, 'B': -10.508957}
{' b': -9.50291, ' A': -6.7609487, 'B': -10.536992, ' B': -0.0013036402, ' "': -10.626372}
{' b': -9.598751, ' A': -7.012093, 'B': -10.583957, ' B': -0.0010390421, ' "': -10.581044}
{' b': -9.485794, ' A': -6.5491743, 'B': -10.524247, ' B': -0.0015809654, ' "': -10.597916}
{' b': -9.554717, ' A': -6.715705, 'B': -10.591335, ' B': -0.001361354, ' "': -10.432941}
{' b': -9.6921, ' A': -7.387837, 'B': -10.666339, ' B': -0.0007597232, ' "': -10.3087845}
{' b': -9.769923, ' A': -6.670075, 'B': -10.678752, ' B': -0.0013836197, ' "': -10.884401}
{' B': -0.0016916539, ' A': -6.467136, ' b': -9.663562, ' "': -10.526677, 'B': -10.5949955}
{' b': -9.52664, ' A': -6.8604965, 'B': -10.560985, ' B': -0.0011961, ' "': -10.534761}
{' b': -9.504621, ' A': -6.3497477, 'B': -10.53569, ' B': -0.0018952715, ' "': -10.583647}
{' b': -9.39145, ' A': -6.3661118, 'B': -10.549168, ' B': -0.0018959875, ' "': -10.166113}
{' B': -0.0012663401, ' A': -6.798667, ' b': -9.462972, 'B': -10.515889, ' "': -10.6092825}
{' b': -9.612165, ' A': -7.4296083, 'B': -10.637617, ' B': -0.00072983844, ' "': -10.550889}
{' b': -9.582798, ' A': -6.9035673, 'B': -10.573724, ' B': -0.0011552818, ' "': -10.3305235}
{' b': -9.775477, ' A': -7.67891, 'B': -10.656172, ' B': -0.0005843072, ' "': -10.650364}
{' b': -9.357686, ' A': -6.9502373, 'B': -10.635887, ' B': -0.0011350511, ' "': -10.152214}
{' B': -0.00047171512, ' A': -8.006004, ' b': -9.598145, ' "': -10.551062, 'B': -10.644438}
{' b': -9.602273, ' A': -7.670213, 'B': -10.690405, ' B': -0.00060846336, ' "': -10.411772}
{' b': -9.653704, ' A': -7.9072175, 'B': -10.704617, ' B': -0.0005027835, ' "': -10.510612}
{' b': -9.519869, ' A': -7.845749, 'B': -10.65521, ' B': -0.0005362389, ' "': -10.513719}
{' b': -9.471816, ' A': -7.841835, 'B': -10.692142, ' B': -0.00055186276, ' "': -10.25907}
{' b': -9.540269, ' A': -8.261005, 'B': -10.694222, ' B': -0.00039127364, ' "': -10.716624}
{' b': -9.6316185, ' A': -8.098764, 'B': -10.703296, ' B': -0.00044082504, ' "': -10.443296}
{' b': -9.726112, ' A': -8.402637, 'B': -10.743058, ' B': -0.0003444068, ' "': -10.67554}
{' b': -9.826733, ' A': -8.840283, 'B': -10.79971, ' B': -0.00027208467, ' "': -10.336744}
{' b': -9.655172, ' A': -8.008648, 'B': -10.736974, ' B': -0.0004695684, ' "': -10.394966}
{' b': -10.323007, ' A': -6.392061, 'B': -10.827115, ' B': -0.0017991302, ' "': -10.177315}
{' b': -10.214559, ' A': -5.7452064, 'B': -10.804466, ' B': -0.0033336019, ' "': -10.133899}
{' b': -10.238863, ' A': -6.006692, 'B': -10.822593, ' B': -0.0025744345, ' "': -10.461028}
{' b': -10.253147, ' A': -5.4446855, 'B': -10.780993, ' B': -0.0044389125, ' "': -10.50313}
{' B': -0.0024672959, ' A': -6.0548983, ' "': -10.275788, ' b': -10.288551, 'B': -10.770875}
{' b': -10.327593, ' A': -6.089267, 'B': -10.75907, ' B': -0.002395356, ' "': -10.144464}
{' b': -10.285375, ' A': -6.041051, 'B': -10.785694, ' B': -0.002490597, ' "': -10.508647}
{' b': -10.239198, ' A': -5.7879014, 'B': -10.758572, ' B': -0.0031895426, ' "': -10.309319}
{' b': -10.2089615, ' A': -5.857914, 'B': -10.764647, ' B': -0.0029774117, ' "': -10.413271}
{' B': -0.0026289963, ' A': -5.983403, ' b': -10.315939, ' "': -10.529014, 'B': -10.793376}
{' b': -10.416999, ' A': -5.851435, 'B': -10.835444, ' B': -0.0029915795, ' "': -10.313588}
{' b': -10.323478, ' A': -5.9462676, 'B': -10.84306, ' B': -0.0027230675, ' "': -10.537503}
{' b': -10.368939, ' A': -6.559129, 'B': -10.8609915, ' B': -0.0015239537, ' "': -10.434722}
{' B': -0.0022838106, ' A': -6.1343517, ' b': -10.323233, ' "': -10.326858, 'B': -10.802799}
{' B': -0.00136613, ' A': -6.676698, ' "': -10.411151, ' b': -10.447514, 'B': -10.876759}
{' b': -10.470319, ' A': -6.6536474, 'B': -10.892176, ' B': -0.0013989601, ' "': -10.308881}
{' b': -10.491629, ' A': -6.110382, 'B': -10.861383, ' B': -0.0023279008, ' "': -10.34749}
{' b': -10.364071, ' A': -5.994106, 'B': -10.832182, ' B': -0.002607245, ' "': -10.363899}
{' b': -10.354214, ' A': -6.2782083, 'B': -10.828894, ' B': -0.0019897474, ' "': -10.35151}
{' b': -10.278666, ' A': -5.78939, 'B': -10.87427, ' B': -0.0031718444, ' "': -10.466727}
{' b': -10.365751, ' A': -6.000223, 'B': -10.880189, ' B': -0.0025922453, ' "': -10.332537}
{' b': -10.217479, ' A': -6.025758, 'B': -10.854702, ' B': -0.0025268693, ' "': -10.515913}
{' B': -0.0013538345, ' A': -6.6798563, ' b': -10.377882, ' "': -10.58316, 'B': -10.900763}
{' b': -10.389884, ' A': -6.3390102, 'B': -10.856428, ' B': -0.0018694145, ' "': -10.499035}
{' b': -10.521831, ' A': -7.0369687, 'B': -10.935511, ' B': -0.0009697144, ' "': -10.60354}
{' b': -10.345177, ' A': -7.0553083, ' B': -0.0009797345, ' "': -10.210146, " '": -10.917432}
{' b': -10.492986, ' A': -7.3851404, 'B': -10.944273, ' B': -0.00071689725, ' "': -10.500929}
{' b': -10.404368, ' A': -7.335556, 'B': -10.966164, ' B': -0.0007488067, ' "': -10.532262}
{' b': -10.48899, ' A': -7.4028215, 'B': -10.969422, ' B': -0.00070115045, ' "': -10.586268}
{' b': -10.411275, ' A': -7.2489047, 'B': -10.9214735, ' B': -0.0008085771, ' "': -10.527163}
{' b': -10.4598465, ' A': -7.2933493, 'B': -11.011689, ' B': -0.00077761855, ' "': -10.454797}
{' b': -10.395191, ' A': -7.6373568, 'B': -10.958809, ' B': -0.00058060983, ' "': -10.4849205}
