{' A': -0.80889344, 'A': -10.1387825, ' B': -0.59010154, ' "': -8.692387, " '": -9.863986}
{' a': -11.133686, ' A': -0.0074215266, 'A': -9.563412, ' B': -4.9276485, ' "': -10.317772}
{' a': -11.194499, ' A': -0.0069402945, 'A': -9.621724, ' B': -4.9938083, ' "': -10.458811}
{' a': -10.9377985, ' A': -0.004575488, 'A': -9.533338, ' B': -5.428312, ' "': -10.026684}
{' a': -11.0954685, ' A': -0.004320437, 'A': -9.589361, ' B': -5.480385, ' "': -10.430088}
{' a': -11.077758, ' A': -0.0028351385, 'A': -9.618421, ' B': -5.919955, ' "': -10.344332}
{' A': -0.0061326954, ' B': -5.122643, 'A': -9.62874, ' "': -10.178359, ' a': -11.131924}
{' A': -0.04410856, 'A': -9.543862, ' B': -3.1481504, ' "': -9.460252, " '": -10.802711}
{' A': -0.1327941, 'A': -9.560766, ' B': -2.0871341, ' "': -8.921058, " '": -10.22998}
{' b': -10.650014, ' A': -0.81304455, 'A': -10.133687, ' B': -0.58647835, ' "': -9.593239}
{' A': -0.74874085, 'A': -10.144743, ' B': -0.64088964, ' "': -9.574174, " '": -10.586706}
{' A': -0.7081268, 'A': -10.113893, ' B': -0.67882216, ' "': -9.559898, " '": -10.56293}
{' A': -0.35902244, 'A': -9.856602, ' B': -1.1991638, ' "': -9.789272, " '": -10.845008}
{' b': -10.550275, ' A': -1.5657866, 'B': -10.711251, ' B': -0.23456028, ' "': -9.894186}
{' A': -0.18523575, 'A': -9.66264, ' B': -1.7784935, ' "': -9.672648, " '": -10.89287}
{' A': -0.28125277, 'A': -9.768784, ' B': -1.4066191, ' "': -9.850751, " '": -10.76473}
{' A': -0.20106967, 'A': -9.762748, ' B': -1.7039535, ' "': -9.871502, " '": -10.879397}
{' A': -0.13560234, 'A': -9.706235, ' B': -2.066419, ' "': -10.002497, " '": -10.930541}
{' A': -0.0994609, 'A': -9.711098, ' B': -2.3590472, ' "': -10.064636, " '": -10.986965}
{' A': -0.104874596, ' B': -2.3088083, 'A': -9.662948, ' "': -9.828235, " '": -10.872594}
{' A': -0.034818336, 'A': -9.690417, ' B': -3.3795867, ' "': -10.122377, " '": -10.973927}
{' A': -0.05147337, ' B': -2.9953876, 'A': -9.729097, ' "': -10.083734, " '": -11.0062685}
{' a': -11.269747, ' A': -0.035686515, 'A': -9.759536, ' B': -3.3545988, ' "': -10.371667}
{' A': -0.26699454, 'A': -9.850966, ' B': -1.4517822, ' "': -10.003319, " '": -10.967399}
{' A': -0.0710327, ' B': -2.6825628, 'A': -9.651907, ' "': -9.856075, " '": -10.857329}
{' A': -0.05625374, 'A': -9.704526, ' B': -2.9088938, ' "': -10.006893, " '": -10.918591}
{' A': -0.028523322, 'A': -9.741535, ' B': -3.5766838, ' "': -10.110023, " '": -11.024388}
{' A': -0.017367123, 'A': -9.7189245, ' B': -4.070544, ' "': -10.156528, " '": -11.080008}
{' A': -0.012306553, 'A': -9.737576, ' B': -4.4163895, ' "': -10.105336, " '": -10.988068}
{' a': -11.094406, ' A': -0.0036476832, 'A': -9.746382, ' B': -5.6556025, ' "': -10.201341}
{' a': -11.025987, ' A': -0.011652713, 'A': -9.727284, ' B': -4.4708614, ' "': -10.233482}
{' a': -11.17578, ' A': -0.022150943, 'A': -9.747418, ' B': -3.827227, ' "': -10.287218}
{' a': -11.254414, ' A': -0.013087816, 'A': -9.7668705, ' B': -4.352962, ' "': -10.271056}
{' A': -0.03972574, ' B': -3.249242, 'A': -9.730486, ' "': -10.224472, " '": -11.177245}
{' A': -0.0060343468, 'A': -9.72209, ' B': -5.14022, ' "': -9.981719, " '": -10.881026}
{' a': -11.177767, ' A': -0.022534933, 'A': -9.724112, ' B': -3.8101628, ' "': -10.350531}
{' a': -11.08277, ' A': -0.009136704, 'A': -9.785466, ' B': -4.7140827, ' "': -10.466408}
{' a': -11.1731, ' A': -0.0126797855, 'A': -9.762127, ' B': -4.384046, ' "': -10.512098}
{' A': -0.009824414, ' B': -4.6403747, 'A': -9.801746, ' "': -10.505611, ' a': -11.173557}
{' A': -0.0055685854, ' B': -5.2179213, 'A': -9.748874, ' "': -10.290157, ' a': -11.142608}
{' A': -0.01097272, ' B': -4.529947, 'A': -9.796722, ' "': -10.350413, ' a': -11.126789}
{' A': -0.00796732, ' B': -4.85161, 'A': -9.802772, ' "': -10.523711, ' a': -11.160868}
{' a': -11.17602, ' A': -0.004486871, 'A': -9.799352, ' B': -5.4378667, ' "': -10.367281}
{' A': -0.14531837, 'A': -9.794722, ' B': -2.0018876, ' "': -9.793878, " '": -10.852878}
{' A': -0.106603794, ' B': -2.2935257, ' "': -9.589263, 'A': -9.729658, " '": -10.513993}
{' b': -10.612092, ' A': -1.0863142, 'A': -10.489394, ' B': -0.4119958, ' "': -9.302852}
{' b': -10.8133955, ' A': -0.8977797, 'A': -10.430159, ' B': -0.5237009, ' "': -9.351941}
{' b': -10.715164, ' A': -0.9479067, 'A': -10.535433, ' B': -0.49058166, ' "': -9.581963}
{' b': -11.018503, ' A': -0.52948403, 'A': -10.19272, ' B': -0.8894217, ' "': -9.406446}
{' B': -0.29590866, ' A': -1.3626124, ' "': -9.682885, ' b': -10.755244, 'B': -10.804208}
{' A': -0.18324761, ' B': -1.7882432, ' "': -9.637647, 'A': -9.760128, " '": -11.253958}
{' A': -0.29821897, 'A': -9.980433, ' B': -1.3560401, ' "': -9.58036, " '": -11.253245}
{' A': -0.20429318, 'A': -9.870264, ' B': -1.6895341, ' "': -9.729189, " '": -11.287028}
{' A': -0.14016695, ' B': -2.0353045, 'A': -9.865912, ' "': -10.0331335, ' a': -11.442596}
{' A': -0.09794694, 'A': -9.799188, ' B': -2.3735628, ' "': -9.9147625, " '": -11.415902}
{' A': -0.1454093, 'A': -9.864098, ' B': -2.0014312, ' "': -9.450694, " '": -11.147945}
{' a': -11.355756, ' A': -0.02590555, 'A': -9.789344, ' B': -3.6720388, ' "': -9.943947}
{' a': -11.517793, ' A': -0.048388742, 'A': -9.800326, ' B': -3.0554647, ' "': -10.088746}
{' a': -11.406692, ' A': -0.027010132, 'A': -9.823484, ' B': -3.6302602, ' "': -10.030249}
{' A': -0.32258043, 'A': -10.015232, 'B': -11.337052, ' B': -1.2889442, ' "': -9.814303}
{' a': -11.252134, ' A': -0.05408576, 'A': -9.701384, ' B': -2.947417, ' "': -9.702722}
{' A': -0.043209642, ' B': -3.1665561, 'A': -9.817886, ' "': -10.001849, " '": -11.489461}
{' A': -0.02157371, ' B': -3.8533762, 'A': -9.833514, ' "': -10.090044, ' a': -11.4092865}
{' a': -11.3806305, ' A': -0.017540839, 'A': -9.779607, ' B': -4.059916, ' "': -10.084142}
{' a': -11.320384, ' A': -0.012006033, 'A': -9.805536, ' B': -4.4398985, ' "': -10.075093}
{' A': -0.0054021487, ' B': -5.249581, 'A': -9.77286, ' "': -10.080946, ' a': -11.251963}
{' a': -11.33834, ' A': -0.007924725, 'A': -9.836501, ' B': -4.8573146, ' "': -10.313916}
{' a': -11.34609, ' A': -0.008889333, 'A': -9.821168, ' B': -4.7413054, ' "': -10.292065}
{' A': -0.010363893, ' B': -4.5874662, 'A': -9.840468, ' "': -10.067454, ' a': -11.4210825}
{' A': -0.057534024, ' B': -2.88642, 'A': -9.831991, ' "': -10.078875, ' a': -11.513425}
{' A': -0.008032932, ' B': -4.8481073, 'A': -9.742671, ' "': -9.857205, ' a': -11.135488}
{' a': -11.36898, ' A': -0.018060582, 'A': -9.760337, ' B': -4.0306683, ' "': -10.159069}
{' a': -11.324259, ' A': -0.007061003, 'A': -9.805417, ' B': -4.9751697, ' "': -10.197989}
{' a': -11.393622, ' A': -0.017748982, 'A': -9.799014, ' B': -4.047288, ' "': -10.313174}
{' a': -11.381722, ' A': -0.0109268585, 'A': -9.836903, ' B': -4.5328608, ' "': -10.367847}
{' A': -0.00532233, ' B': -5.2622457, 'A': -9.818987, ' "': -10.206544, ' a': -11.360682}
{' a': -11.324543, ' A': -0.009034754, 'A': -9.777569, ' B': -4.726501, ' "': -10.105825}
{' a': -11.456695, ' A': -0.0055346605, 'A': -9.880002, ' B': -5.2191305, ' "': -10.478694}
{' A': -0.0045985407, ' B': -5.4125347, 'A': -9.8398075, ' "': -10.143675, ' a': -11.333385}
{' A': -0.13123178, 'A': -9.92657, ' B': -2.097279, ' "': -9.308713, " '": -11.064947}
{' A': -0.1571025, 'A': -9.862147, ' B': -1.9300059, ' "': -9.103275, " '": -10.759356}
{' b': -10.517719, ' A': -1.4572457, ' B': -0.26546568, ' "': -8.997892, " '": -10.274875}
{' b': -10.529907, ' A': -1.3294903, ' B': -0.30771613, ' "': -9.06196, " '": -10.378167}
{' B': -0.30091012, ' A': -1.348611, ' "': -9.118997, " '": -10.403393, ' b': -10.477481}
{' A': -0.91537637, 'A': -10.31615, ' B': -0.5118921, ' "': -9.055469, " '": -10.3510065}
{' A': -1.4803607, 'B': -10.7404585, ' B': -0.25845605, ' "': -9.365025, " '": -10.654369}
{' A': -0.31917453, 'A': -9.76797, ' B': -1.2984607, ' "': -8.959259, " '": -10.2404175}
{' A': -0.71994084, 'A': -10.1693535, ' B': -0.6675763, ' "': -9.119567, " '": -10.313711}
{' A': -0.43975878, 'A': -9.970413, ' B': -1.0342145, ' "': -8.920927, " '": -10.148343}
{' A': -0.46386194, 'A': -9.988304, ' B': -0.9918561, ' "': -9.165937, " '": -10.333328}
{' A': -0.32346007, 'A': -9.873253, ' B': -1.2870145, ' "': -9.141611, " '": -10.316689}
{' A': -0.30042985, 'A': -9.792578, ' B': -1.3501259, ' "': -8.95032, " '": -10.250447}
{' A': -0.12690279, ' B': -2.12926, ' "': -9.2064905, 'A': -9.725843, " '": -10.371425}
{' A': -0.212779, 'A': -9.803379, ' B': -1.6533289, ' "': -9.191896, " '": -10.370944}
{' A': -0.10111459, 'A': -9.737046, ' B': -2.3443742, ' "': -9.140781, " '": -10.277541}
{' A': -0.51830846, 'A': -10.065994, ' B': -0.9058341, ' "': -9.114466, " '": -10.274866}
{' A': -0.17817774, 'A': -9.688541, ' B': -1.8144484, ' "': -9.05881, " '": -10.292721}
{' A': -0.22785516, ' B': -1.5921397, ' "': -9.119502, 'A': -9.799479, " '": -10.260712}
{' A': -0.12741287, 'A': -9.753247, ' B': -2.1253872, ' "': -9.27117, " '": -10.430474}
{' A': -0.12667827, 'A': -9.703415, ' B': -2.1308992, ' "': -9.233321, " '": -10.382122}
{' A': -0.08056735, ' B': -2.562007, ' "': -9.184629, 'A': -9.698849, " '": -10.326434}
{' A': -0.023324221, 'A': -9.639224, ' B': -3.7807534, ' "': -9.239841, " '": -10.344708}
{' A': -0.04514827, 'A': -9.674465, ' B': -3.1257966, ' "': -9.29877, " '": -10.414822}
{' A': -0.07539739, 'A': -9.679204, ' B': -2.6256845, ' "': -9.333256, " '": -10.499416}
{' A': -0.058002464, 'A': -9.693409, ' B': -2.880409, ' "': -9.239652, " '": -10.419947}
{' A': -0.16348435, ' B': -1.8933505, ' "': -9.185966, 'A': -9.739766, " '": -10.362558}
{' A': -0.035674654, ' B': -3.358934, ' "': -9.058107, 'A': -9.644589, " '": -10.177801}
{' A': -0.09891801, 'A': -9.659008, ' B': -2.365264, ' "': -9.208395, " '": -10.366057}
{' A': -0.055892542, 'A': -9.671588, ' B': -2.916654, ' "': -9.244222, " '": -10.435068}
{' A': -0.079392165, ' B': -2.5759835, ' "': -9.258909, 'A': -9.663069, " '": -10.47461}
{' A': -0.041650824, 'A': -9.679222, ' B': -3.2046964, ' "': -9.367479, " '": -10.567317}
{' A': -0.050354276, 'A': -9.633306, ' B': -3.0189934, ' "': -9.1526, " '": -10.324251}
{' A': -0.046149604, 'A': -9.674686, ' B': -3.104226, ' "': -9.2593355, " '": -10.47772}
{' A': -0.047151554, 'A': -9.682155, ' B': -3.082626, ' "': -9.415832, " '": -10.62678}
{' A': -0.01998591, ' B': -3.9332511, ' "': -9.433542, 'A': -9.7031765, " '": -10.670844}
{' A': -0.30821586, 'A': -9.86842, ' B': -1.3281323, ' "': -8.998706, " '": -10.273916}
{' A': -0.23804352, ' B': -1.5533625, ' "': -8.934025, 'A': -9.791191, " '": -10.09194}
{' b': -10.162217, ' A': -1.6787076, ' B': -0.20704311, ' (': -9.528632, ' "': -8.772538}
{' A': -1.3958143, ' B': -0.285066, ' (': -9.478722, ' "': -8.808367, " '": -10.243988}
{' B': -0.22714987, ' A': -1.5954912, ' "': -8.796443, ' (': -9.54169, ' b': -10.2489}
{' A': -1.2232945, ' B': -0.34910884, ' (': -9.399629, ' "': -8.71343, " '": -10.22853}
{' B': -0.14652367, ' A': -1.9952766, ' "': -9.045096, ' (': -9.7541065, ' b': -10.240472}
{' A': -0.8450041, 'A': -9.925753, ' B': -0.5621595, ' (': -9.443485, ' "': -8.578015}
{' A': -1.0378292, 'A': -10.144245, ' B': -0.4379604, ' (': -9.396825, ' "': -8.748899}
{' B': -0.64683676, ' A': -0.74271536, ' "': -8.53382, ' (': -9.3143635, 'A': -9.980827}
{' A': -0.74607253, 'A': -10.034818, ' B': -0.6437146, ' (': -9.293773, ' "': -8.71352}
{' A': -0.4635851, 'A': -9.690408, ' B': -0.9928991, ' (': -9.409992, ' "': -8.56009}
{' A': -0.6210819, 'A': -9.818998, ' B': -0.771896, ' (': -9.351455, ' "': -8.455771}
{' A': -0.31558365, ' B': -1.3087993, ' "': -8.532393, ' (': -9.2578335, 'A': -9.627084}
{' A': -0.3782215, 'A': -9.609903, ' B': -1.1569937, ' (': -9.36017, ' "': -8.517877}
{' A': -0.30216575, 'A': -9.637521, ' B': -1.3460346, ' (': -9.303046, ' "': -8.406505}
{' A': -0.99162793, ' B': -0.464246, ' (': -9.49262, ' "': -8.701097, " '": -10.115695}
{' A': -0.31959316, 'A': -9.521142, ' B': -1.2981145, ' (': -9.3764105, ' "': -8.45023}
{' A': -0.4894086, 'A': -9.778994, ' B': -0.95050067, ' (': -9.480075, ' "': -8.518612}
{' A': -0.28773612, ' B': -1.3879578, ' "': -8.591346, ' (': -9.388653, 'A': -9.686427}
{' A': -0.27837172, 'A': -9.595381, ' B': -1.4168032, ' (': -9.378906, ' "': -8.459893}
{' A': -0.15547529, 'A': -9.517961, ' B': -1.941465, ' (': -9.418305, ' "': -8.436509}
{' A': -0.13008232, ' B': -2.1081822, ' "': -8.453209, ' (': -9.293892, 'A': -9.393817}
{' A': -0.1511999, 'A': -9.475782, ' B': -1.967259, ' (': -9.3949175, ' "': -8.512316}
{' A': -0.17888096, 'A': -9.53579, ' B': -1.8119625, ' (': -9.473885, ' "': -8.549053}
{' A': -0.30156046, 'A': -9.730108, ' B': -1.3476057, ' (': -9.486055, ' "': -8.458986}
{' A': -0.34674707, 'A': -9.693662, ' B': -1.2292258, ' (': -9.443592, ' "': -8.423183}
{' A': -0.14279082, 'A': -9.4865, ' B': -2.0209148, ' (': -9.4193735, ' "': -8.341363}
{' A': -0.17831708, 'A': -9.526972, ' B': -1.8150302, ' (': -9.352618, ' "': -8.482139}
{' A': -0.10951533, ' B': -2.2706044, ' "': -8.4830475, ' (': -9.348009, 'A': -9.531145}
{' A': -0.14661048, 'A': -9.533403, ' B': -1.9954722, ' (': -9.630511, ' "': -8.647767}
{' A': -0.1268544, 'A': -9.563176, ' B': -2.1308274, ' (': -9.677025, ' "': -8.705188}
{' A': -0.0950804, 'A': -9.490896, ' B': -2.4053087, ' (': -9.461893, ' "': -8.535173}
{' A': -0.10220934, 'A': -9.482985, ' B': -2.3358233, ' (': -9.531937, ' "': -8.647036}
{' A': -0.117811285, 'A': -9.4587, ' B': -2.2007751, ' (': -9.577013, ' "': -8.693805}
{' A': -0.052608855, 'A': -9.48041, ' B': -2.9792387, ' (': -9.652177, ' "': -8.629412}
{' A': -0.29790482, 'A': -9.560406, ' B': -1.35795, ' (': -9.662436, ' "': -8.59708}
{' A': -0.29486927, ' B': -1.3669537, ' "': -8.418875, ' (': -9.607737, 'A': -9.652125}
{' A': -0.631713, ' B': -0.759328, ' "': -8.823574, 'A': -9.950893, " '": -10.052232}
{' A': -0.53080785, 'A': -9.912673, ' B': -0.88778144, ' "': -8.998632, " '": -10.2864895}
{' B': -0.64549345, ' A': -0.7438363, ' "': -8.905799, " '": -10.140415, 'A': -10.1640835}
{' A': -0.31804413, 'A': -9.7805605, ' B': -1.301433, ' "': -9.0467825, " '": -10.2479105}
{' A': -0.9545698, 'A': -10.381224, ' B': -0.48651406, ' "': -9.104875, " '": -10.391695}
{' A': -0.18575121, ' B': -1.7766517, ' "': -8.930109, 'A': -9.588872, " '": -10.143442}
{' A': -0.18212168, 'A': -9.703523, ' B': -1.7943118, ' "': -9.221545, " '": -10.351047}
{' A': -0.11819694, 'A': -9.644519, ' B': -2.1963544, ' "': -9.115397, " '": -10.269992}
{' A': -0.114243485, 'A': -9.666395, ' B': -2.2282686, ' "': -9.295634, " '": -10.371319}
{' A': -0.10803948, 'A': -9.696635, ' B': -2.2811751, ' "': -9.277459, " '": -10.379141}
{' A': -0.12764256, ' B': -2.1240299, ' "': -9.061969, 'A': -9.638475, " '": -10.231259}
{' A': -0.027432384, 'A': -9.629268, ' B': -3.6181781, ' "': -9.371672, " '": -10.44217}
{' A': -0.0319737, 'A': -9.674887, ' B': -3.4660423, ' "': -9.334443, " '": -10.435674}
{' A': -0.028669415, 'A': -9.664892, ' B': -3.5745373, ' "': -9.292299, " '": -10.385314}
{' A': -0.16615786, 'A': -9.722041, ' B': -1.8783656, ' "': -9.254841, " '": -10.409198}
{' A': -0.038018532, ' B': -3.294721, ' "': -9.401725, 'A': -9.556734, " '": -10.605486}
{' A': -0.043071736, ' B': -3.1718576, ' "': -9.298962, 'A': -9.709237, " '": -10.39235}
{' A': -0.01807709, ' B': -4.034642, ' "': -9.365948, 'A': -9.689881, " '": -10.408397}
{' A': -0.02556166, ' B': -3.6883097, ' "': -9.373349, 'A': -9.668536, " '": -10.464806}
{' A': -0.014805448, 'A': -9.6493435, ' B': -4.2355733, ' "': -9.369058, " '": -10.430399}
{' A': -0.005113759, 'A': -9.660969, ' B': -5.3238196, ' "': -9.364856, " '": -10.40039}
{' A': -0.009310077, 'A': -9.670182, ' B': -4.704338, ' "': -9.482098, " '": -10.546077}
{' A': -0.014827408, ' B': -4.2333617, ' "': -9.434483, 'A': -9.642095, " '": -10.529195}
{' A': -0.007619106, 'A': -9.689943, ' B': -4.9085646, ' "': -9.45516, " '": -10.533671}
{' A': -0.03759451, 'A': -9.657189, ' B': -3.3058553, ' "': -9.331502, " '": -10.400747}
{' A': -0.0064635538, ' B': -5.0817957, ' "': -9.314559, 'A': -9.653887, " '": -10.354362}
{' A': -0.017759174, 'A': -9.626958, ' B': -4.052446, ' "': -9.422328, " '": -10.486499}
{' A': -0.008020917, 'A': -9.67418, ' B': -4.856247, ' "': -9.484601, " '": -10.54282}
{' A': -0.013921061, 'A': -9.650391, ' B': -4.2963514, ' "': -9.511889, " '": -10.569354}
{' A': -0.010324564, ' B': -4.5983505, ' "': -9.518932, 'A': -9.68885, " '": -10.5676565}
{' A': -0.0073812967, 'A': -9.646985, ' B': -4.941673, ' "': -9.47505, " '": -10.543868}
{' A': -0.006429476, 'A': -9.645962, ' B': -5.0838943, ' "': -9.44549, " '": -10.525658}
{' A': -0.00772734, 'A': -9.689144, ' B': -4.894522, ' "': -9.433215, " '": -10.54672}
{' A': -0.005675879, 'A': -9.723896, ' B': -5.2109733, ' "': -9.487918, " '": -10.550709}
{' A': -0.033692032, 'A': -9.601483, ' B': -3.4139674, ' "': -9.392478, " '": -10.565535}
{' A': -0.052821353, 'A': -9.561383, ' B': -2.972205, ' "': -9.20039, " '": -10.2822695}
{' b': -10.687404, ' A': -0.58803874, 'A': -9.85534, ' B': -0.8112615, ' "': -9.094989}
{' A': -0.44094917, ' B': -1.0320041, ' "': -9.172294, 'A': -9.79252, ' (': -10.644135}
{' b': -10.703954, ' A': -0.49697232, 'A': -9.85889, ' B': -0.9381096, ' "': -9.2655115}
{' A': -0.25109723, 'A': -9.76156, ' B': -1.5059344, ' "': -9.299488, " '": -10.899959}
{' A': -0.44319257, ' B': -1.0278026, ' "': -9.444511, 'A': -9.901934, ' b': -10.96912}
{' a': -10.854628, ' A': -0.13943343, 'A': -9.432173, ' B': -2.0412831, ' "': -9.162819}
{' A': -0.1475349, 'A': -9.611376, ' B': -1.9881073, ' (': -10.939135, ' "': -9.61575}
{' A': -0.08473595, 'A': -9.600841, ' B': -2.5131798, ' "': -9.314679, " '": -10.882426}
{' A': -0.082219355, 'A': -9.6165, ' B': -2.5417454, ' "': -9.60561, " '": -11.107086}
{' A': -0.050950892, 'A': -9.603814, ' B': -3.006254, ' "': -9.584154, " '": -11.129281}
{' A': -0.050318982, 'A': -9.525111, ' B': -3.019267, ' "': -9.336845, " '": -10.899831}
{' A': -0.015066873, ' B': -4.215281, ' "': -9.620476, 'A': -9.65256, " '": -11.161821}
{' A': -0.013483271, ' B': -4.3263054, 'A': -9.647206, ' "': -9.737602, ' a': -11.165436}
{' a': -11.213741, ' A': -0.0119396765, 'A': -9.70664, ' B': -4.448837, ' "': -9.66845}
{' A': -0.109347954, 'A': -9.701082, ' B': -2.269239, ' (': -11.230904, ' "': -9.614787}
{' A': -0.028360257, 'A': -9.486607, ' B': -3.5850885, ' "': -9.385845, " '": -11.016697}
{' A': -0.031503536, 'A': -9.591079, ' B': -3.4790988, ' "': -9.819148, " '": -11.224625}
{' a': -10.998568, ' A': -0.011202829, 'A': -9.598689, ' B': -4.5126905, ' "': -9.938796}
{' a': -11.035355, ' A': -0.018322071, 'A': -9.5543585, ' B': -4.0192947, ' "': -9.744178}
{' a': -10.960759, ' A': -0.00911132, 'A': -9.586517, ' B': -4.7230697, ' "': -9.811429}
{' A': -0.0029167936, ' B': -5.91185, ' "': -9.542149, 'A': -9.596998, ' a': -10.798701}
{' a': -11.054526, ' A': -0.00768085, 'A': -9.687844, ' B': -4.896133, ' "': -9.73736}
{' a': -11.140606, ' A': -0.009207204, 'A': -9.684027, ' B': -4.7116838, ' "': -9.704655}
{' A': -0.0049302685, ' B': -5.3513618, ' "': -9.685753, 'A': -9.699978, ' a': -11.058956}
{' A': -0.017232072, 'A': -9.622902, ' B': -4.080331, ' "': -9.67013, " '": -11.140986}
{' a': -10.791602, ' A': -0.0038926883, 'A': -9.598549, ' B': -5.6101184, ' "': -9.3525715}
{' A': -0.014033065, ' B': -4.286631, 'A': -9.616607, ' "': -9.694152, ' a': -11.172343}
{' a': -11.047076, ' A': -0.0062557044, 'A': -9.666852, ' B': -5.1059866, ' "': -9.734511}
{' a': -11.178435, ' A': -0.012277591, 'A': -9.619014, ' B': -4.4207206, ' "': -9.718511}
{' a': -11.109761, ' A': -0.0056943404, 'A': -9.679499, ' B': -5.2015142, ' "': -9.757786}
{' a': -10.818093, ' A': -0.002438854, 'A': -9.586318, ' B': -6.1061673, ' "': -9.503892}
{' a': -11.105434, ' A': -0.004862766, 'A': -9.65963, ' B': -5.365628, ' "': -9.707234}
{' A': -0.0030335477, ' B': -5.8539834, 'A': -9.700576, ' "': -9.86418, ' a': -11.046571}
{' a': -11.049713, ' A': -0.0029710147, 'A': -9.692241, ' B': -5.880002, ' "': -9.7335615}
{' a': -11.063836, ' A': -0.033996735, 'A': -9.605127, ' B': -3.4047565, ' "': -9.430548}
{' A': -0.05495754, 'A': -9.53899, ' B': -2.933257, ' "': -9.21594, " '": -10.762001}
{' A': -0.8519091, 'A': -10.322804, ' B': -0.5566383, ' "': -9.074936, " '": -10.17654}
{' A': -0.6353137, 'A': -10.21951, ' B': -0.7550781, ' "': -9.163421, " '": -10.22048}
{' A': -0.90979385, 'A': -10.487214, ' B': -0.5155773, ' "': -9.217781, " '": -10.319663}
{' A': -0.4692862, 'A': -10.189547, ' B': -0.9826472, ' "': -9.250008, " '": -10.321835}
{' A': -1.0350442, 'A': -10.6110935, ' B': -0.4391542, ' "': -9.381758, " '": -10.502957}
{' A': -0.35279658, ' B': -1.2139665, ' "': -9.09999, 'A': -9.9304905, " '": -10.248102}
{' A': -0.4222939, 'A': -10.074489, ' B': -1.0664895, ' "': -9.243038, " '": -10.235431}
{' A': -0.2637479, 'A': -9.988337, ' B': -1.4627988, ' "': -9.151659, " '": -10.248746}
{' A': -0.20328908, ' B': -1.6941851, ' "': -9.493865, 'A': -9.90456, " '": -10.358451}
{' A': -0.16195753, 'A': -9.924746, ' B': -1.9018142, ' "': -9.299604, " '": -10.315062}
{' A': -0.15023774, ' B': -1.9715096, ' "': -9.160737, 'A': -9.857329, " '": -10.2068}
{' A': -0.041206248, 'A': -9.811356, ' B': -3.215061, ' "': -9.440298, " '": -10.239803}
{' A': -0.035093322, 'A': -9.866635, ' B': -3.373291, ' "': -9.382193, " '": -10.372208}
{' A': -0.041588, 'A': -9.840386, ' B': -3.20586, ' "': -9.428844, " '": -10.247851}
{' A': -0.38627124, ' B': -1.1388139, ' "': -9.438495, 'A': -10.049216, " '": -10.322881}
{' A': -0.057011925, ' B': -2.897035, ' "': -9.267585, 'A': -9.767883, " '": -10.351592}
{' A': -0.10094882, ' B': -2.345482, ' "': -9.355009, 'A': -9.84725, " '": -10.272554}
{' A': -0.028405147, ' B': -3.5826159, ' "': -9.492761, 'A': -9.846516, " '": -10.288455}
{' A': -0.03756418, 'A': -9.805996, ' B': -3.30601, ' "': -9.485839, " '": -10.345247}
{' A': -0.0339783, 'A': -9.845294, ' B': -3.4053962, ' "': -9.408041, " '": -10.194139}
{' A': -0.007400451, 'A': -9.813565, ' B': -4.940258, ' "': -9.423398, " '": -10.159269}
{' A': -0.037695207, ' B': -3.302902, ' "': -9.438796, 'A': -9.794685, " '": -10.18802}
{' A': -0.04925033, ' B': -3.0397153, ' "': -9.478758, 'A': -9.821664, " '": -10.2330265}
{' A': -0.02055414, 'A': -9.857525, ' B': -3.9048483, ' "': -9.481789, " '": -10.271112}
{' A': -0.067778096, 'A': -9.850843, ' B': -2.7286553, ' "': -9.321655, " '": -10.096535}
{' A': -0.010970127, 'A': -9.866322, ' B': -4.538857, ' "': -9.273984, " '": -10.260348}
{' A': -0.027442245, 'A': -9.7901535, ' B': -3.6169288, ' "': -9.5180235, " '": -10.342817}
{' A': -0.013579272, 'A': -9.8494835, ' B': -4.320252, ' "': -9.587147, " '": -10.366574}
{' A': -0.0295438, 'A': -9.777465, ' B': -3.5436084, ' "': -9.507411, " '": -10.335305}
{' A': -0.020507172, 'A': -9.833393, ' B': -3.9068177, ' "': -9.552355, " '": -10.383639}
{' A': -0.0069772084, 'A': -9.798074, ' B': -4.999737, ' "': -9.439639, " '": -10.206025}
{' A': -0.0144120185, ' B': -4.2609253, ' "': -9.542068, 'A': -9.823143, " '": -10.3216915}
{' A': -0.0069640637, 'A': -9.865381, ' B': -4.9969997, ' "': -9.6465645, " '": -10.458907}
{' A': -0.0060856803, 'A': -9.866206, ' B': -5.1367044, ' "': -9.563376, " '": -10.388099}
{' A': -0.07938655, 'A': -9.894176, ' B': -2.5760467, ' "': -9.108311, " '": -10.178391}
{' A': -0.11185624, 'A': -9.874107, ' B': -2.2486475, ' "': -8.942111, " '": -9.879316}
{' A': -1.0039979, 'A': -10.353377, ' B': -0.4566652, ' "': -9.5784025, " '": -10.766678}
{' B': -0.4958672, ' A': -0.9396004, ' "': -9.768308, 'A': -10.400665, 'B': -10.90645}
{' A': -0.93214375, 'A': -10.415122, 'B': -10.895834, ' B': -0.5006843, ' "': -9.715865}
{' A': -0.41493782, ' B': -1.0804405, ' "': -9.805736, 'A': -10.02029, " '": -10.949016}
{' B': -0.4764553, ' A': -0.9705674, ' "': -9.8954315, 'A': -10.504834, 'B': -10.914304}
{' A': -0.26825285, ' B': -1.4477476, ' "': -9.732776, 'A': -9.801134, " '": -10.884744}
