{' No': -0.008999929, ' ': -10.2733345, ' Generally': -10.194226, 'No': -4.7260695, ' Yes': -10.883266}
{' No': -4.5523233, ' Generally': -2.7743237, ' Yes': -0.09505391, 'Yes': -6.3408785, ' It': -4.4111605}
{' Yes': -0.62908506, ' No': -0.9635749, ' Generally': -2.6162868, 'No': -5.359882, ' It': -6.0192933}
{' No': -0.43868512, ' Generally': -2.5257099, 'No': -4.772967, ' Yes': -1.3643672, ' It': -5.23836}
{' No': -0.009826581, ' ': -9.820539, ' Generally': -8.717212, 'No': -4.9388504, ' Yes': -6.0466113}
{' Yes': -0.011063839, ' Generally': -4.715694, 'Yes': -6.555972, ' No': -8.502549, ' Typically': -8.830432}
{' Yes': -0.010796288, ' Generally': -4.786654, 'Yes': -6.683735, ' No': -7.5825276, ' It': -8.387746}
{' No': -0.49067116, ' Generally': -6.141069, 'No': -5.48286, ' Yes': -0.9672947, 'Yes': -7.033697}
{' No': -1.4109707, ' Generally': -2.4401796, 'No': -5.972476, ' Yes': -0.42472836, ' It': -5.0975246}
{' No': -0.46155283, ' Generally': -4.99129, 'No': -5.3975954, ' Yes': -1.0304997, 'Yes': -7.1883454}
{' ': -10.769022, ' Generally': -8.856238, ' Yes': -0.001218239, ' yes': -10.169578, 'Yes': -6.906733}
{' No': -0.00991754, ' ': -10.03691, ' Generally': -9.825662, 'No': -4.6310782, ' Yes': -11.095229}
{' No': -0.009749598, 'No': -4.6507654, ' Yes': -9.716947, ' Generally': -10.13981, ' ': -10.215507}
{' No': -0.008830457, ' ': -10.137214, ' Generally': -10.029172, 'No': -4.7490554, ' Yes': -10.151069}
{' No': -0.008185499, ' ': -10.281899, ' Generally': -10.582014, 'No': -4.8196416, ' Yes': -11.095462}
{' No': -0.0077004917, ' ': -10.149706, ' Generally': -10.448699, 'No': -4.9037595, ' Yes': -8.6779785}
{' No': -0.0057759294, ' ': -10.228416, ' Generally': -13.288947, 'No': -5.174288, ' Yes': -9.745571}
{' No': -0.11264792, ' Yes': -2.4803886, ' Generally': -4.6418514, 'No': -4.6729503, ' It': -6.1465964}
{' No': -0.10450655, ' Yes': -2.765046, ' Generally': -4.0430303, 'No': -4.534703, ' It': -5.1214337}
{' No': -0.027296696, ' Generally': -5.6488914, 'No': -4.5705533, ' Yes': -4.5394006, ' It': -6.4295235}
{' No': -0.027690269, ' Generally': -5.888892, 'No': -4.626142, ' Yes': -4.2592998, ' It': -8.771682}
{' No': -0.007501936, 'No': -4.987543, ' Yes': -7.5141788, ' ': -9.731995, ' Generally': -10.257353}
{' Yes': -0.061803654, ' Generally': -3.5109098, ' No': -4.1105003, ' It': -4.658325, 'Yes': -6.141344}
{' No': -0.8643704, ' Generally': -4.221573, 'No': -5.178728, ' Yes': -0.58847624, 'Yes': -6.33299}
{' No': -0.65727586, ' Yes': -0.8572576, ' Generally': -3.1027696, 'No': -4.882232, ' It': -6.5130153}
{' No': -0.010971152, 'No': -4.882719, ' Yes': -5.7440543, ' Generally': -9.690305, ' ': -9.987603}
{' No': -8.685206, ' Generally': -6.168282, ' Typically': -10.110075, ' Yes': -0.004253871, 'Yes': -6.3150315}
{' No': -7.0194016, ' Generally': -5.411074, ' Yes': -0.0073455703, 'Yes': -6.4577565, ' It': -8.926319}
{' Yes': -0.69136524, ' No': -0.7073087, 'No': -5.548827, 'Yes': -6.5737658, ' Generally': -7.508904}
{' No': -1.467613, ' Generally': -3.4597638, 'No': -6.00612, ' Yes': -0.3152788, ' It': -5.9397674}
{' No': -0.7129401, ' Generally': -6.3167334, 'No': -5.5278926, ' Yes': -0.6884154, 'Yes': -6.714601}
{' ': -10.916355, ' Generally': -10.108737, ' Yes': -0.0015373849, ' yes': -10.107543, 'Yes': -6.5522285}
{' No': -0.009503156, ' ': -9.977382, ' Generally': -9.784036, 'No': -4.67433, ' Yes': -11.376558}
{' No': -0.009698859, 'No': -4.673031, ' Generally': -9.045464, ' Yes': -9.10298, ' ': -9.925449}
{' No': -0.009748395, 'No': -4.662805, ' Generally': -8.957863, ' Yes': -9.749582, ' ': -9.84519}
{' No': -0.008387197, ' ': -10.1423645, ' Generally': -10.054353, 'No': -4.7991033, ' Yes': -10.787605}
{' No': -0.0073548756, ' ': -9.963612, ' Generally': -10.055723, 'No': -4.9656906, ' Yes': -8.346306}
{' No': -0.006257204, ' ': -10.006826, ' Generally': -12.8460655, 'No': -5.0953703, ' Yes': -9.696356}
{' No': -0.20638905, ' Generally': -4.1906166, 'No': -4.806193, ' Yes': -1.8674856, ' It': -5.178948}
{' No': -0.16400804, ' Generally': -3.5140522, 'No': -4.639153, ' Yes': -2.376107, ' It': -4.191508}
{' No': -0.036780387, ' Generally': -5.1261334, 'No': -4.504327, ' Yes': -4.3194075, ' It': -5.3954554}
{' No': -0.044516098, ' Generally': -5.589201, 'No': -4.666687, ' Yes': -3.520634, ' It': -8.71664}
{' No': -0.007948399, ' ': -9.505505, ' Generally': -9.812874, 'No': -4.969935, ' Yes': -7.0964413}
{' Yes': -0.09145236, ' Generally': -3.1583965, ' It': -3.818564, ' No': -4.040572, 'Yes': -6.2568517}
{' No': -1.1359268, ' Generally': -3.5182395, 'No': -5.351537, ' Yes': -0.44665504, 'Yes': -6.23532}
{' No': -0.89075387, ' Generally': -2.8142996, 'No': -5.1367445, ' Yes': -0.66181284, ' It': -5.68883}
{' No': -0.013648272, ' ': -9.685533, ' Generally': -9.280218, 'No': -4.7922316, ' Yes': -5.284457}
{' No': -8.45723, ' Generally': -5.0190945, ' Typically': -9.092779, ' Yes': -0.008972262, 'Yes': -6.349096}
{' No': -7.628943, ' Generally': -5.204804, ' Yes': -0.008047835, 'Yes': -6.515574, ' It': -8.310017}
{' Yes': -0.3203038, ' No': -1.3162163, 'No': -6.05571, 'Yes': -6.248482, ' Generally': -6.694594}
{' No': -2.3231146, ' Generally': -3.4638443, ' Yes': -0.14658011, 'Yes': -6.4330554, ' It': -5.944906}
{' Yes': -0.32945672, ' No': -1.2973865, ' Generally': -5.8010464, 'No': -6.072603, 'Yes': -6.459843}
{' ': -10.841805, ' Generally': -9.715395, ' Yes': -0.0014274314, ' yes': -10.169968, 'Yes': -6.6460705}
{' No': -0.008641419, ' ': -10.226172, ' Generally': -9.985105, 'No': -4.7674704, ' Yes': -11.530341}
{' No': -0.007907242, ' ': -10.3817835, ' Generally': -10.096361, 'No': -4.861274, ' Yes': -9.884745}
{' No': -0.007896973, ' ': -10.254711, ' Generally': -9.420785, 'No': -4.8665643, ' Yes': -10.2345}
{' No': -0.0070435363, ' ': -10.517077, ' Generally': -10.527703, 'No': -4.9696345, ' Yes': -11.393588}
{' No': -0.006409683, ' ': -10.41261, ' Generally': -10.214978, 'No': -5.086648, ' Yes': -8.937024}
{' No': -0.005266961, ' ': -10.427393, ' Generally': -13.2697, 'No': -5.261996, ' Yes': -10.286858}
{' No': -0.18772377, ' Generally': -4.536183, 'No': -4.875817, ' Yes': -1.9109255, ' It': -5.8725705}
{' No': -0.17275453, ' Generally': -3.8805695, 'No': -4.8061275, ' Yes': -2.1197875, ' It': -4.927292}
{' No': -0.02713506, ' Generally': -5.6706686, 'No': -4.6586905, ' Yes': -4.4903154, ' It': -6.284047}
{' No': -0.039600093, ' Generally': -5.8482137, 'No': -4.7936015, ' Yes': -3.611328, ' It': -8.8316345}
{' No': -0.007303299, ' ': -9.760611, ' Generally': -10.139954, 'No': -5.071747, ' Yes': -7.0203414}
{' No': -4.376537, ' Generally': -3.873403, ' Yes': -0.044118583, 'Yes': -6.372819, ' It': -5.0227604}
{' No': -0.81661385, ' Generally': -4.17917, 'No': -5.278684, ' Yes': -0.6262623, 'Yes': -6.510055}
{' Yes': -0.7058749, ' No': -0.79847103, ' Generally': -3.117904, 'No': -5.2281847, ' It': -5.8306384}
{' No': -0.008999088, ' ': -10.22151, ' Generally': -10.290941, 'No': -4.96467, ' Yes': -6.270788}
{' No': -7.954075, ' Generally': -5.84326, ' Typically': -9.776264, ' Yes': -0.005075777, 'Yes': -6.447775}
{' Yes': -0.007887959, ' Generally': -5.2910395, 'Yes': -6.6098466, ' No': -6.9051614, ' It': -8.528373}
{' No': -0.64361477, ' Generally': -7.354487, 'No': -5.575288, ' Yes': -0.7578211, 'Yes': -6.719641}
{' No': -1.751223, ' Generally': -3.4954052, 'No': -6.453869, ' Yes': -0.23872602, ' It': -5.6213856}
{' No': -0.7164717, ' Generally': -6.278458, 'No': -5.6684804, ' Yes': -0.6837415, 'Yes': -6.8382134}
{' ': -11.132982, ' Generally': -10.22202, ' Yes': -0.0012424093, ' yes': -10.347103, 'Yes': -6.7674146}
{' An': -10.482215, ' No': -0.009467774, ' ': -10.276113, ' Generally': -8.157168, 'No': -4.7082896}
{' An': -9.773539, ' No': -0.009889365, ' Generally': -8.121871, 'No': -4.6734977, ' Yes': -9.551631}
{' No': -0.009793959, 'No': -4.6812434, ' Generally': -7.9495564, ' ': -10.361092, ' An': -10.384181}
{' No': -0.008715732, 'No': -4.7842507, ' Generally': -8.611035, ' Yes': -9.967811, ' An': -10.216602}
{' An': -9.266308, ' No': -0.007930433, ' Generally': -8.818858, 'No': -4.9039054, ' Yes': -8.546182}
{' No': -0.0062305746, ' ': -10.637034, ' Generally': -11.072795, 'No': -5.0964575, ' Yes': -10.063905}
{' No': -0.7204434, ' Yes': -0.865585, ' Generally': -3.2068765, ' It': -3.4127727, 'No': -5.122173}
{' That': -4.680851, ' No': -0.54461455, ' Generally': -2.4456003, ' Yes': -1.8385484, ' It': -1.9314476}
{' No': -0.16919489, ' Generally': -3.6231663, 'No': -4.4608417, ' Yes': -3.178981, ' It': -2.7239947}
{' No': -0.12951487, ' Generally': -4.0304794, 'No': -4.6468463, ' Yes': -2.42898, ' It': -5.93974}
{' No': -0.009300392, ' ': -9.723932, ' Generally': -8.252432, 'No': -5.0458183, ' Yes': -6.015939}
{' That': -5.5864706, ' No': -4.6317606, ' Generally': -2.7824092, ' Yes': -0.15114915, ' It': -2.8451986}
{' No': -2.232053, ' Generally': -2.720807, ' Yes': -0.21299477, 'Yes': -5.898705, ' It': -4.696513}
{' No': -1.1676216, ' Generally': -2.318552, 'No': -5.2231903, ' Yes': -0.57380867, ' It': -4.405485}
{' No': -0.015286062, ' ': -9.99465, ' Generally': -8.061169, 'No': -4.7781434, ' Yes': -5.0627236}
{' Generally': -4.3507223, ' Typically': -8.71187, ' Yes': -0.015604824, 'Yes': -6.3930283, ' It': -7.982994}
{' No': -8.273711, ' Generally': -4.5721273, ' Yes': -0.01323041, 'Yes': -6.6600504, ' It': -7.1859956}
{' No': -1.6605434, ' Generally': -5.59177, 'No': -6.5005507, ' Yes': -0.2200526, 'Yes': -6.3142257}
{' No': -2.9717848, ' Generally': -2.8064692, ' Yes': -0.14665438, 'Yes': -6.3863983, ' It': -4.0499687}
{' No': -2.0828881, ' Generally': -4.817021, 'No': -6.8050256, ' Yes': -0.14659745, 'Yes': -6.315878}
{' ': -11.095409, ' Generally': -8.558946, ' Yes': -0.0013237545, ' yes': -10.09247, 'Yes': -6.850315}
{' No': -0.014201966, 'No': -4.2851996, ' Generally': -8.383018, ' ': -10.061589, ' Yes': -10.668391}
{' No': -0.015288968, 'No': -4.2156577, ' Generally': -8.409442, ' Yes': -9.142081, ' ': -10.408385}
{' No': -0.016185846, ' ': -10.303713, ' Generally': -9.203236, 'No': -4.1440926, ' Yes': -10.058948}
{' No': -0.015424668, ' ': -10.4389305, ' Generally': -10.03505, 'No': -4.186903, ' Yes': -10.477221}
{' An': -10.486545, ' No': -0.012644956, ' Generally': -9.6406, 'No': -4.406337, ' Yes': -8.331534}
{' No': -0.010885103, ' ': -10.028623, ' Generally': -11.403096, 'No': -4.546829, ' Yes': -8.724621}
{' No': -0.3383085, ' Generally': -3.6472225, 'No': -4.3428555, ' Yes': -1.443617, ' It': -5.0931435}
{' No': -0.2928872, ' Generally': -2.9744592, 'No': -4.244452, ' Yes': -1.8621219, ' It': -3.6758828}
{' No': -0.06398901, ' Generally': -4.201709, 'No': -3.8866286, ' Yes': -4.0460615, ' It': -5.0118456}
{' No': -0.098532885, ' Generally': -4.611182, 'No': -4.0773153, ' Yes': -2.743146, ' It': -7.0088224}
{' No': -0.015581515, ' ': -9.129061, ' Generally': -8.275106, 'No': -4.319231, ' Yes': -6.357958}
{' No': -5.1088796, ' Generally': -3.1792166, ' Yes': -0.06416924, 'Yes': -5.6744113, ' It': -4.86582}
{' No': -1.7096444, ' Generally': -2.529337, 'No': -5.337925, ' Yes': -0.3252146, ' It': -5.336088}
{' No': -2.154577, ' Generally': -3.2775686, 'No': -5.724493, ' Yes': -0.1795711, 'Yes': -5.722715}
{' No': -0.07104729, ' Generally': -7.4568768, 'No': -4.1474133, ' Yes': -2.962334, 'Yes': -8.147362}
{' Yes': -0.013516076, ' Generally': -4.5724683, 'Yes': -6.017193, ' No': -8.505482, ' Typically': -8.914362}
{' No': -7.842064, ' Generally': -4.8863335, ' Yes': -0.010845333, 'Yes': -6.1054206, ' It': -8.358939}
{' No': -2.698131, ' Generally': -6.4500737, 'No': -6.7686887, ' Yes': -0.07676063, 'Yes': -5.667157}
{' No': -3.7556417, ' Generally': -3.4045846, ' Yes': -0.066635214, 'Yes': -5.9765587, ' It': -5.889637}
{' No': -2.9719217, ' Generally': -5.821331, 'No': -6.9711604, ' Yes': -0.06052394, 'Yes': -5.76585}
{' ': -10.963001, ' Generally': -9.244959, ' Yes': -0.0019859243, ' yes': -10.056129, 'Yes': -6.3106995}
{' No': -0.012975921, ' ': -9.271231, ' Generally': -9.062742, 'No': -4.373373, ' Yes': -10.19693}
{' No': -0.012319407, 'No': -4.4377785, ' Yes': -8.419804, ' Generally': -9.27905, ' ': -9.667825}
{' No': -0.012870559, ' ': -9.313871, ' Generally': -8.983052, 'No': -4.3878436, ' Yes': -9.119128}
{' No': -0.012210734, ' ': -9.365437, ' Generally': -9.558733, 'No': -4.434749, ' Yes': -9.270052}
{' No': -0.012009894, ' ': -9.272126, ' Generally': -9.638986, 'No': -4.503625, ' Yes': -7.3022356}
{' No': -0.010901129, ' ': -9.165835, ' Generally': -12.531592, 'No': -4.5471807, ' Yes': -8.952518}
{' No': -0.51509845, ' Yes': -1.1039581, ' It': -3.4640136, ' Generally': -3.7852552, 'No': -4.757755}
{' No': -0.44580248, ' Yes': -1.6648061, ' It': -2.1590402, ' Generally': -3.4330444, 'No': -4.569757}
{' No': -0.2695844, ' Generally': -3.7648828, 'No': -4.261438, ' Yes': -2.4341369, ' It': -2.28643}
{' No': -0.10220424, ' Generally': -4.8856974, 'No': -4.362481, ' Yes': -2.6207972, ' It': -6.0984373}
{' No': -0.013434698, ' ': -8.769592, ' Generally': -8.962304, 'No': -4.490329, ' Yes': -6.319192}
{' Yes': -0.057497345, ' It': -3.6954386, ' Generally': -3.8538802, ' No': -5.537819, 'Yes': -5.895765}
{' No': -2.708449, ' Generally': -3.7535064, ' Yes': -0.1180428, 'Yes': -5.5718446, ' It': -4.3460126}
{' No': -2.300804, ' Generally': -3.552566, ' Yes': -0.16069396, 'Yes': -5.6576376, ' It': -4.5713954}
{' No': -0.030302882, ' ': -8.957579, ' Generally': -9.122148, 'No': -4.2807074, ' Yes': -4.1574545}
{' Generally': -5.5839534, ' Yes': -0.006899062, ' yes': -9.20461, 'Yes': -5.9736495, ' It': -9.106178}
{' No': -8.039183, ' Generally': -5.187397, ' Yes': -0.009378483, 'Yes': -6.142465, ' It': -7.2169433}
{' No': -1.882634, ' Generally': -7.052737, 'No': -6.144425, ' Yes': -0.17334639, 'Yes': -5.690863}
{' No': -3.634206, ' Generally': -3.980384, ' Yes': -0.06283331, 'Yes': -5.925523, ' It': -4.56989}
{' Yes': -0.2043556, ' No': -1.7428668, ' Generally': -5.777043, 'Yes': -5.827557, 'No': -5.9282837}
{' ': -10.327823, ' Generally': -10.6872015, ' Yes': -0.0020878788, ' yes': -9.504327, 'Yes': -6.2407823}
{' No': -0.009023867, 'No': -4.7772636, ' Generally': -8.005724, ' Yes': -9.449892, ' ': -9.658384}
{' An': -9.755817, ' No': -0.009180557, ' Generally': -8.141354, 'No': -4.7689877, ' Yes': -8.522862}
{' No': -0.008956808, ' ': -9.746991, ' Generally': -8.011203, 'No': -4.782289, ' Yes': -9.387481}
{' No': -0.008407393, ' ': -9.893939, ' Generally': -8.17195, 'No': -4.8415484, ' Yes': -9.46828}
{' An': -9.630266, ' No': -0.0074882433, ' Generally': -8.923878, 'No': -4.9595947, ' Yes': -8.669207}
{' No': -0.006182834, ' ': -10.124053, ' Generally': -10.5634985, 'No': -5.1279078, ' Yes': -8.8107}
{' No': -0.58415943, ' Generally': -3.5753858, 'No': -5.273765, ' Yes': -0.9562889, ' It': -4.131166}
{' No': -0.31762952, ' Generally': -3.0111718, 'No': -4.941195, ' Yes': -1.8212439, ' It': -3.1708074}
{' No': -0.084387176, ' Generally': -4.1002655, 'No': -4.667052, ' Yes': -3.3445053, ' It': -4.234045}
{' No': -0.058426827, ' Yes': -3.212388, 'No': -4.921042, ' Generally': -4.9842443, ' It': -7.185845}
{' No': -0.008128593, ' ': -9.460534, ' Generally': -8.20827, 'No': -5.166494, ' Yes': -6.224459}
{' That': -6.199234, ' No': -4.604815, ' Generally': -3.1495671, ' Yes': -0.081576064, ' It': -4.000941}
{' Yes': -0.11035015, ' Generally': -3.060746, ' No': -3.0633569, ' It': -5.488417, 'Yes': -6.111426}
{' No': -1.7171819, ' Generally': -2.7131667, 'No': -6.0855613, ' Yes': -0.3055799, ' It': -4.87347}
{' No': -0.039563324, ' Generally': -6.898228, 'No': -4.801507, ' Yes': -3.5318592, 'Yes': -9.1271715}
{' Yes': -0.014067641, ' Generally': -4.4442544, 'Yes': -6.563834, ' Typically': -8.430654, ' It': -8.672212}
{' Yes': -0.014731892, ' Generally': -4.522247, 'Yes': -6.6766295, ' No': -6.9796686, ' It': -6.987989}
{' No': -1.7924298, ' Generally': -5.2319994, 'No': -6.662226, ' Yes': -0.19307993, 'Yes': -6.2916017}
{' No': -1.7782292, ' Generally': -2.807806, 'No': -6.4522824, ' Yes': -0.28591576, ' It': -4.5087705}
{' No': -0.83083135, ' Generally': -4.446705, 'No': -5.7398753, ' Yes': -0.60348874, 'Yes': -6.735116}
{' ': -10.773584, ' Generally': -8.8137045, ' Yes': -0.0012463459, ' yes': -10.210413, 'Yes': -6.888737}
{' An': -8.006374, ' No': -0.013123329, ' Generally': -6.155972, 'No': -4.6272287, ' Yes': -7.8033376}
{' An': -7.3927875, ' No': -0.013951946, ' Generally': -6.1723933, 'No': -4.6537013, ' Yes': -6.724964}
{' An': -7.693136, ' No': -0.014604451, ' Generally': -5.6554046, 'No': -4.6904693, ' Yes': -7.00444}
{' No': -0.013530815, 'No': -4.683275, ' Generally': -5.927376, ' Yes': -7.0699863, ' An': -8.048517}
{' An': -7.0115886, ' No': -0.012489049, ' Generally': -6.7858157, 'No': -4.7851577, ' Yes': -6.3380275}
{' No': -0.00961984, ' ': -8.985263, ' Generally': -8.415178, 'No': -4.9144773, ' Yes': -6.352877}
{' Yes': -0.56506336, ' No': -1.5181503, ' Generally': -2.3797147, ' It': -2.520052, ' A': -4.5947948}
{' That': -3.9012597, ' No': -1.0568975, ' Generally': -1.831382, ' Yes': -1.6673882, ' It': -1.4058965}
{' That': -4.2418714, ' No': -0.47914368, ' Generally': -2.5705094, ' Yes': -2.864924, ' It': -1.5849727}
{' No': -0.35910892, ' Generally': -2.929513, 'No': -4.7303286, ' Yes': -1.6062955, ' It': -3.8287535}
{' No': -0.022483055, ' Generally': -5.873244, 'No': -4.679591, ' A': -7.8607717, ' Yes': -4.695588}
{' That': -5.255674, ' Generally': -1.8915114, ' Typically': -5.591386, ' Yes': -0.28193247, ' It': -2.6658301}
{' Yes': -0.12003323, ' Generally': -2.5106046, ' No': -4.3282657, ' It': -4.7837024, ' Typically': -5.7967224}
{' No': -2.8775663, ' Generally': -2.0817366, ' Typically': -5.500264, ' Yes': -0.24770093, ' It': -3.8471022}
{' No': -0.4107944, ' Generally': -4.500016, 'No': -4.6931696, ' Yes': -1.1597952, 'Yes': -6.494086}
{' Generally': -3.5450795, ' Typically': -7.517074, ' Yes': -0.032771766, 'Yes': -6.376828, ' It': -7.933109}
{' Generally': -3.6322353, ' Typically': -7.8641567, ' Yes': -0.032660417, 'Yes': -6.379006, ' It': -6.099512}
{' No': -3.9105809, ' Generally': -4.48694, 'No': -8.327636, ' Yes': -0.03609051, 'Yes': -5.8007555}
{' No': -4.2782855, ' Generally': -2.2453115, ' Typically': -5.8733363, ' Yes': -0.18317208, ' It': -3.3805308}
{' No': -3.527494, ' Generally': -3.7938209, ' Yes': -0.058662113, 'Yes': -6.0061865, ' It': -7.453538}
{' ': -10.376194, ' Generally': -7.543822, ' Yes': -0.002024088, ' yes': -9.68375, 'Yes': -6.601486}
{' No': -0.0076660737, 'No': -4.9321923, ' Generally': -8.071597, ' Yes': -10.318541, ' ': -10.32308}
{' An': -10.115967, ' No': -0.0074490905, ' Generally': -8.289499, 'No': -4.9617314, ' Yes': -9.602623}
{' No': -0.006963643, ' ': -10.308621, ' Generally': -7.918585, 'No': -5.0442786, ' Yes': -10.189358}
{' No': -0.0059974105, 'No': -5.1725545, ' Generally': -8.512018, ' Yes': -10.201612, ' ': -10.432611}
{' An': -9.948657, ' No': -0.0061661014, ' Generally': -8.6241865, 'No': -5.17789, ' Yes': -8.390369}
{' No': -0.0050697257, ' ': -10.576732, ' Generally': -11.786126, 'No': -5.308307, ' Yes': -9.594824}
{' No': -0.47580305, ' Generally': -2.951139, 'No': -5.122972, ' Yes': -1.2319351, ' It': -4.1730494}
{' No': -0.23455636, ' Generally': -2.4916973, 'No': -4.8004627, ' Yes': -2.654999, ' It': -3.2967188}
{' No': -0.08013866, ' Yes': -3.4575796, ' Generally': -3.9646847, ' It': -4.2375803, 'No': -4.7943606}
{' No': -0.09354972, ' Generally': -4.130285, 'No': -4.8365836, ' Yes': -2.8036172, ' It': -6.3165493}
{' No': -0.006904525, ' ': -9.717884, ' Generally': -8.363161, 'No': -5.1953807, ' Yes': -6.9111557}
{' No': -5.2769065, ' Generally': -2.440885, ' Typically': -6.2816515, ' Yes': -0.12177801, ' It': -4.25843}
{' No': -1.9492887, ' Generally': -2.4148304, ' Typically': -5.764781, ' Yes': -0.2858881, ' It': -4.952743}
{' No': -1.7573324, ' Generally': -2.3098972, ' Typically': -5.9709573, ' Yes': -0.3381221, ' It': -5.263821}
{' No': -0.014245619, ' ': -9.914201, ' Generally': -7.896598, 'No': -4.97368, ' Yes': -5.000743}
{' Generally': -4.258272, ' Typically': -8.335386, ' A': -8.8883915, ' Yes': -0.01632506, 'Yes': -6.6661143}
{' No': -7.5310507, ' Generally': -4.1677465, ' Yes': -0.018508095, 'Yes': -6.7604685, ' It': -7.7115426}
{' No': -0.7861473, ' Generally': -5.824689, 'No': -5.7890253, ' Yes': -0.6222621, 'Yes': -6.7074513}
{' Yes': -0.22328286, ' No': -2.1987774, ' Generally': -2.5494053, ' It': -5.465358, ' Typically': -6.3266497}
{' No': -1.5874878, ' Generally': -4.646589, 'No': -6.5263324, ' Yes': -0.24578065, 'Yes': -6.491096}
{' Yes': -0.0009957855, 'Yes': -7.059086, ' Generally': -9.426352, ' yes': -10.297897, ' ': -11.286804}
{' An': -9.149385, ' No': -0.008390741, ' ': -9.558575, ' Generally': -6.8221073, 'No': -4.969597}
{' An': -8.8081255, ' No': -0.008419775, ' Generally': -6.999478, 'No': -4.9856973, ' Yes': -8.004233}
{' No': -0.008379263, 'No': -5.015412, ' Generally': -6.6562915, ' Yes': -8.735163, ' An': -9.13443}
{' An': -9.360876, ' No': -0.0069600414, ' Generally': -7.479379, 'No': -5.14522, ' Yes': -7.977674}
{' An': -7.69358, ' No': -0.010652537, ' Generally': -7.316168, 'No': -5.198663, ' Yes': -5.572721}
{' No': -0.00495968, ' ': -9.739325, ' Generally': -10.4385605, 'No': -5.4201403, ' Yes': -7.799267}
{' No': -1.2484515, ' Generally': -2.6458702, ' A': -4.955061, ' Yes': -0.49396348, ' It': -4.3677654}
{' No': -0.8234261, ' Generally': -1.7260749, ' A': -4.792895, ' Yes': -1.1786298, ' It': -3.093211}
{' No': -0.2054073, ' Generally': -2.8201494, 'No': -4.7523203, ' Yes': -2.389554, ' It': -4.224189}
{' No': -0.47300777, ' Yes': -1.1890799, ' Generally': -2.8974955, 'No': -5.15161, ' A': -5.552525}
{' No': -0.023424283, ' ': -8.681837, ' Generally': -6.6418757, 'No': -5.055544, ' Yes': -4.1970577}
{' No': -5.856373, ' Generally': -2.2688794, ' Typically': -6.198082, ' Yes': -0.13097635, ' It': -4.820086}
{' Yes': -0.21816544, ' Generally': -2.0155115, ' No': -3.018996, ' Typically': -5.4871264, ' It': -5.784123}
{' No': -2.818649, ' Generally': -2.298435, ' Typically': -6.047078, ' Yes': -0.18804173, ' It': -6.016245}
{' No': -0.4158624, ' Generally': -5.96049, 'No': -5.279119, ' Yes': -1.105468, 'Yes': -6.9569387}
{' Generally': -3.5882604, ' Typically': -7.683833, ' A': -8.322631, ' Yes': -0.030553453, 'Yes': -6.6952696}
{' Yes': -0.025065266, ' Generally': -3.8103948, 'Yes': -6.8288546, ' It': -7.838368, ' Typically': -8.194316}
{' Yes': -0.03820318, ' No': -3.4485424, ' Generally': -5.7441754, 'Yes': -6.275559, 'No': -8.431561}
{' No': -3.7790906, ' Generally': -2.4334962, ' Typically': -6.2767277, ' Yes': -0.12973411, ' It': -5.452856}
{' No': -3.1404364, ' Generally': -4.734442, 'No': -8.072033, ' Yes': -0.056368187, 'Yes': -6.398731}
{' ': -10.859922, ' Generally': -8.701277, ' Yes': -0.0011470452, ' yes': -10.164167, 'Yes': -7.002539}
{' No': -0.008519199, ' ': -9.900934, ' Generally': -8.032489, 'No': -4.8442373, ' Yes': -8.664242}
{' No': -0.0082701165, 'No': -4.9330077, ' Generally': -7.7147207, ' Yes': -7.7415743, ' An': -9.882707}
{' No': -0.008431497, 'No': -4.9408426, ' Generally': -7.0854034, ' Yes': -8.270987, ' An': -9.9416}
{' No': -0.0066166, ' ': -10.150072, ' Generally': -8.555954, 'No': -5.1002135, ' Yes': -8.381477}
{' An': -9.015462, ' No': -0.009450142, ' Generally': -8.092956, 'No': -5.2316813, ' Yes': -5.644822}
{' No': -0.0055294447, ' ': -10.25249, ' Generally': -11.48371, 'No': -5.281959, ' Yes': -7.8797083}
{' Yes': -0.6351377, ' No': -0.93822885, ' Generally': -3.0603106, ' It': -4.079792, 'No': -5.545715}
{' No': -0.7485907, ' Generally': -2.2629228, 'No': -5.2998548, ' Yes': -1.0952418, ' It': -2.7045176}
{' No': -0.27681756, ' Generally': -3.2155113, 'No': -4.9001427, ' Yes': -1.8547289, ' It': -3.540068}
{' No': -0.6301622, ' Generally': -3.857591, 'No': -5.4348245, ' Yes': -0.83002365, ' It': -6.2731857}
{' No': -0.02207934, ' Yes': -4.1738524, 'No': -5.1355457, ' Generally': -8.020285, ' ': -9.031929}
{' Yes': -0.07835249, ' Generally': -2.8138754, ' It': -4.8899693, ' No': -6.1732674, 'Yes': -6.2776413}
{' No': -3.0878677, ' Generally': -3.2037673, ' Yes': -0.09779733, 'Yes': -6.164081, ' It': -6.495273}
{' No': -3.2697105, ' Generally': -3.0324306, ' Yes': -0.09855848, 'Yes': -6.2185345, ' It': -6.1527586}
{' No': -0.24561451, ' Generally': -7.1389456, 'No': -5.082189, ' Yes': -1.5614125, 'Yes': -7.31638}
{' Yes': -0.013279996, ' Generally': -4.484706, 'Yes': -6.599992, ' Typically': -8.515331, ' A': -9.355942}
{' Generally': -4.38022, ' Typically': -8.580037, ' Yes': -0.014961051, 'Yes': -6.7737894, ' It': -7.668628}
