{' No': -0.27960142, ' Yes': -1.828668, '\n': -2.867862, 'No': -4.083987, ' Not': -5.576015}
{' No': -0.016223162, 'No': -4.621295, '\n': -5.1823783, ' ': -8.350483, ' no': -8.831275}
{' No': -0.05787874, '\n': -3.5285568, 'No': -3.6758327, ' ': -7.072881, ' Yes': -8.561548}
{' No': -0.016901089, 'No': -4.214283, '\n': -6.388611, ' Yes': -9.030636, ' ': -9.250939}
{' No': -0.011468261, '\n': -7.0894303, ' ': -9.593626, 'No': -4.627572, ' Yes': -7.316364}
{' No': -0.020887978, 'No': -4.026587, '\n': -5.969696, ' Yes': -9.116386, ' ': -9.194776}
{' No': -0.3310642, '\n': -2.0041275, 'No': -2.0048678, ' Unfortunately': -5.473417, ' ': -5.6653786}
{' No': -0.12628798, '\n': -4.106976, ' ': -7.1589165, 'No': -2.2970169, ' Unfortunately': -7.5443025}
{' No': -0.17971371, 'No': -2.1697228, '\n': -3.087058, ' Unfortunately': -6.1284857, ' ': -6.449071}
{' No': -0.1765752, 'No': -2.026276, '\n': -3.6376996, ' Unfortunately': -6.4384837, ' ': -6.9408665}
{' No': -0.12244832, '\n': -3.9993231, ' ': -7.1417384, 'No': -2.3626082, ' Unfortunately': -6.752575}
{' No': -0.14899038, '\n': -3.543262, ' ': -7.103702, 'No': -2.229612, ' Yes': -7.753036}
{' No': -0.6883646, '\n': -1.3942819, ' Yes': -2.0116792, 'No': -2.553269, ' Unfortunately': -4.1203847}
{' No': -0.22001107, 'No': -2.2721086, '\n': -2.6128466, ' Unfortunately': -4.5276303, ' Yes': -5.1211033}
{' No': -0.46208325, '\n': -1.6744112, 'No': -2.3785794, ' Yes': -2.939918, ' Unfortunately': -3.7943928}
{' No': -0.34426573, '\n': -1.8722142, 'No': -2.2301853, ' Unfortunately': -3.9094052, ' Yes': -5.463017}
{' No': -0.42807832, ' Yes': -1.8304659, '\n': -2.4284692, 'No': -2.6197689, ' Unfortunately': -4.4982204}
{' No': -0.5112948, '\n': -1.5046535, 'No': -2.3997664, ' Yes': -2.7285705, ' Unfortunately': -4.600242}
{' No': -0.40429994, ' Not': -4.29425, '\n': -1.7275268, 'No': -2.880538, ' Yes': -2.6530755}
{' No': -0.1474453, ' Not': -6.7703037, '\n': -2.9443202, 'No': -2.5540671, ' Unfortunately': -5.6129756}
{' No': -0.4562863, ' Not': -6.0112143, '\n': -1.4538181, 'No': -2.176997, ' Unfortunately': -4.549931}
{' No': -0.20305231, '\n': -2.3541906, 'No': -2.5938163, ' Unfortunately': -4.9159865, ' Yes': -5.950914}
{' No': -0.2754818, ' Yes': -2.0244002, '\n': -2.8104565, 'No': -3.293014, ' The': -5.4656196}
{' No': -0.23406763, '\n': -2.236732, 'No': -2.7880473, ' Yes': -3.3891673, ' Unfortunately': -6.5200453}
{' No': -1.0785276, '\n': -0.72064215, 'No': -2.9385853, ' Yes': -3.0206795, ' Unfortunately': -3.0747242}
{' No': -0.45100793, '\n': -1.5335598, ' ': -5.064085, 'No': -2.4663315, ' Unfortunately': -3.081934}
{' No': -0.81798905, '\n': -0.9177835, ' ': -4.635883, 'No': -2.693914, ' Unfortunately': -2.7235353}
{' No': -0.5508518, '\n': -1.24547, 'No': -2.922035, ' Unfortunately': -2.9642503, ' Yes': -4.447031}
{' No': -0.39409825, '\n': -1.7352867, 'No': -2.8759918, ' Yes': -3.0833278, ' Unfortunately': -3.4014547}
{' No': -0.56069756, '\n': -1.1120013, 'No': -2.8616924, ' Yes': -3.9745045, ' Unfortunately': -4.215864}
{' No': -0.03759717, 'No': -3.8984234, '\n': -4.2635245, ' Yes': -6.5918365, ' ': -7.767048}
{' No': -0.032647606, 'No': -3.6081612, '\n': -5.376004, ' ': -8.739536, ' Not': -9.73241}
{' No': -0.08961831, ' Not': -8.5128, '\n': -3.8611233, ' ': -7.534078, 'No': -2.7571807}
{' No': -0.028302314, 'No': -3.7278624, '\n': -5.678643, ' ': -8.669179, ' Not': -9.121549}
{' No': -0.02387212, 'No': -4.293241, ' Yes': -4.9563937, '\n': -6.0031505, ' ': -8.573877}
{' No': -0.048685264, '\n': -4.860733, ' ': -8.259281, 'No': -3.2814484, ' Yes': -6.3583145}
{' No': -0.06605897, '\n': -3.2272296, 'No': -4.100574, ' Yes': -5.1691546, ' ': -7.4201427}
{' No': -0.019654503, '\n': -5.6651373, ' ': -9.073754, 'No': -4.1531935, ' no': -10.055322}
{' No': -0.098000646, '\n': -2.9843872, 'No': -3.2061224, ' ': -7.3402834, ' Unfortunately': -7.488357}
{' No': -0.038109057, 'No': -3.5211525, '\n': -4.920241, ' ': -8.439381, ' Not': -8.925908}
{' No': -0.018882917, '\n': -6.933956, ' ': -9.868689, 'No': -4.063284, ' Yes': -7.7975097}
{' No': -0.060608987, 'No': -3.077136, '\n': -4.584146, ' Yes': -6.234406, ' ': -8.20834}
{' No': -0.23306963, ' Yes': -1.9846833, '\n': -2.9479663, 'No': -4.382491, 'Yes': -5.6887584}
{' No': -0.02516929, '\n': -4.8365726, 'No': -4.1365924, ' Yes': -7.8767657, ' no': -8.582304}
{' No': -0.05226658, 'No': -3.4224658, '\n': -4.0734534, ' Yes': -7.8099566, ' ': -8.058459}
{' No': -0.036404606, '\n': -4.9050627, ' ': -8.494935, 'No': -3.6007526, ' Yes': -7.396628}
{' No': -0.022067701, '\n': -6.490674, ' ': -9.777255, 'No': -4.0023756, ' Yes': -6.272313}
{' No': -0.025809396, '\n': -6.220694, ' ': -9.470057, 'No': -3.7704306, ' Yes': -8.04476}
{' No': -0.34528944, '\n': -1.7707578, 'No': -2.8354073, ' Unfortunately': -3.2685547, ' Yes': -4.3630257}
{' No': -0.1464332, 'No': -2.6381495, '\n': -2.9703524, ' Unfortunately': -4.7312603, ' ': -6.3146725}
{' No': -0.2655682, '\n': -2.142264, ' ': -5.5277047, 'No': -2.8080504, ' Unfortunately': -3.153393}
{' No': -0.18626846, '\n': -2.5401654, ' ': -6.21521, 'No': -2.6272054, ' Unfortunately': -4.2145543}
{' No': -0.2011386, '\n': -2.804183, 'No': -2.9954388, ' Yes': -3.3328352, ' Unfortunately': -3.5754135}
{' No': -0.2944, '\n': -1.9259974, 'No': -2.734391, ' Unfortunately': -3.9239643, ' Yes': -3.983775}
{' No': -0.11985448, ' Not': -5.5941677, '\n': -2.626534, 'No': -3.7892935, ' Yes': -4.3892155}
{' No': -0.023033671, 'No': -4.001044, '\n': -5.510487, ' Not': -8.783843, ' The': -9.276155}
{' No': -0.07522979, 'No': -3.141117, '\n': -3.6055467, ' Not': -7.2390914, ' ': -7.5793867}
{' No': -0.10983884, '\n': -3.5232415, ' ': -7.971632, 'No': -2.6343787, ' Yes': -6.261423}
{' No': -0.044151977, '\n': -5.371979, ' ': -8.737563, 'No': -3.3596692, ' Yes': -5.71983}
{' No': -0.05341497, 'No': -3.0183823, '\n': -5.861705, ' ': -9.190469, ' Yes': -9.334168}
{' No': -0.094881855, ' Yes': -3.5102947, '\n': -3.5206363, 'No': -3.901936, ' Not': -4.731467}
{' No': -0.026568837, 'No': -3.7688284, '\n': -6.062264, ' Not': -7.8784623, ' Yes': -8.524154}
{' No': -0.07077011, ' Not': -6.433719, '\n': -3.8790488, 'No': -3.1156688, ' Unfortunately': -7.244562}
{' No': -0.101981856, ' Not': -7.2631907, '\n': -3.3149104, 'No': -2.9626937, ' Yes': -4.9795947}
{' No': -0.042912874, 'No': -3.4943306, ' Yes': -5.0624194, '\n': -5.391843, ' Not': -8.5413885}
{' No': -0.05381752, '\n': -5.4033275, ' ': -8.828647, 'No': -3.055854, ' Yes': -7.851985}
{' No': -0.054231428, '\n': -3.6029277, 'No': -3.7668183, ' Yes': -6.51484, ' ': -7.744847}
{' No': -0.061894324, 'No': -2.9144561, '\n': -5.2833943, ' ': -8.248473, ' Not': -8.791835}
{' No': -0.105625995, ' Not': -8.008661, '\n': -4.2428007, ' ': -7.448076, 'No': -2.4724967}
{' No': -0.07127353, 'No': -2.7315862, '\n': -5.8354487, ' Unfortunately': -8.161199, ' Not': -8.831776}
{' No': -0.0355581, '\n': -5.8673754, ' ': -9.229138, 'No': -3.5514135, ' Yes': -5.7629995}
{' No': -0.046012037, '\n': -5.669106, ' ': -9.0756855, 'No': -3.2008522, ' Yes': -7.4715734}
{' No': -0.03790994, '\n': -4.041034, ' ': -7.7912807, 'No': -4.9920416, ' Yes': -4.455249}
{' No': -0.012423626, '\n': -5.7630186, ' ': -8.760069, 'No': -4.7287626, ' no': -9.545026}
{' No': -0.033051357, '\n': -4.250529, ' ': -7.7613764, 'No': -4.044909, ' Yes': -8.992144}
{' No': -0.015780305, '\n': -6.087964, ' ': -9.209447, 'No': -4.3279824, ' Yes': -10.54012}
{' No': -0.023867114, 'No': -3.934794, '\n': -5.8800426, ' Yes': -6.8876367, ' ': -8.962292}
{' No': -0.023291886, '\n': -6.303024, ' ': -9.157523, 'No': -3.867795, ' Yes': -9.024699}
{' No': -0.23308204, '\n': -2.4869423, 'No': -2.1595232, ' Yes': -6.0086727, ' Unfortunately': -5.7680526}
{' No': -0.13478212, 'No': -2.2337143, '\n': -4.0821548, ' Unfortunately': -7.061271, ' ': -7.2775397}
{' No': -0.15833333, 'No': -2.2657495, '\n': -3.258427, ' Unfortunately': -6.184065, ' ': -6.8134556}
{' No': -0.18783681, 'No': -2.0172606, '\n': -3.4156826, ' Unfortunately': -6.0524993, ' ': -6.687682}
{' No': -0.16248658, 'No': -2.1101394, '\n': -3.7187417, ' Unfortunately': -6.292897, ' ': -6.8424277}
{' No': -0.16331485, '\n': -3.7645626, ' ': -7.229631, 'No': -2.0784817, ' Unfortunately': -7.0008616}
{' No': -0.7788946, '\n': -1.2195857, 'No': -2.3759367, ' Yes': -2.115494, 'Yes': -4.4420547}
{' No': -0.1992894, '\n': -2.8165894, 'No': -2.230919, ' Yes': -6.065958, ' Unfortunately': -4.7467804}
{' No': -0.62235594, '\n': -1.3073955, 'No': -2.115646, ' Yes': -3.1051476, ' Unfortunately': -4.5275874}
{' No': -0.37476036, '\n': -1.939343, 'No': -1.9493662, ' Unfortunately': -3.9342523, ' ': -5.6815147}
{' No': -0.26190135, '\n': -2.7636178, 'No': -2.2659183, ' Yes': -3.3238745, ' Unfortunately': -3.9549673}
{' No': -0.32126582, '\n': -2.3368888, 'No': -2.0201335, ' Yes': -3.5377154, ' Unfortunately': -4.7116218}
{' No': -0.4841727, ' Not': -3.6773489, '\n': -1.6446283, 'No': -2.6749344, ' Yes': -2.5243242}
{' No': -0.1795393, ' Not': -5.5426774, '\n': -2.9831202, 'No': -2.2612062, ' Unfortunately': -5.6555634}
{' No': -0.41712186, ' Not': -5.1441684, '\n': -1.4986534, 'No': -2.344164, ' Unfortunately': -4.537332}
{' No': -0.16823852, ' Not': -5.778582, '\n': -2.6472461, 'No': -2.631911, ' Unfortunately': -5.1348405}
{' No': -0.20126106, ' Not': -5.5697336, '\n': -2.8700328, 'No': -2.9745991, ' Yes': -2.7672439}
{' No': -0.27709007, '\n': -2.006586, 'No': -2.4749603, ' Yes': -4.162346, ' Not': -6.0826755}
{'\n': -0.8791003, ' No': -0.9684367, 'No': -2.480657, ' Unfortunately': -2.6095674, ' Yes': -3.6555872}
{' No': -0.3452293, ' Not': -5.451104, '\n': -1.9399595, 'No': -2.271737, ' Unfortunately': -3.354533}
{' No': -0.897613, '\n': -0.90955496, 'No': -2.438993, ' Yes': -5.09517, ' Unfortunately': -2.534389}
{' No': -0.69597137, '\n': -0.92915994, 'No': -2.8071582, ' Unfortunately': -3.8256555, ' Yes': -4.6724267}
{' No': -0.38182896, '\n': -1.7359836, 'No': -2.632157, ' Unfortunately': -3.327996, ' Yes': -3.8314974}
{' No': -0.6368921, '\n': -1.054159, 'No': -2.5985906, ' Yes': -3.8604505, ' Unfortunately': -4.2024264}
{' No': -0.038300537, 'No': -3.7895098, '\n': -4.362424, ' Not': -7.1219397, ' Yes': -7.276716}
{' No': -0.032187022, ' Not': -8.937994, '\n': -5.611406, ' ': -9.0296135, 'No': -3.5888464}
{' No': -0.07729187, ' Not': -7.9486103, '\n': -3.9869006, ' ': -7.9884825, 'No': -2.9034462}
{' No': -0.048070613, ' Not': -7.150165, '\n': -4.799442, 'No': -3.2898784, ' Yes': -8.495033}
{' No': -0.031678367, '\n': -6.049802, ' ': -8.670815, 'No': -3.9656303, ' Yes': -4.6649656}
{' No': -0.060760673, '\n': -4.478842, ' ': -8.1011715, 'No': -3.0954285, ' Yes': -6.3403945}
{' No': -0.06812917, '\n': -3.328293, 'No': -4.032101, ' Yes': -4.93636, ' Not': -5.7834625}
{' No': -0.041333772, 'No': -3.4068465, '\n': -5.0038924, ' Not': -8.280412, ' ': -8.812655}
{' No': -0.105663694, 'No': -2.8938506, '\n': -3.2381098, ' Unfortunately': -5.991608, ' Not': -6.2852306}
{' No': -0.08475723, ' Not': -6.535257, '\n': -3.65679, 'No': -2.9570963, ' Unfortunately': -6.97229}
{' No': -0.018892212, 'No': -4.168876, ' Yes': -6.3477073, '\n': -6.651048, ' ': -9.78888}
{' No': -0.081681155, '\n': -4.0838156, ' ': -7.8843217, 'No': -2.8773677, ' Yes': -5.4550962}
{' No': -0.09131841, '\n': -3.1703818, ' Yes': -3.5841105, 'No': -4.2976685, ' ': -7.193786}
{' No': -0.017440816, '\n': -5.9405727, 'No': -4.254816, ' Yes': -9.32528, ' no': -9.264745}
{' No': -0.039914276, 'No': -3.6528518, '\n': -4.4101896, ' Not': -7.7864842, ' ': -8.122554}
{' No': -0.038774054, 'No': -3.3455386, '\n': -6.1197467, ' Yes': -8.516164, ' Not': -8.771794}
{' No': -0.028189562, ' Not': -9.295623, '\n': -6.345179, 'No': -3.798201, ' Yes': -5.6978498}
{' No': -0.03274282, '\n': -5.3609004, ' ': -8.965318, 'No': -3.623956, ' Yes': -7.462117}
{' No': -0.26501977, '\n': -2.2540104, 'No': -2.4594624, ' Yes': -5.130149, ' Unfortunately': -3.558385}
{' No': -0.10309492, '\n': -4.366107, ' ': -7.9232984, 'No': -2.4972408, ' Unfortunately': -6.2585855}
{' No': -0.37935957, ' Not': -5.5379705, '\n': -1.9034398, 'No': -1.9643891, ' Unfortunately': -4.071458}
{' No': -0.18552516, 'No': -2.7275934, '\n': -2.8152473, ' Unfortunately': -3.2317934, ' ': -6.551013}
{' No': -0.1471355, '\n': -3.2980258, 'No': -2.6697624, ' Yes': -5.3544474, ' Unfortunately': -3.8327184}
{' No': -0.15486524, 'No': -2.6003149, '\n': -2.9499855, ' Unfortunately': -4.539579, ' Yes': -5.713007}
{' No': -0.11365338, '\n': -2.9116042, ' ': -6.9023952, 'No': -3.2693977, ' Yes': -4.3761177}
{' No': -0.035485037, '\n': -5.070998, ' ': -8.722665, 'No': -3.56881, ' no': -9.367133}
{' No': -0.12017747, '\n': -3.825694, ' ': -7.155042, 'No': -2.4109468, ' Yes': -8.112542}
{' No': -0.12155964, 'No': -2.436951, '\n': -3.708754, ' Yes': -6.655857, ' ': -7.1603603}
{' No': -0.06391842, '\n': -5.1681247, ' ': -8.266801, 'No': -2.8965714, ' Yes': -7.4321914}
{' No': -0.11775395, 'No': -2.2964401, '\n': -4.614425, ' ': -8.201298, ' Yes': -8.738528}
{' No': -0.090120554, 'No': -3.0871794, '\n': -3.47604, ' Yes': -4.9378643, ' Not': -7.1709824}
{' No': -0.04528796, 'No': -3.3162477, '\n': -4.8956943, ' ': -8.693425, ' Yes': -9.09444}
{' No': -0.114066295, '\n': -3.6197214, ' ': -7.5230093, 'No': -2.5319436, ' Unfortunately': -7.946945}
{' No': -0.07252449, '\n': -3.911422, ' ': -8.005984, 'No': -3.0238447, ' Yes': -7.141341}
{' No': -0.117551126, '\n': -4.157689, 'No': -2.3867888, ' Yes': -6.529866, ' Unfortunately': -7.0003557}
{' No': -0.13226414, 'No': -2.2951858, '\n': -3.8255644, ' ': -7.6932373, ' Unfortunately': -7.716177}
{' No': -0.09775072, 'No': -2.8514068, '\n': -3.4170427, ' Yes': -6.6229916, ' ': -7.328089}
{' No': -0.08156682, '\n': -5.5730925, ' ': -8.28262, 'No': -2.6044168, ' The': -9.444139}
{' No': -0.15218236, 'No': -2.0550659, '\n': -4.4256215, ' ': -7.4978395, ' Unfortunately': -8.68173}
{' No': -0.10116036, 'No': -2.393309, '\n': -5.5526333, ' Unfortunately': -7.7649, ' Yes': -8.287621}
{' No': -0.06420255, '\n': -5.3531446, ' ': -8.791106, 'No': -2.9268696, ' Yes': -5.6605997}
{' No': -0.086166896, '\n': -5.7052097, ' ': -8.696825, 'No': -2.5421567, ' Yes': -8.323963}
{' No': -0.038559943, 'No': -3.9952078, '\n': -4.033164, ' Yes': -7.191932, ' ': -7.5880923}
{' No': -0.030472403, 'No': -3.6943786, '\n': -5.3571153, ' ': -8.3527975, ' no': -9.509869}
{' No': -0.081761815, '\n': -3.46952, ' ': -7.0161266, 'No': -3.075908, ' no': -9.294309}
{' No': -0.038201757, 'No': -3.4029248, '\n': -5.5379324, ' ': -8.663606, ' no': -10.096794}
{' No': -0.044780612, 'No': -3.2546308, '\n': -5.374355, ' Yes': -8.259355, ' ': -8.635874}
{' No': -0.06534053, 'No': -2.8925424, '\n': -4.900685, ' ': -8.42359, ' Unfortunately': -9.877404}
{' No': -0.15771663, 'No': -2.392326, '\n': -2.9869533, ' Yes': -6.5625796, ' ': -6.5779223}
{' No': -0.109188385, '\n': -4.791588, ' ': -7.7492523, 'No': -2.3599055, ' Unfortunately': -9.536501}
{' No': -0.12018352, '\n': -3.7089818, ' ': -7.1585054, 'No': -2.441072, ' Unfortunately': -7.565376}
{' No': -0.11754751, '\n': -3.9682937, ' ': -7.3661675, 'No': -2.4011626, ' Yes': -8.066623}
{' No': -0.10529304, '\n': -4.145986, ' ': -7.4747806, 'No': -2.4913344, ' Yes': -7.9202986}
{' No': -0.119658686, '\n': -3.6525276, ' ': -7.1822877, 'No': -2.459327, ' Yes': -8.375566}
{' No': -0.580487, '\n': -1.6347455, 'No': -1.7056683, ' Yes': -3.105204, 'Yes': -4.914866}
{' No': -0.30900308, '\n': -3.0228565, 'No': -1.5660411, ' Yes': -5.944009, ' Unfortunately': -5.867223}
{' No': -0.49741748, '\n': -1.9888554, 'No': -1.5539838, ' Yes': -3.7624798, ' Unfortunately': -4.668503}
{' No': -0.3770812, 'No': -1.3197501, '\n': -3.2331145, ' Unfortunately': -5.340605, ' ': -6.5737896}
{' No': -0.2788031, '\n': -3.2520125, 'No': -1.9247494, ' Yes': -3.1954443, ' Unfortunately': -4.689678}
{' No': -0.3212193, 'No': -1.7872437, '\n': -2.5849998, ' Yes': -4.125661, ' Unfortunately': -4.6178308}
{' No': -0.37340185, '\n': -1.8905414, 'No': -2.002682, ' Yes': -4.086336, ' Unfortunately': -5.9033666}
{' No': -0.2278982, '\n': -2.8656564, ' ': -6.829679, 'No': -1.946671, ' Unfortunately': -6.396294}
{' No': -0.38063645, 'No': -1.7830718, '\n': -1.9949666, ' Unfortunately': -4.9306393, ' ': -6.1645303}
{' No': -0.2069343, 'No': -2.0522501, '\n': -2.9432278, ' Unfortunately': -6.0125046, ' Yes': -6.7457576}
{' No': -0.34730634, '\n': -2.2543154, 'No': -2.313125, ' Yes': -2.559451, 'Yes': -5.319165}
{' No': -0.31450722, '\n': -1.9987667, 'No': -2.153632, ' Yes': -4.4199758, ' ': -6.16339}
{' No': -0.44564563, 'No': -1.9003669, '\n': -2.1213505, ' Unfortunately': -2.5319378, ' Yes': -5.920321}
{' No': -0.18848401, '\n': -3.5953977, ' ': -7.371065, 'No': -2.0509088, ' Unfortunately': -4.28232}
{' No': -0.38840687, 'No': -1.9153025, '\n': -2.2776146, ' Unfortunately': -2.7291775, ' ': -6.3283477}
{' No': -0.23695046, '\n': -2.6149049, ' ': -6.507927, 'No': -2.0405657, ' Unfortunately': -5.2956967}
{' No': -0.24440308, '\n': -2.6685135, 'No': -2.149028, ' Yes': -5.219638, ' Unfortunately': -3.8732216}
{' No': -0.31593472, '\n': -2.1252704, ' ': -6.1708136, 'No': -1.9883246, ' Unfortunately': -4.5847983}
{' No': -0.052096967, '\n': -4.510328, ' ': -7.680406, 'No': -3.2679682, ' Yes': -7.119718}
{' No': -0.041606206, 'No': -3.2586145, '\n': -6.19653, ' ': -8.863352, ' no': -10.381874}
{' No': -0.11073892, 'No': -2.3826675, '\n': -4.4424763, ' ': -7.7366877, ' Not': -9.490988}
{' No': -0.075675145, '\n': -5.7188706, ' ': -8.749747, 'No': -2.6709204, ' Yes': -9.361065}
{' No': -0.048892234, '\n': -5.7840357, ' ': -8.577958, 'No': -3.289792, ' Yes': -4.9722056}
{' No': -0.059391905, 'No': -2.9895198, '\n': -5.2652, ' Yes': -6.3750367, ' ': -8.056608}
{' No': -0.088842556, 'No': -3.1313744, '\n': -3.293312, ' Yes': -5.9523845, ' ': -7.3952093}
{' No': -0.04882727, 'No': -3.2287722, '\n': -4.891824, ' ': -8.45976, ' Not': -9.405119}
{' No': -0.18589146, '\n': -2.7127602, ' ': -6.830829, 'No': -2.2936203, ' Unfortunately': -7.687013}
{' No': -0.11594995, '\n': -4.392906, ' ': -8.180368, 'No': -2.3423295, ' Unfortunately': -8.172789}
{' No': -0.027089376, '\n': -5.8763556, ' ': -9.459926, 'No': -3.8293507, ' Yes': -6.2185736}
{' No': -0.052547224, 'No': -3.4910235, '\n': -4.1322355, ' Yes': -5.490474, ' ': -8.304161}
{' No': -0.25404906, '\n': -2.4147928, 'No': -3.7085912, ' Yes': -2.275215, 'Yes': -5.785459}
{' No': -0.07171726, '\n': -4.120217, 'No': -2.9802177, ' Yes': -6.6318636, ' The': -8.363725}
{' No': -0.104316585, '\n': -3.1847818, ' ': -7.447985, 'No': -2.900856, ' Yes': -6.992307}
{' No': -0.13633156, '\n': -4.012472, 'No': -2.3151722, ' Yes': -4.7724266, 'Yes': -7.5784264}
{' No': -0.60590625, '\n': -3.9344833, 'No': -3.7307422, ' Yes': -0.9149291, 'Yes': -4.713235}
{' No': -0.13811557, ' Yes': -2.9937806, 'No': -3.154652, '\n': -3.3966753, 'Yes': -6.661133}
{' No': -0.28860852, 'No': -2.013294, '\n': -2.2952576, ' Unfortunately': -4.792661, ' Yes': -5.903364}
{' No': -0.18486418, '\n': -4.003504, ' ': -7.2045555, 'No': -1.9227332, ' Unfortunately': -5.84503}
{' No': -0.31815103, 'No': -1.6910605, '\n': -2.6279883, ' Unfortunately': -4.459501, ' ': -6.0950885}
{' No': -0.18684503, 'No': -1.983142, ' Unfortunately': -4.114009, '\n': -4.23784, ' ': -7.468608}
{' No': -0.19435737, 'No': -2.4259896, '\n': -2.9207823, ' Yes': -4.1368904, ' Unfortunately': -4.2956414}
{' No': -0.21972844, 'No': -2.162634, '\n': -2.6982937, ' Unfortunately': -4.87195, ' Yes': -5.4284816}
{' No': -0.08112324, ' Not': -6.106874, '\n': -3.146982, 'No': -3.7393584, ' Yes': -5.0770593}
{' No': -0.026253045, 'No': -3.949936, '\n': -5.1902547, ' no': -7.779204, ' Not': -8.553024}
{' No': -0.06971265, 'No': -3.272366, '\n': -3.6073005, ' Not': -7.1512656, ' ': -7.6215014}
{' No': -0.11851739, '\n': -4.204432, ' ': -7.770821, 'No': -2.3594174, ' Yes': -6.995293}
{' No': -0.036157314, 'No': -3.5016646, '\n': -5.8489237, ' Yes': -6.103485, ' ': -9.290051}
{' No': -0.06744927, ' Not': -10.574353, '\n': -5.1931453, ' ': -9.063939, 'No': -2.8225987}
{' No': -0.05324076, '\n': -3.5906932, ' Yes': -4.376914, 'No': -4.690871, ' Not': -7.3239994}
{' No': -0.029517524, '\n': -4.480811, ' ': -8.900054, 'No': -4.063903, ' no': -9.023525}
{' No': -0.063066594, 'No': -3.4955235, '\n': -3.5313663, ' ': -7.707026, ' Not': -8.1651}
{' No': -0.10994004, '\n': -2.8281825, 'No': -3.2204537, ' Yes': -5.634354, ' ': -7.2235537}
{' No': -0.031050302, '\n': -6.528191, ' ': -9.775953, 'No': -3.659823, ' Yes': -5.7641582}
{' No': -0.031513315, 'No': -3.5809727, '\n': -5.851639, ' Yes': -9.154278, ' ': -9.362886}
{' No': -0.059634823, '\n': -3.8902926, 'No': -3.9467254, ' Yes': -4.134029, ' The': -7.2487464}
{' No': -0.046492025, '\n': -5.6403794, ' ': -8.521675, 'No': -3.1954446, ' The': -8.228838}
{' No': -0.052767314, 'No': -3.0706544, '\n': -5.4779515, ' ': -8.60526, ' The': -8.623882}
{' No': -0.09078026, 'No': -2.591028, '\n': -4.5625496, ' Yes': -7.018295, ' ': -8.334628}
{' No': -0.02754977, 'No': -3.9115334, ' Yes': -5.1992645, '\n': -6.532079, 'Yes': -9.297235}
{' No': -0.027807744, 'No': -3.6672535, '\n': -6.524084, ' Yes': -8.017754, ' ': -9.805868}
{' No': -0.042617943, '\n': -3.8262005, 'No': -4.705908, ' Yes': -4.736007, ' ': -7.430965}
{' No': -0.024361202, '\n': -5.828729, ' ': -8.909745, 'No': -3.882332, ' Yes': -8.796116}
{' No': -0.058016863, '\n': -3.8247654, ' ': -7.396855, 'No': -3.4001207, ' Yes': -8.642431}
{' No': -0.018399717, 'No': -4.236135, '\n': -5.671214, ' ': -9.017331, ' Yes': -9.188738}
{' No': -0.01648423, 'No': -4.5015645, ' Yes': -5.4560995, '\n': -7.0770817, ' ': -9.670691}
{' No': -0.022062888, '\n': -6.337918, ' ': -9.352396, 'No': -3.9484274, ' Yes': -7.3726482}
{' No': -0.12848827, '\n': -3.3983092, ' ': -6.736863, 'No': -2.5025592, ' Yes': -5.8325686}
{' No': -0.1193458, 'No': -2.303607, '\n': -4.509185, ' ': -7.33051, ' Yes': -7.7426753}
{' No': -0.09288791, 'No': -2.7561073, '\n': -3.8209515, ' Yes': -6.6640334, ' ': -7.106068}
{' No': -0.13236026, '\n': -4.72471, ' ': -7.5510325, 'No': -2.1764178, ' Yes': -7.29509}
{' No': -0.08381203, 'No': -2.7233155, '\n': -4.432933, ' Yes': -6.167607, ' ': -7.8531804}
{' No': -0.10642629, 'No': -2.458765, '\n': -4.2452965, ' Yes': -7.786391, ' ': -7.8509846}
{' No': -0.6738355, '\n': -2.1956823, 'No': -2.569269, ' Yes': -1.3857992, ' Unfortunately': -3.9656441}
{' No': -0.24482954, '\n': -3.5398583, 'No': -1.8907781, ' Yes': -4.074829, ' Unfortunately': -4.4633636}
{' No': -0.46770877, '\n': -2.6458778, 'No': -2.3263779, ' Yes': -1.860756, ' Unfortunately': -3.9296722}
{' No': -0.34835756, '\n': -3.193433, 'No': -2.3219407, ' Yes': -2.107223, ' Unfortunately': -4.330753}
{' No': -0.52931815, '\n': -2.3699782, 'No': -2.6489434, ' Yes': -1.6433777, ' Unfortunately': -3.46406}
{' No': -0.7761853, '\n': -1.6628202, 'No': -2.5159369, ' Yes': -1.4812537, 'Yes': -4.117678}
{' No': -0.29540247, ' Yes': -2.3848188, '\n': -2.460283, 'No': -2.9309576, ' Unfortunately': -4.6528816}
{' No': -0.15845498, '\n': -3.5493104, 'No': -2.1951752, ' The': -6.4671383, ' Unfortunately': -6.1171203}
{' No': -0.22001508, '\n': -2.4851556, 'No': -2.3523488, ' Yes': -5.8779044, ' Unfortunately': -4.4421277}
{' No': -0.17659107, 'No': -2.2799196, '\n': -2.945592, ' Yes': -6.028731, ' Unfortunately': -6.331355}
{' No': -0.2008764, '\n': -2.787266, ' Yes': -2.8596895, 'No': -2.987465, ' The': -5.3396015}
{' No': -0.22852641, '\n': -2.311805, 'No': -2.6260426, ' Yes': -3.8554108, ' Unfortunately': -5.221479}
{' No': -0.39063686, '\n': -1.7332692, 'No': -2.7220616, ' Yes': -3.294184, ' Unfortunately': -3.5623553}
