{' number': -6.5517163, ' #': -6.544743, ' 1': -2.2409306, ' 2': -0.15288188, ' two': -3.472717}
{' number': -6.698393, ' 1': -2.0071533, ' 2': -0.17920955, ' one': -6.6019187, ' two': -3.6584327}
{' #': -6.6037583, ' 1': -1.3111018, ' 2': -0.3544385, ' one': -5.887876, ' two': -3.7538488}
{' #': -6.64587, ' 1': -1.9771637, ' 2': -0.18394509, ' one': -6.5349617, ' two': -3.671448}
{' #': -6.6271076, ' 1': -1.4786514, ' 2': -0.2975317, ' one': -6.08432, ' two': -3.7139227}
{' #': -6.707681, ' 1': -2.1758955, ' 2': -0.15696134, ' one': -6.620487, ' two': -3.5781114}
{' #': -6.7188554, ' 1': -2.1455185, ' 2': -0.16057709, ' one': -6.616346, ' two': -3.5936537}
{' 2': -0.16576079, ' 1': -2.1040962, ' two': -3.6276116, ' #': -6.5603614, ' one': -6.5632744}
{' #': -6.6057053, ' 1': -1.773607, ' 2': -0.22221538, ' one': -6.347121, ' two': -3.6832044}
{' #': -6.6576037, ' 1': -2.0636272, ' 2': -0.17140967, ' one': -6.5905, ' two': -3.6271436}
{' number': -6.8246155, ' #': -6.676205, ' 1': -2.279385, ' 2': -0.1409383, ' two': -3.6666605}
{' number': -6.7367177, ' #': -6.6732492, ' 1': -2.9703171, ' 2': -0.087695405, ' two': -3.525094}
{' #': -6.7562237, ' 1': -2.268904, ' 2': -0.14291233, ' one': -6.777628, ' two': -3.6348307}
{' number': -7.0201406, ' #': -6.44909, ' 1': -2.607564, ' 2': -0.106684685, ' two': -3.7230022}
{' number': -7.1427155, ' #': -6.614397, ' 1': -2.9244332, ' 2': -0.083876066, ' two': -3.730055}
{' number': -7.0761237, ' #': -6.59421, ' 1': -3.2295241, ' 2': -0.06933381, ' two': -3.7017379}
{' number': -7.015377, ' #': -6.5576396, ' 1': -2.8126366, ' 2': -0.08872374, ' two': -3.8213398}
{' number': -7.0424795, ' #': -6.6271086, ' 1': -3.0829024, ' 2': -0.073989674, ' two': -3.7830293}
{' number': -6.937449, ' #': -6.3492546, ' 1': -2.301438, ' 2': -0.1361569, ' two': -3.7569702}
{' #': -6.559212, ' 1': -2.335182, ' 2': -0.13009433, ' one': -7.068115, ' two': -3.8177924}
{' #': -6.4591155, ' 1': -2.2138996, ' 2': -0.14589691, ' one': -6.933808, ' two': -3.7763193}
{' 2': -0.16380385, ' 1': -2.0815532, ' two': -3.783631, ' #': -6.5028043, ' one': -6.781471}
{' 2': -0.124861225, ' 1': -2.4070096, ' two': -3.7340357, ' #': -6.518495, ' number': -7.009952}
{' #': -6.481428, ' 1': -2.3042588, ' 2': -0.13746506, ' one': -6.8904166, ' two': -3.6872563}
{' 2': -0.21215177, ' 1': -1.7785028, ' two': -3.9886658, ' #': -6.4888806, ' one': -6.67107}
{' #': -6.3355703, ' 1': -1.9665341, ' 2': -0.18398549, ' one': -6.714739, ' two': -3.7293057}
{' #': -6.3539844, ' 1': -2.1347396, ' 2': -0.15791206, ' one': -6.8654003, ' two': -3.73577}
{' number': -6.92608, ' #': -6.4442415, ' 1': -2.3589385, ' 2': -0.12954351, ' two': -3.7548485}
{' #': -6.253912, ' 1': -1.958072, ' 2': -0.18509617, ' one': -6.7605634, ' two': -3.74945}
{' #': -6.443835, ' 1': -2.2925856, ' 2': -0.13573498, ' one': -7.021043, ' two': -3.796652}
{' 2': -0.21951388, ' 1': -1.7495891, ' two': -3.9400053, ' #': -6.517049, ' one': -6.6941757}
{' #': -6.517446, ' 1': -1.6413167, ' 2': -0.24546938, ' one': -6.4953165, ' two': -3.9166863}
{' #': -6.603849, ' 1': -1.7865999, ' 2': -0.20924166, ' one': -6.823098, ' two': -4.025886}
{' #': -6.44849, ' 1': -1.2187146, ' 2': -0.3807553, ' one': -6.208537, ' two': -4.1119256}
{' 2': -0.28141835, ' 1': -1.4955487, ' two': -4.0655594, ' one': -6.475457, ' #': -6.553027}
{' 2': -0.28023314, ' 1': -1.5011786, ' two': -4.0404797, ' one': -6.498412, ' #': -6.5837803}
{' #': -6.58114, ' 1': -1.6892707, ' 2': -0.23182954, ' one': -6.6893654, ' two': -3.982844}
{' #': -6.537958, ' 1': -1.7425746, ' 2': -0.2199363, ' one': -6.730557, ' two': -3.9801576}
{' #': -6.34382, ' 1': -1.1349907, ' 2': -0.4213085, ' one': -6.070055, ' two': -4.0641246}
{' #': -6.46258, ' 1': -1.6759975, ' 2': -0.23384364, ' one': -6.6631017, ' two': -4.0459867}
{' #': -6.434955, ' 1': -1.4704388, ' 2': -0.2913159, ' one': -6.4073052, ' two': -3.9891784}
{' #': -6.4379044, ' 1': -1.7489504, ' 2': -0.22152843, ' one': -6.6558256, ' two': -3.8730497}
{' 2': -0.1955247, ' 1': -1.8698831, ' two': -3.9252033, ' #': -6.5112414, ' one': -6.745234}
{' #': -6.4299626, ' 1': -1.9300281, ' 2': -0.18450849, ' one': -6.754515, ' two': -3.9374573}
{' 2': -0.19077095, ' 1': -1.888479, ' two': -3.9783134, ' #': -6.4797015, ' one': -6.782356}
{' 2': -0.20815788, ' 1': -1.8043605, ' two': -3.9311783, ' #': -6.497177, ' one': -6.695429}
{' #': -6.542606, ' 1': -1.94505, ' 2': -0.18227665, ' one': -6.843096, ' two': -3.903756}
{' 2': -0.084265, ' 1': -2.8910544, ' two': -3.8000548, ' #': -6.5587974, ' number': -7.055084}
{' #': -6.43642, ' 1': -1.9833837, ' 2': -0.17532228, ' one': -6.844297, ' two': -3.9291065}
{' number': -7.0330677, ' #': -6.518985, ' 1': -2.5698357, ' 2': -0.11849611, ' two': -3.447199}
{' number': -7.183313, ' #': -6.715837, ' 1': -3.1431959, ' 2': -0.07891643, ' two': -3.5002668}
{' number': -6.934551, ' #': -6.5623536, ' 1': -2.894576, ' 2': -0.09686212, ' two': -3.3860254}
{' number': -6.925504, ' #': -6.586374, ' 1': -2.6668468, ' 2': -0.10913607, ' two': -3.483499}
{' number': -6.955427, ' #': -6.655003, ' 1': -3.1674798, ' 2': -0.07898842, ' two': -3.4738207}
{' #': -6.4598885, ' 1': -2.0349436, ' 2': -0.18118572, ' one': -6.4993377, ' two': -3.4812706}
{' #': -6.608529, ' 1': -2.2554197, ' 2': -0.14749041, ' one': -6.811163, ' two': -3.5457544}
{' 2': -0.16911843, ' 1': -2.1001506, ' two': -3.531543, ' #': -6.4820065, ' one': -6.680755}
{' #': -6.549857, ' 1': -1.7899779, ' 2': -0.22229175, ' one': -6.4018054, ' two': -3.5677469}
{' #': -6.594267, ' 1': -2.2672036, ' 2': -0.14714937, ' one': -6.7909517, ' two': -3.5169578}
{' #': -6.5307317, ' 1': -2.4381394, ' 2': -0.13343094, ' one': -6.7930884, ' two': -3.3824427}
{' #': -6.5678616, ' 1': -1.9036539, ' 2': -0.19781864, ' one': -6.562593, ' two': -3.6261537}
{' 2': -0.16141467, ' 1': -2.1500754, ' two': -3.5467906, ' #': -6.553349, ' one': -6.6966953}
{' #': -6.523413, ' 1': -2.1535695, ' 2': -0.16072755, ' one': -6.742166, ' two': -3.5544956}
{' number': -6.8731194, ' #': -6.586645, ' 1': -2.4476948, ' 2': -0.12889685, ' two': -3.476118}
{' 2': -0.18471088, ' 1': -2.0352433, ' two': -3.4057362, ' #': -6.2342744, ' one': -6.5333414}
{' #': -6.53347, ' 1': -2.2392159, ' 2': -0.15195855, ' one': -6.7316813, ' two': -3.484703}
{' 2': -0.22963536, ' 1': -1.7460328, ' two': -3.630283, ' one': -6.4672847, ' #': -6.534561}
{' #': -6.5415797, ' 1': -1.5732881, ' 2': -0.26752672, ' one': -6.3923874, ' two': -3.763832}
{' 2': -0.27625954, ' 1': -1.5514156, ' two': -3.6841784, ' one': -6.305472, ' #': -6.5675817}
{' #': -6.506935, ' 1': -1.2809904, ' 2': -0.36631945, ' one': -5.992109, ' two': -3.7378156}
{' #': -6.5589333, ' 1': -1.6152388, ' 2': -0.25840822, ' one': -6.345837, ' two': -3.7050693}
{' #': -6.5935473, ' 1': -1.3354973, ' 2': -0.34762993, ' one': -6.050716, ' two': -3.6618235}
{' 2': -0.24730107, ' 1': -1.6667519, ' two': -3.644703, ' one': -6.4129095, ' #': -6.5962996}
{' 2': -0.22346969, ' 1': -1.7748115, ' two': -3.6196127, ' one': -6.499288, ' #': -6.6179204}
{' #': -6.4234824, ' 1': -1.0340918, ' 2': -0.4826964, ' one': -5.713014, ' two': -3.8520923}
{' #': -6.5306587, ' 1': -1.77047, ' 2': -0.22241437, ' one': -6.4986243, ' two': -3.6872315}
{' #': -6.4627876, ' 1': -1.422954, ' 2': -0.31726208, ' one': -6.1024923, ' two': -3.6564553}
{' #': -6.5308943, ' 1': -1.9703377, ' 2': -0.18798354, ' one': -6.567299, ' two': -3.57639}
{' #': -6.525358, ' 1': -1.8980713, ' 2': -0.19878754, ' one': -6.5800066, ' two': -3.6334934}
{' #': -6.4958334, ' 1': -2.095034, ' 2': -0.16763544, ' one': -6.636421, ' two': -3.6015992}
{' #': -6.4805875, ' 1': -1.5668372, ' 2': -0.27174926, ' one': -6.2816124, ' two': -3.6982877}
{' 2': -0.24406287, ' 1': -1.6842254, ' two': -3.6254084, ' one': -6.3510017, ' #': -6.525622}
{' 2': -0.17589748, ' 1': -2.0422285, ' two': -3.5789068, ' #': -6.584305, ' one': -6.6968923}
{' number': -6.8623896, ' #': -6.5061245, ' 1': -2.64703, ' 2': -0.11043581, ' two': -3.5000536}
{' 2': -0.14694825, ' 1': -2.2421098, ' two': -3.6114333, ' #': -6.5792937, ' one': -6.803956}
{' 2': -0.109316304, ' 1': -2.643883, ' two': -3.5293868, ' #': -6.517323, ' number': -7.041665}
{' number': -7.1425977, ' #': -6.634285, ' 1': -2.7180758, ' 2': -0.103137076, ' two': -3.5347795}
{' number': -7.0946374, ' #': -6.6721573, ' 1': -3.2759943, ' 2': -0.07332909, ' two': -3.4947326}
{' number': -7.0756288, ' #': -6.6465287, ' 1': -2.593768, ' 2': -0.11152533, ' two': -3.5795598}
{' number': -7.234255, ' #': -6.808349, ' 1': -3.476124, ' 2': -0.0640816, ' two': -3.5440202}
{' #': -6.534996, ' 1': -1.9001461, ' 2': -0.20028083, ' one': -6.592718, ' two': -3.5715177}
{' 2': -0.16116402, ' 1': -2.1388974, ' two': -3.5847652, ' #': -6.6488423, ' one': -6.8207707}
{' #': -6.5465593, ' 1': -1.9658097, ' 2': -0.18987927, ' one': -6.6303315, ' two': -3.5362153}
{' #': -6.4834733, ' 1': -1.9025326, ' 2': -0.20186801, ' one': -6.5180383, ' two': -3.5215452}
{' #': -6.568346, ' 1': -2.1713443, ' 2': -0.15901342, ' one': -6.7760477, ' two': -3.5273817}
{' 2': -0.21444546, ' 1': -1.8484787, ' two': -3.4696426, ' one': -6.383358, ' #': -6.4305906}
{' #': -6.5073037, ' 1': -1.6174217, ' 2': -0.2592693, ' one': -6.3491387, ' two': -3.6609662}
{' #': -6.4676857, ' 1': -1.9651996, ' 2': -0.18981089, ' one': -6.610284, ' two': -3.5480144}
{' #': -6.4157057, ' 1': -1.9403853, ' 2': -0.19321406, ' one': -6.6310897, ' two': -3.578525}
{' number': -6.842979, ' #': -6.5333056, ' 1': -2.3560143, ' 2': -0.13772202, ' two': -3.4978313}
{' number': -6.8456244, ' #': -6.341729, ' 1': -2.4026704, ' 2': -0.13445534, ' two': -3.4612756}
{' #': -6.4952583, ' 1': -2.11415, ' 2': -0.16697967, ' one': -6.73933, ' two': -3.5319088}
{' #': -6.4867983, ' 1': -1.4838595, ' 2': -0.2962052, ' one': -6.2689724, ' two': -3.686483}
{' #': -6.48878, ' 1': -1.5707229, ' 2': -0.2731975, ' one': -6.270653, ' two': -3.6243649}
{' #': -6.5075855, ' 1': -1.4333608, ' 2': -0.3113477, ' one': -6.21327, ' two': -3.7106223}
{' #': -6.4175878, ' 1': -0.86619127, ' 2': -0.58865106, ' one': -5.694691, ' two': -4.00303}
{' #': -6.4721036, ' 1': -1.1700763, ' 2': -0.40986818, ' one': -6.0025783, ' two': -3.8723848}
{' 2': -0.3335511, ' 1': -1.3667295, ' two': -3.7333963, ' one': -6.153811, ' #': -6.504846}
{' 2': -0.29570755, ' 1': -1.4798028, ' two': -3.7259617, ' one': -6.3200345, ' #': -6.591112}
{' #': -6.496309, ' 1': -1.5258785, ' 2': -0.2829872, ' one': -6.3279586, ' two': -3.7032866}
{' 2': -0.5891521, ' 1': -0.8681647, ' two': -3.956162, ' one': -5.6405435, ' #': -6.3815126}
{' #': -6.4225435, ' 1': -1.2129152, ' 2': -0.3916185, ' one': -6.023158, ' two': -3.8376157}
{' #': -6.4181185, ' 1': -0.9654735, ' 2': -0.52226853, ' one': -5.773564, ' two': -3.9052145}
{' 2': -0.24505584, ' 1': -1.6773564, ' two': -3.642959, ' one': -6.398567, ' #': -6.4798265}
{' #': -6.392676, ' 1': -1.4708623, ' 2': -0.29879087, ' one': -6.2487035, ' two': -3.7375708}
{' #': -6.3818865, ' 1': -1.5180477, ' 2': -0.28310618, ' one': -6.319575, ' two': -3.7795813}
{' #': -6.438817, ' 1': -1.3203182, ' 2': -0.34609026, ' one': -6.212018, ' two': -3.869211}
{' #': -6.4259515, ' 1': -1.5095378, ' 2': -0.2878238, ' one': -6.285546, ' two': -3.7089088}
{' 2': -0.24403457, ' 1': -1.6749198, ' two': -3.6833658, ' one': -6.4811563, ' #': -6.4875884}
{' 2': -0.120271035, ' 1': -2.532182, ' two': -3.4920454, ' #': -6.529353, ' number': -6.906522}
{' #': -6.5244565, ' 1': -1.7713569, ' 2': -0.22096296, ' one': -6.585705, ' two': -3.7135797}
{' number': -7.1492853, ' #': -6.8496003, ' 1': -3.176093, ' 2': -0.078391165, ' two': -3.4663572}
{' 2': -0.06264952, ' two': -3.4167428, ' 1': -3.655766, ' #': -6.964498, ' number': -7.249529}
{' number': -7.2228665, ' #': -6.995619, ' 1': -3.9632628, ' 2': -0.054789424, ' two': -3.4314547}
{' number': -7.048851, ' #': -6.843889, ' 1': -3.0916724, ' 2': -0.08472038, ' two': -3.4037585}
{' 2': -0.048605163, ' two': -3.4843311, ' 1': -4.2072372, ' #': -7.0361266, ' number': -7.2239985}
{' #': -6.7172766, ' 1': -2.6145577, ' 2': -0.11667677, ' one': -6.954565, ' two': -3.3898964}
{' number': -7.1301155, ' #': -6.8699174, ' 1': -2.8226063, ' 2': -0.09891078, ' two': -3.4403205}
{' 2': -0.12823258, ' 1': -2.4668002, ' two': -3.4312909, ' #': -6.7544904, ' one': -6.912048}
{' number': -7.098852, ' #': -6.7829103, ' 1': -2.7166696, ' 2': -0.10705991, ' two': -3.4252965}
{' number': -7.076882, ' #': -6.8135724, ' 1': -2.8452997, ' 2': -0.09647667, ' two': -3.4705324}
{' number': -7.066796, ' #': -6.803871, ' 1': -2.814353, ' 2': -0.102441154, ' two': -3.3653255}
{' #': -6.8363237, ' 1': -2.1368804, ' 2': -0.16235323, ' one': -6.678915, ' two': -3.5552382}
{' 2': -0.11423473, ' 1': -2.6272352, ' two': -3.420307, ' #': -6.781606, ' one': -7.04729}
{' number': -7.0107493, ' #': -6.7754965, ' 1': -2.5643423, ' 2': -0.11663424, ' two': -3.5021892}
{' number': -6.959625, ' #': -6.819918, ' 1': -3.0555475, ' 2': -0.08786949, ' two': -3.3731894}
{' 2': -0.11000377, ' 1': -2.6547883, ' two': -3.4791465, ' #': -6.72202, ' number': -6.9609523}
{' 2': -0.10563752, ' 1': -2.7425985, ' two': -3.4126668, ' #': -6.78143, ' number': -7.0492043}
{' number': -7.0320215, ' #': -6.782116, ' 1': -2.5101006, ' 2': -0.121396236, ' two': -3.5039396}
{' #': -6.82312, ' 1': -2.2532392, ' 2': -0.14798015, ' one': -6.776341, ' two': -3.5292456}
{' #': -6.7530937, ' 1': -2.1654894, ' 2': -0.16050914, ' one': -6.6852245, ' two': -3.5007534}
{' #': -6.7168036, ' 1': -1.9281118, ' 2': -0.19539048, ' one': -6.500117, ' two': -3.5647063}
{' #': -6.8034005, ' 1': -2.0504866, ' 2': -0.17285074, ' one': -6.680485, ' two': -3.6211443}
{' #': -6.814748, ' 1': -2.1693575, ' 2': -0.16090031, ' one': -6.655622, ' two': -3.4750767}
{' 2': -0.18543218, ' 1': -1.9836061, ' two': -3.5640123, ' one': -6.6086984, ' #': -6.8394613}
{' #': -6.8266764, ' 1': -2.2923164, ' 2': -0.14284123, ' one': -6.87462, ' two': -3.5406528}
{' #': -6.6630387, ' 1': -1.3274318, ' 2': -0.34712517, ' one': -6.005858, ' two': -3.7573593}
{' #': -6.7058196, ' 1': -2.0294454, ' 2': -0.17765027, ' one': -6.584055, ' two': -3.5861547}
{' 2': -0.256309, ' 1': -1.6399074, ' two': -3.5848842, ' one': -6.226919, ' #': -6.6643786}
{' #': -6.7382417, ' 1': -2.5708654, ' 2': -0.11690112, ' one': -7.0074806, ' two': -3.4811018}
{' #': -6.714675, ' 1': -2.2042294, ' 2': -0.15538791, ' one': -6.6939464, ' two': -3.5027523}
{' #': -6.7005715, ' 1': -2.3946095, ' 2': -0.13109024, ' one': -6.8723574, ' two': -3.5621586}
{' #': -6.7393556, ' 1': -2.1574447, ' 2': -0.1588961, ' one': -6.7163925, ' two': -3.5767617}
{' 2': -0.16619566, ' 1': -2.1103675, ' two': -3.5579438, ' one': -6.6649413, ' #': -6.7578797}
{' #': -6.830821, ' 1': -2.2814531, ' 2': -0.14292806, ' one': -6.8881335, ' two': -3.573638}
{' number': -7.06794, ' #': -6.847526, ' 1': -3.3167033, ' 2': -0.07003357, ' two': -3.543079}
{' number': -7.3768506, ' #': -6.9234242, ' 1': -2.886107, ' 2': -0.09006563, ' two': -3.5752704}
{' number': -6.913636, ' #': -6.78016, ' 1': -3.2309618, ' 2': -0.07934492, ' two': -3.3812914}
{' number': -7.0153217, ' #': -6.921087, ' 1': -3.680977, ' 2': -0.06250795, ' two': -3.4090557}
{' number': -6.9883175, ' #': -6.928091, ' 1': -3.945103, ' 2': -0.05592185, ' two': -3.4182093}
{' number': -6.9407363, ' #': -6.880855, ' 1': -3.273378, ' 2': -0.077216715, ' two': -3.3855245}
{' number': -6.9220667, ' #': -6.945215, ' 1': -3.9320362, ' 2': -0.05785253, ' two': -3.373061}
{' number': -6.818463, ' #': -6.752065, ' 1': -2.636699, ' 2': -0.114386685, ' two': -3.4070292}
{' number': -6.8356977, ' #': -6.7753105, ' 1': -2.7910042, ' 2': -0.10626255, ' two': -3.3176978}
{' #': -6.6809144, ' 1': -2.4471111, ' 2': -0.13495824, ' one': -6.71985, ' two': -3.3257732}
{' 2': -0.1201614, ' 1': -2.590868, ' two': -3.3570044, ' #': -6.734898, ' number': -6.832348}
{' number': -6.800098, ' #': -6.786682, ' 1': -2.5840023, ' 2': -0.11895259, ' two': -3.4018996}
{' number': -6.8883953, ' #': -6.8237925, ' 1': -2.8276434, ' 2': -0.10212239, ' two': -3.355973}
{' #': -6.772942, ' 1': -2.126646, ' 2': -0.16793066, ' one': -6.4928417, ' two': -3.4584143}
{' number': -6.8064137, ' #': -6.7408943, ' 1': -2.6479254, ' 2': -0.11297913, ' two': -3.4204245}
{' 2': -0.11377579, ' 1': -2.6419969, ' two': -3.4160733, ' #': -6.704592, ' number': -6.7138934}
{' number': -6.705581, ' #': -6.7669797, ' 1': -2.9685695, ' 2': -0.09533588, ' two': -3.314883}
{' 2': -0.08916911, ' 1': -3.1355498, ' two': -3.2622342, ' #': -6.580222, ' number': -6.624239}
{' number': -6.757632, ' #': -6.6985393, ' 1': -2.5706947, ' 2': -0.12110225, ' two': -3.3807015}
{' number': -6.761711, ' #': -6.7399364, ' 1': -2.3363245, ' 2': -0.14043614, ' two': -3.482229}
{' #': -6.742085, ' 1': -2.0333297, ' 2': -0.1796614, ' one': -6.472715, ' two': -3.5210059}
{' #': -6.7324224, ' 1': -2.0761116, ' 2': -0.1721732, ' one': -6.5778694, ' two': -3.5426452}
{' #': -6.625049, ' 1': -1.7189652, ' 2': -0.23944837, ' one': -6.1807985, ' two': -3.5432546}
{' #': -6.753178, ' 1': -1.8894699, ' 2': -0.20053545, ' one': -6.4574704, ' two': -3.6257386}
{' number': -6.7260985, ' 1': -2.0906637, ' 2': -0.17372486, ' one': -6.4917917, ' two': -3.4457564}
{' #': -6.791302, ' 1': -2.0635772, ' 2': -0.17407753, ' one': -6.592128, ' two': -3.5371392}
{' #': -6.744592, ' 1': -2.2512681, ' 2': -0.15043046, ' one': -6.7006497, ' two': -3.48196}
{' #': -6.6694384, ' 1': -1.6505286, ' 2': -0.2529588, ' one': -6.1521134, ' two': -3.616953}
{' #': -6.636239, ' 1': -2.012745, ' 2': -0.18265371, ' one': -6.5446253, ' two': -3.5308537}
{' 2': -0.35605764, ' 1': -1.3170829, ' two': -3.6458523, ' one': -5.909805, ' #': -6.5746865}
{' 2': -0.13729191, ' 1': -2.374034, ' two': -3.457209, ' #': -6.711122, ' one': -6.7401905}
{' #': -6.70564, ' 1': -2.3495307, ' 2': -0.13869633, ' one': -6.7468667, ' two': -3.492353}
{' 2': -0.1354029, ' 1': -2.3766024, ' two': -3.505373, ' #': -6.685261, ' one': -6.7252207}
{' 2': -0.21934487, ' 1': -1.8026025, ' two': -3.5846994, ' one': -6.3082194, ' #': -6.6616993}
{' 2': -0.13641907, ' 1': -2.3698728, ' two': -3.4925652, ' #': -6.72448, ' one': -6.7642136}
{' #': -6.7341743, ' 1': -2.1505623, ' 2': -0.16186137, ' one': -6.639267, ' two': -3.52849}
{' number': -6.7910705, ' #': -6.801348, ' 1': -3.4255805, ' 2': -0.07147779, ' two': -3.3920496}
{' number': -7.041959, ' #': -6.7763634, ' 1': -2.66635, ' 2': -0.108305454, ' two': -3.5024073}
{' number': -7.1157284, ' #': -6.8442745, ' 1': -3.041274, ' 2': -0.08468561, ' two': -3.476159}
{' number': -7.0785275, ' #': -6.9743223, ' 1': -3.2040656, ' 2': -0.07799536, ' two': -3.4391172}
{' number': -7.0661073, ' #': -6.9273515, ' 1': -3.6372437, ' 2': -0.06454738, ' two': -3.3836715}
{' number': -7.038066, ' #': -6.9286437, ' 1': -3.0264335, ' 2': -0.087464765, ' two': -3.418487}
{' 2': -0.07068068, ' two': -3.39418, ' 1': -3.4303224, ' #': -6.959127, ' number': -7.046056}
{' #': -6.7691, ' 1': -2.2419662, ' 2': -0.150015, ' one': -6.715454, ' two': -3.5195563}
{' #': -6.898892, ' 1': -2.5709789, ' 2': -0.118342325, ' one': -6.999495, ' two': -3.4327207}
{' #': -6.8088517, ' 1': -2.3157287, ' 2': -0.14419688, ' one': -6.7742434, ' two': -3.432237}
{' #': -6.8338118, ' 1': -2.431435, ' 2': -0.13117674, ' one': -6.87567, ' two': -3.4436004}
{' #': -6.865133, ' 1': -2.2423265, ' 2': -0.15124483, ' one': -6.7750554, ' two': -3.477878}
{' #': -6.820441, ' 1': -2.4654346, ' 2': -0.13223983, ' one': -6.7799735, ' two': -3.3344703}
{' #': -6.902682, ' 1': -2.0577474, ' 2': -0.17240568, ' one': -6.646637, ' two': -3.59713}
{' #': -6.8852315, ' 1': -2.477374, ' 2': -0.123278566, ' one': -6.971159, ' two': -3.5374894}
{' 2': -0.13126747, ' 1': -2.3951757, ' two': -3.5501268, ' #': -6.7756233, ' one': -6.952291}
{' number': -6.9424386, ' #': -6.854049, ' 1': -2.868039, ' 2': -0.09717468, ' two': -3.4115381}
{' number': -6.9267964, ' #': -6.7201676, ' 1': -2.6524274, ' 2': -0.109395824, ' two': -3.5059257}
{' number': -6.970548, ' #': -6.8035336, ' 1': -2.5482697, ' 2': -0.12120485, ' two': -3.415707}
{' #': -6.8298764, ' 1': -2.1346874, ' 2': -0.16250609, ' one': -6.7506404, ' two': -3.5605392}
{' #': -6.803345, ' 1': -2.1249745, ' 2': -0.1654027, ' one': -6.652757, ' two': -3.519992}
{' 2': -0.24953058, ' 1': -1.6551111, ' two': -3.653915, ' one': -6.354715, ' #': -6.7881126}
{' #': -6.7514796, ' 1': -1.3293229, ' 2': -0.34534845, ' one': -6.079971, ' two': -3.7793102}
{' 2': -0.25124666, ' 1': -1.6494418, ' two': -3.6506147, ' one': -6.288138, ' #': -6.7968173}
{' #': -6.8465476, ' 1': -1.7783523, ' 2': -0.22352745, ' one': -6.408561, ' two': -3.589145}
{' 2': -0.20678493, ' 1': -1.8615471, ' two': -3.5809894, ' one': -6.520242, ' #': -6.858924}
{' #': -6.877833, ' 1': -1.8923252, ' 2': -0.19981655, ' one': -6.6317735, ' two': -3.6133583}
{' 2': -0.28116402, ' 1': -1.5286615, ' two': -3.7309492, ' one': -6.1941338, ' #': -6.7488203}
{' #': -6.787897, ' 1': -1.8154145, ' 2': -0.21354108, ' one': -6.4902253, ' two': -3.656332}
{' #': -6.7731156, ' 1': -1.40754, ' 2': -0.3199278, ' one': -6.095638, ' two': -3.706074}
{' 2': -0.14307778, ' 1': -2.2928102, ' two': -3.5333805, ' one': -6.8069797, ' #': -6.865891}
{' #': -6.8118834, ' 1': -1.5848734, ' 2': -0.26673543, ' one': -6.3325825, ' two': -3.6818542}
{' #': -6.762906, ' 1': -2.0715508, ' 2': -0.16893436, ' one': -6.651086, ' two': -3.6522412}
{' #': -6.7692704, ' 1': -1.4601657, ' 2': -0.30179095, ' one': -6.1857605, ' two': -3.7274387}
{' #': -6.7946887, ' 1': -1.8423615, ' 2': -0.20982155, ' one': -6.4642134, ' two': -3.6073987}
{' #': -6.8020997, ' 1': -1.6791726, ' 2': -0.24329565, ' one': -6.4376597, ' two': -3.6619623}
{' number': -7.0359244, ' #': -6.894426, ' 1': -3.2736409, ' 2': -0.07173333, ' two': -3.5428805}
{' #': -6.9285827, ' 1': -2.0703428, ' 2': -0.1679858, ' one': -6.805267, ' two': -3.6673524}
{' number': -7.1084557, ' #': -6.9596334, ' 1': -3.0233788, ' 2': -0.09066056, ' two': -3.3352568}
{' number': -7.274453, ' #': -7.1711345, ' 1': -3.476133, ' 2': -0.06710807, ' two': -3.4392848}
{' number': -7.2033205, ' #': -7.1485343, ' 1': -3.6380033, ' 2': -0.063578986, ' two': -3.399934}
{' number': -7.214046, ' #': -7.1227093, ' 1': -3.305318, ' 2': -0.07210661, ' two': -3.477876}
{' number': -7.216783, ' #': -7.167802, ' 1': -4.0016565, ' 2': -0.05383809, ' two': -3.4315252}
{' #': -7.0113764, ' 1': -2.6123586, ' 2': -0.11396075, ' one': -7.0386076, ' two': -3.4526906}
{' #': -7.018925, ' 1': -2.6106842, ' 2': -0.11467255, ' one': -7.0498786, ' two': -3.435519}
{' #': -6.8574214, ' 1': -2.1339142, ' 2': -0.17017494, ' one': -6.5894804, ' two': -3.3620427}
{' #': -6.846984, ' 1': -2.1842682, ' 2': -0.16088603, ' one': -6.6672688, ' two': -3.4198065}
{' #': -7.010173, ' 1': -2.5175948, ' 2': -0.12371604, ' one': -6.932895, ' two': -3.4153857}
{' #': -6.9822373, ' 1': -2.5798168, ' 2': -0.121759444, ' one': -6.88239, ' two': -3.326271}
{' 2': -0.20452504, ' 1': -1.875162, ' two': -3.5733278, ' one': -6.429458, ' #': -6.9370475}
{' #': -7.003311, ' 1': -2.6044972, ' 2': -0.11533858, ' one': -7.02873, ' two': -3.4336195}
{' number': -6.915388, ' #': -6.896335, ' 1': -2.472797, ' 2': -0.1261766, ' two': -3.469757}
{' number': -6.944719, ' #': -6.9586396, ' 1': -3.0514362, ' 2': -0.086743206, ' two': -3.4045663}
{' number': -7.015157, ' #': -6.8681803, ' 1': -2.4877658, ' 2': -0.12454741, ' two': -3.470132}
{' number': -6.995619, ' #': -6.8864217, ' 1': -2.6760356, ' 2': -0.11434064, ' two': -3.315049}
{' #': -6.8325257, ' 1': -2.0803504, ' 2': -0.17476813, ' one': -6.6256166, ' two': -3.4432385}
