{'\n': -2.2317417, ' 4': -2.1409109, ' 5': -2.2281368, ' 6': -2.2501428, ' 8': -1.6070192}
{' 8': -1.6162318, ' 4': -2.1325846, ' 6': -2.2380562, ' 5': -2.2396972, '\n': -2.304819}
{' 8': -1.631105, '\n': -2.132693, ' 4': -2.1467512, ' 5': -2.253059, ' 6': -2.259993}
{'\n': -2.253433, ' 4': -2.138522, ' 5': -2.2362468, ' 6': -2.2283752, ' 8': -1.6252315}
{'\n': -2.0869215, ' 4': -2.1761024, ' 5': -2.26868, ' 6': -2.26623, ' 8': -1.6553817}
{'\n': -2.32629, ' 4': -2.149904, ' 5': -2.2356393, ' 6': -2.2248056, ' 8': -1.6258962}
{' 8': -1.6534148, '\n': -2.1057224, ' 4': -2.1745625, ' 5': -2.260231, ' 6': -2.2617865}
{'\n': -2.247005, ' 4': -2.1542468, ' 5': -2.2398915, ' 6': -2.2237248, ' 8': -1.6439518}
{'\n': -2.2108326, ' 4': -2.1589448, ' 5': -2.2468872, ' 6': -2.2333488, ' 8': -1.6547993}
{' 8': -1.643829, ' 4': -2.1536307, ' 6': -2.2262425, ' 5': -2.2421176, '\n': -2.2595067}
{' 8': -1.6535373, '\n': -2.1012309, ' 4': -2.1656983, ' 6': -2.25322, ' 5': -2.2553916}
{' 8': -1.6544511, ' 4': -2.1622188, '\n': -2.1697645, ' 6': -2.2293155, ' 5': -2.2480488}
{' 8': -1.6451839, ' 4': -2.170405, ' 6': -2.1969469, ' 5': -2.2252126, '\n': -2.4518228}
{' 4': -2.1560042, ' 5': -2.2196827, ' 6': -2.1786988, ' 7': -2.4422905, ' 8': -1.6416084}
{'\n': -2.2720122, ' 4': -2.1609578, ' 5': -2.2343402, ' 6': -2.2090821, ' 8': -1.6617618}
{' 4': -2.1372666, ' 5': -2.2141786, ' 6': -2.176045, ' 7': -2.4391725, ' 8': -1.6528621}
{' 4': -2.1137822, ' 5': -2.2040892, ' 6': -2.197055, ' 7': -2.438701, ' 8': -1.6251708}
{' 8': -1.6024175, ' 4': -2.13267, '\n': -2.2062774, ' 5': -2.2424493, ' 6': -2.2682195}
{' 8': -1.5785894, ' 4': -2.103382, ' 5': -2.2138367, ' 6': -2.2527895, '\n': -2.2863827}
{' 8': -1.6132169, ' 4': -2.1353602, '\n': -2.1385827, ' 5': -2.2345405, ' 6': -2.269036}
{' 8': -1.5918813, ' 4': -2.119124, '\n': -2.1781344, ' 5': -2.237574, ' 6': -2.2718349}
{'\n': -2.1575732, ' 4': -2.141889, ' 5': -2.2421763, ' 6': -2.2624364, ' 8': -1.6082613}
{' 8': -1.6190416, '\n': -2.0973005, ' 4': -2.1428757, ' 5': -2.2526016, ' 6': -2.2790139}
{'\n': -2.1797354, ' 4': -2.1491656, ' 5': -2.2410626, ' 6': -2.2586036, ' 8': -1.622437}
{' 8': -1.6323673, ' 4': -2.1481628, '\n': -2.1958141, ' 5': -2.232237, ' 6': -2.2537804}
{' 8': -1.6575365, '\n': -1.9900609, ' 4': -2.194813, ' 5': -2.2809985, ' 6': -2.2855341}
{' 8': -1.6352987, '\n': -2.1426203, ' 4': -2.1553946, ' 5': -2.2408266, ' 6': -2.2560427}
{' 8': -1.647287, '\n': -2.0910985, ' 4': -2.1666791, ' 5': -2.2477968, ' 6': -2.2591646}
{'\n': -2.1973882, ' 4': -2.15441, ' 5': -2.2433572, ' 6': -2.252768, ' 8': -1.6271738}
{' 8': -1.652537, '\n': -2.1173913, ' 4': -2.1907945, ' 6': -2.2583482, ' 5': -2.261111}
{' 8': -1.6657404, '\n': -2.102648, ' 4': -2.1824973, ' 6': -2.2407153, ' 5': -2.2498507}
{'\n': -2.0757184, ' 4': -2.1857476, ' 5': -2.2551856, ' 6': -2.2549071, ' 8': -1.6735843}
{' 8': -1.6142938, ' 4': -2.1027315, ' 6': -2.146981, ' 5': -2.1703832, ' 7': -2.4299324}
{' 8': -1.5980682, ' 4': -2.1033077, ' 5': -2.1941662, ' 6': -2.1949062, ' 7': -2.4275115}
{' 8': -1.6103942, ' 4': -2.1309288, ' 5': -2.207154, ' 6': -2.2252223, '\n': -2.2861078}
{'\n': -2.2183132, ' 4': -2.1378183, ' 5': -2.215866, ' 6': -2.22688, ' 8': -1.6282797}
{' 8': -1.6226171, ' 4': -2.1305375, ' 6': -2.1774018, ' 5': -2.19727, ' 7': -2.4376311}
{' 8': -1.6160413, ' 4': -2.1274283, ' 6': -2.1603155, ' 5': -2.193122, ' 7': -2.4355679}
{' 4': -2.1411543, ' 5': -2.1984844, ' 6': -2.1764584, ' 7': -2.4419947, ' 8': -1.6293144}
{' 8': -1.6429684, ' 4': -2.1444247, ' 6': -2.176244, ' 5': -2.206134, '\n': -2.3827453}
{' 4': -2.1162531, ' 5': -2.175685, ' 6': -2.135152, ' 7': -2.4379923, ' 8': -1.6260118}
{' 4': -2.1208727, ' 5': -2.1983588, ' 6': -2.1741354, ' 7': -2.4422915, ' 8': -1.6222421}
{' 4': -2.1274784, ' 5': -2.1913533, ' 6': -2.1476028, ' 7': -2.4438636, ' 8': -1.6235168}
{' 8': -1.6437746, ' 4': -2.1434941, ' 6': -2.1595438, ' 5': -2.2046304, '\n': -2.3793073}
{' 8': -1.6461772, ' 6': -2.1225042, ' 4': -2.1451223, ' 5': -2.1874654, ' 7': -2.4606066}
{' 8': -1.6402714, ' 6': -2.1388896, ' 4': -2.1402361, ' 5': -2.193024, ' 7': -2.456137}
{' 8': -1.6414037, ' 6': -2.1221557, ' 4': -2.1383224, ' 5': -2.19412, ' 7': -2.4615407}
{' 4': -2.1176834, ' 5': -2.19971, ' 6': -2.1364076, ' 7': -2.456707, ' 8': -1.6389855}
