{' b': -9.33841, ' A': -1.2189229, ' B': -0.3510315, ' "': -8.545751, " '": -9.839435}
{' b': -9.187011, ' A': -6.483566, 'B': -10.551855, ' B': -0.0018323312, ' "': -9.129464}
{' B': -0.001458113, ' A': -6.7286663, ' "': -9.305973, ' b': -9.348293, 'B': -10.606099}
{' b': -9.213283, ' A': -6.22184, 'B': -10.601292, ' B': -0.002292953, ' "': -9.083403}
{' B': -0.0065803626, ' A': -5.070326, ' "': -9.181034, ' b': -9.302562, 'B': -10.610265}
{' b': -9.483113, ' A': -3.3670487, 'B': -10.513847, ' B': -0.03539932, ' "': -9.075637}
{' B': -0.004932246, ' A': -5.379867, ' "': -9.109643, ' b': -9.149438, 'B': -10.490144}
{' b': -9.560043, ' A': -1.711422, ' B': -0.19957738, ' "': -9.070037, " '": -10.403923}
{' b': -9.437503, ' A': -3.4327984, ' B': -0.0330967, ' "': -9.319954, " '": -10.520042}
{' b': -9.320976, ' A': -2.5138545, ' B': -0.084764235, ' "': -9.077327, " '": -10.378101}
{' b': -9.509081, ' A': -2.938053, ' B': -0.05470657, ' "': -9.232245, " '": -10.405812}
{' b': -9.457032, ' A': -2.851145, ' B': -0.0598054, ' "': -9.199813, " '": -10.41745}
{' b': -9.415776, ' A': -2.1799912, ' B': -0.120335095, ' "': -8.931477, " '": -10.210639}
{' b': -9.456915, ' A': -4.7371497, ' B': -0.009034754, ' "': -9.481957, " '": -10.585007}
{' b': -9.328445, ' A': -3.472765, ' B': -0.03180928, ' "': -9.256216, " '": -10.415965}
{' b': -9.46351, ' A': -3.861803, ' B': -0.021507205, ' "': -9.385262, " '": -10.437714}
{' b': -9.412121, ' A': -3.081445, ' B': -0.04727122, ' "': -9.1810465, " '": -10.455211}
{' b': -9.336103, ' A': -4.2177763, ' B': -0.015096343, ' "': -9.390072, " '": -10.572034}
{' b': -9.441604, ' A': -4.1205077, ' B': -0.016627971, ' "': -9.309449, " '": -10.393498}
{' B': -0.06333885, ' A': -2.7955241, ' "': -9.10411, ' b': -9.447382, " '": -10.367094}
{' b': -9.51103, ' A': -3.0155337, ' B': -0.050537325, ' "': -9.249395, " '": -10.466682}
{' b': -9.613308, ' A': -1.9610623, ' B': -0.15199366, ' "': -9.059388, " '": -10.389185}
{' b': -9.450733, ' A': -4.5008755, ' B': -0.011411948, ' "': -9.354174, " '": -10.394497}
{' b': -9.521367, ' A': -6.3090115, ' B': -0.0020448172, ' "': -9.446294, " '": -10.5365925}
{' b': -9.427627, ' A': -4.8120904, ' B': -0.008421699, ' "': -9.26234, " '": -10.388506}
{' b': -9.476787, ' A': -4.6958647, ' B': -0.009421563, ' "': -9.32681, " '": -10.468866}
{' b': -9.476918, ' A': -5.3535357, ' B': -0.0049774717, ' "': -9.376631, " '": -10.514317}
{' b': -9.447157, ' A': -6.1077433, ' B': -0.0024508622, ' "': -9.504921, " '": -10.588169}
{' b': -9.5100355, ' A': -6.4808803, ' B': -0.0017544666, ' "': -9.456416, " '": -10.532286}
{' B': -0.009903874, ' A': -4.64391, ' "': -9.375205, ' b': -9.482762, " '": -10.544934}
{' b': -9.563945, ' A': -4.9018607, ' B': -0.00768085, ' "': -9.485681, " '": -10.572229}
{' B': -0.02076991, ' A': -3.896056, ' "': -9.338669, ' b': -9.62175, " '": -10.435243}
{' B': -0.009378964, ' A': -4.703524, ' "': -9.221339, ' b': -9.355441, " '": -10.374783}
{' b': -9.51094, ' A': -6.5034614, ' B': -0.001705207, ' "': -9.60443, " '": -10.724364}
{' b': -9.417407, ' A': -5.5768585, ' B': -0.0040553384, ' "': -9.23706, " '": -10.329314}
{' b': -9.452099, ' A': -6.578001, ' B': -0.0016068139, ' "': -9.570011, " '": -10.720238}
{' b': -9.476472, ' A': -5.370339, ' B': -0.004888942, ' "': -9.454122, " '": -10.629862}
{' b': -9.565208, ' A': -6.3082952, ' B': -0.0020484, ' "': -9.434659, " '": -10.519936}
{' B': -0.0016266955, ' A': -6.587098, ' "': -9.281178, ' b': -9.471076, " '": -10.430073}
{' b': -9.434807, ' A': -5.897171, ' B': -0.0029832697, ' "': -9.418984, " '": -10.634443}
{' b': -9.5061245, ' A': -4.8437986, ' B': -0.008151305, ' "': -9.303334, " '": -10.448726}
{' b': -9.553426, ' A': -3.1808403, ' B': -0.042737063, ' "': -8.997818, " '": -10.413511}
{' b': -9.3196535, ' A': -5.102039, ' B': -0.006379687, ' "': -9.223141, " '": -10.378856}
{' B': -0.10601367, ' A': -2.2995408, ' "': -9.014071, ' b': -9.634591, 'B': -10.603746}
{' b': -9.499634, ' A': -4.169185, 'B': -10.757445, ' B': -0.015823117, ' "': -9.304041}
{' b': -9.440329, ' A': -3.0967164, 'B': -10.697505, ' B': -0.046537984, ' "': -9.092459}
{' B': -0.021050494, ' A': -3.8841674, ' "': -9.10612, ' b': -9.419337, 'B': -10.786564}
{' b': -9.377928, ' A': -3.7249234, 'B': -10.782505, ' B': -0.02469234, ' "': -9.045827}
{' b': -9.523941, ' A': -2.8729677, 'B': -10.674198, ' B': -0.058490083, ' "': -9.005516}
{' b': -9.505529, ' A': -5.3438883, 'B': -10.88378, ' B': -0.0049980795, ' "': -9.482486}
{' b': -9.350027, ' A': -4.108078, 'B': -10.705956, ' B': -0.016842471, ' "': -9.19891}
{' b': -9.419532, ' A': -4.7478795, 'B': -10.795916, ' B': -0.00894075, ' "': -9.363056}
{' b': -9.556696, ' A': -3.704783, 'B': -10.762309, ' B': -0.025162566, ' "': -9.203497}
{' b': -9.374436, ' A': -4.770104, 'B': -10.788882, ' B': -0.008748023, ' "': -9.388684}
{' b': -9.404127, ' A': -5.0027256, 'B': -10.85915, ' B': -0.0069794897, ' "': -9.311483}
{' B': -0.033034723, ' A': -3.4341843, ' "': -9.201955, ' b': -9.586065, 'B': -10.724227}
{' b': -9.599906, ' A': -3.6670601, 'B': -10.811564, ' B': -0.026115196, ' "': -9.309271}
{' B': -0.059172254, ' A': -2.8613493, ' "': -9.07069, ' b': -9.598429, 'B': -10.738924}
{' b': -9.39254, ' A': -5.322012, 'B': -10.800444, ' B': -0.005132811, ' "': -9.303089}
{' b': -9.595158, ' A': -6.8984284, 'B': -10.979502, ' B': -0.0012083926, ' "': -9.475335}
{' b': -9.403243, ' A': -5.331303, 'B': -10.927668, ' B': -0.0050916523, ' "': -9.248718}
{' b': -9.4120455, ' A': -5.8491755, 'B': -10.936883, ' B': -0.0031256224, ' "': -9.256086}
{' B': -0.0029542749, ' A': -5.9020743, ' "': -9.362928, ' b': -9.516571, 'B': -10.947163}
{' b': -9.457162, ' A': -6.6449575, 'B': -10.945305, ' B': -0.0015040768, ' "': -9.546828}
{' b': -9.508883, ' A': -6.8494277, 'B': -11.009093, ' B': -0.0012781577, ' "': -9.350937}
{' b': -9.35493, ' A': -5.2869334, 'B': -10.918498, ' B': -0.0053171166, ' "': -9.229406}
{' b': -9.478878, ' A': -5.797571, 'B': -10.893765, ' B': -0.0032578914, ' "': -9.385842}
{' B': -0.007691361, ' A': -4.9024606, ' "': -9.237863, ' b': -9.495294, 'B': -10.86502}
{' b': -9.415873, ' A': -5.1454096, 'B': -10.799995, ' B': -0.00608556, ' "': -9.256534}
{' b': -9.613716, ' A': -7.009283, 'B': -11.000258, ' B': -0.001095013, ' "': -9.52731}
{' b': -9.376736, ' A': -5.9594407, 'B': -10.893249, ' B': -0.0028369315, ' "': -9.184252}
{' b': -9.346944, ' A': -6.9457703, 'B': -11.015259, ' B': -0.0012034994, ' "': -9.274022}
{' B': -0.0024220042, ' A': -6.1252866, ' "': -9.2835245, ' b': -9.416829, 'B': -10.973083}
{' b': -9.447998, ' A': -6.5546327, 'B': -10.942599, ' B': -0.0016530846, ' "': -9.316216}
{' B': -0.0011617839, ' A': -6.9553947, ' "': -9.400254, ' b': -9.594021, 'B': -10.944658}
{' b': -9.350718, ' A': -6.399409, 'B': -10.961097, ' B': -0.001914083, ' "': -9.185054}
{' b': -9.539425, ' A': -5.391092, 'B': -10.943382, ' B': -0.0047888565, ' "': -9.294677}
{' b': -9.768734, ' A': -3.8015099, 'B': -10.777247, ' B': -0.02282534, ' "': -9.146224}
{' b': -9.39372, ' A': -5.3150415, 'B': -10.754775, ' B': -0.005173971, ' "': -9.272644}
{' b': -9.727228, ' A': -2.012161, ' B': -0.14397405, ' "': -8.59866, " '": -10.100824}
{' b': -9.66862, ' A': -3.452326, ' B': -0.032520942, ' "': -8.79939, " '": -10.241516}
{' b': -9.6917715, ' A': -2.3819509, ' B': -0.09735153, ' "': -8.557251, " '": -10.139779}
{' b': -9.695875, ' A': -2.8269622, ' B': -0.061427154, ' "': -8.569471, " '": -10.069508}
{' B': -0.05491466, ' A': -2.9362907, ' "': -8.598675, ' b': -9.694383, " '": -10.050497}
{' B': -0.09269753, ' A': -2.4286408, ' "': -8.611349, ' b': -9.716291, " '": -10.058203}
{' b': -9.710454, ' A': -4.395164, ' B': -0.012731218, ' "': -8.833369, " '": -10.226333}
{' b': -9.599976, ' A': -3.4735692, ' B': -0.03186749, ' "': -8.6846, " '": -10.11281}
{' b': -9.671974, ' A': -3.971395, ' B': -0.01934982, ' "': -8.828034, " '": -10.246933}
{' B': -0.04490417, ' A': -3.1329837, ' "': -8.79709, ' b': -9.740307, " '": -10.264386}
{' b': -9.665452, ' A': -4.106589, ' B': -0.01688248, ' "': -9.0201645, " '": -10.434315}
{' b': -9.548146, ' A': -4.188369, ' B': -0.01564133, ' "': -8.717781, " '": -10.142963}
{' b': -9.793114, ' A': -2.703944, ' B': -0.069662735, ' "': -8.67286, " '": -10.168007}
{' b': -9.724792, ' A': -3.1241436, ' B': -0.045330115, ' "': -8.699974, " '": -10.1511755}
{' b': -9.865569, ' A': -2.1801937, ' B': -0.12036025, ' "': -8.582057, " '": -10.080594}
{' B': -0.011104402, ' A': -4.535627, ' "': -8.799705, ' b': -9.608517, " '": -10.178422}
{' B': -0.0027871416, ' A': -5.9873257, ' "': -8.974805, ' b': -9.827681, " '": -10.275593}
{' B': -0.009609429, ' A': -4.687525, ' "': -8.674077, ' b': -9.549565, " '": -10.107373}
{' b': -9.6706295, ' A': -4.746132, ' B': -0.009035114, ' "': -8.83364, " '": -10.277432}
{' b': -9.7333765, ' A': -5.0370297, ' B': -0.006825005, ' "': -8.811507, " '": -10.179068}
{' b': -9.616597, ' A': -5.787759, ' B': -0.0033563876, ' "': -8.973502, " '": -10.350294}
{' b': -9.761783, ' A': -6.0436397, ' B': -0.0026640792, ' "': -8.914562, " '": -10.220282}
{' b': -9.6855955, ' A': -4.359066, ' B': -0.013181669, ' "': -8.834375, " '": -10.345427}
{' b': -9.565451, ' A': -4.886759, ' B': -0.007898592, ' "': -8.811129, " '": -10.216888}
{' b': -9.781364, ' A': -4.0347185, ' B': -0.018159391, ' "': -8.803152, " '": -10.216882}
{' b': -9.657387, ' A': -4.5326853, ' B': -0.011126218, ' "': -8.819647, " '": -10.268625}
{' b': -9.717401, ' A': -5.839686, ' B': -0.0032163328, ' "': -8.860293, " '": -10.253291}
{' b': -9.5437, ' A': -5.359387, ' B': -0.0050853016, ' "': -8.623482, " '": -10.034695}
{' b': -9.684817, ' A': -5.7841635, ' B': -0.0033891024, ' "': -8.83459, " '": -10.24177}
{' B': -0.0060583344, ' A': -5.1583657, ' "': -8.878837, ' b': -9.811563, " '": -10.214635}
{' b': -9.661481, ' A': -5.7886186, ' B': -0.003385035, ' "': -8.795098, " '": -10.254501}
{' b': -9.845867, ' A': -5.8746977, ' B': -0.0031235903, ' "': -8.802948, " '": -10.037846}
{' b': -9.667161, ' A': -5.233981, ' B': -0.0056771957, ' "': -8.734752, " '": -10.20511}
{' B': -0.010069792, ' A': -4.6361723, ' "': -8.762225, ' b': -9.646272, " '": -10.256103}
{' b': -9.899136, ' A': -3.3307855, ' B': -0.036752623, ' "': -8.700265, " '": -10.289928}
{' B': -0.009139891, ' A': -4.7331657, ' "': -8.88225, ' b': -9.705068, " '": -10.258196}
{' b': -10.005593, ' A': -2.1562347, ' B': -0.12348173, ' (': -9.419468, ' "': -8.855304}
{' b': -9.793298, ' A': -3.5035145, ' B': -0.0309539, ' (': -9.498556, ' "': -8.855865}
{' b': -9.815535, ' A': -2.8415728, ' B': -0.060544014, ' (': -9.363923, ' "': -8.8117075}
{' B': -0.046170637, ' A': -3.107871, ' "': -8.75697, ' (': -9.399245, ' b': -9.752936}
{' B': -0.051101305, ' A': -3.0080867, ' "': -8.682689, ' (': -9.492562, ' b': -9.7797575}
{' b': -9.969064, ' A': -2.752098, ' B': -0.06632421, ' (': -9.649559, ' "': -8.845254}
{' b': -9.809058, ' A': -4.292733, ' B': -0.014105966, ' (': -9.631419, ' "': -9.03007}
{' b': -9.738108, ' A': -3.5005796, ' B': -0.031055162, ' (': -9.557573, ' "': -8.818227}
{' b': -9.801021, ' A': -3.9201972, ' B': -0.02038477, ' (': -9.652685, ' "': -9.046833}
{' b': -9.812069, ' A': -3.3962617, ' B': -0.03448148, ' (': -9.542911, ' "': -8.811114}
{' b': -9.848979, ' A': -3.9058793, ' B': -0.020663906, ' (': -9.717595, ' "': -9.060721}
{' B': -0.01864964, ' A': -4.010925, ' "': -8.942121, ' (': -9.597022, ' b': -9.7912245}
{' b': -9.905385, ' A': -3.047687, ' B': -0.04902613, ' (': -9.515222, ' "': -8.911597}
{' b': -9.875023, ' A': -3.3371837, ' B': -0.03656113, ' (': -9.591016, ' "': -8.93341}
{' b': -9.895897, ' A': -2.6855073, ' B': -0.07108383, ' (': -9.355337, ' "': -8.710243}
{' b': -9.778917, ' A': -4.375951, ' B': -0.013028152, ' (': -9.69088, ' "': -8.876003}
{' b': -9.868534, ' A': -5.4792843, ' B': -0.004493996, ' (': -9.8005905, ' "': -9.096436}
{' b': -9.766186, ' A': -4.7087574, ' B': -0.009416751, ' (': -9.667833, ' "': -8.92783}
{' B': -0.009029461, ' A': -4.7497654, ' "': -9.037356, ' (': -9.680524, ' b': -9.817062}
{' b': -9.790985, ' A': -5.1333957, ' B': -0.0062672803, ' (': -9.745203, ' "': -8.923472}
{' b': -9.841103, ' A': -5.3375816, ' B': -0.005119931, ' (': -9.807515, ' "': -9.194335}
{' b': -9.856634, ' A': -5.372304, ' B': -0.0049775913, ' (': -9.835134, ' "': -9.019931}
{' b': -9.826985, ' A': -4.3314514, ' B': -0.013570814, ' (': -9.788715, ' "': -8.994143}
{' b': -9.885606, ' A': -4.6878853, ' B': -0.00959035, ' (': -9.767663, ' "': -8.96117}
{' b': -9.884546, ' A': -4.185025, ' B': -0.015688859, ' (': -9.800172, ' "': -8.911882}
{' b': -9.810774, ' A': -4.5040007, ' B': -0.011475857, ' (': -9.741579, ' "': -8.966908}
{' B': -0.0035560974, ' A': -5.7281976, ' "': -9.184711, ' (': -9.799646, ' b': -9.843732}
{' b': -9.671101, ' A': -5.47573, ' B': -0.0045656664, ' (': -9.590784, ' "': -8.9198675}
{' b': -9.778465, ' A': -5.768749, ' B': -0.0034431077, ' (': -9.768679, ' "': -9.123032}
{' b': -9.6865635, ' A': -5.0018682, ' B': -0.007136758, ' (': -9.649576, ' "': -8.79164}
{' b': -9.83274, ' A': -5.720703, ' B': -0.0036278216, ' (': -9.664603, ' "': -8.963877}
{' B': -0.0041109384, ' A': -5.5837994, ' "': -8.947584, ' (': -9.724316, ' b': -9.818613}
{' B': -0.0042221467, ' A': -5.5505376, ' "': -9.047606, ' (': -9.732105, ' b': -9.768948}
{' B': -0.009890208, ' A': -4.6557393, ' "': -8.975494, ' (': -9.747438, ' b': -9.871953}
{' b': -10.057932, ' A': -3.3885708, ' B': -0.034736812, ' (': -9.665419, ' "': -8.72708}
{' B': -0.0130215725, ' A': -4.3745327, ' "': -8.987229, ' (': -9.710723, ' b': -9.87574}
{' b': -10.066522, ' A': -2.2297556, ' B': -0.11410564, ' "': -9.160797, " '": -10.341352}
{' b': -10.027091, ' A': -3.6514478, ' B': -0.026533764, ' "': -9.386146, " '": -10.449288}
{' b': -10.045297, ' A': -2.5880966, ' B': -0.07843964, ' "': -9.132194, " '": -10.35129}
{' B': -0.04133309, ' A': -3.2130554, ' "': -9.223587, ' b': -10.011195, " '": -10.343332}
{' B': -0.046224378, ' A': -3.1030974, ' "': -9.14944, ' b': -10.032492, " '": -10.325307}
{' b': -10.014365, ' A': -2.9112358, ' B': -0.05622703, ' "': -9.157705, " '": -10.290572}
{' b': -9.937231, ' A': -4.921444, ' B': -0.007543853, ' "': -9.438357, " '": -10.425856}
{' b': -9.975756, ' A': -3.6521287, 'B': -10.517934, ' B': -0.026499428, ' "': -9.523497}
{' B': -0.018026838, ' A': -4.0372124, ' "': -9.483468, ' b': -10.004364, " '": -10.504092}
{' b': -10.0563965, ' A': -3.3517215, ' B': -0.035889696, ' "': -9.389214, " '": -10.471174}
{' b': -10.049524, ' A': -4.258984, 'B': -10.580043, ' B': -0.014442798, ' "': -9.525901}
{' b': -9.8981, ' A': -4.2503605, ' B': -0.014593261, ' "': -9.405318, " '": -10.418028}
{' b': -10.144005, ' A': -2.8332703, ' B': -0.060885772, ' "': -9.254285, " '": -10.408998}
{' B': -0.04921263, ' A': -3.0407286, ' "': -9.451415, ' b': -10.052634, 'B': -10.546094}
{' b': -10.001154, ' A': -2.204388, ' B': -0.11723361, ' "': -8.979074, " '": -10.224522}
{' B': -0.007232993, ' A': -4.9616966, ' "': -9.522253, ' b': -9.967852, " '": -10.574658}
{' B': -0.0026727458, ' A': -6.0078244, ' "': -9.460865, ' b': -9.99685, " '": -10.471758}
{' b': -9.970006, ' A': -5.106408, ' B': -0.0062934924, ' "': -9.413006, " '": -10.471219}
{' b': -10.041374, ' A': -4.990724, ' B': -0.0070320107, ' "': -9.476888, " '": -10.551853}
{' B': -0.0055129617, ' A': -5.240351, ' "': -9.497997, ' b': -10.077107, " '": -10.49542}
{' b': -10.094988, ' A': -6.1507683, ' B': -0.002311713, ' "': -9.701798, " '": -10.700533}
{' b': -10.002804, ' A': -6.229468, ' B': -0.0021831545, ' "': -9.413204, " '": -10.430191}
{' B': -0.015652169, ' A': -4.1785607, ' "': -9.429454, ' b': -10.113231, " '": -10.54821}
{' b': -10.090497, ' A': -4.9090786, ' B': -0.007606312, ' "': -9.53549, " '": -10.5713415}
{' b': -10.171768, ' A': -3.7810366, ' B': -0.023287127, ' "': -9.365321, " '": -10.447406}
{' b': -10.108838, ' A': -4.618599, ' B': -0.010135782, ' "': -9.386907, " '": -10.482533}
{' b': -10.030832, ' A': -6.058126, ' B': -0.0025404345, ' "': -9.535533, " '": -10.560497}
{' b': -9.867903, ' A': -5.794525, ' B': -0.0032810948, ' "': -9.339572, " '": -10.401163}
{' b': -10.006334, ' A': -6.3061895, ' B': -0.0020213425, ' "': -9.584189, " '": -10.605287}
{' B': -0.0044504073, ' A': -5.4695134, ' "': -9.322853, ' b': -9.915826, " '": -10.451049}
{' b': -10.108169, ' A': -6.0702357, ' B': -0.0025286612, ' "': -9.415841, " '": -10.400975}
{' B': -0.0034056092, ' A': -5.749856, ' "': -9.393202, ' b': -10.04226, " '": -10.376404}
{' b': -9.960247, ' A': -5.7124805, ' B': -0.003530796, ' "': -9.399993, " '": -10.464815}
{' b': -10.141242, ' A': -4.7743845, ' B': -0.008689158, ' "': -9.413594, " '": -10.505982}
{' b': -10.361275, ' A': -3.1511786, ' B': -0.04399731, ' "': -9.1577215, " '": -10.452245}
{' b': -10.059105, ' A': -5.0311303, 'B': -10.583923, ' B': -0.0067603136, ' "': -9.492172}
{' b': -9.760392, ' A': -1.6762772, 'B': -10.345773, ' B': -0.20745471, ' "': -9.255688}
{' B': -0.027924255, ' A': -3.5995069, ' b': -9.638669, ' "': -9.748502, 'B': -10.4727955}
{' b': -9.512396, ' A': -2.7196183, 'B': -10.459256, ' B': -0.06843824, ' "': -9.429382}
{' b': -9.591804, ' A': -2.9750645, 'B': -10.411485, ' B': -0.05265365, ' "': -9.36292}
{' b': -9.544891, ' A': -3.2042947, 'B': -10.500895, ' B': -0.04167972, ' "': -9.409187}
{' b': -9.598298, ' A': -2.47858, 'B': -10.399343, ' B': -0.08786336, ' "': -9.382931}
{' b': -9.421312, ' A': -5.388505, 'B': -10.622697, ' B': -0.0047771772, ' "': -9.850063}
{' b': -9.383205, ' A': -3.800527, 'B': -10.45225, ' B': -0.022862965, ' "': -9.456174}
{' b': -9.43267, ' A': -4.446608, 'B': -10.491387, ' B': -0.012007299, ' "': -9.650354}
{' b': -9.564498, ' A': -3.2841125, 'B': -10.477932, ' B': -0.038425274, ' "': -9.547976}
{' b': -9.568954, ' A': -4.2954297, 'B': -10.502103, ' B': -0.013920701, ' "': -9.807377}
{' b': -9.408531, ' A': -4.757908, 'B': -10.552397, ' B': -0.008848559, ' "': -9.53089}
{' B': -0.043750316, ' A': -3.1557457, ' "': -9.7172165, ' b': -9.741704, 'B': -10.447155}
{' B': -0.030940376, ' A': -3.4974928, ' b': -9.732748, ' "': -9.733079, 'B': -10.513604}
{' b': -9.737294, ' A': -2.3370125, 'B': -10.478417, ' B': -0.10187077, ' "': -9.384622}
{' b': -9.417187, ' A': -4.8315535, 'B': -10.477886, ' B': -0.008236942, ' "': -9.52175}
{' b': -9.528583, ' A': -6.609224, 'B': -10.678307, ' B': -0.0015444293, ' "': -9.663918}
{' b': -9.431721, ' A': -5.345602, 'B': -10.677064, ' B': -0.0049939468, ' "': -9.59193}
{' b': -9.476842, ' A': -5.4511547, 'B': -10.633791, ' B': -0.004507109, ' "': -9.660668}
{' b': -9.375692, ' A': -5.7097187, 'B': -10.640948, ' B': -0.0035365978, ' "': -9.606294}
{' b': -9.4105015, ' A': -6.6836157, 'B': -10.661875, ' B': -0.001443607, ' "': -9.862796}
{' b': -9.516971, ' A': -6.7634144, 'B': -10.748923, ' B': -0.0013412435, ' "': -9.775777}
{' B': -0.008322525, ' A': -4.8176084, ' b': -9.516885, ' "': -9.646793, 'B': -10.613567}
{' b': -9.589003, ' A': -5.5286818, 'B': -10.559183, ' B': -0.0041553476, ' "': -9.961703}
{' b': -9.596585, ' A': -4.7930746, 'B': -10.571908, ' B': -0.008523106, ' "': -9.612428}
{' b': -9.452928, ' A': -5.00565, 'B': -10.48491, ' B': -0.0069456375, ' "': -9.566192}
{' b': -9.594986, ' A': -6.8513927, 'B': -10.735935, ' B': -0.0012323225, ' "': -9.86308}
{' b': -9.32233, ' A': -6.3003807, 'B': -10.6373625, ' B': -0.002077424, ' "': -9.415799}
{' b': -9.5441, ' A': -6.9380965, 'B': -10.728773, ' B': -0.0011634555, ' "': -9.687013}
{' b': -9.528861, ' A': -6.0668645, 'B': -10.684634, ' B': -0.002533144, ' "': -9.501992}
{' B': -0.0015530264, ' A': -6.5938454, ' b': -9.669181, ' "': -9.736254, 'B': -10.632986}
{' b': -9.594802, ' A': -6.2637486, 'B': -10.57251, ' B': -0.002114161, ' "': -9.525093}
{' b': -9.458982, ' A': -6.553442, 'B': -10.688609, ' B': -0.0016311728, ' "': -9.613408}
{' b': -9.548727, ' A': -5.4994555, 'B': -10.662666, ' B': -0.004298467, ' "': -9.602398}
{' b': -9.903372, ' A': -3.2580733, 'B': -10.492911, ' B': -0.039434038, ' "': -9.463904}
{' B': -0.00862663, ' A': -4.7815166, ' b': -9.550735, ' "': -9.624744, 'B': -10.467324}
{' b': -10.067031, ' A': -2.0177543, ' B': -0.14298913, ' "': -9.073035, " '": -10.249476}
{' B': -0.026020676, ' A': -3.6705613, ' "': -9.339083, ' b': -10.066166, " '": -10.402971}
{' b': -9.990062, ' A': -2.4073343, ' B': -0.0946913, ' "': -9.013658, " '": -10.181068}
{' b': -9.97341, ' A': -3.224471, ' B': -0.040852644, ' "': -9.172759, " '": -10.2944975}
{' B': -0.045095883, ' A': -3.1269553, ' "': -9.198959, ' b': -10.054567, " '": -10.282311}
{' b': -10.060021, ' A': -2.520211, ' B': -0.08416242, ' "': -9.056307, " '": -10.13425}
{' b': -10.009469, ' A': -4.9600625, ' B': -0.007252266, ' "': -9.410828, " '": -10.3779}
{' b': -9.976564, ' A': -3.8206353, ' B': -0.022402532, ' "': -9.251519, " '": -10.209166}
{' b': -9.971616, ' A': -4.412338, ' B': -0.012414634, ' "': -9.440694, " '": -10.413123}
{' B': -0.032735985, ' A': -3.4427261, ' "': -9.277489, ' b': -10.09363, " '": -10.347168}
{' B': -0.011161119, ' A': -4.518468, ' "': -9.51394, ' b': -10.045949, " '": -10.583845}
{' b': -10.0197315, ' A': -4.7087746, ' B': -0.009287096, ' "': -9.295609, " '": -10.188297}
{' b': -10.157467, ' A': -2.8061414, ' B': -0.06259202, ' "': -9.25988, " '": -10.348876}
{' b': -10.026926, ' A': -3.643017, ' B': -0.026743544, ' "': -9.381989, " '": -10.405024}
{' B': -0.11362092, ' A': -2.2335875, ' "': -9.119094, ' b': -10.20573, " '": -10.226899}
{' b': -9.952234, ' A': -4.8812265, ' B': -0.007840212, ' "': -9.312803, " '": -10.345769}
{' B': -0.002082383, ' A': -6.2594194, ' "': -9.629413, ' b': -10.302194, " '": -10.468973}
{' B': -0.006713088, ' A': -5.042836, ' "': -9.218464, ' b': -10.014877, " '": -10.144791}
{' B': -0.0066291406, ' A': -5.0551195, ' "': -9.268993, ' b': -10.048028, " '": -10.14977}
{' b': -10.213992, ' A': -5.4059567, ' B': -0.0047020796, ' "': -9.408912, " '": -10.18489}
{' b': -10.131029, ' A': -6.1736183, ' B': -0.0022778378, ' "': -9.496031, " '": -10.395787}
{' b': -10.322288, ' A': -6.3850303, ' B': -0.001869055, ' "': -9.529321, " '": -10.258899}
{' b': -10.052727, ' A': -4.6491394, ' B': -0.009851804, ' "': -9.222948, " '": -10.223225}
{' b': -10.272299, ' A': -5.5673237, ' B': -0.004001837, ' "': -9.6343565, " '": -10.4332075}
{' b': -10.152027, ' A': -4.388336, ' B': -0.012716488, ' "': -9.319742, " '": -10.315834}
{' b': -10.048193, ' A': -4.947127, ' B': -0.0073479125, ' "': -9.321329, " '": -10.33258}
{' B': -0.001701566, ' A': -6.480242, ' "': -9.618848, ' b': -10.331764, " '": -10.467846}
{' b': -10.122471, ' A': -6.2555227, ' B': -0.0021374582, ' "': -9.321516, " '": -10.138494}
{' b': -10.338171, ' A': -6.715014, ' B': -0.0013777702, ' "': -9.643196, " '": -10.532979}
{' B': -0.003554661, ' A': -5.701085, ' "': -9.349717, " '": -10.20312, ' b': -10.210965}
{' B': -0.0015589362, ' A': -6.592427, ' "': -9.496423, " '": -10.296654, ' b': -10.303013}
{' B': -0.0014717197, ' A': -6.6521025, ' "': -9.526703, " '": -10.283348, ' b': -10.378615}
{' b': -10.214806, ' A': -6.2161613, ' B': -0.0021896057, ' "': -9.447107, " '": -10.393225}
{' b': -10.126517, ' A': -5.2593966, ' B': -0.005425702, ' "': -9.316373, " '": -10.3621435}
{' b': -10.324677, ' A': -3.5206215, ' B': -0.030246174, ' "': -9.2712345, " '": -10.410426}
{' b': -10.011129, ' A': -4.9215894, ' B': -0.00752884, ' "': -9.345001, " '": -10.430819}
{' B': -0.09108087, ' A': -2.4433107, ' "': -9.635181, ' b': -10.320253, 'B': -10.672273}
{' b': -10.067866, ' A': -4.6135488, 'B': -10.863223, ' B': -0.010128376, ' "': -9.830397}
{' b': -10.169566, ' A': -3.234647, 'B': -10.816343, ' B': -0.04034742, ' "': -9.740373}
{' b': -10.139734, ' A': -4.182546, 'B': -10.900547, ' B': -0.015535264, ' "': -9.820361}
{' b': -10.051579, ' A': -4.2000213, ' B': -0.015277711, ' "': -9.739806, " '": -10.809178}
{' b': -10.097642, ' A': -3.2011824, 'B': -10.792299, ' B': -0.041747082, ' "': -9.704881}
{' b': -10.073061, ' A': -5.846016, ' B': -0.0030462241, ' "': -9.9235735, " '": -10.864601}
