{' Yes': -0.0011409608, 'Yes': -6.832336, ' yes': -10.393673, ' ': -11.210345, ' Generally': -11.526474}
{' No': -4.1353045, ' Generally': -8.835272, 'No': -9.033841, ' Yes': -0.018321281, 'Yes': -6.408008}
{' No': -0.008090915, ' ': -9.195645, 'No': -5.111942, ' A': -9.837903, ' Yes': -6.2856345}
{' An': -9.793492, ' No': -0.0075792274, ' ': -9.494119, 'No': -4.9109893, ' Yes': -10.562087}
{' ': -11.068243, ' Generally': -7.498207, ' Yes': -0.001962811, ' yes': -9.326803, 'Yes': -6.66506}
{' Yes': -0.001913485, 'Yes': -6.3512535, ' yes': -9.2661705, ' ': -10.038698, ' No': -10.929228}
{' Yes': -0.001589799, 'Yes': -6.515765, ' yes': -9.427404, ' ': -10.698688, ' YES': -13.014184}
{' No': -8.014795, ' ': -9.679216, ' Yes': -0.0026499159, ' yes': -9.09306, 'Yes': -6.1582303}
{' ': -10.661066, ' Generally': -9.286571, ' Yes': -0.0017034161, ' yes': -9.250017, 'Yes': -6.5181003}
{' ': -10.549134, ' Generally': -12.433437, ' Yes': -0.0017135639, ' yes': -9.3681345, 'Yes': -6.444573}
{' No': -5.689715, ' Generally': -9.087646, ' Yes': -0.006388686, ' yes': -8.811527, 'Yes': -5.9999146}
{' No': -4.179281, ' ': -9.088703, 'No': -8.948673, ' Yes': -0.017706392, 'Yes': -6.3451424}
{' No': -0.015122969, ' Yes': -4.8975997, 'No': -4.934423, ' ': -8.539945, ' A': -9.199731}
{' An': -9.33262, ' No': -0.009330652, ' ': -8.958334, 'No': -4.716657, ' Yes': -9.420197}
{' Generally': -6.9625916, ' Typically': -10.722113, ' Yes': -0.0022474886, ' yes': -9.526144, 'Yes': -6.7532616}
{' No': -10.88747, ' ': -10.315876, ' Yes': -0.0017398376, ' yes': -9.510072, 'Yes': -6.437441}
{' YES': -13.2179785, ' ': -11.084321, ' Yes': -0.0014527993, ' yes': -9.676457, 'Yes': -6.5938287}
{' No': -8.889827, ' ': -10.0196905, ' Yes': -0.0022154094, ' yes': -9.390254, 'Yes': -6.254737}
{' Yes': -0.0017120114, 'Yes': -6.5800524, ' Generally': -8.437205, ' yes': -9.5756035, ' ': -10.8870945}
{' ': -10.8256855, ' Generally': -11.290435, ' Yes': -0.0016179802, ' yes': -9.567694, 'Yes': -6.4985313}
{' No': -6.285132, ' Generally': -8.153772, ' A': -8.939024, ' Yes': -0.005083384, 'Yes': -5.969919}
{' No': -4.906848, ' Generally': -8.713906, ' A': -9.526239, ' Yes': -0.009424994, 'Yes': -6.475423}
{' No': -0.023778303, ' Yes': -4.111779, 'No': -5.017167, ' ': -8.494584, ' A': -8.570195}
{' An': -8.710309, ' No': -0.009520185, ' Generally': -9.259962, 'No': -4.709702, ' Yes': -9.196474}
