{' number': -5.9342136, ' 1': -1.799021, ' 2': -0.25823066, ' one': -5.402187, ' two': -2.9497304}
{' number': -5.8822823, ' 1': -1.6097349, ' 2': -0.29344884, ' one': -5.4865074, ' two': -3.1045449}
{' number': -6.0092425, ' 1': -1.605418, ' 2': -0.29802588, ' one': -5.357599, ' two': -3.054547}
{' number': -5.905185, ' 1': -1.6355228, ' 2': -0.2884388, ' one': -5.451515, ' two': -3.0730343}
{' number': -5.8588343, ' 1': -1.3795301, ' 2': -0.36890987, ' one': -5.1943116, ' two': -3.0843236}
{' number': -5.900814, ' 1': -1.7071875, ' 2': -0.27628517, ' one': -5.4206796, ' two': -2.9901905}
{' #': -5.8912845, ' 1': -1.4590342, ' 2': -0.33861196, ' one': -5.278721, ' two': -3.118353}
{' 2': -0.2338971, ' 1': -1.8802059, ' two': -3.0673661, ' one': -5.6588717, ' #': -5.7433085}
{' #': -5.812632, ' 1': -1.7743399, ' 2': -0.2571623, ' one': -5.5493703, ' two': -3.0460145}
{' #': -5.753988, ' 1': -1.6818367, ' 2': -0.27996215, ' one': -5.4707303, ' two': -3.0399585}
{' #': -5.8878284, ' 1': -1.9377062, ' 2': -0.22277084, ' one': -5.7427893, ' two': -3.056076}
{' number': -5.784252, ' 1': -2.0352361, ' 2': -0.20983692, ' one': -5.7849083, ' two': -3.0042093}
{' #': -6.1292615, ' 1': -1.9493669, ' 2': -0.21665129, ' one': -5.790198, ' two': -3.1055462}
{' #': -5.7451687, ' 1': -1.1345532, ' 2': -0.4625046, ' one': -5.0942535, ' two': -3.2950566}
{' #': -5.912485, ' 1': -1.4915907, ' 2': -0.32116154, ' one': -5.4851933, ' two': -3.2106094}
{' #': -5.9921303, ' 1': -1.2146376, ' 2': -0.4150503, ' one': -5.3871584, ' two': -3.399219}
{' #': -5.9554296, ' 1': -1.2255764, ' 2': -0.41361797, ' one': -5.3262506, ' two': -3.342466}
{' 2': -0.27647462, ' 1': -1.6311841, ' two': -3.2844913, ' one': -5.748524, ' #': -5.956415}
{' #': -6.0215106, ' 1': -1.0701674, ' 2': -0.49153686, ' one': -5.078686, ' two': -3.3651004}
{' 2': -0.39517558, ' 1': -1.2701794, ' two': -3.3284163, ' one': -5.3881345, ' #': -5.9102054}
{' #': -5.759421, ' 1': -0.95246774, ' 2': -0.55928314, ' one': -5.0265813, ' two': -3.4866986}
{' #': -5.717539, ' 1': -1.1138996, ' 2': -0.4676861, ' one': -5.1628785, ' two': -3.3855727}
{' #': -5.806107, ' 1': -1.1948537, ' 2': -0.42681965, ' one': -5.2770295, ' two': -3.3717124}
{' #': -5.8325315, ' 1': -0.99399155, ' 2': -0.5365941, ' one': -4.9818425, ' two': -3.4060512}
{' #': -5.731585, ' 1': -1.061349, ' 2': -0.4943629, ' one': -5.101912, ' two': -3.4269304}
{' #': -5.6365347, ' 1': -1.2277557, ' 2': -0.41754067, ' one': -5.247423, ' two': -3.2937174}
{' #': -5.67146, ' 1': -1.1893991, ' 2': -0.43016183, ' one': -5.238327, ' two': -3.382039}
{' #': -5.848661, ' 1': -1.4756542, ' 2': -0.32509214, ' one': -5.504255, ' two': -3.2351012}
{' #': -5.629213, ' 1': -1.1864157, ' 2': -0.43972114, ' one': -5.17562, ' two': -3.2481449}
{' #': -5.7296786, ' 1': -1.0430803, ' 2': -0.50449276, ' one': -5.148941, ' two': -3.4313762}
{' #': -5.6602745, ' 1': -1.2136226, ' 2': -0.42422816, ' one': -5.229709, ' two': -3.2916179}
{' #': -5.769114, ' 1': -1.0453006, ' 2': -0.5042431, ' one': -5.0922556, ' two': -3.4148645}
{' 2': -0.584184, ' 1': -0.9141743, ' two': -3.5286877, ' one': -4.9791293, ' #': -5.7798004}
{' 2': -0.5671645, ' 1': -0.9457101, ' two': -3.441577, ' one': -4.950179, ' #': -5.7968135}
{' #': -5.863982, ' 1': -1.1965824, ' 2': -0.42781606, ' one': -5.249439, ' two': -3.3451}
{' #': -5.9159365, ' 1': -1.3036528, ' 2': -0.38297358, ' one': -5.3716545, ' two': -3.304925}
{' #': -5.8965926, ' 1': -1.343615, ' 2': -0.36945587, ' one': -5.3804746, ' two': -3.2654462}
{' 2': -0.42489874, ' 1': -1.1969802, ' two': -3.399172, ' one': -5.3391953, ' #': -5.664536}
{' 2': -0.32260332, ' 1': -1.4902593, ' two': -3.1955032, ' one': -5.481355, ' #': -5.8471794}
{' 2': -0.2979508, ' 1': -1.5604974, ' two': -3.258251, ' one': -5.5991764, ' #': -5.756919}
{' #': -5.5013866, ' 1': -1.2184184, ' 2': -0.42330956, ' one': -5.292863, ' two': -3.2827168}
{' #': -5.894675, ' 1': -1.6924294, ' 2': -0.26899987, ' one': -5.600515, ' two': -3.1502066}
{' 2': -0.32298592, ' 1': -1.4838688, ' two': -3.2236302, ' one': -5.468848, ' #': -5.886135}
{' #': -5.659019, ' 1': -1.7026533, ' 2': -0.2693495, ' one': -5.55458, ' two': -3.1226037}
{' #': -5.71501, ' 1': -1.4118477, ' 2': -0.3461205, ' one': -5.40785, ' two': -3.249515}
{' #': -5.586841, ' 1': -1.5379925, ' 2': -0.30760384, ' one': -5.520837, ' two': -3.22645}
{' #': -5.688255, ' 1': -1.6201131, ' 2': -0.28152633, ' one': -5.6325717, ' two': -3.2638395}
{' 2': -0.212704, ' 1': -1.9688665, ' two': -3.1415694, ' #': -5.7413077, ' one': -5.906578}
{' #': -5.928292, ' 1': -1.6339058, ' 2': -0.2725452, ' one': -5.772787, ' two': -3.336079}
{' number': -6.061938, ' 1': -1.127609, ' 2': -0.4825741, ' one': -4.8852487, ' two': -3.0606894}
{' number': -6.10289, ' 1': -1.3935282, ' 2': -0.3657535, ' one': -5.1856627, ' two': -3.033211}
{' number': -6.046902, ' 1': -1.2309319, ' 2': -0.42567602, ' one': -5.1408553, ' two': -3.1193614}
{' 2': -0.4082285, ' 1': -1.2824255, ' two': -3.0531125, ' one': -5.134998, ' number': -6.0302997}
{' 2': -0.33739746, ' 1': -1.4658496, ' two': -3.0771623, ' one': -5.4099784, ' number': -5.9375424}
{' number': -6.1627197, ' 1': -1.1568427, ' 2': -0.4645382, ' one': -4.8869815, ' two': -3.0977778}
{' number': -5.987348, ' 1': -1.3367357, ' 2': -0.38806996, ' one': -5.1833863, ' two': -3.0252519}
{' number': -6.0811057, ' 1': -0.9213506, ' 2': -0.6027298, ' one': -4.699325, ' two': -3.1973438}
{' number': -5.933317, ' 1': -1.0207886, ' 2': -0.5335467, ' one': -4.89364, ' two': -3.2142508}
{' number': -6.0100594, ' 1': -0.9727394, ' 2': -0.56037265, ' one': -4.883129, ' two': -3.261424}
{' number': -6.075221, ' 1': -1.0769659, ' 2': -0.5107331, ' one': -4.779588, ' two': -3.0746596}
{' number': -6.0465803, ' 1': -1.0190398, ' 2': -0.5339743, ' one': -4.825338, ' two': -3.2222886}
{' number': -5.9368296, ' 1': -1.1443027, ' 2': -0.47167817, ' one': -4.9590073, ' two': -3.0973933}
{' number': -5.918197, ' 1': -1.1769761, ' 2': -0.45081985, ' one': -5.0331225, ' two': -3.1516902}
{' number': -5.904922, ' 1': -1.495302, ' 2': -0.33613002, ' one': -5.235411, ' two': -2.982988}
{' number': -6.0026193, ' 1': -1.3358071, ' 2': -0.39014918, ' one': -5.110855, ' two': -3.0191736}
{' number': -5.9048553, ' 1': -0.9870512, ' 2': -0.55827355, ' one': -4.8567276, ' two': -3.1719837}
{' 2': -0.42823583, ' 1': -1.241842, ' two': -3.0447462, ' one': -5.0102067, ' number': -5.938288}
{' number': -5.9956107, ' 1': -1.1106067, ' 2': -0.48927268, ' one': -4.8695464, ' two': -3.1046023}
{' number': -6.041666, ' 1': -1.0125923, ' 2': -0.5360698, ' one': -4.880022, ' two': -3.2341611}
{' number': -5.984373, ' 1': -0.83337784, ' 2': -0.6639537, ' one': -4.691409, ' two': -3.3154354}
{' 2': -0.4538776, ' 1': -1.178012, ' two': -3.107047, ' one': -4.951332, ' number': -5.991034}
{' number': -5.9045367, ' 1': -1.3098586, ' 2': -0.3988726, ' one': -5.133831, ' two': -3.0401576}
{' number': -5.9745975, ' 1': -1.1315585, ' 2': -0.47515023, ' one': -4.988796, ' two': -3.1307647}
{' number': -5.9291544, ' 1': -1.3850884, ' 2': -0.36444327, ' one': -5.2853627, ' two': -3.1023638}
{' #': -6.011002, ' 1': -1.4249885, ' 2': -0.35744736, ' one': -5.218538, ' two': -3.0065618}
{' 2': -0.27579963, ' 1': -1.7128401, ' two': -2.9617088, ' one': -5.5010953, ' number': -5.9940424}
{' number': -5.89586, ' 1': -1.4297934, ' 2': -0.35923856, ' one': -5.162865, ' two': -2.9721859}
{' number': -5.989634, ' 1': -1.8043096, ' 2': -0.25850463, ' one': -5.5172687, ' two': -2.914966}
{' number': -6.0068707, ' 1': -1.3111424, ' 2': -0.39923516, ' one': -5.086175, ' two': -3.0252402}
{' number': -5.9656157, ' 1': -1.4423345, ' 2': -0.35280365, ' one': -5.18422, ' two': -2.99307}
{' #': -5.8408546, ' 1': -1.2328464, ' 2': -0.42911455, ' one': -5.058901, ' two': -3.0878668}
{' number': -6.0173864, ' 1': -1.8251051, ' 2': -0.2519239, ' one': -5.581847, ' two': -2.9403718}
{' number': -5.9369903, ' 1': -1.5553955, ' 2': -0.31298476, ' one': -5.4148655, ' two': -3.0396042}
{' number': -5.796411, ' 1': -1.9415356, ' 2': -0.2287938, ' one': -5.740704, ' two': -2.957231}
{' #': -6.097025, ' 1': -1.6080257, ' 2': -0.2932542, ' one': -5.5233545, ' two': -3.096202}
{' #': -6.1651626, ' 1': -0.97433573, ' 2': -0.55460846, ' one': -4.9479027, ' two': -3.3023157}
{' number': -6.1897445, ' 1': -1.3257687, ' 2': -0.38055715, ' one': -5.319667, ' two': -3.1754923}
{' number': -6.1584253, ' 1': -1.2818999, ' 2': -0.39872128, ' one': -5.27751, ' two': -3.1759048}
{' #': -6.1951385, ' 1': -1.2910281, ' 2': -0.39295122, ' one': -5.3120327, ' two': -3.1985445}
{' number': -6.121682, ' 1': -1.4676731, ' 2': -0.32468688, ' one': -5.614222, ' two': -3.2536397}
{' #': -6.211897, ' 1': -0.97708285, ' 2': -0.5526825, ' one': -4.910785, ' two': -3.3040519}
{' 2': -0.42729992, ' 1': -1.2246118, ' two': -3.139666, ' one': -5.1720777, ' number': -6.042824}
{' 2': -0.5329101, ' 1': -1.0163333, ' two': -3.2458863, ' one': -4.9191165, ' #': -6.0519395}
{' #': -6.013721, ' 1': -1.0891876, ' 2': -0.492979, ' one': -4.9794574, ' two': -3.2008457}
{' #': -6.0181084, ' 1': -1.0412039, ' 2': -0.5168146, ' one': -4.9936748, ' two': -3.251735}
{' #': -6.1064134, ' 1': -0.98020774, ' 2': -0.55487865, ' one': -4.872381, ' two': -3.2580874}
{' #': -6.0264316, ' 1': -1.0163494, ' 2': -0.5325257, ' one': -4.904569, ' two': -3.253238}
{' #': -5.9484367, ' 1': -1.2841457, ' 2': -0.4029296, ' one': -5.2070904, ' two': -3.122292}
{' #': -5.9230685, ' 1': -1.1553807, ' 2': -0.45562026, ' one': -5.131232, ' two': -3.2279358}
{' 2': -0.4293867, ' 1': -1.22362, ' two': -3.1245408, ' one': -5.1643453, ' number': -5.9887047}
{' #': -6.113411, ' 1': -1.3500999, ' 2': -0.3790497, ' one': -5.1973605, ' two': -3.0726492}
{' 2': -0.5137133, ' 1': -1.0567317, ' two': -3.175176, ' one': -4.979503, ' #': -5.9334135}
{' #': -5.9615445, ' 1': -1.1240013, ' 2': -0.47446325, ' one': -5.07711, ' two': -3.1891026}
{' #': -6.085432, ' 1': -1.1299508, ' 2': -0.47069848, ' one': -5.047683, ' two': -3.1899974}
{' #': -6.0096574, ' 1': -1.01441, ' 2': -0.5302352, ' one': -4.9658456, ' two': -3.3000257}
{' #': -6.1260695, ' 1': -0.9144589, ' 2': -0.59757954, ' one': -4.827497, ' two': -3.308015}
{' #': -5.9857874, ' 1': -1.149447, ' 2': -0.46209946, ' one': -5.04238, ' two': -3.1791673}
{' #': -5.9762845, ' 1': -1.3904655, ' 2': -0.36306646, ' one': -5.2956734, ' two': -3.0968328}
{' #': -6.0675187, ' 1': -1.1825017, ' 2': -0.44162828, ' one': -5.170813, ' two': -3.2178617}
{' 2': -0.35827562, ' 1': -1.4042445, ' two': -3.0929766, ' one': -5.3467035, ' number': -5.9516807}
{' #': -5.9576135, ' 1': -1.3080314, ' 2': -0.3915504, ' one': -5.207327, ' two': -3.1412184}
{' #': -6.026807, ' 1': -1.618727, ' 2': -0.29384643, ' one': -5.532158, ' two': -3.047165}
{' #': -5.9248962, ' 1': -1.4969132, ' 2': -0.33118188, ' one': -5.388217, ' two': -3.0337725}
{' #': -5.988852, ' 1': -1.7515718, ' 2': -0.2658655, ' one': -5.5500803, ' two': -2.976818}
{' #': -5.972505, ' 1': -1.4385415, ' 2': -0.34805515, ' one': -5.307535, ' two': -3.0653572}
{' #': -5.956799, ' 1': -1.4958928, ' 2': -0.3296291, ' one': -5.362158, ' two': -3.0608625}
{' #': -5.9970417, ' 1': -1.5833557, ' 2': -0.30560368, ' one': -5.4226756, ' two': -3.0224156}
{' #': -5.883235, ' 1': -1.601724, ' 2': -0.29465997, ' one': -5.6020517, ' two': -3.1102288}
{' 2': -0.2797363, ' 1': -1.6590011, ' two': -3.1037889, ' one': -5.6394577, ' #': -5.9390755}
{' 2': -0.24061985, ' 1': -1.8608705, ' two': -3.0050662, ' one': -5.740723, ' #': -5.930952}
{' #': -6.1419053, ' 1': -1.4559339, ' 2': -0.32525006, ' one': -5.6545286, ' two': -3.3007424}
{' 2': -0.47081947, ' 1': -1.1282539, ' two': -3.1960218, ' one': -5.0220795, ' #': -6.1417904}
{' number': -6.2263308, ' 1': -1.5452442, ' 2': -0.31137666, ' one': -5.4249644, ' two': -3.0782032}
{' #': -6.139082, ' 1': -1.4739193, ' 2': -0.33344114, ' one': -5.398663, ' two': -3.0896933}
{' #': -6.14454, ' 1': -1.2043005, ' 2': -0.43109193, ' one': -5.1634564, ' two': -3.2140985}
{' number': -6.0814047, ' 1': -1.7897044, ' 2': -0.25133416, ' one': -5.66619, ' two': -3.048869}
{' number': -6.177831, ' 1': -1.293614, ' 2': -0.4011732, ' one': -5.1037965, ' two': -3.0794568}
{' number': -6.0709963, ' 1': -1.4992355, ' 2': -0.32745782, ' one': -5.3874226, ' two': -3.0569556}
{' number': -6.0467567, ' 1': -1.1411904, ' 2': -0.46831787, ' one': -4.9648643, ' two': -3.150624}
{' number': -6.001163, ' 1': -1.261042, ' 2': -0.41710305, ' one': -5.113738, ' two': -3.0587673}
{' 2': -0.5548861, ' 1': -0.9749453, ' two': -3.3057861, ' one': -4.884531, ' #': -6.1475215}
{' 2': -0.5118886, ' 1': -1.0644437, ' two': -3.1520119, ' one': -4.8172493, ' #': -6.018078}
{' #': -6.120248, ' 1': -1.1276062, ' 2': -0.47140387, ' one': -4.9676595, ' two': -3.202519}
{' #': -6.009411, ' 1': -1.4418092, ' 2': -0.34774834, ' one': -5.2485414, ' two': -3.0568259}
{' #': -6.008748, ' 1': -1.3008605, ' 2': -0.39534488, ' one': -5.1501045, ' two': -3.1363993}
{' 2': -0.2832906, ' 1': -1.6798247, ' two': -2.9760776, ' one': -5.4012294, ' number': -6.003628}
{' #': -6.000822, ' 1': -1.2895205, ' 2': -0.40093812, ' one': -5.1534986, ' two': -3.1158845}
{' 2': -0.43719077, ' 1': -1.202135, ' two': -3.1643713, ' one': -5.102341, ' #': -5.937945}
{' #': -5.9895434, ' 1': -1.2500664, ' 2': -0.41988322, ' one': -5.0660596, ' two': -3.1028092}
{' 2': -0.44985107, ' 1': -1.1792994, ' two': -3.1367295, ' one': -5.008546, ' #': -6.0687547}
{' 2': -0.49126378, ' 1': -1.096849, ' two': -3.16167, ' one': -4.909896, ' number': -6.049754}
{' #': -6.0196366, ' 1': -1.0907995, ' 2': -0.49116334, ' one': -4.9580107, ' two': -3.2096384}
{' 2': -0.4376877, ' 1': -1.2040471, ' two': -3.1434221, ' one': -5.0190883, ' #': -6.0731945}
{' #': -6.028585, ' 1': -1.4922022, ' 2': -0.3324142, ' one': -5.2868056, ' two': -3.0390315}
{' 2': -0.44028327, ' 1': -1.1966501, ' two': -3.1503162, ' one': -5.0648313, ' #': -6.046868}
{' number': -5.9836683, ' 1': -1.5007008, ' 2': -0.32990164, ' one': -5.3590097, ' two': -3.0264368}
{' number': -6.1112485, ' 1': -1.6494641, ' 2': -0.29129836, ' one': -5.391957, ' two': -2.9683595}
{' #': -6.081047, ' 1': -1.5601301, ' 2': -0.30738357, ' one': -5.447372, ' two': -3.0882215}
{' #': -6.0431967, ' 1': -1.446547, ' 2': -0.34744325, ' one': -5.256146, ' two': -3.0356374}
{' #': -5.9977164, ' 1': -1.5838995, ' 2': -0.30736268, ' one': -5.350259, ' two': -2.9981258}
{' number': -6.078393, ' 1': -1.5419313, ' 2': -0.31789798, ' one': -5.3110285, ' two': -3.0186388}
{' #': -5.987614, ' 1': -1.7815974, ' 2': -0.2581237, ' one': -5.503935, ' two': -2.9934387}
{' 2': -0.3014355, ' 1': -1.5884743, ' two': -3.0649202, ' one': -5.3911905, ' #': -5.948524}
{' #': -6.0149307, ' 1': -1.8046148, ' 2': -0.25072464, ' one': -5.610266, ' two': -3.0185602}
{' #': -6.0925407, ' 1': -1.623078, ' 2': -0.28960106, ' one': -5.537151, ' two': -3.087069}
{' number': -5.9094234, ' 1': -2.0841482, ' 2': -0.20576078, ' one': -5.823135, ' two': -2.9323785}
{' #': -6.2417026, ' 1': -1.5977343, ' 2': -0.29049683, ' one': -5.5820117, ' two': -3.1725063}
{' 2': -0.40667024, ' 1': -1.2686869, ' two': -3.1559033, ' one': -5.1162524, ' number': -6.156828}
{' number': -6.1498513, ' 1': -1.391725, ' 2': -0.35992372, ' one': -5.269358, ' two': -3.1223423}
{' number': -6.109444, ' 1': -1.5041271, ' 2': -0.32408106, ' one': -5.407147, ' two': -3.090669}
{' number': -5.9888687, ' 1': -1.3344157, ' 2': -0.3865474, ' one': -5.143509, ' two': -3.063681}
{' 2': -0.26255298, ' 1': -1.7681302, ' two': -2.9695766, ' one': -5.538955, ' number': -5.8765907}
{' number': -6.214165, ' 1': -1.4002031, ' 2': -0.35939926, ' one': -5.16323, ' two': -3.0856183}
{' number': -5.9163423, ' 1': -1.5533301, ' 2': -0.3162944, ' one': -5.342233, ' two': -2.9968343}
{' number': -6.007646, ' 1': -1.1287526, ' 2': -0.4753636, ' one': -4.9208546, ' two': -3.1588087}
{' #': -6.0167866, ' 1': -1.2553425, ' 2': -0.4163532, ' one': -5.072462, ' two': -3.118927}
{' #': -6.058116, ' 1': -1.0987177, ' 2': -0.48714167, ' one': -4.933671, ' two': -3.2130516}
{' 2': -0.4803388, ' 1': -1.1310478, ' two': -3.0815904, ' one': -4.8418565, ' #': -6.0420303}
{' #': -6.0065446, ' 1': -1.1437011, ' 2': -0.46546897, ' one': -4.9440227, ' two': -3.1856492}
{' #': -5.9108915, ' 1': -1.5783122, ' 2': -0.31125286, ' one': -5.2852764, ' two': -2.9838526}
{' 2': -0.3321443, ' 1': -1.5075592, ' two': -2.9919858, ' one': -5.195522, ' number': -5.854154}
{' number': -5.8338623, ' 1': -1.763935, ' 2': -0.27152628, ' one': -5.3725295, ' two': -2.8764248}
{' 2': -0.26239178, ' 1': -1.783634, ' two': -2.9202418, ' one': -5.436147, ' number': -6.093996}
{' #': -5.8799243, ' 1': -1.3258133, ' 2': -0.38946715, ' one': -5.145248, ' two': -3.090906}
{' 2': -0.40102792, ' 1': -1.3075697, ' two': -3.035908, ' one': -5.052701, ' number': -5.9336395}
{' number': -5.877706, ' 1': -1.3729312, ' 2': -0.37988555, ' one': -5.0357456, ' two': -2.976735}
{' #': -5.9772315, ' 1': -1.1047628, ' 2': -0.48426983, ' one': -4.9189763, ' two': -3.216123}
{' 2': -0.49054518, ' 1': -1.1040286, ' two': -3.1428678, ' one': -4.8566055, ' #': -5.9844375}
{' number': -5.891246, ' 1': -1.4205068, ' 2': -0.36070585, ' one': -5.1182113, ' two': -2.9944413}
{' number': -5.884198, ' 1': -1.8038433, ' 2': -0.26000094, ' one': -5.4472356, ' two': -2.903235}
{' #': -5.935729, ' 1': -1.3037077, ' 2': -0.39960724, ' one': -5.0735383, ' two': -3.0730386}
{' 2': -0.2671287, ' 1': -1.7519135, ' two': -2.9655766, ' one': -5.4921794, ' number': -5.8529}
{' 2': -0.2589033, ' 1': -1.8192117, ' two': -2.8712213, ' one': -5.408675, ' number': -6.049354}
{' 2': -0.2504769, ' 1': -1.8409101, ' two': -2.9202118, ' one': -5.524477, ' number': -5.922658}
{' number': -5.869708, ' 1': -1.7185731, ' 2': -0.28021857, ' one': -5.3845935, ' two': -2.8975794}
{' number': -5.9100327, ' 1': -1.8517941, ' 2': -0.25418934, ' one': -5.419156, ' two': -2.8506668}
{' 2': -0.3688576, ' 1': -1.3878585, ' two': -3.042537, ' one': -5.1268044, ' #': -5.9556656}
{' 2': -0.31055653, ' 1': -1.58453, ' two': -2.9720745, ' one': -5.262962, ' #': -5.9125414}
{' #': -5.92158, ' 1': -1.750773, ' 2': -0.26811662, ' one': -5.430568, ' two': -2.9595382}
{' #': -5.8517585, ' 1': -1.8012369, ' 2': -0.2617206, ' one': -5.4219685, ' two': -2.9015596}
{' #': -5.987717, ' 1': -1.851859, ' 2': -0.24321842, ' one': -5.583752, ' two': -2.9949598}
{' number': -5.816008, ' 1': -2.0891192, ' 2': -0.21204579, ' one': -5.7470217, ' two': -2.8404484}
{' number': -6.1206474, ' 1': -1.6235061, ' 2': -0.2909369, ' one': -5.5080957, ' two': -3.0652747}
{' 2': -0.4514188, ' 1': -1.1747389, ' two': -3.1236045, ' one': -5.1217093, ' number': -6.0869665}
{' number': -6.1122746, ' 1': -1.435927, ' 2': -0.3479488, ' one': -5.316956, ' two': -3.059237}
{' number': -6.0390196, ' 1': -1.299584, ' 2': -0.39799568, ' one': -5.2577443, ' two': -3.078673}
{' number': -6.105083, ' 1': -1.3113152, ' 2': -0.39096212, ' one': -5.2367387, ' two': -3.109523}
{' number': -6.1559067, ' 1': -1.3566375, ' 2': -0.3711812, ' one': -5.364761, ' two': -3.1266968}
{' number': -6.1706867, ' 1': -0.9669233, ' 2': -0.5656152, ' one': -4.872967, ' two': -3.218666}
{' number': -5.975966, ' 1': -1.3376261, ' 2': -0.38745934, ' one': -5.2535195, ' two': -3.0186372}
{' number': -6.0399957, ' 1': -1.0573381, ' 2': -0.512956, ' one': -4.9442134, ' two': -3.161811}
{' number': -6.0166554, ' 1': -1.2515308, ' 2': -0.41907406, ' one': -5.1576033, ' two': -3.0805426}
{' number': -6.0469117, ' 1': -1.0399961, ' 2': -0.52062696, ' one': -4.951976, ' two': -3.197358}
{' #': -6.120207, ' 1': -1.0962781, ' 2': -0.49364182, ' one': -4.9112024, ' two': -3.1327617}
{' number': -6.088687, ' 1': -1.2138374, ' 2': -0.43243676, ' one': -5.0644183, ' two': -3.1392446}
{' 2': -0.44098273, ' 1': -1.1933154, ' two': -3.1635928, ' one': -5.0789304, ' #': -6.0281377}
{' number': -5.986707, ' 1': -1.1930561, ' 2': -0.4424095, ' one': -5.07901, ' two': -3.142889}
{' number': -5.9554505, ' 1': -1.6933533, ' 2': -0.2822147, ' one': -5.4218707, ' two': -2.9403033}
{' #': -6.1409507, ' 1': -1.3466071, ' 2': -0.37969208, ' one': -5.1917915, ' two': -3.0823324}
{' number': -5.94767, ' 1': -1.258224, ' 2': -0.41848335, ' one': -5.168757, ' two': -3.0521348}
{' 2': -0.39737472, ' 1': -1.3114735, ' two': -3.0366263, ' one': -5.1433463, ' number': -5.9795656}
{' number': -6.00604, ' 1': -1.3905523, ' 2': -0.36632144, ' one': -5.201385, ' two': -3.041614}
{' number': -6.0502524, ' 1': -1.0894142, ' 2': -0.49259526, ' one': -4.9644537, ' two': -3.1911597}
{' 2': -0.52744275, ' 1': -1.0358541, ' two': -3.1494937, ' one': -4.9025435, ' number': -5.995921}
{' #': -6.0582056, ' 1': -1.0983622, ' 2': -0.48964724, ' one': -4.983481, ' two': -3.1689856}
{' number': -5.9932995, ' 1': -1.5251623, ' 2': -0.32494035, ' one': -5.372072, ' two': -2.9815795}
{' number': -6.0315776, ' 1': -1.4882962, ' 2': -0.33562812, ' one': -5.2964315, ' two': -3.0004265}
{' number': -6.018359, ' 1': -1.6507419, ' 2': -0.28924987, ' one': -5.5315995, ' two': -2.9783309}
{' 2': -0.32350868, ' 1': -1.5369772, ' two': -2.9581847, ' one': -5.33225, ' number': -6.0537353}
{' number': -5.9904604, ' 1': -1.6191766, ' 2': -0.29920167, ' one': -5.4664416, ' two': -2.9637234}
{' number': -5.9611783, ' 1': -1.5465837, ' 2': -0.32296994, ' one': -5.344545, ' two': -2.9291444}
{' number': -6.046045, ' 1': -1.9181976, ' 2': -0.23806961, ' one': -5.567615, ' two': -2.8708363}
{' number': -5.9971056, ' 1': -1.4824307, ' 2': -0.34040773, ' one': -5.266019, ' two': -2.9649153}
{' number': -6.0278034, ' 1': -1.9072747, ' 2': -0.24000788, ' one': -5.5498343, ' two': -2.8756719}
{' 2': -0.29307288, ' 1': -1.6556904, ' two': -2.9213285, ' one': -5.4191246, ' number': -6.002977}
{' number': -5.9794436, ' 1': -1.836173, ' 2': -0.2529478, ' one': -5.5188036, ' two': -2.8968074}
{' 2': -0.26540902, ' 1': -1.7446208, ' two': -2.9959102, ' one': -5.5878077, ' number': -6.025712}
{' 2': -0.25743476, ' 1': -1.7902621, ' two': -2.9712157, ' one': -5.6404877, ' number': -5.90956}
{' 2': -0.29154965, ' 1': -1.6109523, ' two': -3.090376, ' one': -5.62895, ' number': -6.2249465}
{' #': -6.2344747, ' 1': -1.084429, ' 2': -0.49178344, ' one': -5.0637074, ' two': -3.2201731}
{' number': -6.3567414, ' 1': -1.2596854, ' 2': -0.40169513, ' one': -5.305975, ' two': -3.2581043}
{' #': -6.0778065, ' 1': -1.1523776, ' 2': -0.4524932, ' one': -5.2364383, ' two': -3.265039}
{' #': -6.190665, ' 1': -1.0778021, ' 2': -0.4906591, ' one': -5.1039023, ' two': -3.2898304}
{' number': -6.049556, ' 1': -1.6556742, ' 2': -0.28146765, ' one': -5.6192293, ' two': -3.0734332}
{' #': -6.275795, ' 1': -0.96690583, ' 2': -0.56145126, ' one': -4.888872, ' two': -3.2703745}
{' 2': -0.45582634, ' 1': -1.1454836, ' two': -3.273987, ' one': -5.2316093, ' number': -6.070101}
{' #': -6.099941, ' 1': -0.84765375, ' 2': -0.6399702, ' one': -4.8615255, ' two': -3.4413636}
{' #': -5.970571, ' 1': -1.027929, ' 2': -0.5193612, ' one': -5.0553756, ' two': -3.321155}
{' #': -6.057315, ' 1': -0.9595263, ' 2': -0.56021714, ' one': -4.9774227, ' two': -3.3739185}
{' #': -6.1128697, ' 1': -0.9472412, ' 2': -0.5756287, ' one': -4.8756547, ' two': -3.2758372}
{' #': -6.064612, ' 1': -1.1363007, ' 2': -0.4610954, ' one': -5.0743933, ' two': -3.2802727}
{' 2': -0.43804, ' 1': -1.1948779, ' two': -3.1874943, ' one': -5.1914425, ' #': -5.9257126}
{' #': -5.9475794, ' 1': -0.9480318, ' 2': -0.56666696, ' one': -4.9948897, ' two': -3.4020014}
{' #': -5.987637, ' 1': -1.4283516, ' 2': -0.34614503, ' one': -5.337163, ' two': -3.1475766}
{' #': -6.220098, ' 1': -1.3468127, ' 2': -0.37172842, ' one': -5.3080416, ' two': -3.1794217}
{' #': -5.96606, ' 1': -0.99777883, ' 2': -0.5373201, ' one': -5.050786, ' two': -3.3343573}
