{' even': -1.0942594, ' odd': -1.5870781, ' Right': -2.7791169, ' the': -3.3494256, ' 0': -3.576772}
{'\n': -4.001058, ' Odd': -3.070948, ' ': -4.306847, ' odd': -0.11587848, ' even': -4.9037876}
{' even': -0.45008412, ' ->': -1.213219, '\n': -3.9998019, ':': -4.5077615, ' Even': -4.8807263}
{' odd': -0.058887724, ' Odd': -3.209801, ' even': -5.496327, '\n': -5.9847054, ' ': -6.396142}
{' even': -0.08366193, ' odd': -4.2501183, ' 0': -4.2802196, '\n': -4.3120475, ' ': -4.4871855}
{' odd': -0.1361431, ' Odd': -2.5755723, '\n': -4.339708, ' ': -4.8885627, ':': -5.1960135}
{' even': -0.05388199, ':': -4.1348085, ' Even': -4.327344, '\n': -4.953825, ' ': -5.163211}
{' odd': -0.102834135, ' Odd': -2.71798, '\n': -4.8142214, ' ': -5.2253637, ' 1': -5.3077083}
{' even': -0.05982755, ' Even': -3.6004846, ' ': -4.886644, ' odd': -5.270436, ':': -5.8016143}
{'\n': -2.7175524, ' Odd': -2.1408427, ' ': -3.0376685, ':': -2.2413602, ' odd': -0.48950332}
{' even': -0.05836572, ' odd': -3.0947149, ' 0': -6.0429296, ' an': -6.197183, ' Even': -6.6441865}
