{' number': -6.164637, ' 1': -1.2105025, ' 2': -0.41595247, ' one': -5.496359, ' two': -3.3839087}
{' 2': -0.04425421, ' two': -3.277435, ' 1': -5.714849, ' number': -6.7336354, ' #': -7.0021405}
{' 2': -0.068566024, ' two': -3.221541, ' 1': -3.7567527, ' number': -6.5272017, ' #': -6.80692}
{' 2': -0.05292812, ' two': -3.1325023, ' 1': -5.238482, ' number': -6.5568123, ' #': -6.912034}
{' number': -6.612715, ' #': -6.8788924, ' 1': -4.304434, ' 2': -0.05457714, ' two': -3.2998676}
{' 2': -0.06751929, ' two': -3.3493621, ' 1': -3.5982122, ' number': -6.6791635, ' #': -6.8652163}
{' number': -6.444407, ' #': -6.7671905, ' 1': -2.8675525, ' 2': -0.1021474, ' two': -3.3071663}
{' number': -6.580913, ' #': -6.840601, ' 1': -3.4623277, ' 2': -0.076675095, ' two': -3.2337852}
{' number': -6.458476, ' 1': -1.6010177, ' 2': -0.2746057, ' one': -6.0209413, ' two': -3.4078128}
{' number': -6.3798904, ' 1': -0.65767515, ' 2': -0.79715186, ' one': -5.1055927, ' two': -3.8109343}
{' number': -6.8938065, ' #': -6.999413, ' 1': -3.8232107, ' 2': -0.06826298, ' two': -3.1767588}
{' 2': -0.40991813, ' 1': -1.1973879, ' two': -3.571398, ' one': -5.815945, ' #': -6.321863}
{' 1': -0.5058561, ' 2': -0.9836773, ' two': -4.214545, ' one': -5.2339444, ' #': -6.4312015}
{' #': -6.4333425, ' 1': -0.53555375, ' 2': -0.9469459, ' one': -5.14045, ' two': -4.027009}
{' #': -6.455017, ' 1': -0.7874368, ' 2': -0.65994775, ' one': -5.5264273, ' two': -3.8539631}
{' #': -6.5193176, ' 1': -0.7960168, ' 2': -0.64947516, ' one': -5.650327, ' two': -3.9027767}
{' #': -6.5197115, ' 1': -2.1709154, ' 2': -0.16313921, ' one': -6.661166, ' two': -3.4275851}
{' number': -6.966873, ' #': -6.7232428, ' 1': -3.3414154, ' 2': -0.07164401, ' two': -3.471449}
{' #': -6.3810163, ' 1': -1.0310292, ' 2': -0.48979434, ' one': -5.744364, ' two': -3.71744}
{' number': -6.9093437, ' #': -6.6903844, ' 1': -2.9571545, ' 2': -0.0950977, ' two': -3.3309164}
{' number': -6.7513905, ' #': -6.600774, ' 1': -2.3132863, ' 2': -0.1433357, ' two': -3.4793968}
{' number': -7.1206527, ' #': -6.849876, ' 1': -3.3349147, ' 2': -0.07000724, ' two': -3.5194411}
{' number': -6.737977, ' #': -6.639869, ' 1': -2.8089936, ' 2': -0.099090174, ' two': -3.481067}
{' number': -6.849133, ' #': -6.7229915, ' 1': -2.953941, ' 2': -0.09386622, ' two': -3.3673036}
{' number': -6.879314, ' #': -6.7348967, ' 1': -2.7230072, ' 2': -0.10736088, ' two': -3.4109116}
{' number': -6.7021575, ' #': -6.636681, ' 1': -2.8457744, ' 2': -0.10401409, ' two': -3.2888834}
{' 2': -0.04536155, ' two': -3.5199578, ' 1': -4.384713, ' #': -6.8496356, ' number': -6.969358}
{' number': -6.9453435, ' #': -6.8432565, ' 1': -5.064778, ' 2': -0.046626158, ' two': -3.296847}
{' number': -6.961545, ' #': -6.989955, ' 1': -4.5689864, ' 2': -0.047723174, ' two': -3.3780832}
{' number': -6.8467546, ' #': -6.910174, ' 1': -3.8216374, ' 2': -0.06150214, ' two': -3.3440073}
{' number': -6.791949, ' #': -6.79923, ' 1': -3.306714, ' 2': -0.07137396, ' two': -3.5240753}
{' 2': -0.036635015, ' two': -3.5543237, ' 1': -5.220818, ' #': -6.971159, ' number': -7.064001}
{' 2': -0.03849434, ' two': -3.532917, ' 1': -5.0480328, ' number': -6.868572, ' #': -7.021059}
{' number': -6.9291587, ' #': -7.0248036, ' 1': -4.815009, ' 2': -0.045964353, ' two': -3.3605947}
{' 2': -0.0990262, ' 1': -2.88205, ' two': -3.3434472, ' #': -6.8053703, ' number': -6.839683}
{' number': -6.825051, ' #': -6.7801733, ' 1': -2.863879, ' 2': -0.098807156, ' two': -3.3804996}
{' 2': -0.10035795, ' 1': -2.8761435, ' two': -3.3235655, ' #': -6.7353926, ' number': -6.8434467}
{' 2': -0.039795764, ' two': -3.3958347, ' 1': -5.6478853, ' #': -6.9763064, ' number': -7.0284505}
{' 2': -0.06502325, ' two': -3.3152635, ' 1': -3.7323816, ' #': -6.7484293, ' number': -6.792947}
{' number': -6.8810506, ' #': -6.9269695, ' 1': -5.3422275, ' 2': -0.045707267, ' two': -3.278043}
{' number': -6.8533373, ' #': -6.813057, ' 1': -4.05635, ' 2': -0.055244103, ' two': -3.383817}
{' number': -6.9786434, ' #': -6.824333, ' 1': -3.6379132, ' 2': -0.06244336, ' two': -3.4490817}
{' 2': -0.15752907, ' 1': -2.207475, ' two': -3.4520712, ' #': -6.5537806, ' number': -6.6180506}
{' number': -6.8550925, ' #': -6.791702, ' 1': -3.6831186, ' 2': -0.0653285, ' two': -3.3389108}
{' #': -6.645685, ' 1': -1.7197573, ' 2': -0.24098429, ' one': -6.3208504, ' two': -3.4861681}
{' #': -6.5290375, ' 1': -0.60582453, ' 2': -0.8512526, ' one': -5.23252, ' two': -3.9507475}
{' number': -7.09014, ' #': -6.853411, ' 1': -3.0196548, ' 2': -0.09268733, ' two': -3.2959266}
{' #': -6.197219, ' 1': -0.66642964, ' 2': -0.8027383, ' one': -4.976301, ' two': -3.5852873}
{' #': -6.4844074, ' 1': -0.2889103, ' 2': -1.4994338, ' one': -4.5357018, ' two': -4.274025}
{' 1': -0.28559685, ' 2': -1.5275974, ' two': -4.1440463, ' one': -4.3996844, ' #': -6.416982}
{' #': -6.4018292, ' 1': -0.43598437, ' 2': -1.135884, ' one': -4.7286367, ' two': -3.9046903}
{' number': -6.4610715, ' 1': -0.38832596, ' 2': -1.237203, ' one': -4.6775947, ' two': -3.959638}
{' #': -6.398331, ' 1': -1.4074734, ' 2': -0.34560677, ' one': -5.6582513, ' two': -3.202275}
{' 2': -0.15880416, ' 1': -2.329491, ' two': -3.1026652, ' one': -6.466674, ' #': -6.506383}
{' #': -6.306344, ' 1': -0.57908565, ' 2': -0.9071954, ' one': -4.8442454, ' two': -3.7077801}
{' number': -6.547993, ' 1': -2.0328233, ' 2': -0.2002295, ' one': -6.2259784, ' two': -3.089643}
{' number': -6.462919, ' 1': -1.3716508, ' 2': -0.35125938, ' one': -5.731761, ' two': -3.3240778}
{' #': -6.6739244, ' 1': -2.2630584, ' 2': -0.1616085, ' one': -6.4823475, ' two': -3.193852}
{' 2': -0.18447387, ' 1': -2.1042373, ' two': -3.1816163, ' one': -6.288131, ' number': -6.4738145}
{' number': -6.47023, ' 1': -1.7004822, ' 2': -0.26370323, ' one': -5.967082, ' two': -3.1349647}
{' number': -6.5541124, ' 1': -1.789216, ' 2': -0.2442464, ' one': -5.931528, ' two': -3.1242685}
{' number': -6.369204, ' 1': -1.798224, ' 2': -0.24891146, ' one': -5.920351, ' two': -3.0227683}
{' 2': -0.08800401, ' two': -3.05012, ' 1': -3.3921475, ' number': -6.6376824, ' #': -6.6836915}
{' number': -6.686871, ' #': -6.7000265, ' 1': -4.2478266, ' 2': -0.06712445, ' two': -3.041381}
{' number': -6.5810485, ' #': -6.7379136, ' 1': -3.180844, ' 2': -0.099265054, ' two': -3.0041072}
{' number': -6.5613317, ' #': -6.712093, ' 1': -3.042223, ' 2': -0.106651336, ' two': -2.998184}
{' number': -6.510935, ' #': -6.550168, ' 1': -2.4836879, ' 2': -0.13840625, ' two': -3.1813843}
{' number': -6.8602834, ' #': -6.90785, ' 1': -4.0022335, ' 2': -0.065820605, ' two': -3.1470869}
{' number': -6.60931, ' #': -6.866987, ' 1': -4.008481, ' 2': -0.06403483, ' two': -3.1921246}
{' 2': -0.07964108, ' two': -2.9847636, ' 1': -3.7679667, ' number': -6.6195445, ' #': -6.865846}
{' number': -6.620399, ' 1': -2.6315615, ' 2': -0.13537812, ' one': -6.7107835, ' two': -2.9797118}
{' number': -6.437259, ' 1': -2.1460824, ' 2': -0.18771233, ' one': -6.239353, ' two': -3.0150285}
{' number': -6.4957986, ' 1': -1.9278531, ' 2': -0.22191277, ' one': -5.968467, ' two': -3.0384276}
{' number': -6.7648535, ' #': -6.8720193, ' 1': -4.6568475, ' 2': -0.06390634, ' two': -2.9977405}
{' number': -6.4563107, ' #': -6.5202937, ' 1': -2.626088, ' 2': -0.1356362, ' two': -2.9921749}
{' number': -6.587543, ' #': -6.8449836, ' 1': -4.2949057, ' 2': -0.06899758, ' two': -2.9914083}
{' number': -6.4969535, ' #': -6.666307, ' 1': -2.9833493, ' 2': -0.1033391, ' two': -3.1273983}
{' number': -6.634983, ' #': -6.683038, ' 1': -2.6865177, ' 2': -0.12504412, ' two': -3.0875244}
{' number': -6.374442, ' 1': -1.9416802, ' 2': -0.21402483, ' one': -6.14721, ' two': -3.1300883}
{' number': -6.555724, ' #': -6.625652, ' 1': -2.8158033, ' 2': -0.11931625, ' two': -3.0213835}
{' 2': -0.5763837, ' 1': -0.9218294, ' two': -3.4420185, ' one': -5.2976837, ' #': -6.457307}
{' #': -6.457011, ' 1': -0.28525373, ' 2': -1.5303098, ' one': -4.3825207, ' two': -4.134199}
{' #': -6.701233, ' 1': -2.376131, ' 2': -0.1622353, ' one': -6.3341117, ' two': -2.9459531}
{' #': -6.1798053, ' 1': -0.70018345, ' 2': -0.76090384, ' one': -5.0999727, ' two': -3.6291134}
{' #': -6.418668, ' 1': -0.29438344, ' 2': -1.4719385, ' one': -4.65109, ' two': -4.3423457}
{' #': -6.3604302, ' 1': -0.39257208, ' 2': -1.2251413, ' one': -4.6852756, ' two': -3.9891467}
{' #': -6.3295603, ' 1': -0.47762695, ' 2': -1.0526754, ' one': -4.8955154, ' two': -3.9103792}
{' #': -6.4178762, ' 1': -0.48817018, ' 2': -1.0317322, ' one': -4.9970107, ' two': -3.911117}
{' #': -6.3923926, ' 1': -1.5157597, ' 2': -0.3063272, ' one': -5.8679876, ' two': -3.261081}
{' #': -6.5153785, ' 1': -2.4045186, ' 2': -0.14385098, ' one': -6.703831, ' two': -3.2270284}
{' #': -6.2589498, ' 1': -0.5487811, ' 2': -0.93964446, ' one': -4.9609895, ' two': -3.8549087}
{' #': -6.485877, ' 1': -1.9745746, ' 2': -0.20559275, ' one': -6.305521, ' two': -3.1622596}
{' 2': -0.40954146, ' 1': -1.2115948, ' two': -3.4491131, ' one': -5.7001224, ' #': -6.3839564}
{' #': -6.482547, ' 1': -2.1452248, ' 2': -0.17569865, ' one': -6.4471717, ' two': -3.2269359}
{' #': -6.370852, ' 1': -1.8569819, ' 2': -0.22047865, ' one': -6.2346897, ' two': -3.31086}
{' 2': -0.2433761, ' 1': -1.7795433, ' two': -3.1680894, ' one': -6.1253414, ' #': -6.4749546}
{' #': -6.499418, ' 1': -1.8262122, ' 2': -0.23058745, ' one': -6.134192, ' two': -3.2221875}
{' #': -6.4495373, ' 1': -1.74036, ' 2': -0.25523156, ' one': -6.0294523, ' two': -3.1187475}
{' number': -6.740894, ' #': -6.581487, ' 1': -3.377256, ' 2': -0.08374365, ' two': -3.145889}
{' number': -6.7508645, ' #': -6.679353, ' 1': -4.0441785, ' 2': -0.067583896, ' two': -3.100907}
{' number': -6.7344084, ' #': -6.7757096, ' 1': -3.4303427, ' 2': -0.08300883, ' two': -3.1148384}
{' number': -6.660164, ' #': -6.6923876, ' 1': -3.0680916, ' 2': -0.10152553, ' two': -3.064393}
{' number': -6.623065, ' #': -6.574137, ' 1': -2.5272133, ' 2': -0.13076356, ' two': -3.2500277}
{' number': -6.879285, ' #': -6.7665076, ' 1': -3.8812473, ' 2': -0.06461815, ' two': -3.2345133}
{' number': -6.6753983, ' #': -6.805353, ' 1': -4.2103486, ' 2': -0.057667185, ' two': -3.2569067}
{' number': -6.6750927, ' #': -6.7321963, ' 1': -3.68848, ' 2': -0.07813598, ' two': -3.053392}
{' 2': -0.15749656, ' 1': -2.3233805, ' two': -3.131038, ' #': -6.5978885, ' one': -6.6127253}
{' #': -6.500936, ' 1': -2.1109111, ' 2': -0.18598816, ' one': -6.3791842, ' two': -3.1267934}
{' #': -6.524527, ' 1': -2.0450702, ' 2': -0.19650637, ' one': -6.2162566, ' two': -3.1218507}
{' 2': -0.05646669, ' two': -3.1007304, ' 1': -4.9049525, ' #': -6.7694016, ' number': -6.8321986}
{' number': -6.536401, ' #': -6.4777956, ' 1': -2.6705656, ' 2': -0.12718698, ' two': -3.0757227}
{' number': -6.6456213, ' #': -6.660149, ' 1': -4.266988, ' 2': -0.070096165, ' two': -2.981307}
{' number': -6.5903625, ' #': -6.563502, ' 1': -2.9162407, ' 2': -0.10828022, ' two': -3.1071298}
{' 2': -0.12827873, ' 1': -2.5922318, ' two': -3.1768723, ' #': -6.568275, ' number': -6.7103353}
{' #': -6.3824463, ' 1': -1.6900034, ' 2': -0.26028153, ' one': -6.0564456, ' two': -3.2459626}
{' number': -6.626817, ' #': -6.558035, ' 1': -2.873001, ' 2': -0.11201482, ' two': -3.0852315}
{' #': -6.526645, ' 1': -1.0685983, ' 2': -0.4823574, ' one': -5.5529275, ' two': -3.4304032}
{' 1': -0.28034842, ' 2': -1.5348917, ' two': -4.2224584, ' one': -4.484158, ' #': -6.46337}
{' #': -6.611966, ' 1': -1.9989527, ' 2': -0.20802681, ' one': -6.123146, ' two': -3.0455394}
{' #': -6.5177255, ' 1': -0.74345106, ' 2': -0.7088785, ' one': -5.2761946, ' two': -3.7111518}
{' #': -6.6960597, ' 1': -0.26483876, ' 2': -1.5521731, ' one': -4.799808, ' two': -4.5783954}
{' #': -6.6556873, ' 1': -0.3062625, ' 2': -1.4300208, ' one': -4.735389, ' two': -4.329139}
{' 1': -0.4339422, ' 2': -1.1193632, ' two': -4.118083, ' one': -4.999896, ' #': -6.644128}
{' #': -6.717906, ' 1': -0.35259575, ' 2': -1.2940726, ' one': -4.964687, ' two': -4.301206}
{' 2': -0.25726798, ' 1': -1.6763774, ' two': -3.3496387, ' one': -6.1120305, ' #': -6.670501}
{' #': -6.8047705, ' 1': -2.3523352, ' 2': -0.14342533, ' one': -6.740386, ' two': -3.3510497}
{' #': -6.5578685, ' 1': -0.5437346, ' 2': -0.9364042, ' one': -5.0916777, ' two': -3.989215}
{' #': -6.761232, ' 1': -2.1438868, ' 2': -0.17293577, ' one': -6.5319467, ' two': -3.2738724}
{' 2': -0.3214425, ' 1': -1.4287002, ' two': -3.498462, ' one': -5.9761524, ' #': -6.716769}
{' #': -6.8193407, ' 1': -2.19296, ' 2': -0.16214699, ' one': -6.585173, ' two': -3.3658268}
{' #': -6.7386103, ' 1': -2.0497677, ' 2': -0.17984341, ' one': -6.517519, ' two': -3.445886}
{' #': -6.7791734, ' 1': -2.0477307, ' 2': -0.1859372, ' one': -6.4846277, ' two': -3.303155}
{' #': -6.802349, ' 1': -1.9954281, ' 2': -0.19320494, ' one': -6.374185, ' two': -3.3314896}
{' number': -6.6700807, ' 1': -1.7778273, ' 2': -0.23906435, ' one': -6.1608844, ' two': -3.246131}
{' number': -6.9433804, ' #': -6.946659, ' 1': -3.638123, ' 2': -0.068911046, ' two': -3.2727818}
{' number': -6.9645452, ' #': -7.0546427, ' 1': -4.215562, ' 2': -0.057679437, ' two': -3.240287}
{' number': -6.8976717, ' #': -7.0285945, ' 1': -3.3345969, ' 2': -0.078999, ' two': -3.2730086}
{' number': -6.862451, ' #': -7.021066, ' 1': -3.2491655, ' 2': -0.08477131, ' two': -3.2213051}
{' number': -6.7593803, ' 1': -2.4251416, ' 2': -0.1332239, ' one': -6.8603806, ' two': -3.4140577}
{' number': -7.119183, ' #': -7.0793767, ' 1': -4.285826, ' 2': -0.050385427, ' two': -3.3978791}
{' number': -6.9102187, ' #': -7.122294, ' 1': -4.4669375, ' 2': -0.047748182, ' two': -3.4086013}
{' number': -6.8971725, ' #': -7.0186257, ' 1': -3.8064697, ' 2': -0.0707442, ' two': -3.1297383}
{' number': -6.839521, ' 1': -2.257433, ' 2': -0.15875225, ' one': -6.628012, ' two': -3.253166}
{' 2': -0.20143522, ' 1': -1.9588853, ' two': -3.28849, ' one': -6.3734255, ' number': -6.734066}
{' number': -6.8176126, ' 1': -2.2758183, ' 2': -0.15867667, ' one': -6.5247626, ' two': -3.212502}
{' number': -7.048499, ' #': -7.0518107, ' 1': -4.931105, ' 2': -0.049235236, ' two': -3.2476258}
{' number': -6.6930466, ' #': -6.7443967, ' 1': -2.6910157, ' 2': -0.11873114, ' two': -3.2002301}
{' number': -6.823985, ' #': -6.943522, ' 1': -4.2524104, ' 2': -0.06155729, ' two': -3.144491}
{' number': -6.792293, ' #': -6.8942256, ' 1': -2.9370725, ' 2': -0.098085456, ' two': -3.2852726}
{' #': -6.7934685, ' 1': -2.2124846, ' 2': -0.16124952, ' one': -6.580756, ' two': -3.3301451}
{' number': -6.6324964, ' 1': -1.8103527, ' 2': -0.22608612, ' one': -6.285448, ' two': -3.3759558}
{' number': -6.7857947, ' #': -6.8221197, ' 1': -2.6690347, ' 2': -0.118821755, ' two': -3.2326655}
{' number': -6.739388, ' 1': -0.8294666, ' 2': -0.62998086, ' one': -5.454205, ' two': -3.7150428}
{' number': -6.745562, ' 1': -0.26227906, ' 2': -1.5733695, ' one': -4.688558, ' two': -4.4484186}
{' 2': -0.23809433, ' 1': -1.7923908, ' two': -3.1989553, ' one': -6.064485, ' #': -6.851903}
{' #': -6.4453945, ' 1': -0.88167644, ' 2': -0.60106355, ' one': -5.2831635, ' two': -3.5291965}
{' number': -6.5697703, ' 1': -0.31130618, ' 2': -1.416279, ' one': -4.694542, ' two': -4.3459325}
{' number': -6.4980426, ' 1': -0.3987696, ' 2': -1.2072012, ' one': -4.7016053, ' two': -4.0282574}
{' number': -6.5094614, ' 1': -0.44993192, ' 2': -1.0982358, ' one': -4.860147, ' two': -4.007969}
{' number': -6.502743, ' 1': -0.4496507, ' 2': -1.0959253, ' one': -4.9243975, ' two': -4.0260534}
{' number': -6.5095367, ' 1': -1.5980879, ' 2': -0.2855537, ' one': -5.8376856, ' two': -3.2152143}
{' 2': -0.12846468, ' 1': -2.5773745, ' two': -3.1978137, ' number': -6.644438, ' one': -6.7530355}
{' number': -6.4553, ' 1': -0.56671816, ' 2': -0.9128734, ' one': -4.961768, ' two': -3.86254}
{' number': -6.6081805, ' 1': -2.1892076, ' 2': -0.17530103, ' one': -6.357257, ' two': -3.113522}
{' number': -6.4692054, ' 1': -1.5461262, ' 2': -0.29424575, ' one': -5.856192, ' two': -3.3229187}
{' number': -6.6879883, ' 1': -2.3687556, ' 2': -0.14749366, ' one': -6.576511, ' two': -3.2277815}
{' number': -6.471891, ' 1': -2.0739377, ' 2': -0.18247736, ' one': -6.3487926, ' two': -3.3112288}
{' number': -6.5397635, ' 1': -2.0579672, ' 2': -0.19224066, ' one': -6.2889724, ' two': -3.1555011}
{' number': -6.617002, ' 1': -2.1871421, ' 2': -0.17157827, ' one': -6.3617806, ' two': -3.189446}
{' number': -6.4175906, ' 1': -1.9953151, ' 2': -0.20581402, ' one': -6.145316, ' two': -3.1002095}
{' 2': -0.07795393, ' two': -3.1362078, ' 1': -3.5563872, ' number': -6.610655, ' #': -6.8134766}
{' 2': -0.06364143, ' two': -3.0590634, ' 1': -4.3985715, ' number': -6.7380605, ' #': -7.0156584}
{' number': -6.7156835, ' #': -7.124347, ' 1': -3.9111137, ' 2': -0.06800654, ' two': -3.1398408}
{' number': -6.593093, ' #': -6.9610696, ' 1': -3.3258662, ' 2': -0.08689644, ' two': -3.116775}
{' number': -6.524833, ' 1': -2.5612583, ' 2': -0.12615591, ' one': -6.813668, ' two': -3.2801764}
{' number': -6.8327746, ' #': -7.033735, ' 1': -4.189991, ' 2': -0.057859156, ' two': -3.2501025}
{' number': -6.6542516, ' #': -7.06152, ' 1': -4.6706758, ' 2': -0.05310907, ' two': -3.2202861}
{' number': -6.6510277, ' #': -7.020574, ' 1': -3.9949167, ' 2': -0.07265062, ' two': -3.0153635}
{' number': -6.627758, ' #': -6.930506, ' 1': -2.7939148, ' 2': -0.1161481, ' two': -3.0985453}
{' number': -6.489075, ' 1': -2.088385, ' 2': -0.18799461, ' one': -6.289172, ' two': -3.1502576}
{' 2': -0.16678493, ' 1': -2.2684846, ' two': -3.0893886, ' one': -6.3316236, ' number': -6.5094543}
{' number': -6.7146497, ' #': -6.9567204, ' 1': -4.9501743, ' 2': -0.05732571, ' two': -3.074719}
{' number': -6.4533877, ' #': -6.7775064, ' 1': -2.7776384, ' 2': -0.11885539, ' two': -3.0769453}
{' number': -6.574649, ' #': -6.9649262, ' 1': -4.6592956, ' 2': -0.0627574, ' two': -3.021814}
{' number': -6.5096827, ' #': -6.8190575, ' 1': -3.1186345, ' 2': -0.095170595, ' two': -3.1433327}
{' number': -6.59254, ' 1': -2.4983618, ' 2': -0.13608766, ' one': -6.664031, ' two': -3.1903536}
{' 2': -0.19378945, ' 1': -2.0365474, ' two': -3.2016058, ' one': -6.2546115, ' number': -6.3787923}
{' number': -6.5250063, ' 1': -2.6091726, ' 2': -0.13010207, ' one': -6.7644687, ' two': -3.1118486}
{' number': -6.4690976, ' 1': -0.9969265, ' 2': -0.52045554, ' one': -5.445916, ' two': -3.5207894}
{' number': -6.4835744, ' 1': -0.30206764, ' 2': -1.461625, ' one': -4.50957, ' two': -4.2005067}
{' number': -6.6549277, ' 1': -1.9672773, ' 2': -0.213106, ' one': -6.007174, ' two': -3.0562267}
{' #': -6.558388, ' 1': -0.6135703, ' 2': -0.8475237, ' one': -5.178588, ' two': -3.830073}
{' 1': -0.24700238, ' 2': -1.6168584, ' two': -4.6197724, ' one': -4.8075814, ' #': -6.7791586}
{' number': -6.74963, ' 1': -0.29805103, ' 2': -1.4539806, ' one': -4.769294, ' two': -4.3306437}
{' #': -6.703721, ' 1': -0.35771677, ' 2': -1.2865136, ' one': -4.894355, ' two': -4.2343206}
{' number': -6.7434154, ' 1': -0.32320657, ' 2': -1.3725383, ' one': -4.926707, ' two': -4.339642}
{' 2': -0.31763926, ' 1': -1.459176, ' two': -3.365992, ' one': -5.948551, ' #': -6.67609}
{' 2': -0.17337829, ' 1': -2.120228, ' two': -3.3420527, ' one': -6.544116, ' number': -6.7643948}
{' 1': -0.52068657, ' 2': -0.97281975, ' two': -3.9747481, ' one': -5.0587955, ' #': -6.5918074}
{' #': -6.8185444, ' 1': -2.0217526, ' 2': -0.19343507, ' one': -6.421457, ' two': -3.2304776}
{' number': -6.7130046, ' 1': -1.5703592, ' 2': -0.2810125, ' one': -6.0963154, ' two': -3.4334075}
{' #': -6.8682523, ' 1': -2.1067724, ' 2': -0.1753264, ' one': -6.515001, ' two': -3.3375192}
{' number': -6.6452284, ' 1': -1.8556839, ' 2': -0.2153775, ' one': -6.339362, ' two': -3.4094958}
{' number': -6.7101526, ' 1': -1.7090704, ' 2': -0.25195903, ' one': -6.192441, ' two': -3.2922041}
{' number': -6.768091, ' 1': -1.836859, ' 2': -0.22198881, ' one': -6.2669106, ' two': -3.3375874}
{' number': -6.5843735, ' 1': -1.6050168, ' 2': -0.27925715, ' one': -6.0671186, ' two': -3.2769988}
{' 2': -0.07531403, ' two': -3.241715, ' 1': -3.475161, ' number': -6.8660555, ' #': -6.9608274}
{' number': -7.0028944, ' #': -7.0868545, ' 1': -4.3851376, ' 2': -0.05681229, ' two': -3.2006054}
{' 2': -0.08174719, ' two': -3.2404575, ' 1': -3.2982025, ' number': -6.8591304, ' #': -7.1375}
{' number': -6.7572985, ' #': -7.0066156, ' 1': -3.0017407, ' 2': -0.09742505, ' two': -3.2110686}
{' 2': -0.1524148, ' 1': -2.2660356, ' two': -3.3817654, ' number': -6.655215, ' one': -6.700452}
{' number': -7.083038, ' #': -7.1444077, ' 1': -4.2062316, ' 2': -0.053262513, ' two': -3.3508906}
{' 2': -0.048928417, ' two': -3.3889987, ' 1': -4.427335, ' number': -6.854307, ' #': -7.183434}
{' number': -6.8400836, ' #': -7.079505, ' 1': -3.6879668, ' 2': -0.07615615, ' two': -3.080936}
{' number': -6.818586, ' 1': -2.5012014, ' 2': -0.1343402, ' one': -6.872151, ' two': -3.2042332}
{' number': -6.6722918, ' 1': -2.0069723, ' 2': -0.19513616, ' one': -6.4091663, ' two': -3.249314}
{' number': -6.7877765, ' 1': -2.3465683, ' 2': -0.15140668, ' one': -6.6096687, ' two': -3.1907113}
{' number': -6.987567, ' #': -7.082257, ' 1': -4.8498507, ' 2': -0.05056272, ' two': -3.2316215}
{' number': -6.619965, ' #': -6.8163085, ' 1': -2.5066748, ' 2': -0.13423617, ' two': -3.2054067}
{' number': -6.7824154, ' #': -7.0337267, ' 1': -4.235922, ' 2': -0.06335625, ' two': -3.1104162}
{' number': -6.723378, ' #': -6.8909364, ' 1': -2.9001453, ' 2': -0.10110372, ' two': -3.2678304}
{' number': -6.8154564, ' 1': -2.4882336, ' 2': -0.13346867, ' one': -6.8196564, ' two': -3.255083}
{' 2': -0.27586946, ' 1': -1.5931053, ' two': -3.4125328, ' one': -6.1395717, ' number': -6.5850544}
{' number': -6.702045, ' #': -6.820855, ' 1': -2.6224875, ' 2': -0.12414115, ' two': -3.2005436}
{' number': -6.712852, ' 1': -0.67469907, ' 2': -0.7726795, ' one': -5.3227415, ' two': -3.8367074}
{' number': -6.7574954, ' 1': -0.22798158, ' 2': -1.7090375, ' one': -4.6236267, ' two': -4.536857}
{' number': -6.877388, ' 1': -1.8332386, ' 2': -0.23025708, ' one': -6.1201315, ' two': -3.1838722}
{' 2': -0.72104573, ' 1': -0.7307447, ' two': -3.7060251, ' one': -5.3053846, ' #': -6.6166916}
{' number': -6.8348036, ' 1': -0.34487346, ' 2': -1.3151207, ' one': -4.8896866, ' two': -4.306673}
{' number': -6.7688675, ' 1': -0.39555624, ' 2': -1.2049264, ' one': -4.859818, ' two': -4.080174}
{' number': -6.803632, ' 1': -0.39700124, ' 2': -1.1962681, ' one': -4.9451084, ' two': -4.1380196}
{' number': -6.7513804, ' 1': -0.37777928, ' 2': -1.2342036, ' one': -5.0061665, ' two': -4.2259026}
{' number': -6.734311, ' 1': -1.4331014, ' 2': -0.3267934, ' one': -5.8870234, ' two': -3.354223}
{' number': -6.926857, ' 1': -2.5300105, ' 2': -0.12793373, ' one': -6.906164, ' two': -3.2840579}
{' #': -6.696757, ' 1': -0.6343842, ' 2': -0.8220255, ' one': -5.1832104, ' two': -3.8144264}
{' number': -6.8927264, ' 1': -2.2134213, ' 2': -0.16833346, ' one': -6.559701, ' two': -3.1671622}
{' 2': -0.27794105, ' 1': -1.5894969, ' two': -3.3807182, ' one': -6.0606327, ' number': -6.76851}
{' 2': -0.17042087, ' 1': -2.155988, ' two': -3.285449, ' one': -6.5540648, ' number': -6.889656}
{' number': -6.6949635, ' 1': -2.1615024, ' 2': -0.1683537, ' one': -6.566688, ' two': -3.3231003}
{' number': -6.7770424, ' 1': -1.9266282, ' 2': -0.2085706, ' one': -6.359724, ' two': -3.2514956}
{' number': -6.841745, ' 1': -2.0858746, ' 2': -0.1823217, ' one': -6.4267716, ' two': -3.2503738}
{' number': -6.678825, ' 1': -1.95, ' 2': -0.20952716, ' one': -6.2782526, ' two': -3.1569376}
{' number': -6.9405923, ' #': -7.0161023, ' 1': -3.2892196, ' 2': -0.0857343, ' two': -3.1600215}
{' 2': -0.058460884, ' two': -3.1199424, ' 1': -4.533463, ' number': -7.0126386, ' #': -7.2312703}
{' number': -6.9310718, ' #': -7.209151, ' 1': -3.451174, ' 2': -0.081327654, ' two': -3.1197226}
{' number': -6.851539, ' #': -7.1544228, ' 1': -3.036233, ' 2': -0.098036736, ' two': -3.1517038}
{' number': -6.7783413, ' 1': -2.7066631, ' 2': -0.11266527, ' one': -7.0822415, ' two': -3.299385}
