{' No': -12.621933, ' ': -10.259762, ' Yes': -0.0020083846, ' yes': -10.109585, 'Yes': -6.2551475}
{' No': -10.0973215, ' ': -9.671039, ' Yes': -0.0023791653, ' yes': -9.844129, 'Yes': -6.129237}
{' No': -6.592317, ' ': -8.847306, ' Yes': -0.004008718, ' yes': -9.7233305, 'Yes': -6.0510244}
{' No': -10.789526, ' ': -10.069025, ' Yes': -0.001945616, ' yes': -9.942389, 'Yes': -6.3066406}
{' No': -0.037175115, ' Yes': -3.465491, 'No': -5.30996, ' ': -8.569993, 'Yes': -9.279759}
{' No': -6.555008, ' Generally': -5.7139363, ' Yes': -0.008747782, 'Yes': -5.8475575, ' It': -7.7533875}
{' No': -4.982398, ' Generally': -4.935073, ' Yes': -0.022559257, 'Yes': -5.8058195, ' It': -5.5628476}
{' No': -0.100907154, ' Generally': -4.757317, 'No': -4.32169, ' Yes': -4.1380205, ' It': -2.945815}
{' No': -0.014610559, ' ': -9.018486, ' Generally': -8.614597, 'No': -4.8647904, ' Yes': -5.058129}
{' No': -0.005809563, ' ': -10.306338, 'No': -5.1575375, ' A': -13.9761715, ' no': -14.093938}
{' That': -5.3374515, ' No': -0.1670203, ' Generally': -3.4737027, 'No': -4.2814174, ' It': -2.332599}
{' No': -0.011713862, ' ': -9.937286, ' Generally': -8.296518, 'No': -4.5031934, ' It': -8.579415}
{' No': -0.0077750953, ' ': -10.538065, ' Generally': -10.550635, 'No': -4.8685327, ' A': -12.922286}
{' No': -0.005655137, ' ': -10.927944, 'No': -5.181623, ' no': -13.876925, ' NO': -14.707331}
{' That': -7.9518924, ' No': -0.032525744, ' Generally': -5.1685576, 'No': -4.2486625, ' It': -4.5274997}
{' No': -0.008439071, ' ': -9.865259, ' Generally': -8.039052, 'No': -4.83112, ' Yes': -10.740612}
{' No': -0.0048091006, '\n': -14.60538, ' ': -10.648446, 'No': -5.345206, ' no': -13.943179}
{' No': -0.013891567, ' ': -9.041138, ' Generally': -6.5133567, 'No': -4.7279816, ' Yes': -5.742107}
{' No': -0.0061974064, 'No': -5.093352, ' ': -10.250336, ' Generally': -13.128985, ' no': -13.939847}
{' No': -0.0054255817, ' ': -10.547738, ' Generally': -13.147518, 'No': -5.225108, ' no': -14.165729}
{' ': -10.158241, ' Generally': -11.001398, ' Yes': -0.0021462955, ' yes': -9.896436, 'Yes': -6.200556}
{' ': -10.402196, ' Generally': -11.367763, ' Yes': -0.0019178451, ' yes': -9.787936, 'Yes': -6.3141046}
{' ': -9.534632, ' Generally': -9.799648, ' Yes': -0.0023329207, ' yes': -9.741671, 'Yes': -6.1774507}
{' No': -6.578242, ' ': -8.830342, ' Yes': -0.0039606034, ' yes': -9.564484, 'Yes': -6.100283}
{' No': -10.883578, ' ': -10.028648, ' Yes': -0.0018237322, ' yes': -9.832278, 'Yes': -6.3801665}
{' No': -0.015563897, ' Yes': -4.6141396, 'No': -5.22353, ' ': -9.145013, 'Yes': -10.419431}
{' Yes': -0.008133463, ' Generally': -5.7357564, 'Yes': -5.922854, ' No': -6.701163, ' It': -8.066765}
{' No': -4.402608, ' Generally': -4.4399595, ' Yes': -0.037314687, 'Yes': -5.7901635, ' It': -4.933482}
{' No': -0.10688963, ' Generally': -4.3899193, 'No': -4.4030986, ' Yes': -4.37195, ' It': -2.8611753}
{' No': -0.009595526, ' ': -9.255206, ' Generally': -8.621085, 'No': -4.911638, ' Yes': -6.3003817}
{' No': -0.005687028, ' ': -10.193849, 'No': -5.179677, ' A': -13.999657, ' no': -14.180522}
{' No': -0.15890595, ' It': -2.4594584, ' Generally': -3.3597667, 'No': -4.2611113, ' That': -5.397313}
{' No': -0.012761827, ' Not': -9.79481, ' Generally': -7.5347757, 'No': -4.4563136, ' It': -8.016873}
{' No': -0.008247821, 'No': -4.812344, ' Generally': -9.987074, ' ': -10.475778, ' A': -12.409621}
{' No': -0.005989435, '\n': -14.539491, ' ': -10.817511, 'No': -5.124533, ' no': -14.021609}
{' No': -0.028025024, 'No': -4.442686, ' It': -4.7711854, ' Generally': -5.0723424, ' That': -8.115061}
{' No': -0.008340614, ' ': -9.831573, ' Generally': -7.7781787, 'No': -4.855625, ' Yes': -11.140826}
{' No': -0.005480959, '\n': -14.009295, ' ': -10.457468, 'No': -5.2151175, ' no': -14.026444}
{' No': -0.019715356, ' ': -8.824454, ' Generally': -5.8158364, 'No': -4.7185297, ' Yes': -4.9329424}
{' No': -0.006972947, 'No': -4.9760566, ' ': -10.127704, ' Generally': -12.6077385, ' A': -13.891931}
{' No': -0.005623729, '\n': -13.917149, ' ': -10.457445, ' Generally': -12.64311, 'No': -5.1899056}
{' ': -10.261656, ' Generally': -10.912, ' Yes': -0.0018131621, ' yes': -10.045697, 'Yes': -6.373816}
{' Yes': -0.0016996549, 'Yes': -6.436426, ' yes': -9.998575, ' ': -10.476156, ' Generally': -11.119456}
{' Yes': -0.0020809504, 'Yes': -6.281898, ' ': -9.8360195, ' yes': -9.891411, ' No': -9.946104}
{' No': -6.2026606, ' ': -8.979849, ' Yes': -0.004378627, ' yes': -9.691091, 'Yes': -6.1843667}
{' No': -10.86574, ' ': -10.32419, ' Yes': -0.0015682494, ' yes': -10.053741, 'Yes': -6.5262604}
{' No': -0.032958027, ' ': -8.758746, 'No': -5.344327, ' Yes': -3.5971632, 'Yes': -9.467086}
{' No': -6.388377, ' Generally': -5.7214804, ' Yes': -0.00833881, 'Yes': -6.034511, ' It': -8.055537}
{' No': -3.7255394, ' Generally': -4.2376795, ' Yes': -0.057278868, 'Yes': -5.8377924, ' It': -4.506301}
{' No': -0.07227939, ' Generally': -4.987284, 'No': -4.583815, ' Yes': -4.9122643, ' It': -3.2195725}
{' No': -0.0075849337, ' ': -9.511537, ' Generally': -9.204017, 'No': -5.1074495, ' Yes': -6.659173}
{' No': -0.005121308, ' ': -10.397526, 'No': -5.2835426, ' A': -14.235451, ' no': -14.094999}
{' That': -5.5431175, ' No': -0.11686294, ' Generally': -3.5801613, 'No': -4.376821, ' It': -2.8330264}
{' No': -0.010540852, ' ': -10.1169815, ' Generally': -8.021577, 'No': -4.624387, ' It': -8.534175}
{' No': -0.006842289, ' ': -10.669924, ' Generally': -10.455389, 'No': -4.996899, ' A': -12.78455}
{' No': -0.005310824, '\n': -14.643496, ' ': -10.987751, 'No': -5.244328, ' no': -13.977616}
{' That': -8.193498, ' No': -0.022708327, ' Generally': -5.508981, 'No': -4.480447, ' It': -5.0889044}
{' No': -0.00661504, ' ': -10.177071, ' Generally': -8.523722, 'No': -5.062851, ' Yes': -11.647178}
{' No': -0.004794068, '\n': -14.264226, ' ': -10.761133, 'No': -5.3478556, ' no': -14.062097}
{' No': -0.012822923, 'No': -4.955236, ' Yes': -5.6351275, ' Generally': -6.289175, ' ': -9.223481}
{' No': -0.0053781806, 'No': -5.2349315, ' ': -10.373007, ' Generally': -13.212503, ' no': -14.0132675}
{' No': -0.004722261, 'No': -5.363994, ' ': -10.635692, ' Generally': -13.11011, '\n': -14.084355}
{' ': -10.430411, ' Generally': -9.648373, ' Yes': -0.0020006802, ' yes': -9.810531, 'Yes': -6.301494}
{' ': -10.761181, ' Generally': -9.926397, ' Yes': -0.0017338067, ' yes': -9.745206, 'Yes': -6.4453893}
{' No': -9.303641, ' Generally': -8.581383, ' Yes': -0.0024145956, ' yes': -9.677707, 'Yes': -6.2260375}
{' No': -5.8562407, ' ': -9.181436, ' Generally': -8.332803, ' Yes': -0.0054605813, 'Yes': -6.181882}
{' No': -9.645577, ' ': -10.160907, ' Yes': -0.0019260873, ' yes': -9.659322, 'Yes': -6.372537}
{' An': -11.197608, ' No': -0.007999587, ' ': -9.848246, 'No': -5.2241974, ' Yes': -5.989261}
{' No': -6.4828897, ' Generally': -4.466595, ' Yes': -0.02081172, 'Yes': -5.8562546, ' It': -6.3323345}
{' That': -4.7587285, ' No': -3.885405, ' Generally': -2.9366705, ' Yes': -0.20089972, ' It': -2.4661107}
{' That': -3.1288943, ' No': -0.67182505, ' Generally': -3.4593291, ' Yes': -3.7552161, ' It': -0.9952064}
{' No': -0.014577294, 'No': -4.7665415, ' Yes': -5.372907, ' Generally': -7.240632, ' A': -7.700818}
{' No': -0.005538736, ' ': -10.721425, ' Generally': -13.083515, 'No': -5.204143, ' A': -12.677314}
{' That': -3.6146605, ' No': -0.7573952, ' Generally': -2.533072, 'No': -4.642479, ' It': -0.92463535}
{' That': -7.213372, ' No': -0.023001833, ' Generally': -6.12411, 'No': -4.229682, ' It': -5.3601007}
{' No': -0.009846625, 'No': -4.642075, ' Generally': -9.009369, ' ': -10.928075, ' A': -11.50429}
{' No': -0.0066377814, ' ': -11.26278, 'No': -5.020767, ' A': -14.002268, ' no': -14.12016}
{' No': -0.2818902, ' It': -1.6993306, ' Generally': -3.3230755, 'No': -4.440599, ' That': -4.668515}
{' No': -0.010516275, ' ': -10.10507, ' Generally': -6.4420233, 'No': -4.7455816, ' A': -9.833918}
{' No': -0.0059438623, 'No': -5.132031, ' ': -11.02812, ' Generally': -13.028213, ' A': -13.842425}
{' No': -0.05309914, ' Generally': -4.101345, 'No': -4.566986, ' A': -7.210791, ' Yes': -3.7660716}
{' No': -0.0063744094, ' ': -10.538023, ' Generally': -10.936823, 'No': -5.066904, ' A': -12.588631}
{' No': -0.005918859, 'No': -5.139593, ' Generally': -10.844389, ' ': -11.035715, ' Not': -13.531357}
{' ': -10.142285, ' Generally': -9.97434, ' Yes': -0.003790431, ' yes': -9.584335, 'Yes': -5.6233177}
{' ': -10.643561, ' Generally': -9.999032, ' Yes': -0.0026943788, ' yes': -9.563235, 'Yes': -5.977969}
{' No': -9.259918, ' Generally': -8.760346, ' Yes': -0.00343288, ' yes': -9.571224, 'Yes': -5.812618}
{' No': -6.8167324, ' ': -9.462805, ' Generally': -8.729719, ' Yes': -0.0045341714, 'Yes': -5.794792}
{' No': -9.602308, ' ': -9.891266, ' Yes': -0.0030990164, ' yes': -9.544303, 'Yes': -5.8574157}
{' No': -0.07409064, ' ': -8.423104, 'No': -4.6318755, ' Yes': -2.7943797, 'Yes': -8.27694}
{' Yes': -0.026414908, ' Generally': -4.285522, 'Yes': -5.366983, ' No': -5.5072494, ' It': -6.9571695}
{' No': -3.1309047, ' Generally': -2.9171574, ' Yes': -0.15313873, 'Yes': -5.259496, ' It': -3.5895433}
{' No': -0.18586312, ' Generally': -3.3495154, 'No': -3.804874, ' Yes': -3.7007308, ' It': -2.6019645}
{' No': -0.031054793, ' Generally': -6.9055486, 'No': -4.114057, ' A': -7.8395553, ' Yes': -4.3775268}
{' No': -0.011847089, ' ': -10.2732525, ' Generally': -12.947055, 'No': -4.445166, ' A': -12.944604}
{' No': -0.5708763, ' It': -1.2765324, ' Generally': -2.4037027, 'No': -3.8563032, ' That': -4.0650587}
{' That': -8.65314, ' No': -0.033191156, ' Generally': -5.343629, 'No': -3.6689942, ' It': -6.414225}
{' No': -0.018536268, ' ': -10.380392, ' Generally': -8.482683, 'No': -4.011925, ' A': -11.374609}
{' No': -0.012504378, ' ': -10.948298, ' Generally': -14.234532, 'No': -4.389602, ' no': -14.004145}
{' No': -0.08661548, ' Generally': -3.2368476, 'No': -3.838303, ' It': -4.0077233, ' Typically': -7.0784683}
{' No': -0.017572017, 'No': -4.18613, ' Generally': -6.2582927, ' Yes': -9.159526, ' ': -9.474645}
{' No': -0.011189024, ' ': -10.525122, ' Generally': -13.516333, 'No': -4.501187, ' no': -14.077424}
{' No': -0.14450338, ' Generally': -3.908181, 'No': -3.9534957, ' A': -7.451142, ' Yes': -2.3735244}
{' No': -0.0114124315, ' ': -9.94915, ' Generally': -10.6598835, 'No': -4.485654, ' A': -13.267741}
{' No': -0.010576331, ' Not': -13.731754, ' ': -10.768322, ' Generally': -10.879201, 'No': -4.558647}
{' ': -9.702999, ' Generally': -11.515578, ' Yes': -0.0028938982, ' yes': -9.324387, 'Yes': -5.9077163}
{' ': -10.025919, ' Generally': -10.520846, ' Yes': -0.002766818, ' yes': -9.085002, 'Yes': -5.9679575}
{' ': -9.229975, ' Generally': -9.682211, ' Yes': -0.0033575834, ' yes': -9.035192, 'Yes': -5.7966504}
{' No': -8.995758, ' ': -8.870175, ' Yes': -0.003748968, ' yes': -8.950265, 'Yes': -5.724879}
{' No': -12.269806, ' ': -9.542532, ' Yes': -0.0027034048, ' yes': -9.267113, 'Yes': -5.9850445}
{' No': -0.09868214, ' ': -7.3354197, 'No': -4.7918606, ' Yes': -2.4697893, 'Yes': -7.893998}
{' Generally': -5.917135, ' A': -8.450763, ' Yes': -0.007823392, 'Yes': -5.6330748, ' It': -7.5858088}
{' No': -6.3175354, ' Generally': -4.239039, ' Yes': -0.046888985, 'Yes': -5.4162602, ' It': -3.881962}
{' That': -3.1397433, ' No': -1.5150124, ' Generally': -3.875795, ' Yes': -2.5465236, ' It': -0.4786488}
{' No': -0.052297227, ' Generally': -7.5114536, 'No': -4.510711, ' A': -7.837372, ' Yes': -3.2598047}
{' No': -0.010148186, '\n': -13.671454, ' ': -9.487116, 'No': -4.603667, ' no': -13.538444}
{' That': -3.6899917, ' No': -1.1577846, ' Generally': -3.030936, ' Yes': -4.4040036, ' It': -0.54969877}
{' That': -6.2998796, ' No': -0.0482413, ' Generally': -6.3334775, 'No': -3.8855767, ' It': -3.8151572}
{' No': -0.014163094, ' ': -9.559608, ' Generally': -9.189429, 'No': -4.280059, ' A': -10.9612255}
{' No': -0.010019641, '\n': -13.5517235, ' ': -10.048491, 'No': -4.6131, ' no': -13.195316}
{' That': -4.2491856, ' No': -0.5059224, ' Generally': -3.8287125, 'No': -4.4356213, ' It': -1.073412}
{' No': -0.014850517, ' ': -8.815278, ' Generally': -6.2333846, 'No': -4.4066844, ' Yes': -8.510105}
{' No': -0.008423921, '\n': -13.245565, ' ': -9.651799, 'No': -4.7893476, ' no': -13.288097}
{' No': -0.27799237, ' Generally': -3.662329, 'No': -4.5060425, ' A': -6.6091385, ' Yes': -1.6027927}
{' No': -0.009301955, '\n': -13.069356, ' ': -9.665744, ' Generally': -11.827197, 'No': -4.690738}
{' No': -0.010331671, '\n': -13.0933275, ' ': -9.657596, ' Generally': -11.991692, 'No': -4.5851855}
{' ': -10.33901, ' Generally': -10.5361805, ' Yes': -0.0016251439, ' yes': -10.014193, 'Yes': -6.495296}
{' Yes': -0.0015408484, 'Yes': -6.5517745, ' yes': -9.912839, ' ': -10.557895, ' Generally': -10.621755}
{' ': -9.952086, ' Generally': -9.732244, ' Yes': -0.0017888587, ' yes': -9.920762, 'Yes': -6.4413185}
{' Yes': -0.0021891282, 'Yes': -6.3485994, ' No': -8.639586, ' Generally': -9.384065, ' ': -9.517112}
{' An': -11.0122385, ' ': -10.115481, ' Yes': -0.0015838321, ' yes': -9.855594, 'Yes': -6.53382}
{' No': -0.031889763, ' ': -8.677991, 'No': -5.2947283, ' Yes': -3.6472137, 'Yes': -9.541589}
{' No': -7.7080517, ' Generally': -5.6864185, ' Yes': -0.006878477, 'Yes': -6.2152405, ' It': -8.175716}
{' No': -4.7391305, ' Generally': -3.9390035, ' Yes': -0.050112218, 'Yes': -5.986328, ' It': -4.342833}
{' No': -0.35511428, ' It': -1.8971273, ' Yes': -2.7510552, ' Generally': -3.2877657, ' That': -3.5778468}
{' No': -0.034104347, ' Generally': -6.8654203, 'No': -4.9799123, ' A': -7.459065, ' Yes': -3.7022579}
{' No': -0.0054746056, ' ': -10.483742, ' Generally': -12.559541, 'No': -5.217177, ' A': -13.046677}
{' That': -4.1397557, ' No': -0.2823206, ' Generally': -2.6353786, ' Yes': -4.265202, ' It': -2.0988433}
{' That': -7.0559363, ' No': -0.018689414, ' Generally': -5.8579316, 'No': -4.555223, ' It': -5.628127}
{' No': -0.008494974, 'No': -4.799421, ' Generally': -8.728141, ' ': -10.30599, ' A': -11.427343}
{' No': -0.006169219, 'No': -5.0951924, ' ': -10.882028, ' Generally': -13.470977, ' A': -13.881757}
{' That': -4.2043095, ' No': -0.25863454, ' Generally': -3.0593472, 'No': -4.796377, ' It': -1.8995645}
{' No': -0.010749834, ' Generally': -5.906008, 'No': -4.908842, ' A': -9.223042, ' Yes': -8.200436}
{' No': -0.005273613, ' ': -10.700219, ' Generally': -12.405847, 'No': -5.2535872, ' A': -13.831406}
{' No': -0.371153, ' Generally': -3.7559848, 'No': -5.287842, ' A': -6.6720257, ' Yes': -1.2789956}
{' No': -0.0058031487, ' ': -10.176807, ' Generally': -10.422466, 'No': -5.165856, ' A': -12.583087}
{' No': -0.0060515576, ' Not': -13.406997, ' ': -10.60094, ' Generally': -10.845599, 'No': -5.118903}
{' ': -9.892923, ' Generally': -8.772724, ' Yes': -0.0020337654, ' yes': -9.677645, 'Yes': -6.352421}
{' ': -10.147692, ' Generally': -8.744872, ' Yes': -0.002039084, ' yes': -9.472327, 'Yes': -6.364479}
{' An': -9.277776, ' ': -9.272543, ' Generally': -7.4478636, ' Yes': -0.0030003672, 'Yes': -6.16723}
{' Yes': -0.003793779, 'Yes': -6.120434, ' Generally': -7.162029, ' No': -7.899418, ' An': -8.615776}
{' An': -9.6409645, ' ': -9.619241, ' Yes': -0.0021820788, ' yes': -9.437115, 'Yes': -6.2548447}
{' An': -9.66281, ' No': -0.023294082, ' ': -8.667642, 'No': -5.175327, ' Yes': -4.0708537}
{' Generally': -3.6076872, ' Yes': -0.046175502, 'Yes': -5.7304482, ' It': -5.3920865, ' Cam': -5.9473004}
{' Yes': -0.47938094, ' It': -1.4800274, ' Generally': -2.4136288, ' That': -3.7840147, ' No': -4.58279}
{' That': -2.3452394, ' No': -1.5760632, ' Generally': -2.841322, ' Yes': -4.113041, ' It': -0.5223998}
{' No': -0.07564776, ' Generally': -4.83384, 'No': -4.564076, ' A': -5.4968495, ' Yes': -3.015883}
{' No': -0.007907723, 'No': -4.858919, ' ': -9.599109, ' Generally': -10.594518, ' A': -10.945104}
{' That': -3.0494823, ' No': -1.661791, ' On': -4.736311, ' Generally': -1.923626, ' It': -0.5631601}
{' That': -6.9851775, ' No': -0.04488796, ' Generally': -4.151905, 'No': -4.0742283, ' It': -4.842472}
{' No': -0.011860177, ' ': -9.413326, ' Generally': -6.5680366, 'No': -4.594631, ' A': -9.289158}
{' No': -0.0064658327, ' ': -10.13925, ' Generally': -12.027352, 'No': -5.052669, ' A': -12.733887}
{' No': -0.56576145, ' It': -1.425993, ' Generally': -1.8720492, ' That': -4.568302, 'No': -4.6657863}
{' No': -0.03230503, ' Generally': -3.905981, 'No': -4.6589546, ' A': -7.648295, ' Yes': -7.2316957}
{' No': -0.0062754992, ' ': -9.788721, ' Generally': -10.3734665, 'No': -5.090475, ' A': -11.951049}
{' No': -0.41077918, ' Generally': -2.0959065, 'No': -4.6942606, ' A': -5.368325, ' Yes': -1.6516163}
{' No': -0.009065008, 'No': -4.7550573, ' Generally': -8.1858015, ' ': -9.310653, ' A': -10.6320505}
{' No': -0.0077319653, ' ': -9.861474, ' Generally': -8.993876, 'No': -4.8921676, ' A': -12.071997}
{' Yes': -0.0015167308, 'Yes': -6.555786, ' yes': -10.042917, ' ': -10.743441, ' Generally': -10.75598}
{' ': -11.039972, ' Generally': -10.980024, ' Yes': -0.0012193137, ' yes': -10.068718, 'Yes': -6.7793846}
{' ': -10.314931, ' Generally': -9.570191, ' Yes': -0.0015594141, ' yes': -10.024392, 'Yes': -6.582288}
{' No': -7.131415, ' Generally': -8.560963, ' Yes': -0.0029246847, ' yes': -9.545326, 'Yes': -6.376982}
{' No': -11.328523, ' ': -10.544179, ' Yes': -0.001357177, ' yes': -9.963887, 'Yes': -6.6785135}
{' No': -0.0120802345, ' ': -9.673584, 'No': -5.5302896, ' Yes': -4.8344755, 'Yes': -10.899326}
{' Generally': -4.8887606, ' A': -7.380614, ' Yes': -0.012622318, 'Yes': -6.071725, ' It': -7.57626}
{' No': -5.104449, ' Generally': -3.3683894, ' A': -5.834345, ' Yes': -0.069382295, ' It': -4.137238}
{' No': -0.22572841, ' It': -2.0693696, ' Generally': -3.4848323, ' Yes': -4.042617, ' That': -4.629699}
{' No': -0.017856134, ' Generally': -7.227529, 'No': -5.0161295, ' A': -7.583274, ' Yes': -4.641048}
{' No': -0.004985739, ' ': -10.750442, ' Generally': -13.336486, 'No': -5.309046, ' A': -13.184627}
{' That': -4.2613163, ' No': -0.51184654, ' Generally': -2.1960776, 'No': -4.5893097, ' It': -1.4264107}
{' No': -0.012195408, ' Generally': -6.2754683, ' Typically': -9.454031, 'No': -4.6394267, ' It': -8.216882}
{' No': -0.0077037956, ' ': -10.483429, ' Generally': -8.514843, 'No': -4.9053345, ' A': -10.700134}
{' No': -0.005632717, ' ': -11.176297, 'No': -5.184906, ' A': -14.5241785, ' no': -14.236871}
{' That': -6.661725, ' No': -0.09963347, ' Generally': -3.1652653, 'No': -4.6564455, ' It': -3.2782586}
{' No': -0.008599333, ' ': -9.807151, ' Generally': -6.097277, 'No': -5.1039853, ' A': -9.440225}
{' No': -0.0048188632, ' ': -10.82147, ' Generally': -13.581667, 'No': -5.342555, ' no': -14.310793}
{' No': -0.047117315, ' Generally': -4.142645, 'No': -4.9977107, ' A': -7.827774, ' Yes': -3.811577}
{' No': -0.0054915077, ' ': -10.440933, ' Generally': -11.166791, 'No': -5.216221, ' A': -13.106817}
{' No': -0.0048890603, 'No': -5.3298993, ' ': -10.898902, ' Generally': -11.474347, ' Not': -14.052525}
{' ': -9.976943, ' Generally': -9.477935, ' Yes': -0.0014758995, ' yes': -9.839816, 'Yes': -6.6610937}
{' ': -10.306524, ' Generally': -9.400266, ' Yes': -0.0013818298, ' yes': -9.674757, 'Yes': -6.7440915}
{' ': -9.515297, ' Generally': -8.250303, ' Yes': -0.0018982564, ' yes': -9.764362, 'Yes': -6.551489}
{' No': -6.885919, ' ': -8.993903, ' Generally': -8.056175, ' Yes': -0.0033699633, 'Yes': -6.3797913}
{' An': -10.511197, ' ': -9.848989, ' Yes': -0.001285496, ' yes': -9.831191, 'Yes': -6.792264}
{' No': -0.01039527, ' Yes': -5.054039, 'No': -5.569429, ' ': -9.243328, ' An': -10.451529}
{' Yes': -0.01685314, ' Generally': -4.472456, 'Yes': -6.1298995, ' A': -7.141735, ' No': -7.5479956}
{' No': -4.852793, ' Generally': -2.9483135, ' A': -5.6789308, ' Yes': -0.09638687, ' It': -3.9588153}
{' That': -4.2622538, ' No': -0.47046384, ' Generally': -2.3639994, ' Yes': -2.6462507, ' It': -1.7868738}
{' No': -0.04172384, ' Generally': -5.5334573, 'No': -4.92251, ' A': -6.37018, ' Yes': -3.5976663}
{' No': -0.0052008145, 'No': -5.2718782, ' ': -10.06524, ' A': -12.40578, ' Generally': -12.466927}
{' No': -0.5882913, ' It': -1.639204, ' Generally': -1.6537459, ' That': -4.301899, ' Yes': -4.534294}
{' No': -0.020756278, ' Generally': -4.974383, ' Typically': -8.119846, 'No': -4.415917, ' It': -7.379744}
{' No': -0.008554429, ' ': -9.882433, ' Generally': -7.874721, 'No': -4.8244267, ' A': -10.479597}
{' No': -0.0055748764, ' ': -10.592534, ' Generally': -13.965323, 'No': -5.197557, ' A': -13.74788}
{' No': -0.20324063, ' Generally': -2.124429, ' Typically': -5.7744093, 'No': -4.758214, ' It': -3.1523714}
{' No': -0.016875325, ' Generally': -4.7029524, 'No': -5.0152597, ' A': -8.026155, ' Yes': -8.243594}
{' No': -0.0042439946, 'No': -5.4747295, ' ': -10.201061, ' Generally': -12.973791, ' A': -13.373363}
{' No': -0.26038957, ' Generally': -2.861189, 'No': -4.888157, ' A': -6.2857533, ' Yes': -1.8341619}
{' No': -0.0054232455, ' ': -9.7975235, ' Generally': -10.453244, 'No': -5.2373223, ' A': -12.355532}
{' No': -0.005005807, ' ': -10.383823, ' Generally': -10.4883175, 'No': -5.312949, ' A': -13.289604}
{' ': -10.528167, ' Generally': -10.160394, ' Yes': -0.0014778678, ' yes': -10.061021, 'Yes': -6.6003733}
{' ': -10.767868, ' Generally': -9.941874, ' Yes': -0.0014481444, ' yes': -9.807997, 'Yes': -6.637985}
{' Yes': -0.0015959481, 'Yes': -6.5785995, ' Generally': -9.24377, ' yes': -9.963498, ' ': -10.165956}
{' No': -7.8781095, ' Generally': -8.587362, ' Yes': -0.0025220877, ' yes': -9.476673, 'Yes': -6.351574}
{' No': -12.101098, ' ': -10.519998, ' Yes': -0.0013732346, ' yes': -9.962433, 'Yes': -6.660417}
{' No': -0.045022685, ' ': -9.076639, 'No': -5.458278, ' Yes': -3.2306056, 'Yes': -9.2890415}
{' Generally': -4.8552914, ' A': -7.5819225, ' Yes': -0.01258888, 'Yes': -6.0478654, ' It': -7.594994}
{' No': -5.236354, ' Generally': -3.2556255, ' Yes': -0.07813927, 'Yes': -5.882628, ' It': -3.8985221}
{' That': -3.936359, ' No': -0.5351597, ' Generally': -2.7855964, ' Yes': -2.5574033, ' It': -1.4587762}
{' No': -0.08756984, ' Generally': -6.0423536, 'No': -4.997424, ' A': -6.5065336, ' Yes': -2.6227794}
{' No': -0.0048851683, ' ': -10.43191, ' Generally': -13.242494, 'No': -5.3313484, ' A': -13.029173}
{' It': -0.89365333, ' No': -0.9227614, ' Generally': -2.0448565, ' That': -3.636499, ' Yes': -4.761976}
{' No': -0.017268032, ' Generally': -5.419692, ' Typically': -8.482462, 'No': -4.528729, ' It': -6.7858357}
{' No': -0.008679238, ' ': -10.172232, ' Generally': -7.945118, 'No': -4.8048024, ' A': -10.45639}
{' No': -0.0059361286, ' ': -10.816986, ' Generally': -14.22355, 'No': -5.133639, ' no': -14.186266}
{' No': -0.14229994, ' Generally': -2.7145503, ' Typically': -6.310539, 'No': -4.6451206, ' It': -3.025774}
{' No': -0.014136736, ' Generally': -5.137132, 'No': -4.9075027, ' A': -8.761933, ' Yes': -8.025208}
{' No': -0.004745437, ' ': -10.49299, ' Generally': -12.992681, 'No': -5.360056, ' A': -14.019212}
{' No': -0.34397823, ' Generally': -3.1784658, 'No': -5.106719, ' A': -6.3641953, ' Yes': -1.4312623}
{' No': -0.0054168305, ' ': -10.176832, ' Generally': -11.34199, 'No': -5.231285, ' A': -13.209359}
{' No': -0.0050485176, ' Not': -13.814964, ' ': -10.632835, ' Generally': -11.183497, 'No': -5.2996974}
{' ': -10.003635, ' Generally': -9.010779, ' Yes': -0.0020522822, ' yes': -9.5197315, 'Yes': -6.3291526}
{' An': -10.099613, ' Generally': -8.785006, ' Yes': -0.0019705747, ' yes': -9.353801, 'Yes': -6.4165826}
{' Yes': -0.003214538, 'Yes': -6.189745, ' Generally': -7.2116084, ' An': -8.658768, ' yes': -9.234106}
{' An': -7.444601, ' No': -7.3807044, ' Generally': -6.8579803, ' Yes': -0.004617523, 'Yes': -6.1875606}
{' An': -9.05342, ' ': -9.847787, ' Yes': -0.0019504537, ' yes': -9.46513, 'Yes': -6.401185}
{' An': -8.632448, ' No': -0.018619457, ' ': -8.767994, 'No': -5.318783, ' Yes': -4.3310122}
{' Generally': -3.7174528, ' A': -6.2209597, ' Yes': -0.039148435, 'Yes': -5.8353534, ' It': -5.7538257}
{' That': -4.1383533, ' No': -4.359611, ' Generally': -2.3950956, ' Yes': -0.35828394, ' It': -1.8568763}
{' That': -2.6928446, ' No': -1.202868, ' Generally': -2.5854, ' Yes': -3.7244587, ' It': -0.68849593}
{' No': -0.16542484, ' Generally': -4.8334203, 'No': -4.758698, ' A': -5.1726384, ' Yes': -2.049723}
{' No': -0.005788939, ' ': -9.994236, ' Generally': -11.673341, 'No': -5.1673865, ' A': -11.284085}
{' That': -3.3191762, ' No': -1.3759048, ' Generally': -1.8060728, ' Yes': -4.5124173, ' It': -0.6961867}
{' That': -6.63706, ' No': -0.05199072, ' Generally': -3.9089298, 'No': -4.1685467, ' It': -4.5098324}
