{' No': -0.053980637, ' ': -9.075347, 'No': -6.8188515, ' Yes': -2.9723742, 'Yes': -8.938116}
{' No': -0.02095834, ' ': -9.283154, 'No': -6.598763, ' Yes': -3.9523795, 'Yes': -9.674746}
{' No': -1.5384772, ' ': -8.804409, 'No': -8.030304, ' Yes': -0.24530621, 'Yes': -6.117472}
{' Yes': -0.5232904, ' No': -0.9067858, 'Yes': -6.0908613, 'No': -6.9853225, ' ': -8.3371105}
{' No': -3.2548652, ' ': -9.036674, ' Yes': -0.042190034, ' yes': -8.858615, 'Yes': -6.038945}
{' No': -8.294115, ' ': -10.691072, ' Yes': -0.0026496765, ' yes': -9.180206, 'Yes': -6.093752}
{' No': -8.064631, ' ': -10.882791, ' Yes': -0.0028889976, ' yes': -9.4299, 'Yes': -6.010745}
{' No': -5.841873, ' ': -10.402989, ' Yes': -0.0055543776, ' yes': -9.187132, 'Yes': -5.9968777}
{' No': -0.0034550095, ' ': -10.851036, 'No': -6.115477, ' Yes': -6.715073, 'Yes': -12.255699}
{' No': -2.0032027, 'No': -8.400198, ' Yes': -0.14818792, ' yes': -8.76812, 'Yes': -6.0466504}
{' No': -0.0019003468, ' ': -11.470307, 'No': -6.2997537, ' Yes': -9.999552, ' NO': -12.780119}
{' No': -0.27903622, ' ': -8.764157, 'No': -7.030478, ' Yes': -1.4198213, 'Yes': -7.3433924}
{' No': -3.6516783, ' ': -10.144256, ' Yes': -0.028955597, ' yes': -9.017944, 'Yes': -6.038681}
{' Yes': -0.100889154, ' No': -2.369312, 'Yes': -6.1525917, 'No': -8.896986, ' yes': -9.163913}
{' Yes': -0.009432695, ' No': -4.942889, 'Yes': -6.1605496, ' yes': -9.378078, ' ': -10.363497}
{' No': -10.052924, ' ': -11.769952, ' Yes': -0.0018111328, ' yes': -9.592457, 'Yes': -6.3877363}
{' Yes': -0.0019829404, 'Yes': -6.272015, ' yes': -10.022931, ' No': -10.413649, ' YES': -11.460882}
{' No': -7.636246, ' ': -11.684044, ' Yes': -0.0023310087, ' yes': -9.658482, 'Yes': -6.3390503}
{' No': -0.028847555, ' ': -10.393056, 'No': -6.4437027, ' Yes': -3.6217773, 'Yes': -9.52092}
