{' No': -0.011050761, ' Not': -12.512437, ' ': -10.515855, ' Generally': -11.123646, 'No': -4.5152335}
{' No': -0.005151443, 'No': -5.2817016, ' ': -9.958659, ' no': -13.316441, ' Generally': -13.412379}
{' No': -0.5330291, ' It': -1.1819015, ' Generally': -2.740968, ' That': -4.2028055, 'No': -4.542749}
{' No': -0.017111829, ' Generally': -5.4179525, 'No': -4.477278, ' Yes': -8.784568, ' It': -7.5317426}
{' No': -0.0059043504, ' ': -10.048388, ' Generally': -12.144695, 'No': -5.144765, ' A': -12.654077}
{' No': -0.027131813, ' Generally': -5.078012, 'No': -4.302074, ' Yes': -5.6301966, ' It': -6.096538}
{' No': -0.006715668, ' ': -10.02719, ' Generally': -11.42801, 'No': -5.0165305, ' Yes': -12.599897}
{' No': -0.3771547, ' Generally': -7.5274177, 'No': -5.3165984, ' Yes': -1.1792121, 'Yes': -7.2222147}
{' No': -0.013264052, ' ': -9.811033, ' Generally': -8.682354, 'No': -4.353314, ' It': -10.167854}
{' That': -8.323724, ' No': -0.016337598, ' Not': -8.363463, 'No': -4.3432913, ' It': -6.0448503}
{' No': -0.008764677, ' Not': -12.852856, ' ': -10.284998, ' Generally': -11.578715, 'No': -4.7475076}
{' No': -0.0077549117, ' ': -10.553077, ' Generally': -12.617039, 'No': -4.8678737, ' A': -13.489836}
{' No': -0.009405858, '\n': -13.291361, ' ': -10.142644, ' Generally': -12.089306, 'No': -4.6765738}
{' No': -0.007348153, '\n': -13.556038, ' ': -10.068667, 'No': -4.923558, ' no': -13.240153}
{' No': -0.007318671, ' Not': -12.151993, ' ': -10.168663, ' Generally': -9.207052, 'No': -4.942799}
{' No': -0.0066944854, ' Not': -12.323523, ' ': -10.386986, ' Generally': -9.718232, 'No': -5.025499}
{' No': -0.006475073, ' Not': -13.166079, ' ': -10.559398, ' Generally': -10.2179575, 'No': -5.0542064}
{' No': -0.0069974964, '\n': -13.091546, ' ': -10.175954, ' Generally': -11.05096, 'No': -4.9745073}
{' No': -0.0043087043, 'No': -5.4581656, ' ': -10.323418, ' no': -13.351083, '\n': -13.398705}
{' No': -0.064882495, ' Generally': -4.1406612, 'No': -4.3873425, ' Yes': -5.9658656, ' It': -3.585781}
{' No': -0.011178294, ' ': -9.54523, ' Generally': -6.762296, 'No': -4.6480417, ' It': -8.879933}
{' No': -0.008664566, ' ': -9.484069, ' Generally': -7.787959, 'No': -4.8254085, ' Yes': -10.461938}
{' No': -0.0056349956, '\n': -13.323452, ' ': -9.877662, ' Generally': -13.342289, 'No': -5.1921506}
{' That': -4.3807797, ' No': -0.42656228, ' Generally': -2.6979132, 'No': -4.4977694, ' It': -1.4288415}
{' No': -0.016170824, ' ': -9.1332245, ' Generally': -5.3951817, 'No': -4.5909023, ' It': -7.204345}
{' No': -0.006020734, ' ': -9.942878, ' Generally': -11.987024, 'No': -5.126231, ' A': -12.500601}
{' No': -0.02906905, ' Generally': -4.8608193, 'No': -4.2922196, ' Yes': -5.580737, ' It': -6.1426454}
{' No': -0.007069466, ' ': -9.98484, ' Generally': -11.149101, 'No': -4.9656324, ' A': -12.731464}
{' No': -0.1580234, ' Yes': -1.9751145, 'No': -5.0739875, ' Generally': -7.8164077, 'Yes': -7.924876}
{' No': -0.010614584, ' ': -10.148048, ' Generally': -9.132408, 'No': -4.569792, ' It': -10.895557}
{' No': -0.012219907, ' Not': -9.194541, ' Generally': -9.160348, 'No': -4.5030456, ' It': -7.288417}
{' No': -0.006581443, 'No': -5.0336065, ' ': -10.381177, ' Generally': -12.160125, ' Not': -13.026034}
{' No': -0.0061082887, ' ': -10.734799, ' Generally': -13.32232, 'No': -5.105874, ' no': -13.59367}
{' No': -0.0076167034, '\n': -13.459262, ' ': -10.34997, ' Generally': -12.766701, 'No': -4.8864903}
{' No': -0.0063059097, 'No': -5.076471, ' ': -10.163034, ' no': -13.1792145, '\n': -13.754532}
{' No': -0.0062966724, ' Not': -12.27891, ' ': -10.341341, ' Generally': -9.585623, 'No': -5.089709}
{' No': -0.0056009507, 'No': -5.1995344, ' Generally': -10.371469, ' ': -10.557114, ' Not': -12.77574}
{' No': -0.005164025, ' Not': -13.473571, ' ': -10.739468, ' Generally': -10.996214, 'No': -5.2773848}
{' No': -0.0057299496, '\n': -13.518699, ' ': -10.448996, ' Generally': -11.5926895, 'No': -5.172653}
{' No': -0.0040215245, '\n': -13.657404, ' ': -10.309857, 'No': -5.52755, ' no': -13.386806}
{' No': -0.04700055, ' Generally': -4.521564, 'No': -4.635696, ' Yes': -6.3586974, ' It': -3.88824}
{' No': -0.008873036, ' ': -9.655888, ' Generally': -7.070827, 'No': -4.8828163, ' It': -8.590556}
{' No': -0.007498873, ' ': -9.724505, ' Generally': -8.255603, 'No': -4.9542646, ' Yes': -10.54791}
{' No': -0.004834255, '\n': -13.547595, ' ': -10.078879, 'No': -5.344594, ' no': -13.425263}
{' No': -0.38967136, ' It': -1.4979248, ' Generally': -2.8033829, ' That': -4.2731304, 'No': -4.6155643}
{' No': -0.01329993, ' ': -9.216104, ' Generally': -5.682327, 'No': -4.760362, ' It': -7.2574515}
{' No': -0.0048704324, ' ': -10.1552, ' Generally': -12.447221, 'No': -5.3374643, ' A': -12.814726}
{' No': -0.02222907, ' Generally': -5.293656, 'No': -4.5257916, ' Yes': -5.6332707, ' It': -6.4756756}
{' No': -0.006186251, ' ': -10.139881, ' Generally': -11.495813, 'No': -5.0982018, ' A': -12.864807}
{' No': -0.13280411, ' Generally': -7.8079386, 'No': -5.2134905, ' Yes': -2.138095, 'Yes': -8.19834}
{' No': -0.015825236, 'No': -4.2703514, ' Generally': -7.011087, ' It': -7.617673, ' Not': -9.203234}
{' That': -5.060966, ' No': -0.06818136, ' Not': -6.815904, 'No': -4.138932, ' It': -3.201236}
{' No': -0.012158904, ' Not': -11.668858, ' ': -10.743501, ' Generally': -10.318622, 'No': -4.4225936}
{' No': -0.0081371255, 'No': -4.8197675, ' ': -10.953047, ' Generally': -11.850001, ' A': -12.683717}
{' No': -0.010541093, ' Not': -12.506722, ' ': -10.531417, ' Generally': -10.805865, 'No': -4.563296}
{' No': -0.006597523, ' ': -10.842639, 'No': -5.0281086, ' A': -13.668011, ' no': -13.560519}
{' No': -0.008510242, 'No': -4.829616, ' Generally': -7.8404684, ' ': -10.591928, ' It': -10.981071}
{' No': -0.007909825, ' Not': -11.297738, ' ': -10.600314, ' Generally': -8.249807, 'No': -4.886501}
{' No': -0.0071512284, ' ': -10.921173, ' Generally': -9.162935, 'No': -4.9640107, ' A': -12.404991}
{' No': -0.0067564123, ' Not': -12.697958, ' ': -10.684898, ' Generally': -9.719813, 'No': -5.0147715}
{' No': -0.004410895, ' ': -10.9994335, 'No': -5.430789, ' A': -14.0622635, ' no': -13.483896}
{' That': -3.5241745, ' No': -0.5641815, ' Generally': -2.7347422, 'No': -4.499845, ' It': -1.1980392}
{' That': -7.8122544, ' No': -0.018168375, ' Generally': -5.429732, 'No': -4.561145, ' It': -6.202086}
{' No': -0.014132625, ' Generally': -5.679896, 'No': -4.7436686, ' Yes': -7.991774, ' It': -7.2019854}
{' No': -0.006345858, ' ': -10.385726, ' Generally': -11.778403, 'No': -5.0709515, ' A': -12.150219}
{' That': -3.3126354, ' No': -1.4812468, ' Go': -4.192077, ' Generally': -2.3161218, ' It': -0.51426494}
{' That': -7.6397767, ' No': -0.032381732, ' Generally': -4.2546906, 'No': -4.602202, ' It': -5.241862}
{' No': -0.005747575, ' ': -10.485918, ' Generally': -10.932228, 'No': -5.1722493, ' A': -11.782614}
{' No': -0.08240432, ' Generally': -3.5735826, 'No': -4.217067, ' Yes': -4.7982244, ' It': -3.952054}
{' No': -0.006443936, ' ': -10.509355, ' Generally': -10.21111, 'No': -5.059989, ' A': -12.000368}
{' No': -0.22733061, ' Generally': -5.9491873, 'No': -4.9540796, ' A': -7.148828, ' Yes': -1.6515402}
{' No': -0.023243874, ' ': -9.336974, ' Generally': -6.9519258, 'No': -3.8389232, ' It': -8.411137}
{' That': -6.4815764, ' No': -0.05031873, ' Generally': -6.5957255, 'No': -3.607888, ' It': -4.011981}
{' No': -0.023761151, ' ': -10.162061, ' Generally': -9.991382, 'No': -3.7564595, ' It': -11.523667}
{' No': -0.01837853, ' Not': -13.203644, ' ': -10.642417, ' Generally': -11.203223, 'No': -4.008294}
{' No': -0.01845588, ' Not': -13.080722, ' ': -9.941195, ' Generally': -10.610476, 'No': -4.0060487}
{' No': -0.014926747, ' ': -10.336448, ' Generally': -14.057609, 'No': -4.21458, ' no': -13.212605}
{' No': -0.0152497515, ' ': -10.285007, ' Generally': -7.4765205, ' Typically': -10.921007, 'No': -4.2356725}
{' No': -0.014966193, ' ': -10.356105, ' Generally': -7.5368567, 'No': -4.254529, ' It': -10.132474}
{' No': -0.013080269, ' ': -10.741567, ' Generally': -8.737563, ' Typically': -12.300649, 'No': -4.3588233}
{' No': -0.011456624, ' Not': -13.323007, ' ': -10.442418, ' Generally': -9.667787, 'No': -4.4838076}
{' No': -0.0077631418, ' ': -10.592109, 'No': -4.866087, ' no': -13.241621, ' NO': -13.951247}
{' No': -0.6556839, ' It': -1.0966915, ' Generally': -2.5413096, ' That': -3.9046597, 'No': -4.0743833}
{' That': -7.9311967, ' No': -0.031664647, ' Generally': -5.0114236, 'No': -3.8919895, ' It': -5.857018}
{' No': -0.023705488, ' Generally': -5.645596, 'No': -3.965436, ' Yes': -7.751187, ' It': -9.0533495}
{' No': -0.013363174, 'No': -4.3259163, ' ': -10.118057, ' Generally': -11.96573, ' A': -13.341933}
{' That': -4.115663, ' No': -0.83258206, ' Generally': -1.8017516, ' Yes': -4.173509, ' It': -1.1037956}
{' No': -0.04131526, ' Generally': -3.9802172, 'No': -4.035261, ' Yes': -7.0445704, ' It': -6.3015594}
{' No': -0.010607114, 'No': -4.5573044, ' ': -10.224424, ' Generally': -10.969376, ' A': -12.895338}
{' No': -0.0834317, ' Generally': -3.6099665, 'No': -3.7406673, ' Yes': -3.7942433, ' It': -5.741585}
{' No': -0.0116638085, ' ': -10.413258, ' Generally': -10.161879, 'No': -4.463898, ' A': -12.896663}
{' No': -0.08558976, ' Generally': -6.8243384, 'No': -4.171935, ' Yes': -2.7362912, 'Yes': -8.055436}
{' No': -0.021162627, ' ': -8.842867, ' Generally': -7.648703, 'No': -3.9299932, ' It': -7.577355}
{' No': -0.17538394, ' It': -2.0818055, 'No': -3.7842114, ' That': -4.6269584, ' This': -7.1815157}
{' No': -0.0153562715, 'No': -4.193985, ' ': -9.291557, ' Generally': -10.801254, ' It': -11.130349}
{' No': -0.014375555, 'No': -4.254181, ' ': -9.831465, ' Generally': -12.713855, '\n': -12.790074}
{' No': -0.01695195, 'No': -4.093372, ' ': -9.225837, ' Generally': -11.279544, '\n': -12.187514}
{' No': -0.013060281, '\n': -12.846287, ' ': -9.321339, 'No': -4.352389, ' no': -12.524732}
{' No': -0.01315896, ' ': -9.364888, ' Generally': -8.108866, 'No': -4.390127, ' It': -8.489992}
{' No': -0.01327474, 'No': -4.3578734, ' Generally': -8.494311, ' ': -9.571494, ' It': -9.776374}
{' No': -0.010104653, ' ': -10.098495, ' Generally': -10.318492, 'No': -4.6087947, ' It': -12.618328}
{' No': -0.0103600975, '\n': -12.523832, ' ': -9.453698, ' Generally': -10.738948, 'No': -4.5858684}
{' No': -0.00785648, 'No': -4.8631706, ' ': -9.323011, '\n': -12.276009, ' no': -12.654558}
{' That': -3.9169252, ' No': -0.80659056, ' Generally': -3.080154, ' Yes': -3.6736257, ' It': -0.81928796}
{' That': -7.016646, ' No': -0.036158487, ' Generally': -5.2863603, 'No': -4.3282247, ' It': -4.212077}
{' No': -0.018829346, ' Generally': -5.819671, 'No': -4.3804703, ' Yes': -7.0394588, ' It': -6.535503}
{' No': -0.008549137, '\n': -12.514632, ' ': -9.373814, ' Generally': -12.670131, 'No': -4.7779484}
{' That': -3.6430717, ' No': -1.6918118, ' Generally': -2.6406815, ' Yes': -4.2927966, ' It': -0.3867295}
{' No': -0.056163732, ' Generally': -3.9608533, 'No': -4.236627, ' Yes': -7.0762362, ' It': -4.08222}
{' No': -0.008111466, 'No': -4.830428, ' ': -9.498113, ' Generally': -11.790259, ' A': -12.430161}
{' No': -0.12339482, ' Generally': -3.68455, 'No': -3.890271, ' Yes': -3.236569, ' It': -3.7479084}
{' No': -0.01048387, ' ': -9.650163, ' Generally': -10.313722, 'No': -4.5743513, ' A': -11.9238205}
{' No': -0.049028635, ' Generally': -7.006691, 'No': -4.482193, ' A': -7.837513, ' Yes': -3.3625507}
{' No': -0.012385547, 'No': -4.498307, ' Generally': -7.306184, ' It': -8.418855, ' ': -9.489356}
{' That': -6.44425, ' No': -0.026966838, ' Generally': -6.2682056, 'No': -4.3629613, ' It': -4.690186}
{' No': -0.009223869, ' Not': -11.837411, ' ': -10.301129, ' Generally': -9.944192, 'No': -4.702123}
{' No': -0.0072495635, ' ': -10.612873, ' Generally': -11.068387, 'No': -4.9378777, ' A': -12.506497}
{' No': -0.008978156, ' Not': -12.347499, ' ': -10.155809, ' Generally': -10.461016, 'No': -4.726496}
{' No': -0.0072105415, ' ': -10.34692, 'No': -4.9413514, ' A': -13.2776985, ' no': -13.438467}
{' No': -0.0077899313, ' ': -9.95686, ' Generally': -7.440637, ' Typically': -10.547018, 'No': -4.9580693}
{' No': -0.007103203, ' Not': -11.407573, ' ': -10.285627, ' Generally': -8.237953, 'No': -4.9995766}
{' No': -0.0067162686, ' ': -10.494511, ' Generally': -8.88513, ' Typically': -12.054811, 'No': -5.0352592}
{' No': -0.0068471506, ' Not': -12.123507, ' ': -10.236958, ' Generally': -9.360287, 'No': -5.0079627}
{' No': -0.0047120783, ' ': -10.684795, 'No': -5.3660803, ' A': -13.962116, ' no': -13.570801}
{' No': -0.36258608, ' It': -1.7617465, ' Generally': -2.7395525, ' That': -3.6956089, ' Yes': -3.81417}
{' No': -0.029268557, ' Generally': -4.539217, 'No': -4.7867336, ' It': -5.1164837, ' That': -6.4944725}
{' No': -0.014686891, ' Generally': -5.4699078, 'No': -4.901976, ' Yes': -6.808803, ' It': -7.158143}
{' No': -0.0052344864, ' ': -10.065861, ' Generally': -11.452919, 'No': -5.268187, ' A': -11.785883}
{' That': -2.9987864, ' No': -1.0100555, ' Generally': -2.1127834, ' Yes': -3.7953334, ' It': -0.8835715}
{' No': -0.034991592, ' Generally': -4.0118723, 'No': -4.7815638, ' Yes': -7.0771456, ' It': -5.3941965}
{' No': -0.0061130263, ' ': -10.243311, ' Generally': -10.789608, 'No': -5.1123867, ' A': -11.621378}
{' No': -0.06867347, ' Generally': -3.9836724, 'No': -4.435985, ' Yes': -3.888738, ' It': -4.648521}
{' No': -0.0064732726, ' ': -10.022649, ' Generally': -10.169227, 'No': -5.0593925, ' A': -11.791615}
{' No': -0.11885625, ' Generally': -7.073062, 'No': -5.1500545, ' Yes': -2.2566698, 'Yes': -8.246125}
{' No': -0.025385631, 'No': -4.1440682, ' Generally': -5.3181806, ' It': -5.857695, ' Typically': -8.253786}
{' That': -4.7057147, ' No': -0.13783805, ' Generally': -4.667007, 'No': -4.0199676, ' It': -2.4420354}
{' No': -0.011939133, ' ': -9.470798, ' Generally': -8.011035, 'No': -4.482497, ' It': -9.807193}
{' No': -0.009173458, ' ': -9.913579, ' Generally': -9.594663, 'No': -4.7135205, ' A': -11.195246}
{' No': -0.010862804, 'No': -4.5547643, ' Generally': -8.7718525, ' ': -9.358764, ' A': -11.325898}
{' No': -0.008131716, ' ': -9.716019, ' Generally': -12.205923, 'No': -4.825766, ' A': -12.053153}
{' No': -0.012667531, 'No': -4.779042, ' Generally': -5.695931, ' It': -7.9235444, ' Typically': -8.913178}
{' No': -0.012238973, ' Generally': -5.8644204, ' Typically': -9.446586, 'No': -4.7391257, ' It': -8.299173}
{' No': -0.00894063, 'No': -4.8902287, ' Generally': -6.7547655, ' ': -9.91849, ' Typically': -10.10455}
{' No': -0.008117117, 'No': -4.912963, ' Generally': -7.4199038, ' ': -9.600324, ' A': -10.863027}
{' No': -0.0046998626, ' ': -10.003562, 'No': -5.3739624, ' A': -13.210774, ' no': -13.31671}
{' That': -2.7054584, ' No': -2.0189903, ' Generally': -1.9260184, ' Yes': -4.2601647, ' It': -0.52002215}
{' That': -5.9871907, ' No': -0.08594415, ' Generally': -3.1212356, 'No': -4.2798414, ' It': -4.2739873}
{' No': -0.04520526, ' Generally': -3.720645, 'No': -4.5092554, ' Yes': -6.4383, ' It': -5.757727}
{' No': -0.00705608, ' ': -9.603193, ' Generally': -9.594553, 'No': -4.9813256, ' A': -10.883977}
{' That': -3.0708253, ' No': -2.4320886, ' Go': -3.896362, ' Generally': -1.7033633, ' It': -0.48313898}
{' No': -0.18442447, ' Generally': -2.1978312, 'No': -4.5001993, ' A': -5.9364033, ' It': -3.472579}
{' No': -0.0065481453, ' ': -9.525862, ' Generally': -9.260447, 'No': -5.064131, ' A': -10.535051}
{' No': -0.25804222, ' Generally': -2.21716, 'No': -4.2538877, ' Yes': -3.596299, ' It': -3.0550356}
{' No': -0.008419535, ' ': -9.774465, ' Generally': -8.158018, 'No': -4.829611, ' A': -10.650997}
{' No': -0.044341125, ' Generally': -5.358937, 'No': -4.6697454, ' A': -6.958174, ' Yes': -3.6062515}
{' No': -0.011043231, ' ': -9.705468, ' Generally': -7.3338017, 'No': -4.6186576, ' It': -8.2793455}
{' No': -0.016578702, ' Not': -8.4925, ' Generally': -6.844167, 'No': -4.4191546, ' It': -5.918817}
{' No': -0.007556766, ' Not': -12.392436, ' ': -10.4996, ' Generally': -10.336525, 'No': -4.898918}
{' No': -0.006279756, 'No': -5.0790753, ' ': -10.747978, ' Generally': -11.940224, ' A': -13.083543}
{' No': -0.007929951, ' ': -10.3716, ' Generally': -10.5754385, 'No': -4.849431, ' A': -13.07132}
{' No': -0.005121908, ' ': -10.673029, 'No': -5.2821794, ' A': -13.759941, ' no': -13.785888}
{' No': -0.0060898173, ' ': -10.436025, ' Generally': -7.638633, ' Typically': -10.796643, 'No': -5.203752}
{' No': -0.005816216, ' ': -10.543877, ' Generally': -8.006411, ' Typically': -11.5344715, 'No': -5.220223}
{' No': -0.0048955856, ' ': -10.8421135, ' Generally': -9.52371, ' Typically': -12.7340355, 'No': -5.3434}
{' No': -0.0054919873, ' ': -10.485047, ' Generally': -9.763169, 'No': -5.224713, ' A': -12.98702}
{' No': -0.0036108317, ' ': -10.788683, 'No': -5.632356, ' A': -14.34477, ' no': -13.634023}
{' No': -0.4215812, ' It': -1.5124129, ' Generally': -2.4923038, ' That': -4.23463, 'No': -4.7467475}
{' No': -0.018046439, ' Generally': -4.939164, 'No': -4.789544, ' A': -8.232896, ' It': -6.7152658}
{' No': -0.012490256, ' Generally': -5.4200583, 'No': -4.951018, ' A': -8.641513, ' It': -8.476281}
{' No': -0.0045404583, ' ': -10.270443, ' Generally': -11.725193, 'No': -5.4083624, ' A': -12.323878}
{' That': -3.6620247, ' No': -1.2105953, ' Go': -4.528207, ' Generally': -1.838567, ' It': -0.74671096}
{' No': -0.041704763, ' Generally': -3.598206, 'No': -4.7486095, ' It': -5.9766064, ' Typically': -7.5748944}
{' No': -0.004856716, ' ': -10.357595, ' Generally': -10.902172, 'No': -5.342833, ' A': -11.766432}
{' No': -0.06648996, ' Generally': -3.4638174, 'No': -4.388269, ' Yes': -4.670131, ' It': -5.1719775}
{' No': -0.0052974615, ' ': -10.428825, ' Generally': -10.328745, 'No': -5.256964, ' A': -12.202631}
{' No': -0.050223775, ' Yes': -3.242322, 'No': -4.97087, ' Generally': -6.2054625, ' A': -7.5470557}
{' No': -0.017546603, ' Generally': -5.408162, ' Typically': -8.50097, 'No': -4.4939165, ' It': -7.1427865}
{' No': -0.032578822, ' Not': -7.3246355, ' Generally': -5.1244974, 'No': -4.312505, ' It': -4.57487}
{' No': -0.008134904, 'No': -4.844694, ' Generally': -8.7829075, ' ': -10.051714, ' Not': -11.424846}
{' No': -0.0061422912, 'No': -5.107046, ' ': -10.389877, ' Generally': -10.563044, ' A': -12.123942}
{' No': -0.0083797425, ' ': -9.891586, ' Generally': -9.412131, 'No': -4.8044457, ' A': -12.251385}
{' No': -0.0057519507, ' ': -10.127887, ' Generally': -13.185344, 'No': -5.1695604, ' A': -12.787898}
{' No': -0.008217771, ' ': -9.835815, ' Generally': -6.29299, ' Typically': -9.632625, 'No': -5.099942}
{' No': -0.006808861, ' ': -10.015118, ' Generally': -6.9674506, ' Typically': -10.64989, 'No': -5.1630874}
{' No': -0.0055441894, ' ': -10.274681, ' Generally': -7.7437053, ' Typically': -11.132496, 'No': -5.295074}
{' No': -0.0056790547, ' ': -10.116897, ' Generally': -8.417513, ' Typically': -11.955259, 'No': -5.2253156}
{' No': -0.0034754674, ' ': -10.4269705, 'No': -5.673918, ' A': -13.5184765, ' no': -13.632773}
{' No': -0.7536256, ' It': -1.2761476, ' Generally': -1.7392824, ' Yes': -3.8150234, ' That': -4.0119567}
{' No': -0.02892087, ' Generally': -4.0538898, 'No': -4.8679214, ' A': -7.492688, ' It': -6.748054}
{' No': -0.01871134, ' Generally': -4.620259, 'No': -4.9583797, ' A': -7.9267483, ' Yes': -8.021181}
{' No': -0.004681357, ' ': -9.792084, ' Generally': -10.780855, 'No': -5.386807, ' A': -11.47137}
{' That': -4.015644, ' No': -1.1058333, ' Go': -3.9694693, ' Generally': -1.3518013, ' It': -1.1286166}
{' No': -0.08133263, ' Generally': -2.7902882, 'No': -4.816482, ' A': -6.758645, ' It': -5.6550555}
{' No': -0.0049817245, ' ': -9.84323, ' Generally': -10.106916, 'No': -5.3281627, ' A': -11.123412}
{' No': -0.09541646, ' Generally': -2.874635, 'No': -4.4521284, ' Yes': -4.635013, ' It': -5.1950297}
{' No': -0.0056872675, ' ': -10.065417, ' Generally': -9.276656, 'No': -5.200195, ' A': -11.490837}
{' No': -0.111820765, ' Yes': -2.375523, 'No': -4.970597, ' Generally': -5.4762406, ' A': -7.0156612}
{' No': -0.013500427, ' Not': -9.072235, ' Generally': -6.26169, 'No': -4.5512185, ' It': -7.6516705}
{' That': -6.9880276, ' No': -0.030466381, ' Generally': -5.940102, 'No': -4.403734, ' It': -4.3413486}
{' No': -0.008062976, ' Not': -11.584978, ' ': -10.266563, ' Generally': -9.430912, 'No': -4.842352}
{' No': -0.006527265, ' Not': -13.0708885, ' ': -10.664368, ' Generally': -11.399678, 'No': -5.041662}
{' No': -0.00761424, ' Not': -12.780659, ' ': -10.118231, ' Generally': -10.231858, 'No': -4.8932037}
{' No': -0.0048040096, ' ': -10.2911825, 'No': -5.349017, ' A': -13.55683, ' no': -13.732662}
{' No': -0.0070268484, ' ': -10.094246, ' Generally': -7.091078, ' Typically': -10.231264, 'No': -5.1147003}
{' No': -0.0068211043, 'No': -5.1428013, ' Generally': -7.0965652, ' ': -10.183775, ' Typically': -10.61097}
{' No': -0.0053263437, ' ': -10.477658, ' Generally': -8.5521965, ' Typically': -11.75853, 'No': -5.2851324}
{' No': -0.005531482, ' ': -10.298787, ' Generally': -9.493533, ' Typically': -12.779954, 'No': -5.2221875}
{' No': -0.0036536052, '\n': -13.6143055, ' ': -10.472087, 'No': -5.6231527, ' no': -13.622324}
{' That': -4.4331346, ' No': -0.50431544, ' Generally': -2.0049849, ' Yes': -3.7297812, ' It': -1.6141807}
{' No': -0.020309461, ' Generally': -4.642137, 'No': -4.8569565, ' A': -8.158502, ' It': -6.65981}
{' No': -0.011738347, 'No': -4.954785, ' Generally': -5.5995674, ' Yes': -8.402952, ' It': -8.506279}
{' No': -0.004931287, ' ': -10.065812, ' Generally': -11.327647, 'No': -5.3282366, ' A': -11.977608}
{' That': -3.6843133, ' No': -1.2999332, ' Go': -4.4308305, ' Generally': -1.6720625, ' It': -0.7689005}
{' No': -0.0669855, ' Generally': -3.088794, ' Typically': -7.013841, 'No': -4.7538633, ' It': -5.1030498}
{' No': -0.004935241, ' ': -10.21586, ' Generally': -10.632105, 'No': -5.329327, ' A': -11.624429}
{' No': -0.10261445, ' Generally': -3.1001806, 'No': -4.3455133, ' Yes': -3.7253196, ' It': -4.7535696}
{' No': -0.0055984934, 'No': -5.209402, ' Generally': -9.561594, ' ': -10.334396, ' A': -11.906602}
{' No': -0.044973496, ' Generally': -6.377006, 'No': -4.9771996, ' A': -7.8646064, ' Yes': -3.3636358}
{' No': -0.04175131, ' Generally': -4.2905645, 'No': -4.3369226, ' Yes': -6.301591, ' It': -4.6944327}
{' That': -3.9609175, ' No': -0.26509395, ' Generally': -4.179744, 'No': -4.2774878, ' It': -1.7328788}
{' No': -0.010720915, ' ': -9.76879, ' Generally': -7.9527545, 'No': -4.597076, ' It': -9.655374}
{' No': -0.007497371, 'No': -4.912296, ' Generally': -9.970159, ' ': -10.265775, ' A': -11.422958}
{' No': -0.009149456, ' ': -9.795477, ' Generally': -8.901201, 'No': -4.7254276, ' A': -11.317321}
{' No': -0.0061110463, ' ': -10.193537, ' Generally': -12.750147, 'No': -5.109594, ' A': -11.936101}
{' No': -0.011111935, ' Generally': -5.6735377, ' Typically': -9.083777, 'No': -4.9934173, ' It': -8.024592}
{' No': -0.010371299, ' Not': -9.525403, ' Generally': -5.9298863, 'No': -4.936518, ' It': -8.707032}
{' No': -0.0060595945, ' ': -10.075257, ' Generally': -7.4771647, ' Typically': -11.023231, 'No': -5.229511}
{' No': -0.006100133, ' ': -9.856668, ' Generally': -7.7288632, 'No': -5.19739, ' A': -11.043634}
{' No': -0.0040196106, '\n': -12.7568035, ' ': -10.300036, 'No': -5.5294595, ' A': -13.008831}
{' It': -0.40336475, ' Generally': -2.0709956, ' No': -2.454102, ' That': -2.725932, ' Yes': -4.028361}
{' That': -5.5225782, ' No': -0.13591127, ' Generally': -2.7158177, 'No': -4.5341406, ' It': -3.3637288}
{' No': -0.062008787, ' Generally': -3.377915, 'No': -4.706717, ' It': -4.941872, ' Yes': -5.488364}
{' No': -0.005431994, ' ': -9.730681, ' Generally': -10.025592, 'No': -5.2444186, ' A': -10.707745}
{' That': -3.1659877, ' No': -2.240199, ' Go': -3.7174158, ' Generally': -1.8120031, ' It': -0.4692698}
{' That': -5.972253, ' No': -0.21239814, ' Generally': -2.070583, 'No': -4.7395415, ' It': -3.2102485}
{' No': -0.0058333045, ' ': -9.745206, ' Generally': -9.740583, 'No': -5.1760354, ' A': -10.295443}
{' No': -0.21912505, ' Generally': -2.3745015, 'No': -4.259168, ' Yes': -3.7245991, ' It': -3.2197547}
{' No': -0.007557126, ' ': -9.943146, ' Generally': -8.806974, 'No': -4.9218235, ' A': -10.60305}
{' No': -0.042488266, ' Generally': -5.462982, 'No': -4.6667213, ' A': -6.7689514, ' Yes': -3.6662865}
{' No': -0.022817412, ' Not': -8.180797, ' Generally': -5.441871, 'No': -4.2947536, ' It': -5.6837115}
{' That': -4.1757216, ' No': -0.2123049, ' Generally': -4.663097, 'No': -4.1759295, ' It': -1.9296815}
{' No': -0.010136867, ' ': -10.172282, ' Generally': -8.251457, 'No': -4.638871, ' It': -9.955451}
{' No': -0.0076154415, 'No': -4.896058, ' Generally': -9.820455, ' ': -10.501903, ' A': -11.511043}
{' No': -0.00926995, 'No': -4.7058296, ' Generally': -9.063658, ' ': -10.182646, ' Not': -11.704807}
{' No': -0.006337041, ' ': -10.537458, ' Generally': -12.572628, 'No': -5.070353, ' A': -12.612983}
{' No': -0.008975932, 'No': -5.0790515, ' Generally': -6.08625, ' It': -8.685355, ' Typically': -9.514641}
{' No': -0.009551236, ' Generally': -6.0318856, ' Typically': -9.795989, 'No': -5.0028067, ' It': -8.791587}
{' No': -0.006206525, ' ': -10.563957, ' Generally': -7.188823, ' Typically': -10.773699, 'No': -5.235319}
