{':': -3.9504397, ' 1': -3.5453846, ' odd': -0.7870048, ' 0': -4.3792543, ' even': -0.81720865}
{' odd': -0.08181719, ' 1': -3.715568, ' Odd': -3.8274305, ' even': -3.8459542, ' 0': -5.2917466}
{'\n': -7.4395266, ' ': -6.475108, ' Even': -5.2669983, ' odd': -6.1045494, ' even': -0.012040416}
{' even': -0.46107915, ' odd': -1.0824181, ' Odd': -5.024892, ' 1': -5.220307, ' Even': -5.9217477}
{' even': -0.005350435, ' odd': -6.2095413, ' Even': -6.727875, ' ': -7.785765, ' not': -8.285189}
{' odd': -0.13672851, ' even': -2.3366892, ' Odd': -4.578807, ' 1': -4.8724155, ' not': -5.8668194}
{' even': -0.1026005, ' odd': -3.484563, ' 0': -4.0040393, ' Even': -4.55581, ' an': -5.0380874}
{' Odd': -2.9447844, ' 1': -4.547165, ' odd': -0.19901024, ' 0': -5.1134615, ' even': -2.3319466}
{' ': -6.4410033, ':': -5.7833147, ' Even': -5.484845, ' 0': -6.1739273, ' even': -0.019065036}
{' Odd': -3.9570203, ' not': -5.6306996, ' odd': -0.045264006, ' neither': -4.4644427, ' even': -5.316485}
{'\n': -7.029, ' ': -6.482743, ' Even': -5.878445, ' odd': -6.216828, ' even': -0.00938083}
{' Odd': -4.4821997, ' 1': -4.798778, ' odd': -0.045882173, ' 0': -5.4136753, ' even': -4.58604}
{' ': -4.3239307, ':': -3.7439785, ' odd': -3.8518858, ' 0': -1.040128, ' even': -0.62129986}
{'\n': -5.7978215, ' Odd': -3.1784647, ' 1': -5.426724, ' odd': -0.112784155, ' even': -3.1432815}
{' even': -0.026325744, ' 0': -5.4519453, ' Even': -5.532637, ' odd': -5.545893, ' ': -5.5669}
{' Odd': -4.4286776, ' 1': -5.22975, ' odd': -0.038250867, ' 0': -5.9992633, ' even': -4.6605096}
{' Odd': -5.835952, ' Even': -5.3705163, ' odd': -2.620574, ' 0': -4.385939, ' even': -0.114361495}
