{' No': -1.7681766, '\n': -6.35613, 'No': -5.675157, ' Yes': -0.20745045, 'Yes': -4.486917}
{' No': -0.5174607, ' Yes': -1.4092071, '\n': -2.533227, 'No': -2.7579963, 'Yes': -4.1773763}
{' No': -0.3229287, '\n': -3.369981, 'No': -3.25649, ' Yes': -1.6444715, 'Yes': -5.1134844}
{' Yes': -0.3341547, ' No': -1.4746119, '\n': -3.9227166, 'Yes': -3.9661982, 'No': -4.351765}
{' No': -1.2241186, '\n': -3.2543464, 'No': -3.9395802, ' Yes': -0.46657693, 'Yes': -4.1151}
{' No': -2.040423, '\n': -1.6756197, 'No': -4.655543, ' Yes': -0.43238515, 'Yes': -3.9586167}
{' Yes': -0.12975313, '\n': -2.5201359, 'Yes': -3.244703, ' No': -7.1582603, ' ': -7.351061}
{' No': -0.8763704, '\n': -1.6453332, 'No': -3.5374782, ' Yes': -1.1058129, 'Yes': -4.3723173}
{' No': -0.9282336, '\n': -1.9580435, 'No': -3.5060284, ' Yes': -0.8947729, 'Yes': -4.1411066}
{' Yes': -0.012883721, 'Yes': -4.4830527, ' No': -7.0690303, '\n': -7.8081183, ' yes': -8.831949}
{' No': -5.6300216, '\n': -7.2801356, ' Yes': -0.01801294, ' yes': -8.186093, 'Yes': -4.3371277}
{' Yes': -0.03289865, 'Yes': -3.9836278, ' Sur': -4.88403, '\n': -5.6063104, ' No': -6.529928}
{' Yes': -0.39842212, ' No': -1.1971397, 'Yes': -4.484331, 'No': -4.772062, ' Band': -5.725101}
{' No': -4.4252367, '\n': -7.2565427, ' Yes': -0.02326846, ' yes': -8.279743, 'Yes': -4.6498322}
{' No': -0.038883362, 'No': -3.5337694, ' Yes': -5.163168, '\n': -5.896724, ' ': -8.34948}
{' No': -0.07533016, '\n': -5.027366, 'No': -3.262876, ' Yes': -3.6298344, 'Yes': -7.3569155}
{' No': -0.08406588, 'No': -3.0836766, ' Yes': -4.027002, '\n': -4.1695437, ' ': -7.308388}
{' No': -0.19726765, '\n': -5.0699596, 'No': -4.0115547, ' Yes': -1.8892612, 'Yes': -6.0069942}
{' No': -0.29734793, ' Yes': -1.4533193, 'No': -4.252468, '\n': -5.252695, 'Yes': -5.756433}
{' No': -0.048335563, 'No': -3.7584245, ' Yes': -3.890413, '\n': -5.8920646, 'Yes': -7.7646985}
{' No': -0.19439413, '\n': -5.45834, 'No': -3.971606, ' Yes': -1.8953124, 'Yes': -6.136561}
{' No': -0.082183436, '\n': -4.9349856, 'No': -3.7113166, ' Yes': -3.114467, ' Hospital': -6.515926}
{' No': -1.7608105, '\n': -4.3208323, ' Yes': -0.6756188, ' Sur': -1.2627369, 'Yes': -4.500852}
{' No': -0.039182898, 'No': -3.7397957, ' Yes': -4.6548405, '\n': -5.3789215, 'Yes': -8.4060955}
{' No': -5.8783894, '\n': -4.188666, ' ': -7.795262, ' Yes': -0.038994353, 'Yes': -3.9510198}
{' No': -3.0333812, '\n': -2.5581138, 'No': -5.8030477, ' Yes': -0.16877268, 'Yes': -3.7151668}
{' Yes': -0.16026829, ' No': -2.6325524, '\n': -3.164291, 'Yes': -3.7079291, 'No': -5.0776114}
{' Yes': -0.118692406, '\n': -2.8283558, 'Yes': -3.035307, ' No': -5.950241, ' ': -7.1307907}
{' No': -1.3234179, '\n': -2.975363, 'No': -4.1898503, ' Yes': -0.45426401, 'Yes': -3.8511508}
{' No': -0.895401, '\n': -5.4265876, 'No': -4.2333183, ' Yes': -0.58164024, 'Yes': -4.3197308}
{' No': -0.107734606, '\n': -4.471592, 'No': -3.2811027, ' Yes': -2.972551, 'Yes': -6.74456}
{' No': -0.064477846, '\n': -4.347969, ' ': -7.9037204, 'No': -3.5364377, ' Yes': -3.940067}
{' No': -1.9818982, '\n': -2.5838385, 'No': -4.9234686, ' Yes': -0.29036814, 'Yes': -3.619315}
{' No': -0.051350504, ' Not': -7.614281, '\n': -4.6630845, 'No': -3.2825038, ' Yes': -6.1278253}
{' No': -0.17844032, '\n': -5.2672424, 'No': -3.7929213, ' Yes': -2.0217915, 'Yes': -5.846281}
{' No': -2.8904197, '\n': -5.102334, 'No': -6.5356874, ' Yes': -0.08041851, 'Yes': -4.285031}
{' No': -6.474477, '\n': -6.2994485, ' Yes': -0.01909596, ' yes': -8.4195795, 'Yes': -4.1902494}
{' No': -0.72395205, ' Yes': -0.7387627, 'No': -4.1476884, '\n': -4.281638, 'Yes': -4.991086}
{' Yes': -0.07466753, '\n': -3.684197, ' No': -3.8373835, 'Yes': -3.8580575, ' Sur': -6.0145993}
{' No': -0.052388996, ' Not': -7.840646, '\n': -5.440927, 'No': -3.3186622, ' Yes': -4.6634936}
{' No': -0.09888328, '\n': -6.327889, 'No': -4.3697114, ' Yes': -2.5478902, 'Yes': -6.922779}
{' No': -0.039762087, '\n': -6.0145464, ' ': -8.778382, 'No': -3.4641452, ' Yes': -5.3131766}
{' No': -0.1366334, '\n': -5.106627, 'No': -2.9028685, ' Yes': -2.7532165, 'Yes': -5.898691}
{' No': -0.04072257, '\n': -5.5782895, ' ': -8.426774, 'No': -3.336583, ' Yes': -8.213092}
{' No': -0.056522693, 'No': -3.1243727, '\n': -4.610569, ' Yes': -7.2860203, ' ': -8.469067}
{' No': -0.06078841, 'No': -2.9266503, '\n': -5.5318003, ' Yes': -6.8573256, ' ': -8.74282}
{' No': -0.07932144, 'No': -3.2619958, ' Yes': -3.4195638, '\n': -5.5875764, 'Yes': -6.6921883}
{' No': -0.60694313, '\n': -5.2522964, 'No': -4.7083836, ' Yes': -0.8319015, 'Yes': -5.276636}
{' No': -3.3827243, '\n': -5.707283, 'No': -6.9374957, ' Yes': -0.0558147, 'Yes': -4.16304}
{' No': -0.11136534, ' Yes': -2.5608644, 'No': -4.002654, '\n': -4.806098, 'Yes': -7.0972276}
{' No': -0.22869195, ' Yes': -1.9799489, '\n': -3.4197316, 'No': -3.9380386, ' Sur': -4.650824}
{' No': -0.021676036, 'No': -4.0932493, '\n': -5.976033, ' Yes': -6.33787, ' ': -8.691113}
{' No': -1.5191565, '\n': -6.2174153, 'No': -5.2528906, ' Yes': -0.2748252, 'Yes': -4.281804}
{' No': -2.8959696, '\n': -3.3735752, 'No': -5.1679764, ' Yes': -0.15117273, 'Yes': -3.1280556}
{' Yes': -0.062770166, 'Yes': -3.2882853, '\n': -4.0794477, ' No': -5.2821684, ' ': -7.4784}
{' No': -1.1114601, '\n': -2.371512, 'No': -3.4372773, ' Yes': -0.65594906, 'Yes': -3.7426703}
{' Yes': -0.20697089, '\n': -2.5707843, ' No': -2.9474607, 'Yes': -2.9681747, 'No': -5.383759}
{' No': -0.13680083, 'No': -2.3772545, '\n': -3.503719, ' Yes': -6.0966883, ' Unfortunately': -6.6843834}
{' No': -0.637856, '\n': -3.3033545, 'No': -3.1933334, ' Yes': -0.982266, 'Yes': -4.0610313}
{' No': -6.715977, '\n': -4.1193886, ' ': -7.3565903, ' Yes': -0.051167052, 'Yes': -3.4667916}
{' Yes': -0.059677083, 'Yes': -3.147318, '\n': -4.4133415, ' No': -6.3426857, ' ': -7.917131}
{' No': -3.9170353, '\n': -2.523269, 'No': -5.7190995, ' Yes': -0.16065143, 'Yes': -3.1603901}
{' Yes': -0.1138329, 'Yes': -2.7377055, '\n': -3.2023149, ' ': -6.9467483, ' yes': -7.597925}
{' No': -0.63891464, '\n': -1.4994054, ' Yes': -1.9292418, 'No': -2.508004, 'Yes': -4.669169}
{' Yes': -0.18611754, ' No': -2.8287356, 'Yes': -2.9041102, '\n': -3.1114736, 'No': -4.697331}
{' No': -1.498336, '\n': -4.043351, 'No': -4.0665865, ' Yes': -0.33296877, 'Yes': -3.7503347}
{' No': -2.6365354, '\n': -3.2701483, 'No': -5.015163, ' Yes': -0.15288125, 'Yes': -3.8150706}
{' Yes': -0.6551137, ' No': -1.1472498, '\n': -2.3896527, 'No': -3.2691102, 'Yes': -3.4616017}
{' No': -0.2255127, '\n': -3.5850956, 'No': -3.1821356, ' Yes': -2.068683, 'Yes': -5.6229696}
{' Yes': -0.58189565, ' No': -1.011671, '\n': -3.3648925, 'No': -3.79339, 'Yes': -4.0765038}
{' No': -1.944103, '\n': -3.129049, 'No': -4.551449, ' Yes': -0.25116718, 'Yes': -3.8458383}
{' No': -2.1693668, '\n': -1.8653698, 'No': -4.794544, ' Yes': -0.35848618, 'Yes': -3.9696198}
{' Yes': -0.17670187, '\n': -2.0990806, 'Yes': -3.3503046, ' No': -5.9858484, ' ': -7.095399}
{' No': -0.4881332, '\n': -1.6768197, ' Yes': -1.9916179, 'No': -3.11085, 'Yes': -5.1756406}
{' No': -0.61865944, ' Yes': -1.2589562, '\n': -2.0551465, 'No': -3.4711812, 'Yes': -4.712119}
{' Yes': -0.015381145, 'Yes': -4.283642, '\n': -6.945267, ' No': -8.281757, ' yes': -8.902666}
{' Yes': -0.020491412, 'Yes': -4.0354905, '\n': -6.76429, ' No': -6.9127355, ' yes': -8.177076}
{' Yes': -0.031374738, 'Yes': -3.8253145, '\n': -5.4394326, ' Sur': -5.6726084, ' yes': -7.953051}
{' No': -0.72224975, ' Yes': -0.73650724, 'No': -4.005945, 'Yes': -4.514469, '\n': -5.1687293}
{' No': -3.9467041, '\n': -7.0578375, 'No': -7.6570945, ' Yes': -0.03469985, 'Yes': -4.332088}
{' No': -0.063237704, 'No': -3.4945273, ' Yes': -3.7210817, '\n': -5.152974, 'Yes': -7.538312}
{' No': -0.27996552, '\n': -4.101041, 'No': -3.3362818, ' Yes': -1.6792327, 'Yes': -5.39729}
{' No': -0.11714964, '\n': -4.021601, 'No': -3.2448637, ' Yes': -2.967785, 'Yes': -6.8967576}
{' No': -0.33182946, '\n': -3.713179, 'No': -3.5031075, ' Yes': -1.5081563, 'Yes': -5.2296567}
{' No': -0.6633546, ' Yes': -0.8185879, 'No': -4.0269237, '\n': -4.144094, 'Yes': -4.6919703}
{' No': -0.2170226, '\n': -5.2566094, 'No': -3.6914146, ' Yes': -1.8253981, 'Yes': -5.7027593}
{' No': -0.5508155, ' Yes': -0.93239975, 'No': -4.1072407, 'Yes': -5.0675526, '\n': -5.1162224}
{' No': -0.032049336, 'No': -3.9801505, ' Yes': -4.6506863, '\n': -6.062902, ' Hospital': -8.053486}
{' No': -0.5631781, '\n': -4.6583524, 'No': -3.9846048, ' Yes': -0.9870386, ' Sur': -3.8374243}
{' No': -0.084727064, '\n': -5.794379, 'No': -3.8384655, ' Yes': -2.9003816, 'Yes': -6.7687783}
{' Yes': -0.047974084, 'Yes': -3.7292657, '\n': -4.1051693, ' No': -5.2906175, ' ': -7.734295}
{' No': -3.1213348, '\n': -3.3319094, 'No': -5.738582, ' Yes': -0.11994042, 'Yes': -3.5970502}
{' Yes': -0.2460427, ' No': -2.0663893, '\n': -2.9550784, 'Yes': -3.712767, 'No': -4.47222}
{' Yes': -0.19475089, '\n': -2.109496, 'Yes': -2.9802501, ' No': -6.193391, ' ': -6.5013986}
{' No': -0.6532554, '\n': -2.2334461, 'No': -3.4703004, ' Yes': -1.1388742, 'Yes': -4.6944294}
{' No': -0.16050571, ' Yes': -2.3418431, 'No': -3.157759, '\n': -5.123236, 'Yes': -5.734122}
{' No': -0.0816679, 'No': -3.0634336, ' Yes': -3.6386287, '\n': -5.4560575, 'Yes': -7.149394}
{' No': -0.0920129, 'No': -3.0138512, ' Yes': -3.6773493, '\n': -4.416916, 'Yes': -7.2931685}
{' No': -1.5681399, '\n': -2.9003007, 'No': -4.2313633, ' Yes': -0.378002, 'Yes': -3.5231872}
{' No': -0.037155814, '\n': -5.900702, ' ': -8.950289, 'No': -3.4141107, ' Yes': -7.450453}
{' No': -0.07090627, 'No': -3.416794, ' Yes': -3.534573, '\n': -5.264996, 'Yes': -6.983296}
{' No': -1.0860301, '\n': -4.8135824, 'No': -4.569289, ' Yes': -0.45913607, 'Yes': -4.451913}
{' No': -4.219363, '\n': -5.1423306, 'No': -7.0580106, ' Yes': -0.05403436, 'Yes': -3.485093}
{' No': -0.41593513, '\n': -3.5925765, 'No': -3.3149524, ' Yes': -1.3158603, 'Yes': -5.016481}
{' Yes': -0.16685528, ' No': -2.9170442, '\n': -2.9493277, 'Yes': -3.4646764, ' Sur': -4.5394516}
{' No': -0.060503613, '\n': -5.170901, ' ': -8.662645, 'No': -2.9529407, ' Yes': -7.653628}
{' No': -0.07827423, '\n': -5.0659637, 'No': -3.5738735, ' Yes': -3.2403624, 'Yes': -6.837721}
{' No': -0.05531371, 'No': -3.0194688, '\n': -5.72768, ' Yes': -6.595997, ' ': -8.376736}
{' No': -0.12292041, 'No': -2.7365048, ' Yes': -3.2266514, '\n': -4.7111826, 'Yes': -6.323058}
{' No': -0.062020015, 'No': -2.8874574, '\n': -5.5910654, ' Yes': -7.936995, ' ': -8.425932}
{' No': -0.067472935, '\n': -4.2643566, ' ': -8.477998, 'No': -2.9966183, ' Yes': -7.0681477}
{' No': -0.07329523, 'No': -2.728454, '\n': -5.43008, ' Yes': -7.5912657, ' ': -8.450353}
{' No': -0.10140817, '\n': -5.735763, 'No': -2.8002872, ' Yes': -3.480255, 'Yes': -6.5696006}
{' No': -0.05036443, 'No': -3.536637, ' Yes': -4.206437, '\n': -5.3905363, 'Yes': -7.995021}
{' No': -0.36279774, '\n': -5.208285, 'No': -3.7623186, ' Yes': -1.3122797, 'Yes': -5.14911}
{' No': -0.022620955, '\n': -6.16954, ' ': -8.534623, 'No': -3.9881592, ' Yes': -6.545276}
{' No': -0.053309157, '\n': -3.9239182, ' ': -7.4920864, 'No': -3.5378745, ' Yes': -6.215809}
{' No': -0.04915591, '\n': -6.220533, ' ': -9.175868, 'No': -3.0857518, ' Yes': -9.473079}
{' No': -0.092821196, ' Yes': -3.194044, 'No': -3.2178974, '\n': -5.190134, 'Yes': -6.3850327}
{' No': -0.69377226, ' Yes': -0.86194324, 'No': -3.3181446, '\n': -3.7013767, 'Yes': -4.1316233}
{' No': -2.8689377, '\n': -4.305076, 'No': -5.4459777, ' Yes': -0.11686474, 'Yes': -3.35786}
{' No': -0.3071837, ' Yes': -1.6610407, 'No': -3.1587558, '\n': -3.6765947, 'Yes': -5.1696143}
{' No': -1.4716759, '\n': -3.6658115, 'No': -4.2277756, ' Yes': -0.3670731, 'Yes': -3.3111916}
{' No': -0.087986305, 'No': -2.7011607, '\n': -4.185108, ' Yes': -6.877159, ' ': -7.5445595}
{' No': -0.2013858, '\n': -4.3675537, 'No': -3.0070443, ' Yes': -2.164593, 'Yes': -5.344731}
{' No': -5.484374, '\n': -4.21297, 'No': -7.170527, ' Yes': -0.07549567, 'Yes': -2.9586115}
{' No': -5.270143, '\n': -3.8507538, 'No': -6.873321, ' Yes': -0.09965692, 'Yes': -2.7147787}
{' Yes': -0.4682656, '\n': -1.8419342, ' No': -2.08374, 'Yes': -2.9008844, 'No': -3.4552307}
{' Yes': -0.17498338, 'Yes': -2.362697, '\n': -2.9222822, ' No': -4.768617, 'No': -6.2143064}
{' No': -0.5011158, '\n': -2.0372045, 'No': -1.7525253, ' Yes': -2.5959282, 'Yes': -4.610733}
{' Yes': -0.37692043, ' No': -1.709722, 'Yes': -2.8897624, '\n': -3.19268, 'No': -3.4005082}
{' No': -0.39957225, '\n': -3.0300899, 'No': -2.5770185, ' Yes': -1.6458777, 'Yes': -4.5703907}
{' Yes': -0.2994305, ' No': -1.78157, '\n': -3.053577, 'Yes': -3.7442756, 'No': -4.070411}
{' No': -0.23286444, '\n': -2.7050037, 'No': -2.167429, ' Yes': -3.7717953, 'Yes': -6.1887794}
{' No': -0.42420304, '\n': -2.9989674, 'No': -2.8103895, ' Yes': -1.5038922, 'Yes': -4.5385976}
{' No': -0.40032694, ' Yes': -1.6106808, 'No': -2.7907896, '\n': -2.867526, 'Yes': -4.6554136}
{' No': -0.34054723, '\n': -3.4455965, 'No': -2.531675, ' Yes': -1.7947365, 'Yes': -4.8784842}
{' No': -0.6566174, '\n': -2.1478627, 'No': -2.9527159, ' Yes': -1.2155125, 'Yes': -4.4782114}
{' No': -4.0432773, '\n': -2.5946383, 'No': -6.363948, ' Yes': -0.14912564, 'Yes': -3.1422877}
{' No': -0.18822439, '\n': -3.1031299, 'No': -2.2687354, ' Yes': -4.355731, ' Unfortunately': -4.941936}
{' No': -0.15330866, '\n': -3.81702, 'No': -2.5244977, ' Yes': -3.366823, ' Unfortunately': -6.1605926}
{' Yes': -0.023159996, 'Yes': -3.8343897, '\n': -7.1918893, ' yes': -8.51376, ' No': -8.914083}
{' Yes': -0.03152906, 'Yes': -3.6139262, ' No': -6.124518, '\n': -6.724352, ' yes': -7.9584675}
{' No': -7.6731086, '\n': -6.600672, ' Yes': -0.025543192, ' yes': -7.9740105, 'Yes': -3.8012216}
{' No': -1.0323954, '\n': -5.5788255, 'No': -3.8312197, ' Yes': -0.5221454, 'Yes': -3.7896528}
{' Yes': -0.017931681, 'Yes': -4.3605523, ' No': -5.5070806, '\n': -7.760355, ' yes': -8.275293}
{' No': -0.06632677, 'No': -3.221709, ' Yes': -4.2151933, '\n': -4.7502275, 'Yes': -7.6951756}
{' No': -0.13350593, '\n': -4.696101, 'No': -2.9190953, ' Yes': -2.8279257, 'Yes': -6.2204423}
{' No': -0.13190301, '\n': -3.5913718, 'No': -2.852791, ' Yes': -3.3316844, 'Yes': -6.8266525}
{' No': -0.2698453, ' Yes': -1.7461655, 'No': -3.2279387, '\n': -4.1842546, 'Yes': -5.1604204}
{' No': -0.32133535, '\n': -4.0593605, 'No': -3.6476214, ' Yes': -1.494494, 'Yes': -5.0920568}
{' Yes': -0.022733994, 'Yes': -4.034601, '\n': -5.7986336, ' No': -6.639136, ' yes': -8.658216}
{' Yes': -0.034170154, 'Yes': -3.7602422, '\n': -4.9550567, ' No': -6.1873064, ' yes': -7.5138927}
{' No': -3.7701485, '\n': -5.620399, 'No': -6.6783743, ' Yes': -0.046214335, 'Yes': -4.118697}
{' Yes': -0.028297836, 'Yes': -3.8905356, '\n': -5.3377724, ' No': -6.8408875, ' Sur': -7.017868}
{' Yes': -0.4404912, ' No': -1.162953, '\n': -4.1134, 'Yes': -4.150954, 'No': -4.6058125}
{' No': -5.7737923, '\n': -4.7696457, ' ': -7.965011, ' Yes': -0.041936956, 'Yes': -3.5573444}
{' Yes': -0.16219836, ' No': -2.6327968, 'Yes': -3.2261534, '\n': -3.5787249, 'No': -4.855872}
{' No': -0.73681253, '\n': -3.3320405, 'No': -3.3106287, ' Yes': -0.83422464, 'Yes': -4.4420943}
{' Yes': -0.06398768, 'Yes': -3.2299404, '\n': -3.9803653, ' No': -5.9418545, ' ': -7.905517}
{' No': -0.18956178, '\n': -2.8262708, 'No': -2.8218591, ' Yes': -3.0132427, 'Yes': -6.230232}
{' No': -0.14747964, ' Yes': -2.5026546, 'No': -3.2853158, '\n': -4.2634788, 'Yes': -5.869958}
{' No': -0.027474469, 'No': -3.9644744, ' Yes': -5.255101, '\n': -5.995627, ' ': -8.669258}
{' No': -0.03366509, '\n': -4.946804, ' ': -8.034921, 'No': -3.918114, ' Yes': -5.2158566}
{' No': -0.64472437, '\n': -3.324198, 'No': -3.9155889, ' Yes': -0.9016824, 'Yes': -4.6013184}
{' No': -0.03917856, 'No': -3.5893834, '\n': -4.6774135, ' Yes': -6.9764, ' ': -8.327245}
{' No': -0.08165089, '\n': -4.986697, 'No': -4.4289045, ' Yes': -2.8378592, 'Yes': -7.338704}
{' No': -1.4018002, '\n': -4.6515307, 'No': -5.3165607, ' Yes': -0.31885916, 'Yes': -4.423925}
{' No': -1.9622346, '\n': -4.350666, 'No': -5.90167, ' Yes': -0.1829358, 'Yes': -4.622381}
{' No': -0.5165024, '\n': -4.315777, 'No': -4.311409, ' Yes': -0.99901956, ' Hospital': -5.5995445}
{' No': -3.8289237, '\n': -4.9568973, ' Yes': -0.04696257, ' Sur': -5.2541175, 'Yes': -4.5398536}
{' No': -0.028219113, '\n': -4.629425, ' ': -8.150901, 'No': -4.317978, ' Yes': -5.6436634}
{' No': -0.12757145, ' Yes': -2.4585288, '\n': -3.7891712, 'No': -4.703186, 'Yes': -7.153457}
{' No': -0.030779134, 'No': -3.5979006, ' Yes': -6.2764955, '\n': -6.970024, 'Yes': -9.934296}
{' No': -0.15550697, ' Yes': -2.2819471, 'No': -3.3876255, '\n': -5.30721, 'Yes': -5.8272767}
{' No': -0.032726064, 'No': -3.7065504, '\n': -5.2973456, ' Yes': -6.1402717, ' ': -8.062187}
{' No': -0.08137444, ' Yes': -3.1449785, 'No': -3.7014418, '\n': -4.767682, 'Yes': -6.969865}
{' No': -0.026732525, 'No': -3.968127, '\n': -5.5405507, ' Yes': -5.9046583, ' ': -8.395027}
{' No': -0.49957702, ' Yes': -1.0033594, 'No': -4.267277, 'Yes': -5.1044126, '\n': -5.180271}
{' No': -1.796941, '\n': -5.004167, 'No': -5.2903204, ' Yes': -0.21779966, 'Yes': -4.057809}
{' Yes': -0.0421232, ' No': -3.8352613, 'Yes': -4.35185, '\n': -5.278465, ' yes': -7.259358}
{' No': -0.20008473, '\n': -4.826648, 'No': -4.2917404, ' Yes': -1.8561077, 'Yes': -6.6626606}
{' No': -0.96241367, '\n': -4.0631485, ' Yes': -0.5543021, ' Sur': -4.569719, 'Yes': -4.8493786}
{' No': -0.015506508, 'No': -4.666015, '\n': -5.763069, ' Yes': -6.406636, ' Band': -7.244426}
{' Yes': -0.08739074, ' No': -2.7540338, '\n': -4.671449, 'Yes': -4.754567, 'No': -7.070285}
{' No': -4.041828, '\n': -5.088104, 'No': -7.1237755, ' Yes': -0.048643086, 'Yes': -3.7914445}
{' Yes': -0.052630715, 'Yes': -3.5779104, '\n': -4.427413, ' No': -4.5894175, 'No': -7.4937887}
{' Yes': -0.49753374, ' No': -1.0578707, '\n': -4.1329346, 'No': -4.204256, 'Yes': -4.448061}
{' Yes': -0.038025036, 'Yes': -3.6647336, '\n': -4.8148937, ' No': -6.2954593, ' Sur': -7.198707}
{' No': -0.056040164, '\n': -4.335409, ' ': -7.489807, 'No': -3.264473, ' Yes': -6.1610317}
{' No': -1.2664154, '\n': -4.741368, 'No': -4.5717416, ' Yes': -0.38963574, 'Yes': -3.8807013}
{' Yes': -0.03629322, 'Yes': -3.5510502, '\n': -5.170056, ' No': -7.6366916, ' ': -7.8508015}
{' Yes': -0.04149561, 'Yes': -3.3486896, '\n': -5.462766, ' No': -7.908965, ' The': -8.13671}
{' No': -6.4683304, '\n': -5.2935295, ' ': -7.885126, ' Yes': -0.038509514, 'Yes': -3.4991245}
{'\n': -5.8692923, ' ': -8.135018, ' Yes': -0.047233347, ' yes': -7.982776, 'Yes': -3.158168}
{' Yes': -0.45896235, ' No': -1.3669882, 'No': -3.2490072, 'Yes': -3.3395739, '\n': -3.536248}
{' Yes': -0.06367319, 'Yes': -3.0736198, '\n': -4.8833294, ' No': -5.1292915, 'No': -7.255213}
{' No': -2.0951467, '\n': -3.6835692, 'No': -4.711781, ' Yes': -0.20299585, 'Yes': -3.6932836}
{' No': -2.9403348, '\n': -3.9480782, 'No': -5.6103578, ' Yes': -0.09981952, 'Yes': -4.049746}
{' No': -0.5083815, ' Yes': -1.1093965, 'No': -3.2306254, '\n': -4.0959554, 'Yes': -4.5215535}
{' No': -0.09435797, ' Yes': -3.234008, 'No': -3.4813912, '\n': -4.10357, ' The': -6.8805933}
{' No': -0.6959377, '\n': -3.27576, 'No': -3.5622878, ' Yes': -0.8678374, 'Yes': -4.487472}
{' No': -0.46215564, ' Yes': -1.3490518, '\n': -2.7893956, 'No': -3.3932562, 'Yes': -5.068612}
{' Yes': -0.12861794, ' No': -2.509355, '\n': -4.04096, 'Yes': -4.165218, 'No': -5.433262}
{'\n': -5.1724925, ' ': -8.64294, ' Yes': -0.02270662, ' yes': -8.45049, 'Yes': -4.125409}
{' No': -0.26300818, ' Yes': -2.0931816, '\n': -2.7975006, 'No': -3.3845673, ' Unfortunately': -5.75431}
{' No': -0.7179094, '\n': -4.479071, 'No': -4.1956162, ' Yes': -0.7516427, 'Yes': -4.86681}
{' Yes': -0.01044279, 'Yes': -4.618454, '\n': -8.030119, ' yes': -9.164795, ' No': -10.40565}
{' Yes': -0.016240612, 'Yes': -4.236284, '\n': -6.9841127, ' No': -7.9434543, ' yes': -8.251748}
{' Yes': -0.017896306, 'Yes': -4.21125, ' Sur': -6.27753, '\n': -7.6878295, ' yes': -8.540572}
{' No': -1.183414, '\n': -5.952203, 'No': -4.673032, ' Yes': -0.40509742, 'Yes': -4.313842}
{' No': -5.7138686, '\n': -7.697988, ' Yes': -0.01300835, ' Patient': -7.0653305, 'Yes': -4.882063}
{' No': -0.027734328, 'No': -4.0837607, ' Yes': -4.678785, '\n': -6.9365664, 'Yes': -8.844501}
{' No': -0.41562927, '\n': -4.6249323, 'No': -3.8732574, ' Yes': -1.1958227, 'Yes': -5.2221804}
{' No': -0.30451992, '\n': -4.729227, 'No': -3.6438217, ' Yes': -1.5027391, 'Yes': -5.8016872}
{' No': -0.45422167, ' Yes': -1.0846995, 'No': -4.118814, 'Yes': -5.219097, '\n': -5.45585}
{' No': -0.50255895, '\n': -5.6626363, 'No': -4.6712255, ' Yes': -0.97955626, 'Yes': -5.567233}
{' No': -0.12586924, ' Yes': -2.3575282, 'No': -3.9622755, '\n': -5.90558, 'Yes': -6.5413985}
{' No': -0.20605025, ' Yes': -1.9246913, 'No': -3.6663046, '\n': -4.4816313, 'Yes': -6.095927}
{' No': -0.060949378, ' Yes': -3.42189, 'No': -3.8455083, '\n': -5.588653, ' Hospital': -7.479085}
{' No': -2.2105546, 'No': -6.007925, ' Yes': -0.14811169, ' Sur': -4.4643064, 'Yes': -4.5304093}
{' No': -0.1446706, '\n': -5.415207, 'No': -4.320921, ' Yes': -2.1664927, 'Yes': -6.658598}
{' No': -7.950484, '\n': -4.759032, ' Yes': -0.035326704, ' The': -8.398666, 'Yes': -3.6855721}
{' Yes': -0.08159165, 'Yes': -3.4636567, ' No': -3.7400062, '\n': -3.9910858, 'No': -6.241595}
{' No': -2.978105, '\n': -3.778444, 'No': -5.3935905, ' Yes': -0.11151453, 'Yes': -3.6966853}
{' Yes': -0.058684614, 'Yes': -3.1328537, '\n': -4.4049354, ' yes': -7.865344, ' The': -8.1072}
{' No': -1.0146048, '\n': -2.623707, 'No': -3.4820445, ' Yes': -0.6899913, 'Yes': -4.0043373}
{' No': -0.70084894, '\n': -4.9962573, 'No': -4.080779, ' Yes': -0.7579282, 'Yes': -4.4938483}
{' No': -0.04927631, 'No': -3.5463922, ' Yes': -4.023218, '\n': -7.106533, 'Yes': -7.901829}
{' No': -0.07447789, '\n': -4.42604, 'No': -3.4669125, ' Yes': -3.591024, 'Yes': -7.540942}
{' Yes': -0.32034937, ' No': -1.4750086, 'Yes': -3.9203098, '\n': -4.138655, 'No': -4.908005}
{' No': -0.04070674, ' Not': -7.8629837, '\n': -5.257387, 'No': -3.5127008, ' Yes': -5.484091}
{' Yes': -0.5781852, ' No': -0.89406884, 'Yes': -4.2780466, 'No': -4.3495874, '\n': -5.7858396}
{' No': -3.0882456, '\n': -4.9665833, 'No': -6.5452843, ' Yes': -0.074608184, 'Yes': -4.0371933}
{' Yes': -0.02728659, 'Yes': -4.235897, ' No': -4.7510886, '\n': -5.724582, 'No': -8.418598}
{' Yes': -0.13454624, ' No': -2.3752613, '\n': -4.184368, 'Yes': -4.289373, 'No': -5.7335734}
{' Yes': -0.050778233, 'Yes': -3.8928459, '\n': -4.2175717, ' No': -4.3431954, ' Sur': -7.7174478}
{' No': -0.07236262, ' Not': -7.736015, '\n': -4.0735164, 'No': -3.1912682, ' Yes': -4.572736}
{' No': -0.10350541, '\n': -5.6378107, 'No': -3.9520903, ' Yes': -2.611949, 'Yes': -6.4673777}
