{' B': -0.23135017, ' A': -1.5809976, ' "': -7.9659996, ' (': -9.101056, ' b': -9.176633}
{' A': -0.016324636, 'A': -9.371481, ' B': -4.15142, ' (': -9.163225, ' "': -8.760245}
{' A': -0.026617378, 'A': -9.321624, ' B': -3.657637, ' (': -9.138797, ' "': -8.714369}
{' A': -0.013151469, 'A': -9.363907, ' B': -4.3705482, ' (': -9.201996, ' "': -8.890081}
{' A': -0.01059121, 'A': -9.388337, ' B': -4.600137, ' (': -9.061219, ' "': -8.6428175}
{' A': -0.01865237, ' B': -4.0143757, ' "': -8.843533, ' (': -9.209252, 'A': -9.414015}
{' A': -0.015352398, 'A': -9.353746, ' B': -4.214817, ' (': -9.139198, ' "': -8.739064}
{' A': -0.00569398, ' B': -5.249598, ' "': -8.858328, ' (': -9.130652, 'A': -9.384284}
{' A': -0.026322499, 'A': -9.389557, ' B': -3.669221, ' (': -9.199389, ' "': -8.6026}
{' A': -0.0027824787, 'A': -9.455697, ' B': -6.067418, ' (': -8.998854, ' "': -8.735093}
{' b': -9.738346, ' A': -2.0205986, ' B': -0.14269562, ' (': -9.689562, ' "': -8.712486}
{' A': -1.2975986, ' B': -0.31970862, ' (': -9.496591, ' "': -8.568877, " '": -9.821503}
{' B': -0.18952101, ' A': -1.7591468, ' "': -8.586602, ' (': -9.476011, ' b': -9.7715025}
{' A': -1.0656357, ' B': -0.42314333, ' (': -9.245752, ' "': -8.490892, " '": -9.706763}
{' b': -9.754799, ' A': -1.571568, ' B': -0.2333971, ' (': -9.575264, ' "': -8.635514}
{' B': -0.54739994, ' A': -0.8650975, ' "': -8.352114, ' (': -9.289578, " '": -9.587872}
{' A': -0.92641205, ' B': -0.50487846, ' (': -9.334607, ' "': -8.674366, " '": -9.936494}
{' A': -0.78719634, ' B': -0.6081268, ' (': -9.252939, ' "': -8.466254, " '": -9.683463}
{' A': -1.3757548, ' B': -0.29184672, ' (': -9.346244, ' "': -8.604781, " '": -9.784495}
{' A': -0.80385345, ' B': -0.5944151, ' (': -9.101264, ' "': -8.523985, " '": -9.728562}
{' A': -0.5652168, ' B': -0.84115684, ' (': -9.061166, ' "': -8.353385, " '": -9.623283}
{' A': -0.7477134, ' B': -0.6423742, ' (': -9.271351, ' "': -8.480217, " '": -9.68976}
{' A': -0.59812576, ' B': -0.7993015, ' "': -8.533503, ' (': -9.179656, " '": -9.701999}
{' A': -0.80559945, ' B': -0.5930102, ' (': -9.219694, ' "': -8.495535, " '": -9.657515}
{' b': -9.63046, ' A': -2.2554965, ' B': -0.111121655, ' (': -10.003064, ' "': -8.937247}
{' A': -0.21657106, ' B': -1.6389781, ' (': -8.999167, ' "': -8.4287405, " '": -9.666038}
{' A': -0.23969248, 'A': -9.679617, ' B': -1.5479772, ' (': -9.190373, ' "': -8.705686}
{' A': -0.06808871, 'A': -9.575657, ' B': -2.7277584, ' (': -9.016105, ' "': -8.721015}
{' A': -0.32099208, 'A': -9.720662, ' B': -1.2945104, ' (': -8.95283, ' "': -8.503276}
{' A': -0.15538764, 'A': -9.668389, ' B': -1.9421461, ' (': -8.969734, ' "': -8.522265}
{' A': -0.033583354, 'A': -9.671091, ' B': -3.4237201, ' (': -8.971392, ' "': -8.779752}
{' A': -0.04097292, 'A': -9.591961, ' B': -3.2255301, ' (': -9.085464, ' "': -8.895169}
{' A': -0.06662629, 'A': -9.617741, ' B': -2.7487016, ' (': -9.086925, ' "': -8.725187}
{' A': -0.021510126, 'A': -9.642043, ' B': -3.8675678, ' (': -9.231228, ' "': -8.979831}
{' A': -0.3497343, ' B': -1.2220391, ' (': -9.130339, ' "': -8.578065, " '": -9.743673}
{' A': -0.006992994, 'A': -9.749023, ' B': -5.022797, ' (': -9.13664, ' "': -8.902466}
{' A': -0.01887648, 'A': -9.571368, ' B': -3.9984336, ' (': -9.27639, ' "': -9.072761}
{' A': -0.009381553, 'A': -9.615584, ' B': -4.714696, ' (': -9.131536, ' "': -9.008198}
{' A': -0.017487884, 'A': -9.569188, ' B': -4.0761175, ' (': -9.232791, ' "': -9.063585}
{' A': -0.0072226073, ' B': -4.9822474, ' "': -9.205975, ' (': -9.219751, 'A': -9.626003}
{' A': -0.0067493315, 'A': -9.656224, ' B': -5.056573, ' (': -9.187716, ' "': -9.052106}
{' A': -0.011963383, 'A': -9.609901, ' B': -4.4636, ' (': -9.211129, ' "': -9.004614}
{' A': -0.01677719, 'A': -9.57197, ' B': -4.1191387, ' (': -9.190344, ' "': -8.998036}
{' A': -0.0074400827, 'A': -9.608734, ' B': -4.9512744, ' (': -9.20708, ' "': -9.200518}
{' A': -0.026046125, 'A': -9.642616, ' B': -3.6761713, ' (': -9.208249, ' "': -8.8932295}
{' A': -0.0022679812, 'A': -9.648777, ' B': -6.25775, ' (': -8.977922, ' "': -9.272982}
{' b': -9.843043, ' A': -2.2973588, ' B': -0.10635688, ' (': -9.8371315, ' "': -8.663719}
{' b': -9.998933, ' A': -1.4989307, ' B': -0.2533902, ' (': -9.502026, ' "': -8.386729}
{' b': -9.816567, ' A': -2.1283622, ' B': -0.1272104, ' (': -9.641608, ' "': -8.525366}
{' b': -10.014159, ' A': -1.33531, ' B': -0.30595586, ' (': -9.301293, ' "': -8.33892}
{' b': -9.798463, ' A': -1.7224154, ' B': -0.19728634, ' (': -9.747793, ' "': -8.581039}
{' A': -0.97042745, ' B': -0.47711834, ' (': -9.49072, ' "': -8.253614, " '": -9.966924}
{' B': -0.43305963, ' A': -1.0468711, ' "': -8.541924, ' (': -9.404034, ' b': -10.089056}
{' A': -0.8754416, ' B': -0.5399084, ' (': -9.271626, ' "': -8.295456, " '": -10.060109}
{' b': -9.862074, ' A': -1.6531922, ' B': -0.21306972, ' (': -9.4473505, ' "': -8.440181}
{' A': -0.9505404, ' B': -0.4894446, ' (': -9.196429, ' "': -8.403617, " '": -10.095388}
{' A': -0.6141896, ' B': -0.78007567, ' (': -9.208037, ' "': -8.20804, " '": -9.931175}
{' A': -0.95030713, ' B': -0.48954135, ' (': -9.410762, ' "': -8.445151, " '": -10.102079}
{' A': -0.6636316, ' B': -0.72466105, ' (': -9.208668, ' "': -8.319639, " '": -10.029656}
{' B': -0.6259335, ' A': -0.76625925, ' "': -8.426805, ' (': -9.326445, " '": -10.0829115}
{' B': -0.0688426, ' A': -2.715033, ' "': -8.883686, ' b': -9.60661, ' (': -10.211816}
{' A': -0.2127846, 'A': -9.843329, ' B': -1.6547077, ' (': -9.294413, ' "': -8.255119}
{' A': -0.25919268, 'A': -9.816542, ' B': -1.4790413, ' (': -9.211168, ' "': -8.507711}
{' A': -0.06659514, 'A': -9.730744, ' B': -2.7488117, ' (': -9.130739, ' "': -8.681412}
{' A': -0.30067998, 'A': -9.857543, ' B': -1.3503759, ' (': -9.02436, ' "': -8.325382}
{' A': -0.14143458, 'A': -9.827935, ' B': -2.0293949, ' (': -9.092851, ' "': -8.500422}
{' A': -0.03274177, 'A': -9.76839, ' B': -3.4492629, ' (': -9.024328, ' "': -8.594862}
{' A': -0.03451147, 'A': -9.750785, ' B': -3.3946934, ' (': -9.243838, ' "': -8.845923}
{' A': -0.044844326, 'A': -9.766954, ' B': -3.1360686, ' (': -9.206668, ' "': -8.706093}
{' A': -0.017300108, ' B': -4.085768, ' "': -8.903824, ' (': -9.460313, 'A': -9.721807}
{' A': -0.27796844, 'A': -9.853836, ' B': -1.4180822, ' (': -9.163059, ' "': -8.403554}
{' A': -0.004101422, 'A': -9.877572, ' B': -5.5847306, ' (': -9.359181, ' "': -8.870863}
{' A': -0.00996287, 'A': -9.732697, ' B': -4.645776, ' (': -9.438441, ' "': -9.07488}
{' A': -0.007657787, 'A': -9.755213, ' B': -4.92013, ' (': -9.321765, ' "': -9.02276}
{' A': -0.011159371, ' B': -4.5318847, ' "': -8.97259, ' (': -9.36159, 'A': -9.725088}
{' A': -0.00452603, 'A': -9.772559, ' B': -5.4697948, ' (': -9.363512, ' "': -9.174977}
{' A': -0.004443642, 'A': -9.749823, ' B': -5.4996963, ' (': -9.353494, ' "': -8.896155}
{' A': -0.008208277, 'A': -9.714725, ' B': -4.8475637, ' (': -9.445653, ' "': -8.984149}
{' A': -0.006705648, 'A': -9.677056, ' B': -5.05984, ' (': -9.4324665, ' "': -8.944394}
{' A': -0.004163487, 'A': -9.690897, ' B': -5.5583696, ' (': -9.446479, ' "': -9.150694}
{' A': -0.01059356, ' B': -4.583824, ' "': -8.9400625, ' (': -9.518781, 'A': -9.765886}
{' A': -0.00137765, ' B': -6.8631444, ' "': -8.9754305, ' (': -9.310412, 'A': -9.763459}
{' b': -9.600067, ' A': -2.5358741, ' B': -0.08303331, ' (': -9.475814, ' "': -8.452413}
{' A': -1.5140126, ' B': -0.24924016, ' (': -9.211713, ' "': -8.2140665, " '": -9.5095415}
{' A': -2.14602, ' B': -0.1249572, ' (': -9.415685, ' "': -8.353625, " '": -9.58504}
{' A': -1.520656, ' B': -0.24740167, ' (': -9.08552, ' "': -8.2109585, " '": -9.44465}
{' A': -1.9478346, ' B': -0.15444258, ' (': -9.423632, ' "': -8.340166, " '": -9.609357}
{' A': -1.2968923, ' B': -0.32020387, ' (': -9.221346, ' "': -8.13731, " '": -9.509666}
{' A': -1.4689013, ' B': -0.262284, ' (': -9.195267, ' "': -8.40611, " '": -9.638543}
{' A': -1.1535035, ' B': -0.38005263, ' (': -9.121424, ' "': -8.116396, " '": -9.297609}
{' A': -1.9151825, ' B': -0.16001743, ' (': -9.220619, ' "': -8.326002, " '": -9.51633}
{' A': -1.2367594, ' B': -0.3438685, ' (': -8.942818, ' "': -8.138137, " '": -9.353707}
{' A': -1.1235136, ' B': -0.3943037, ' (': -8.857376, ' "': -8.026463, " '": -9.319533}
{' B': -0.34563497, ' A': -1.2323653, ' "': -8.166305, ' (': -9.081868, " '": -9.426726}
{' A': -0.8452818, ' B': -0.56234384, ' (': -8.898143, ' "': -8.072115, " '": -9.365358}
{' A': -1.2710192, ' B': -0.33016992, ' (': -9.009787, ' "': -8.190765, " '": -9.37648}
{' b': -9.633951, ' A': -2.514735, ' B': -0.084830284, ' (': -9.734263, ' "': -8.53502}
{' A': -0.4428468, ' B': -1.0298829, ' (': -8.852146, ' "': -7.96344, " '": -9.314657}
{' A': -0.59915644, ' B': -0.79837143, ' (': -8.847532, ' "': -8.151763, " '": -9.431614}
{' A': -0.22935486, ' B': -1.588806, ' (': -8.543786, ' "': -7.995944, " '": -9.216788}
{' A': -0.6449061, ' B': -0.7455225, ' (': -8.546182, ' "': -7.980291, " '": -9.3211355}
{' A': -0.39414853, ' B': -1.1241652, ' (': -8.49563, ' "': -7.950767, " '": -9.240026}
{' A': -0.11396663, ' B': -2.2354019, ' (': -8.440641, ' "': -8.05167, " '": -9.306203}
{' A': -0.13504365, ' B': -2.0745807, ' (': -8.584901, ' "': -8.123622, " '": -9.327353}
{' A': -0.18971722, ' B': -1.7599057, ' (': -8.525795, ' "': -8.079258, " '": -9.372874}
{' A': -0.06879106, ' B': -2.7203488, ' (': -8.730564, ' "': -8.271083, " '": -9.457966}
{' A': -0.38626555, ' B': -1.1404389, ' (': -8.759409, ' "': -8.013049, " '": -9.258107}
{' A': -0.028786149, ' B': -3.5842175, ' "': -8.230206, ' (': -8.674489, " '": -9.562075}
{' A': -0.060444914, ' B': -2.8463297, ' (': -8.750215, ' "': -8.336524, " '": -9.542607}
{' A': -0.033044644, ' B': -3.444961, ' (': -8.688804, ' "': -8.350363, " '": -9.57354}
{' A': -0.06328171, ' B': -2.8018851, ' (': -8.708486, ' "': -8.280555, " '": -9.529544}
{' A': -0.028534299, ' B': -3.5910096, ' (': -8.766557, ' "': -8.425551, " '": -9.58982}
{' A': -0.021290421, ' B': -3.8877683, ' (': -8.710344, ' "': -8.388764, " '": -9.603267}
{' A': -0.03529867, ' B': -3.3783238, ' (': -8.77763, ' "': -8.359194, " '": -9.580542}
{' A': -0.03723933, ' B': -3.3253498, ' "': -8.3482275, ' (': -8.726938, " '": -9.537214}
{' A': -0.015946109, 'A': -9.623155, ' B': -4.1798368, ' (': -8.766081, ' "': -8.551893}
{' A': -0.05673097, ' B': -2.9087722, ' "': -8.264661, ' (': -8.78692, " '": -9.461718}
{' A': -0.007552021, 'A': -9.637629, ' B': -4.9646554, ' (': -8.701087, ' "': -8.458103}
{' A': -1.8790528, ' B': -0.16651115, ' (': -8.861665, ' "': -8.193575, " '": -9.501047}
{' B': -0.36881617, ' A': -1.1785465, ' "': -8.137145, ' (': -8.611492, " '": -9.493523}
{' A': -1.6212181, ' B': -0.22100674, ' (': -8.779938, ' "': -8.310378, " '": -9.64378}
{' A': -0.9003522, ' B': -0.5229774, ' (': -8.431109, ' "': -8.0052, " '": -9.365848}
{' A': -1.387936, ' B': -0.28797197, ' (': -8.876619, ' "': -8.288982, " '": -9.582213}
{' A': -1.0075699, ' B': -0.4555394, ' (': -8.626617, ' "': -8.009712, " '": -9.244759}
{' B': -0.4924932, ' A': -0.946343, ' "': -8.180943, ' (': -8.5236635, " '": -9.49554}
{' A': -0.64654315, ' B': -0.7437359, ' (': -8.476764, ' "': -8.036039, " '": -9.30957}
{' A': -1.172503, ' B': -0.37155393, ' (': -8.568274, ' "': -8.123968, " '": -9.440456}
{' A': -0.67007583, ' B': -0.7184672, ' (': -8.380121, ' "': -8.026325, " '": -9.346942}
{' A': -0.52870286, ' B': -0.892398, ' (': -8.287155, ' "': -7.8264203, " '": -9.06492}
{' A': -0.5854707, ' B': -0.8156934, ' (': -8.456626, ' "': -8.010198, " '": -9.285375}
{' A': -0.46992767, ' B': -0.9832448, ' (': -8.338197, ' "': -8.013916, " '": -9.327662}
{' A': -0.6748387, ' B': -0.7134509, ' (': -8.443438, ' "': -8.055573, " '": -9.346954}
{' A': -2.0361948, ' B': -0.1404847, ' (': -9.030619, ' "': -8.500666, " '": -9.756063}
{' A': -0.19388309, ' B': -1.7408248, ' (': -8.364008, ' "': -7.980599, " '": -9.195806}
{' A': -0.22724853, 'A': -9.388727, ' B': -1.5971062, ' (': -8.377949, ' "': -8.126313}
{' A': -0.08828666, 'A': -9.3245535, ' B': -2.4804966, ' (': -8.309148, ' "': -8.136268}
{' A': -0.28665465, ' B': -1.3928748, ' (': -8.286362, ' "': -8.011324, " '": -9.337899}
{' A': -0.14948182, ' B': -1.9805478, ' "': -8.048951, ' (': -8.26135, " '": -9.2652235}
{' A': -0.0474672, ' B': -3.0896232, ' (': -8.212648, ' "': -8.068622, " '": -9.319322}
{' A': -0.05592456, 'A': -9.349592, ' B': -2.9255304, ' (': -8.336751, ' "': -8.20297}
{' A': -0.08095965, 'A': -9.365428, ' B': -2.5638278, ' (': -8.366396, ' "': -8.180746}
{' A': -0.025671119, 'A': -9.391517, ' B': -3.7017822, ' (': -8.469881, ' "': -8.342761}
{' A': -0.17576744, ' B': -1.8302548, ' (': -8.3588, ' "': -8.0800905, " '": -9.340086}
{' A': -0.013942822, ' B': -4.3318977, ' "': -8.265138, ' (': -8.396322, " '": -9.398865}
{' A': -0.029284516, 'A': -9.352232, ' B': -3.5684862, ' (': -8.439756, ' "': -8.385517}
{' A': -0.015778795, 'A': -9.38064, ' B': -4.2032995, ' (': -8.295324, ' "': -8.353536}
{' A': -0.03640739, 'A': -9.339595, ' B': -3.3511522, ' (': -8.406905, ' "': -8.280755}
{' A': -0.012393452, ' B': -4.4517646, ' (': -8.400622, ' "': -8.401968, 'A': -9.397311}
{' A': -0.006923849, ' B': -5.0917816, ' "': -8.213398, ' (': -8.296278, " '": -9.378023}
{' A': -0.011584391, ' B': -4.524081, ' (': -8.352849, ' "': -8.424293, 'A': -9.367539}
{' A': -0.0133696385, ' B': -4.3726664, ' (': -8.3997555, ' "': -8.405061, 'A': -9.340433}
{' A': -0.012549948, 'A': -9.386276, ' B': -4.4376082, ' (': -8.431484, ' "': -8.413421}
{' A': -0.023648666, ' B': -3.7872767, ' "': -8.219661, ' (': -8.422708, 'A': -9.401382}
{' A': -0.0029325169, 'A': -9.384063, ' B': -6.133843, ' (': -8.174692, ' "': -8.267733}
{' A': -2.390249, ' B': -0.096509755, ' (': -9.864902, ' "': -8.696925, " '": -9.760252}
{' A': -1.4426985, ' B': -0.270177, ' (': -9.596645, ' "': -8.473644, " '": -9.570258}
{' B': -0.1684011, ' A': -1.867162, ' "': -8.610556, " '": -9.658925, ' (': -9.745124}
{' B': -0.32707226, ' A': -1.278597, ' "': -8.351952, ' (': -9.340641, " '": -9.374488}
{' A': -1.7263272, ' B': -0.19643345, ' (': -9.8421545, ' "': -8.675783, " '": -9.713234}
{' A': -0.9235901, ' B': -0.5068764, ' (': -9.472108, ' "': -8.289517, " '": -9.603644}
{' A': -1.2598845, ' B': -0.33425778, ' (': -9.550775, ' "': -8.617319, " '": -9.663986}
{' A': -0.8802692, ' B': -0.5365192, ' (': -9.383145, ' "': -8.328281, " '": -9.324018}
{' B': -0.28611746, ' A': -1.392988, ' "': -8.460252, ' (': -9.472885, " '": -9.478171}
{' A': -0.7401424, ' B': -0.6493545, ' (': -9.199966, ' "': -8.317524, " '": -9.372535}
{' A': -0.43353984, ' B': -1.0465692, ' "': -8.1444435, ' (': -9.063819, " '": -9.244208}
{' A': -0.7444732, ' B': -0.64532727, ' (': -9.413016, ' "': -8.403749, " '": -9.417467}
{' A': -0.4906281, ' B': -0.9487732, ' (': -9.287865, ' "': -8.412723, " '": -9.483902}
{' A': -0.9139369, ' B': -0.5133136, ' (': -9.371923, ' "': -8.382181, " '": -9.381971}
{' B': -0.08093593, ' A': -2.558681, ' "': -8.886141, " '": -9.897968, ' b': -9.937375}
{' A': -0.21827458, ' B': -1.6319823, ' (': -9.317111, ' "': -8.368328, " '": -9.392807}
{' A': -0.35456726, ' B': -1.2107112, ' (': -9.238774, ' "': -8.425762, " '": -9.475754}
{' A': -0.10255065, ' B': -2.3339977, ' "': -8.393415, ' (': -9.048195, " '": -9.365467}
{' A': -0.31334054, ' B': -1.315349, ' (': -9.068622, ' "': -8.2439785, " '": -9.341713}
{' A': -0.200772, ' B': -1.7075756, ' (': -8.996297, ' "': -8.332502, " '": -9.315416}
{' A': -0.028811727, ' B': -3.5788813, ' (': -9.072882, ' "': -8.547666, " '": -9.561482}
{' A': -0.044538222, 'A': -9.591878, ' B': -3.1445382, ' (': -9.194813, ' "': -8.593257}
{' A': -0.05087318, 'A': -9.598713, ' B': -3.013016, ' (': -9.311315, ' "': -8.615941}
{' A': -0.019352127, 'A': -9.609376, ' B': -3.977234, ' (': -9.3102045, ' "': -8.716637}
{' A': -0.21574448, ' B': -1.642487, ' "': -8.350784, ' (': -9.22986, " '": -9.321957}
{' A': -0.007619707, ' B': -4.943601, ' (': -9.185087, ' "': -8.532115, " '": -9.698399}
{' A': -0.026345016, 'A': -9.577992, ' B': -3.6654289, ' (': -9.388857, ' "': -8.78045}
{' A': -0.017447246, ' B': -4.083426, ' "': -8.672675, ' (': -9.235042, 'A': -9.608074}
{' A': -0.02943723, 'A': -9.583305, ' B': -3.556218, ' (': -9.254204, ' "': -8.603908}
{' A': -0.011479714, 'A': -9.596677, ' B': -4.511142, ' (': -9.188235, ' "': -8.761835}
{' A': -0.0056397305, 'A': -9.660536, ' B': -5.2586055, ' (': -9.254823, ' "': -8.737766}
{' A': -0.018647635, 'A': -9.606235, ' B': -4.015292, ' (': -9.282104, ' "': -8.6870775}
{' A': -0.01949677, 'A': -9.57589, ' B': -3.969938, ' (': -9.27876, ' "': -8.718774}
{' A': -0.0074014114, ' B': -4.964921, ' "': -8.836924, ' (': -9.302358, 'A': -9.618875}
{' A': -0.018596627, ' B': -4.0180893, ' "': -8.622105, ' (': -9.385145, " '": -9.586127}
{' A': -0.0016429952, 'A': -9.617681, ' B': -6.7091985, ' (': -9.030952, ' "': -8.851308}
{' b': -9.776442, ' A': -2.6496816, 'B': -10.220974, ' B': -0.07362802, ' "': -8.972749}
{' b': -10.06085, ' A': -1.401134, ' B': -0.2832828, ' (': -9.957412, ' "': -8.737111}
{' b': -9.83169, ' A': -2.1521208, ' B': -0.12394763, ' (': -10.1195545, ' "': -8.903406}
{' b': -10.040393, ' A': -1.3050525, ' B': -0.31685516, ' (': -9.750549, ' "': -8.710672}
{' b': -9.703887, ' A': -1.9152503, 'B': -10.191792, ' B': -0.15975146, ' "': -8.926902}
{' B': -0.32301712, ' A': -1.2887058, ' "': -8.603187, ' b': -9.951636, ' (': -10.002746}
{' b': -10.164698, ' A': -1.0781846, ' B': -0.41638806, ' (': -9.880089, ' "': -8.888283}
{' A': -0.9064848, 'A': -10.097763, ' B': -0.51813143, ' (': -9.755903, ' "': -8.626177}
{' b': -9.881426, ' A': -1.5453056, ' B': -0.24033403, ' (': -9.889886, ' "': -8.770668}
{' B': -0.5312754, ' A': -0.8874328, ' "': -8.626333, ' (': -9.624769, 'A': -10.099873}
{' A': -0.66378784, 'A': -9.9715805, ' B': -0.7244091, ' (': -9.609227, ' "': -8.374785}
{' A': -0.781297, 'A': -9.99233, ' B': -0.61291623, ' (': -9.77275, ' "': -8.667943}
{' A': -0.48848927, 'A': -9.736084, ' B': -0.951912, ' (': -9.655875, ' "': -8.600847}
{' A': -0.7507129, 'A': -9.929612, ' B': -0.63953346, ' (': -9.735581, ' "': -8.657636}
{' B': -0.09186456, ' A': -2.436463, ' "': -9.065448, ' b': -9.635739, 'B': -10.2516365}
{' A': -0.20112877, ' B': -1.7051893, ' "': -8.526282, 'A': -9.523515, ' (': -9.652916}
{' A': -0.22159575, 'A': -9.522021, ' B': -1.6176931, ' (': -9.66022, ' "': -8.761645}
{' A': -0.04893874, 'A': -9.42677, ' B': -3.0489535, ' (': -9.677437, ' "': -8.932957}
{' A': -0.22962253, 'A': -9.525313, ' B': -1.5861343, ' (': -9.487993, ' "': -8.6175785}
{' A': -0.123095594, ' B': -2.1593273, ' "': -8.712412, 'A': -9.495592, ' (': -9.506408}
{' A': -0.02407218, 'A': -9.493703, ' B': -3.7539017, ' (': -9.581856, ' "': -8.860709}
{' A': -0.038402602, ' B': -3.288181, ' "': -8.953464, 'A': -9.439244, ' (': -9.628519}
{' A': -0.049504012, 'A': -9.465744, ' B': -3.0379512, ' (': -9.658746, ' "': -8.863095}
{' A': -0.012561113, 'A': -9.437537, ' B': -4.408124, ' (': -9.861374, ' "': -9.137609}
{' A': -0.1094727, 'A': -9.477613, ' B': -2.2700598, ' (': -9.682209, ' "': -8.789471}
{' A': -0.005689846, ' B': -5.230807, ' "': -8.931999, 'A': -9.580071, ' (': -9.710535}
{' A': -0.013781275, 'A': -9.442329, ' B': -4.312194, ' (': -9.914659, ' "': -9.271416}
{' A': -0.008636007, 'A': -9.456368, ' B': -4.7924414, ' (': -9.763837, ' "': -9.14054}
{' A': -0.017399209, 'A': -9.422453, ' B': -4.078696, ' (': -9.743903, ' "': -9.104867}
{' A': -0.0045565073, ' B': -5.4567885, ' "': -9.319087, 'A': -9.480494, ' (': -9.776471}
{' A': -0.0056982967, 'A': -9.487261, ' B': -5.226161, ' (': -9.791246, ' "': -9.07719}
{' A': -0.008462692, ' B': -4.812687, ' "': -9.130909, 'A': -9.458405, ' (': -9.826632}
{' A': -0.0054712486, ' B': -5.2665205, ' "': -9.214085, 'A': -9.407922, ' (': -9.8363905}
{' A': -0.004509983, ' B': -5.4671526, ' "': -9.382892, 'A': -9.459951, ' (': -9.684906}
{' A': -0.010315529, 'A': -9.478174, ' B': -4.6110234, ' (': -9.849211, ' "': -8.963251}
{' A': -0.0014024209, 'A': -9.456328, ' B': -6.8503747, ' (': -9.40192, ' "': -9.025182}
{' A': -2.2920465, ' B': -0.10689452, ' (': -10.229648, ' "': -8.810523, " '": -9.901631}
{' A': -1.1116456, ' B': -0.39962274, ' (': -9.829484, ' "': -8.57518, " '": -9.54765}
{' A': -1.4327956, ' B': -0.27317932, ' (': -9.796651, ' "': -8.616753, " '": -9.610742}
{' A': -1.0756567, ' B': -0.4178179, ' (': -9.633334, ' "': -8.536824, " '": -9.42515}
{' A': -1.847835, ' B': -0.17189166, ' (': -10.193116, ' "': -8.744716, " '": -9.666704}
{' A': -0.95774746, ' B': -0.4848242, ' (': -9.796082, ' "': -8.476536, " '": -9.684725}
{' A': -0.851462, ' B': -0.55719817, ' (': -9.754883, ' "': -8.688897, " '": -9.608782}
{' A': -0.6571502, ' B': -0.73145854, ' (': -9.634835, ' "': -8.465353, " '": -9.405602}
{' A': -0.93177235, ' B': -0.50140005, ' (': -9.623534, ' "': -8.485705, " '": -9.42806}
{' A': -0.48604956, ' B': -0.9558506, ' (': -9.485581, ' "': -8.517089, " '": -9.4685335}
{' A': -0.3951507, ' B': -1.1211411, ' (': -9.427469, ' "': -8.359546, " '": -9.346207}
{' A': -0.50943446, ' B': -0.9194743, ' (': -9.668826, ' "': -8.573933, " '": -9.491004}
{' A': -0.38466805, ' B': -1.1430223, ' (': -9.498812, ' "': -8.515232, " '": -9.458198}
{' A': -0.59107125, ' B': -0.8078204, ' (': -9.662868, ' "': -8.578591, " '": -9.501029}
{' b': -10.464703, ' A': -2.408163, ' B': -0.09458725, ' "': -9.056023, " '": -9.952578}
{' A': -0.13776971, ' B': -2.0536976, ' (': -9.614919, ' "': -8.555988, " '": -9.525789}
{' A': -0.25667414, ' B': -1.4874386, ' (': -9.591513, ' "': -8.608531, " '": -9.54921}
{' A': -0.049186338, ' B': -3.0448372, ' (': -9.515199, ' "': -8.765054, " '": -9.652511}
{' A': -0.2043496, ' B': -1.6908493, ' (': -9.443509, ' "': -8.557088, " '": -9.489312}
{' A': -0.101172574, ' B': -2.345565, ' (': -9.48592, ' "': -8.627244, " '": -9.475334}
{' A': -0.01854835, ' B': -4.0174875, ' "': -8.776912, ' (': -9.467992, " '": -9.720696}
{' A': -0.027388213, ' B': -3.6247735, ' (': -9.549286, ' "': -8.875519, " '": -9.72999}
{' A': -0.039946284, ' B': -3.2501454, ' (': -9.531558, ' "': -8.756281, " '": -9.650415}
{' A': -0.010014943, ' B': -4.6428924, ' "': -8.97708, ' (': -9.598898, 'A': -9.792433}
{' A': -0.11317682, ' B': -2.2387564, ' (': -9.565709, ' "': -8.677127, " '": -9.547179}
{' A': -0.009652337, ' B': -4.6866293, ' (': -9.421573, ' "': -8.711484, " '": -9.748336}
{' A': -0.016424729, 'A': -9.792624, ' B': -4.136687, ' (': -9.701343, ' "': -9.042873}
{' A': -0.009807924, ' B': -4.6669426, ' (': -9.512023, ' "': -8.8926525, " '": -9.720845}
{' A': -0.016641667, 'A': -9.753882, ' B': -4.125702, ' (': -9.566954, ' "': -8.903687}
{' A': -0.0073389057, ' B': -4.96577, ' (': -9.548315, ' "': -8.955664, " '": -9.744404}
{' A': -0.005683671, ' B': -5.2383513, ' "': -8.865308, ' (': -9.509124, " '": -9.759876}
{' A': -0.01616852, ' B': -4.156307, ' (': -9.5899315, ' "': -8.8071575, " '": -9.584553}
{' A': -0.011648734, ' B': -4.4912667, ' (': -9.449393, ' "': -8.83897, " '": -9.714093}
{' A': -0.0060759657, 'A': -9.801177, ' B': -5.1641645, ' (': -9.523938, ' "': -8.964082}
{' A': -0.015705993, ' B': -4.1864805, ' (': -9.621317, ' "': -8.718134, " '": -9.564059}
{' A': -0.0030057477, ' B': -5.9523635, ' (': -9.409038, ' "': -8.621099, " '": -9.71935}
{' A': -2.283811, ' B': -0.10776281, ' (': -10.324683, ' "': -9.153166, " '": -10.197637}
{' A': -1.2247578, ' B': -0.3483711, ' (': -9.903905, ' "': -8.91732, " '": -9.971342}
{' B': -0.1515927, ' A': -1.9635261, ' "': -9.056389, " '": -10.060442, ' (': -10.083454}
{' A': -1.2012985, ' B': -0.35833228, ' (': -9.74193, ' "': -8.890116, " '": -9.887757}
{' A': -1.8322828, ' B': -0.17475846, ' (': -10.176086, ' "': -9.10992, " '": -10.088874}
