{' No': -0.04760396, ' Yes': -3.703295, 'No': -4.0001245, '\n': -5.8247437, 'Yes': -7.8260674}
{' No': -2.25043, '\n': -1.7929298, 'No': -4.7234163, ' Yes': -0.37784484, 'Yes': -3.5334673}
{' No': -0.14461276, ' Not': -6.416788, '\n': -3.080112, 'No': -2.5313106, ' Yes': -5.3564677}
{' No': -0.27808484, ' Yes': -2.1541376, '\n': -2.5432882, 'No': -3.2958062, ' Patient': -5.1888247}
{' No': -0.896484, '\n': -3.8388762, 'No': -4.3329864, ' Yes': -0.6077991, 'Yes': -4.452131}
{' No': -2.6574242, '\n': -2.901437, 'No': -5.247079, ' Yes': -0.17683347, 'Yes': -3.496173}
{' No': -0.6893061, '\n': -0.95108974, 'No': -2.5999408, ' Yes': -4.1229606, ' Unfortunately': -4.80475}
{' No': -3.1234097, '\n': -1.5360168, 'No': -5.69808, ' Yes': -0.35897878, 'Yes': -3.3555014}
{' No': -0.26500788, '\n': -2.0320902, 'No': -2.4973361, ' Yes': -5.606417, ' Unfortunately': -4.5961537}
{' No': -0.4806988, '\n': -1.7751495, ' Yes': -1.9410069, 'No': -2.9426339, 'Yes': -4.9347525}
{' No': -0.97359645, '\n': -1.2280023, ' Yes': -1.2842369, 'No': -3.4235857, 'Yes': -4.2227893}
{' No': -5.8352065, '\n': -6.005314, ' Yes': -0.024576144, ' Nurse': -8.211907, 'Yes': -4.0050006}
{' Yes': -0.030347856, 'Yes': -3.8856678, ' No': -5.4878592, '\n': -6.055784, ' Doctor': -6.297708}
{' No': -3.5806518, '\n': -4.0621085, ' Yes': -0.106626466, ' Sur': -3.717214, 'Yes': -3.5870435}
{' No': -0.064453624, '\n': -5.334734, ' ': -8.150573, 'No': -2.885882, ' Yes': -6.9092345}
{' No': -0.5822426, '\n': -3.8626475, 'No': -3.8839412, ' Yes': -0.946899, 'Yes': -4.8240943}
{' No': -0.096429676, '\n': -5.7785354, 'No': -3.8813624, ' Yes': -2.709335, 'Yes': -6.6481147}
{' No': -0.06132442, '\n': -4.712695, 'No': -3.591897, ' Yes': -3.818168, 'Yes': -7.358924}
{' No': -0.1435032, '\n': -4.609329, 'No': -3.3275928, ' Yes': -2.469551, 'Yes': -6.2878666}
{' No': -0.22172564, '\n': -2.540512, 'No': -2.898487, ' Hospital': -3.1189213, ' Yes': -4.326479}
{' No': -0.04417889, '\n': -5.0046983, ' ': -8.222957, 'No': -3.3780084, ' Yes': -6.409085}
{' No': -0.08421559, 'No': -3.4648595, '\n': -3.733729, ' Yes': -3.7789652, ' Patient': -6.8298187}
{' No': -0.027298655, 'No': -3.9294667, ' Yes': -5.6325016, '\n': -5.6892076, ' ': -8.883484}
{' No': -0.04707333, '\n': -5.259245, 'No': -3.6644263, ' Yes': -4.2330265, 'Yes': -7.93016}
{' No': -0.3135806, ' Doctor': -1.6148463, ' Yes': -3.3250191, '\n': -4.199338, 'No': -4.2053385}
{' No': -0.048404757, ' Hospital': -3.7617626, 'No': -4.342682, '\n': -4.8087807, ' ': -6.8162055}
{' No': -0.60905033, '\n': -2.6899219, 'No': -4.218517, ' Yes': -1.5334144, ' Sur': -1.9160115}
{' No': -0.021328723, 'No': -4.3101873, '\n': -5.130528, ' Patient': -7.3683496, ' Yes': -7.4984994}
{' No': -0.010437128, 'No': -4.6715565, '\n': -7.4446354, ' Yes': -8.041154, ' ': -9.466612}
{' No': -8.0245285, '\n': -4.2637405, ' ': -8.104828, ' Yes': -0.051483348, 'Yes': -3.3484573}
{' Yes': -0.1393523, '\n': -3.0338337, 'Yes': -3.210107, ' No': -3.3602364, 'No': -5.615714}
{' No': -0.6142131, '\n': -1.1066295, 'No': -2.7366972, ' Yes': -3.4255342, ' Unfortunately': -4.5697446}
{' No': -1.1011121, '\n': -0.99631464, 'No': -3.3025699, ' Yes': -1.4572178, 'Yes': -3.9801896}
{' No': -0.22117694, 'No': -2.0527637, '\n': -2.9659202, ' Unfortunately': -5.042226, ' Not': -5.350892}
{' No': -0.39731237, '\n': -1.7313902, 'No': -2.5581112, ' Yes': -2.7759302, 'Yes': -5.2446384}
{' No': -2.5924282, '\n': -5.597637, 'No': -6.606769, ' Yes': -0.09497277, 'Yes': -4.5949492}
{' No': -4.3508635, '\n': -6.6164675, ' Yes': -0.028712232, 'Yes': -4.576758, ' Doctor': -5.837085}
{' No': -0.08133451, ' Hospital': -3.3558838, 'No': -3.6547978, '\n': -4.2014647, ' ': -6.967873}
{' No': -0.063425034, 'No': -3.6475217, '\n': -3.6607585, ' Yes': -4.9638805, ' Sur': -6.471811}
{' No': -0.026115991, 'No': -3.729767, '\n': -6.514956, ' ': -9.379714, ' Yes': -9.515778}
{' No': -0.022276241, '\n': -5.8418546, 'No': -4.0428467, ' Yes': -7.0925, ' Patient': -7.6365414}
{' No': -0.056680698, '\n': -5.8371162, 'No': -3.482578, ' Yes': -3.8754673, 'Yes': -7.55954}
{' No': -0.055150505, '\n': -5.7029777, 'No': -3.6106923, ' Yes': -3.870515, ' Doctor': -6.570319}
{' No': -0.088271745, '\n': -3.107425, ' ': -6.716314, 'No': -3.514169, ' Hospital': -5.0646505}
{' No': -0.26661113, '\n': -1.9830282, ' Yes': -3.013792, 'No': -3.566425, ' Sur': -4.275406}
{' No': -0.025346868, '\n': -5.40477, ' ': -8.8200035, 'No': -3.9277897, ' Yes': -7.472423}
{' No': -0.0622734, 'No': -3.184296, '\n': -4.534695, ' Yes': -5.0695744, 'Pat': -7.540569}
{' No': -0.027757797, 'No': -3.8580875, ' Yes': -5.5321217, '\n': -6.1890316, 'Yes': -9.38282}
{' No': -0.33489102, '\n': -4.9197145, 'No': -3.8678215, ' Yes': -1.3845623, 'Yes': -5.24828}
{' No': -0.59897447, '\n': -4.6656284, 'No': -4.2294407, ' Yes': -0.9043105, ' Doctor': -4.2549515}
{' No': -0.16953011, ' Hospital': -2.7167943, '\n': -3.0482912, 'No': -3.4746163, ' Not': -5.6487455}
{' No': -1.1037894, '\n': -1.4186184, ' Sur': -1.5759345, ' Yes': -1.7083122, 'No': -4.0888987}
{' No': -0.030753687, ' Not': -8.629845, '\n': -5.8030467, 'No': -3.6479163, ' Yes': -7.2022014}
{' No': -0.043619428, 'No': -3.9607925, ' Pat': -5.038584, ' Patient': -5.3580265, 'Pat': -5.4697742}
{' No': -0.028445315, '\n': -6.098317, 'No': -4.2013655, ' Yes': -4.565419, 'Yes': -8.629952}
{' No': -0.016821377, '\n': -7.786597, ' ': -10.063807, 'No': -4.125866, ' Yes': -9.751852}
{' No': -0.043649692, '\n': -5.709842, ' ': -8.744425, 'No': -3.2788658, ' Yes': -6.6644707}
{' No': -0.06584193, '\n': -4.018112, ' ': -6.914057, 'No': -3.343983, ' Hospital': -4.7782555}
{' No': -0.06285832, 'No': -3.2322438, '\n': -3.8818126, ' ': -7.7758474, ' Yes': -8.662555}
{' No': -0.0336826, 'No': -3.4830825, '\n': -6.1399484, ' Yes': -9.071325, ' ': -9.229957}
{' No': -0.015466133, '\n': -7.93188, ' ': -11.0349455, 'No': -4.2140856, ' Yes': -8.76294}
{' No': -0.0355442, 'No': -3.4067123, '\n': -6.627892, ' Yes': -8.033439, ' ': -9.631337}
{' No': -0.071761765, '\n': -5.8703666, 'No': -4.02251, ' Yes': -3.0475671, 'Yes': -7.269328}
{' No': -0.62735194, '\n': -5.7259636, 'No': -4.879822, ' Yes': -0.80408293, 'Yes': -5.540615}
{' No': -0.028859332, ' Hospital': -4.553851, 'No': -4.757573, '\n': -4.9342127, ' ': -6.982341}
{' No': -0.0408062, '\n': -4.4186406, 'No': -4.037806, ' Yes': -4.9950986, ' Sur': -6.072279}
{' No': -0.009770364, 'No': -4.79361, '\n': -6.7462544, ' Yes': -9.0852995, ' ': -9.243973}
{' No': -0.04380611, '\n': -5.709196, 'No': -4.0797253, ' Yes': -4.0258923, ' Patient': -6.2970304}
{' No': -0.011079389, '\n': -7.1630583, ' ': -9.473904, 'No': -4.67193, ' Yes': -7.1921644}
{' Yes': -0.08224524, ' No': -3.3679564, 'Yes': -3.5370715, '\n': -4.379782, 'No': -6.129944}
{' No': -0.76372534, '\n': -2.6335068, 'No': -3.1538754, ' Yes': -0.92495346, 'Yes': -3.901508}
{' No': -0.20553242, '\n': -2.3741744, ' ': -6.1780806, 'No': -2.4423833, ' Unfortunately': -6.5651727}
{' No': -0.26687208, '\n': -2.020088, 'No': -2.9308734, ' Yes': -3.1578386, 'Yes': -5.8455915}
{' No': -0.13469052, '\n': -4.240718, ' ': -7.4554605, 'No': -2.206651, ' Unfortunately': -7.519675}
{' No': -0.13224454, '\n': -3.407776, ' ': -7.1139107, 'No': -2.530949, ' Yes': -4.753348}
{' No': -0.2671402, '\n': -2.4539096, 'No': -2.0721369, ' Yes': -4.0397687, 'Yes': -6.1718106}
{' No': -5.0761003, '\n': -4.123237, 'No': -7.4968944, ' Yes': -0.055816088, 'Yes': -3.4945917}
{' Yes': -0.08614858, ' No': -3.3314738, 'Yes': -3.3927932, '\n': -4.749358, 'No': -5.784032}
{' No': -1.0032899, ' Yes': -1.3088014, '\n': -1.4779261, 'No': -2.3430517, 'Yes': -3.7164817}
{' Yes': -0.15492481, 'Yes': -2.6874204, '\n': -3.0096326, ' No': -3.861857, 'No': -5.909994}
{' No': -0.36612037, 'No': -1.8415118, '\n': -2.3422308, ' Yes': -3.269696, ' Unfortunately': -5.2337084}
{' No': -0.8845342, '\n': -2.9851084, 'No': -2.6897042, ' Yes': -0.8474172, 'Yes': -3.3017628}
{' No': -0.70766133, '\n': -1.669747, 'No': -2.2340343, ' Yes': -1.676478, 'Yes': -3.9414506}
{' Yes': -0.1249326, ' No': -2.4252274, 'Yes': -3.985208, '\n': -4.962587, 'No': -5.843143}
{' No': -0.99002445, '\n': -4.2230244, 'No': -4.5812817, ' Yes': -0.5276851, 'Yes': -4.5912495}
{' No': -0.05430914, '\n': -3.7702665, 'No': -4.044175, ' Yes': -6.4175673, ' Hospital': -4.8592005}
{' No': -0.40067, '\n': -2.3933458, 'No': -4.1021676, ' Yes': -1.5547761, 'Yes': -5.179541}
{' No': -0.051793784, '\n': -4.631952, ' ': -7.9946856, 'No': -3.2575831, ' Yes': -6.582341}
{' No': -0.14483133, ' Yes': -2.4044578, 'No': -3.5439286, '\n': -4.488648, 'Yes': -5.9311185}
{' No': -0.025751967, '\n': -5.8789377, ' ': -9.206645, 'No': -4.1105237, ' Yes': -5.127475}
{' Yes': -0.09999617, ' No': -3.054273, 'Yes': -3.5184245, '\n': -4.3186793, 'No': -5.640241}
{' No': -0.7047581, '\n': -1.2730126, 'No': -3.0152857, ' Yes': -2.4582121, ' Hospital': -2.570372}
{' No': -2.403577, '\n': -1.9043267, 'No': -4.699678, ' Yes': -0.34910908, 'Yes': -3.3348496}
{' No': -0.18374178, ' Not': -6.605885, '\n': -2.6256592, 'No': -2.4533167, ' Yes': -5.2537336}
{' No': -1.1245874, '\n': -2.5870945, 'No': -3.9924898, ' Yes': -0.59593135, 'Yes': -4.1973524}
{' No': -0.5535686, '\n': -3.8926437, 'No': -4.023623, ' Yes': -0.9735992, 'Yes': -4.830722}
{' No': -2.5920007, '\n': -3.415626, 'No': -5.3228836, ' Yes': -0.15007767, 'Yes': -3.6721225}
{' No': -0.81297296, '\n': -0.76745206, 'No': -2.8556325, ' Yes': -4.581077, ' Unfortunately': -4.26746}
{' Yes': -0.15100127, '\n': -2.5034087, 'Yes': -3.1796975, ' No': -4.295002, ' ': -6.7803965}
{' No': -0.3126451, '\n': -1.8424016, 'No': -2.5532286, ' Unfortunately': -4.0538254, ' Yes': -4.8718224}
{' No': -0.7552467, ' Yes': -1.0442826, '\n': -2.0857484, 'No': -3.4123797, 'Yes': -4.312286}
{' No': -1.3654044, '\n': -1.4404889, 'No': -3.9690723, ' Yes': -0.76660925, 'Yes': -3.9851015}
{' Yes': -0.020908609, 'Yes': -4.1682763, ' No': -5.8956566, '\n': -6.2835884, ' Nurse': -8.297586}
{' Yes': -0.03240168, 'Yes': -3.9464335, ' No': -4.961971, '\n': -6.000261, ' Doctor': -6.2586527}
{' Yes': -0.12994628, ' Sur': -2.6833081, 'Yes': -3.676497, ' No': -4.0248513, '\n': -5.0432878}
{' No': -0.045770533, 'No': -3.2189026, '\n': -5.7991843, ' Yes': -6.828294, ' ': -8.326923}
{' No': -0.76529676, '\n': -4.6906676, 'No': -4.598129, ' Yes': -0.6894301, 'Yes': -5.050056}
{' No': -0.057593692, ' Yes': -3.2158291, 'No': -4.316285, '\n': -6.3423204, 'Yes': -7.5709043}
{' No': -0.026388777, '\n': -5.6875787, ' ': -9.057745, 'No': -3.9179137, ' Yes': -5.9713387}
{' No': -0.122642554, ' Yes': -2.6707437, 'No': -3.3265398, '\n': -4.946371, 'Yes': -6.5351458}
{' No': -0.15526342, '\n': -2.998609, 'No': -3.0459607, ' Yes': -4.526548, ' Hospital': -3.4968715}
{' No': -0.047173172, '\n': -5.0288124, ' ': -8.230473, 'No': -3.2717805, ' Yes': -7.07893}
{' No': -0.08615065, 'No': -3.4239058, '\n': -3.5043292, ' Yes': -4.0812335, ' Patient': -6.5905175}
{' No': -0.022462089, 'No': -4.073365, ' Yes': -5.9291296, '\n': -6.093356, ' ': -9.038524}
{' No': -0.03592207, 'No': -3.7491484, ' Yes': -5.066539, '\n': -5.3408422, ' ': -8.414364}
{' No': -0.21287641, '\n': -4.1468573, 'No': -4.0239153, ' Yes': -3.4799392, ' Doctor': -2.0935736}
{' No': -0.028300842, 'No': -4.4256225, ' Hospital': -4.558038, '\n': -5.6128125, ' Yes': -7.185134}
{' No': -0.25043708, ' Yes': -1.8442386, '\n': -3.5612528, ' Sur': -4.183539, 'No': -4.1870656}
{' No': -0.026577346, '\n': -4.605503, 'No': -4.7119217, ' Patient': -5.8765373, 'Pat': -6.1766663}
{' No': -0.009361457, 'No': -4.759796, '\n': -7.8505516, ' Yes': -8.255372, ' ': -9.768652}
{' Yes': -0.04683245, 'Yes': -3.5561628, '\n': -4.1669154, ' No': -7.1842966, ' ': -7.825173}
{' Yes': -0.20071255, ' No': -2.4177458, '\n': -3.1738667, 'Yes': -3.3002858, 'No': -4.808998}
{' No': -0.5664867, '\n': -1.2063869, 'No': -2.5198026, ' Yes': -3.4633045, ' Unfortunately': -4.8139234}
{' Yes': -0.90299284, ' No': -1.0630081, '\n': -1.6840044, 'No': -3.5063555, 'Yes': -3.7094638}
{' No': -0.31394753, 'No': -1.9984415, '\n': -2.1553133, ' Unfortunately': -4.9489493, ' Yes': -5.543264}
{' No': -0.40263993, '\n': -1.6167246, 'No': -2.8738234, ' Yes': -2.729838, 'Yes': -5.4959493}
{' No': -3.1633923, '\n': -6.784711, 'No': -7.4156966, ' Yes': -0.05497121, 'Yes': -4.742742}
{' No': -3.847892, '\n': -6.780353, ' Yes': -0.047114816, 'Yes': -4.724851, ' Doctor': -4.3027034}
{' No': -0.20054667, ' Hospital': -1.9090236, '\n': -4.214638, 'No': -4.2609754, ' Yes': -6.261296}
{' No': -0.10507684, ' Sur': -3.452012, '\n': -3.735797, 'No': -3.7644339, ' Yes': -4.0598097}
{' No': -0.0322945, 'No': -3.5743015, '\n': -5.693671, ' ': -8.619071, ' Yes': -9.334407}
{' No': -0.025906408, 'No': -4.119754, ' Yes': -5.514622, '\n': -5.641562, ' Patient': -6.590567}
{' No': -0.13880546, ' Yes': -2.5178986, 'No': -3.3425617, '\n': -4.539011, 'Yes': -6.066122}
{' No': -0.04942498, 'No': -3.566026, ' Yes': -4.12857, '\n': -5.9959693, ' Not': -7.56833}
{' No': -0.03191549, 'No': -3.9215317, '\n': -4.5760975, ' Not': -7.137291, ' ': -8.293226}
{' No': -0.23705101, '\n': -1.960674, ' ': -6.4143076, 'No': -3.3976455, ' Yes': -3.4794574}
{' No': -0.03864345, ' Not': -8.323, '\n': -5.7672977, 'No': -3.381365, ' Yes': -8.099119}
{' No': -0.041387074, 'No': -3.4783568, '\n': -5.322627, ' Yes': -5.6668406, ' Not': -7.61574}
{' No': -0.031534847, 'No': -3.7398248, '\n': -5.626118, ' Yes': -5.7148194, ' Not': -8.880399}
{' No': -0.4485258, '\n': -4.335353, 'No': -3.9153605, ' Yes': -1.1368077, 'Yes': -5.0151396}
{' Yes': -0.24641417, ' No': -1.7195987, '\n': -4.2923336, 'Yes': -4.5288734, ' Doctor': -4.8419642}
{' No': -0.03032205, ' Not': -7.08747, '\n': -4.759137, 'No': -3.9364367, ' Unfortunately': -7.8105383}
{' No': -0.6313968, '\n': -1.561914, ' Yes': -1.6735549, ' Sur': -3.4744792, 'No': -3.6777549}
{' No': -0.03816609, ' Not': -7.5382094, '\n': -5.3445396, 'No': -3.4872913, ' Yes': -6.9235373}
{' No': -0.05332104, ' Not': -7.2711263, '\n': -4.052108, 'No': -3.553029, ' Yes': -5.9644017}
{' No': -0.031272464, ' Not': -8.736986, '\n': -5.279693, 'No': -4.0261836, ' Yes': -4.9137034}
{' No': -0.01907664, 'No': -4.021674, '\n': -7.14783, ' Yes': -9.127669, ' ': -9.86404}
{' No': -0.044616938, '\n': -6.2474647, ' ': -9.538002, 'No': -3.220764, ' Yes': -6.435068}
{' No': -0.022335973, '\n': -5.922246, ' ': -9.009455, 'No': -3.9696624, ' Hospital': -8.693289}
{' No': -0.053115733, 'No': -3.2618804, '\n': -4.357668, ' ': -8.075703, ' Yes': -9.136679}
{' No': -0.033319015, 'No': -3.4534354, '\n': -7.1090865, ' Yes': -8.992415, ' ': -9.507905}
{' No': -0.016965108, 'No': -4.117371, '\n': -7.945168, ' Yes': -9.022479, ' Not': -10.9492655}
{' No': -0.03924873, '\n': -6.963698, ' ': -9.760193, 'No': -3.2920506, ' Yes': -8.325143}
{' No': -0.03231075, ' Yes': -3.9483953, 'No': -4.5789833, '\n': -6.2513328, 'Yes': -8.576605}
{' No': -0.21109882, '\n': -5.63007, 'No': -4.402894, ' Yes': -1.7597094, 'Yes': -6.3526187}
{' No': -0.015939265, '\n': -5.685981, ' ': -7.810685, 'No': -4.6991706, ' Hospital': -6.1243753}
{' No': -0.081882775, '\n': -3.164572, 'No': -3.69973, ' Yes': -4.9746895, ' Sur': -6.0845766}
{' No': -0.011231823, '\n': -7.348506, ' ': -9.743229, 'No': -4.5867643, ' Yes': -8.63388}
{' No': -0.012037339, '\n': -7.147772, ' ': -9.57502, 'No': -4.782871, ' Yes': -5.945016}
{' No': -0.016825257, 'No': -4.178162, '\n': -6.9630356, ' Yes': -8.159964, ' ': -9.498228}
{' No': -2.7393827, '\n': -3.8325775, 'No': -5.219542, ' Yes': -0.13670433, 'Yes': -3.3478494}
{' No': -0.41368756, '\n': -3.1944838, 'No': -2.6895685, ' Yes': -1.5358341, 'Yes': -4.414134}
{' No': -0.17598242, 'No': -2.3942785, '\n': -2.7438915, ' Unfortunately': -5.967334, ' ': -6.5420704}
{' No': -0.3109059, '\n': -2.2213156, 'No': -2.6486933, ' Yes': -2.5525613, 'Yes': -5.0460877}
{' No': -0.13729875, '\n': -4.613554, ' ': -7.78105, 'No': -2.1557903, ' Unfortunately': -6.5123634}
{' No': -0.08644039, '\n': -4.5116415, 'No': -2.7035534, ' Yes': -5.8937373, ' Unfortunately': -7.072828}
{' No': -0.25560734, '\n': -2.8088262, 'No': -1.9433498, ' Yes': -4.137186, 'Yes': -6.259314}
{' Yes': -0.06771113, 'Yes': -3.4218676, ' No': -4.0618916, '\n': -4.3497467, 'No': -6.3904986}
{' No': -3.0582898, '\n': -4.0951095, 'No': -5.165895, ' Yes': -0.12206991, 'Yes': -3.1320758}
{' No': -0.56024456, '\n': -1.6676186, 'No': -2.173276, ' Yes': -2.2892962, ' Unfortunately': -4.8315663}
{' No': -2.9171147, '\n': -2.4558494, 'No': -4.697999, ' Yes': -0.2671688, 'Yes': -2.500876}
{' No': -0.3596667, 'No': -1.7802733, '\n': -2.3883705, ' Yes': -3.671545, ' Unfortunately': -4.840156}
{' No': -0.6681611, '\n': -2.7805572, 'No': -2.3895376, ' Yes': -1.192085, 'Yes': -3.666044}
{' No': -0.52664554, 'No': -1.8285902, '\n': -1.9088342, ' Yes': -2.4879472, 'Yes': -4.5068417}
{' No': -2.9783165, '\n': -4.924643, 'No': -6.379973, ' Yes': -0.08171757, 'Yes': -4.0110087}
{' Yes': -0.21835598, ' No': -1.87835, '\n': -3.9815872, 'Yes': -4.1257963, 'No': -5.2001863}
{' No': -0.02740359, '\n': -4.4800096, ' ': -7.8052545, 'No': -4.29427, ' Yes': -7.127659}
{' No': -0.383578, '\n': -2.1826005, 'No': -3.6958184, ' Yes': -1.7750039, 'Yes': -5.193791}
{' No': -0.03304883, 'No': -3.5875685, '\n': -5.628088, ' Yes': -7.1827807, ' ': -8.699635}
{' No': -0.25336608, '\n': -2.8608642, 'No': -3.1620476, ' Yes': -2.1649396, 'Yes': -5.285356}
{' No': -0.0404595, '\n': -5.1971464, 'No': -3.6923912, ' Yes': -4.7492604, 'Yes': -8.561742}
{' Yes': -0.24677792, ' No': -1.9783872, 'Yes': -3.210172, '\n': -3.8103554, 'No': -4.100431}
{' No': -0.56026095, '\n': -1.2239306, 'No': -2.7555258, ' Yes': -3.474108, ' Hospital': -3.6439517}
{' No': -1.4053804, '\n': -1.3406756, 'No': -3.5200405, ' Yes': -0.84504706, 'Yes': -3.6142693}
{' No': -0.13838564, ' Not': -6.236537, '\n': -3.2900863, 'No': -2.4657402, ' Yes': -6.030069}
{' No': -0.56905794, ' Yes': -1.1571126, '\n': -2.6706395, 'No': -3.383946, 'Yes': -4.7038484}
{' No': -0.3004953, ' Yes': -1.8177987, '\n': -2.8729532, 'No': -3.39159, 'Yes': -5.255795}
{' Yes': -0.3468818, ' No': -1.8162764, '\n': -2.5207214, 'Yes': -3.422712, 'No': -4.1803646}
{'\n': -0.4591143, ' No': -1.1715434, 'No': -3.3723679, ' Unfortunately': -4.6147423, ' ': -5.1891994}
{' Yes': -0.5045948, '\n': -1.208784, ' No': -2.9350412, 'Yes': -3.4045846, 'No': -5.446962}
{' No': -0.35383108, ' Not': -5.603265, '\n': -1.6340587, 'No': -2.5816524, ' Unfortunately': -4.156262}
{' No': -0.5842743, '\n': -1.4599743, 'No': -3.129593, ' Yes': -1.9028834, 'Yes': -5.0181026}
{' No': -0.9584449, '\n': -0.99162334, ' Yes': -1.6315159, 'No': -3.398327, 'Yes': -4.6142964}
{' No': -5.053192, '\n': -5.32555, 'No': -8.408594, ' Yes': -0.029924743, 'Yes': -4.040289}
{' No': -5.0144124, '\n': -5.2825685, ' Yes': -0.03983174, 'Yes': -3.823256, ' Doctor': -5.4935975}
{' No': -2.7310987, '\n': -2.985804, ' Yes': -0.27143544, ' Sur': -2.5541787, 'Yes': -3.395556}
{' No': -0.07421947, 'No': -2.8722823, '\n': -4.372248, ' Yes': -6.8257837, ' ': -7.6639066}
{' No': -0.8036012, '\n': -3.1582341, 'No': -3.9583461, ' Yes': -0.74671453, 'Yes': -4.4914994}
{' No': -0.053592674, ' Yes': -3.470991, 'No': -4.0748215, '\n': -5.7221885, 'Yes': -7.598478}
{' No': -0.0477318, 'No': -3.7153096, '\n': -4.4287987, ' Yes': -4.6389604, ' ': -8.291014}
{' No': -0.19092636, ' Yes': -2.1453636, 'No': -3.283818, '\n': -4.2377915, 'Yes': -5.975607}
{' No': -0.18144868, '\n': -2.6107147, 'No': -3.158997, ' Hospital': -3.3320088, ' Yes': -4.9950223}
{' No': -0.041098926, ' Not': -8.075689, '\n': -5.052276, 'No': -3.4546902, ' Yes': -6.6007524}
{' No': -0.13982457, '\n': -2.954699, 'No': -3.1012464, ' Yes': -3.5453458, ' Patient': -6.3190374}
{' No': -0.036995728, 'No': -3.8397355, ' Yes': -4.688164, '\n': -5.2928987, 'Yes': -8.492909}
{' No': -0.038980782, '\n': -5.475178, 'No': -3.9570904, ' Yes': -4.247652, 'Yes': -8.283882}
{' No': -0.08226685, '\n': -4.960994, 'No': -4.176997, ' Yes': -3.2679892, ' Doctor': -4.091695}
{' No': -0.0467224, ' Hospital': -3.7891693, 'No': -4.3457775, '\n': -4.8599815, ' Not': -7.0011363}
{' No': -0.8035185, '\n': -2.6607728, 'No': -4.19285, ' Yes': -1.0514817, ' Sur': -2.257298}
{' No': -0.01637165, '\n': -6.6057878, 'No': -4.285271, ' Yes': -7.428204, ' Patient': -8.481733}
{' No': -0.011798897, '\n': -7.778475, ' ': -9.744079, 'No': -4.519907, ' Yes': -8.101923}
{' No': -6.4705153, '\n': -3.6316504, ' ': -7.80881, ' Yes': -0.071008384, 'Yes': -3.2300696}
{' Yes': -0.2739009, ' No': -2.0935571, '\n': -2.7433813, 'Yes': -3.3933296, 'No': -4.3730984}
{' No': -0.33060017, '\n': -1.771318, 'No': -2.5313182, ' Unfortunately': -3.9040158, ' Yes': -5.58859}
{' No': -1.0788084, '\n': -0.82877976, 'No': -3.3185544, ' Yes': -1.7943425, 'Yes': -4.4648213}
{' No': -0.19426166, ' Not': -5.2802944, '\n': -2.6270275, 'No': -2.5191975, ' Unfortunately': -4.2919044}
{' No': -0.30781308, '\n': -1.793525, 'No': -2.676368, ' Yes': -3.7902884, ' Unfortunately': -5.878906}
{' No': -1.0780716, '\n': -4.7947783, 'No': -4.6508994, ' Yes': -0.4611472, 'Yes': -4.5150237}
{' No': -0.37343252, '\n': -4.3330674, 'No': -3.8203316, ' Yes': -1.3185714, 'Yes': -5.3304543}
{' No': -0.06157713, '\n': -3.918789, ' ': -7.1317267, 'No': -3.586069, ' Hospital': -4.593714}
{' No': -0.06626696, '\n': -3.4641075, 'No': -3.5575695, ' Yes': -5.896406, ' Sur': -7.37611}
{' No': -0.03418545, 'No': -3.4849164, '\n': -5.9761443, ' ': -9.076651, ' Not': -9.133442}
{' No': -0.028328987, 'No': -3.8225603, '\n': -5.3962874, ' Yes': -6.8953977, ' Patient': -8.601365}
{' No': -0.1090813, '\n': -5.0581837, 'No': -3.0526485, ' Yes': -3.047184, 'Yes': -6.300386}
{' No': -0.06911911, 'No': -3.0324178, ' Yes': -4.3516164, '\n': -5.4198155, 'Yes': -7.774665}
{' No': -0.13515964, 'No': -2.6740828, '\n': -3.1586046, ' Hospital': -4.681571, ' ': -5.9570932}
{' No': -0.25351647, '\n': -2.0171196, 'No': -2.7614033, ' Yes': -3.8822124, ' ': -5.810464}
{' No': -0.035824146, 'No': -3.4273968, '\n': -6.0945287, ' Yes': -8.370974, ' ': -8.771262}
{' No': -0.049692925, 'No': -3.2069328, '\n': -5.4888997, ' Yes': -5.7540884, ' ': -8.729237}
{' No': -0.04439957, '\n': -5.6564193, ' ': -8.866957, 'No': -3.2808688, ' Yes': -6.21434}
{' No': -0.2719553, '\n': -3.479038, 'No': -3.1682677, ' Yes': -1.8462427, 'Yes': -5.084797}
{' No': -0.30557576, '\n': -3.8595498, 'No': -3.2508652, ' Yes': -1.6383488, 'Yes': -5.0418177}
{' No': -0.15404277, 'No': -2.750482, '\n': -3.027248, ' Hospital': -3.6963134, ' ': -6.1540694}
{' No': -0.20209007, '\n': -2.3281162, 'No': -3.0493877, ' Yes': -3.4859495, ' Sur': -5.848959}
{' No': -0.04888178, 'No': -3.167761, '\n': -5.3905487, ' Yes': -7.7061834, ' ': -8.178543}
{' No': -0.07504248, '\n': -4.016117, 'No': -3.0199127, ' Yes': -5.877351, ' Unfortunately': -7.4752097}
{' No': -0.05843479, 'No': -3.174682, '\n': -4.423196, ' Yes': -6.0468626, ' ': -8.299704}
{' No': -0.034630615, 'No': -3.4450045, '\n': -6.372067, ' Yes': -8.246983, ' ': -9.386491}
{' No': -0.058704715, 'No': -2.9266913, ' Yes': -6.4092407, '\n': -6.4281883, ' ': -9.687759}
