{' No': -4.598474, ' ': -9.216443, 'No': -9.476094, ' Yes': -0.012219787, 'Yes': -6.315896}
{' Yes': -0.0023000615, 'Yes': -6.266145, ' A': -8.9468565, ' No': -9.049788, ' yes': -9.164102}
{' Yes': -0.008988322, ' Generally': -5.6229806, 'Yes': -5.9238935, ' An': -6.572381, ' Ele': -7.770631}
{' No': -9.227684, ' Generally': -9.097641, ' Yes': -0.0026922266, ' yes': -9.199207, 'Yes': -6.1162133}
{' Yes': -0.001572788, 'Yes': -6.518456, ' yes': -9.700904, ' ': -10.584146, ' An': -12.656586}
{' Generally': -7.5366383, ' A': -10.055487, ' Yes': -0.002615551, ' yes': -9.318279, 'Yes': -6.2702084}
{' ': -10.590094, ' A': -10.867577, ' Yes': -0.0018908533, ' yes': -9.458422, 'Yes': -6.3477235}
{' No': -3.6502051, ' Generally': -2.2538922, ' Typically': -5.4517756, ' Yes': -0.1528009, 'Yes': -6.0793695}
{' Yes': -0.004753343, 'Yes': -6.043529, ' No': -6.443294, ' Generally': -8.275209, ' A': -8.491977}
{' No': -0.009226516, ' ': -8.5248375, 'No': -4.8927617, ' A': -7.7391357, ' Yes': -7.0446877}
{' No': -1.865022, 'No': -6.6866846, ' A': -5.9149103, ' Yes': -0.17809604, 'Yes': -5.9669847}
{' ': -9.548695, ' A': -8.988485, ' Yes': -0.0023372837, ' yes': -8.9080715, 'Yes': -6.2462444}
{' An': -7.145912, ' Generally': -5.8954773, ' Yes': -0.0071111247, ' yes': -8.615894, 'Yes': -5.893713}
{' ': -9.236618, ' Generally': -9.405904, ' Yes': -0.0028684344, ' yes': -9.039853, 'Yes': -6.021789}
{' An': -12.567954, ' ': -10.086137, ' Yes': -0.001824808, ' yes': -9.496381, 'Yes': -6.3792543}
{' Generally': -7.4892545, ' A': -10.157295, ' Yes': -0.002820553, ' yes': -9.114385, 'Yes': -6.1929445}
{' ': -10.334874, ' A': -11.030006, ' Yes': -0.0019284762, ' yes': -9.281399, 'Yes': -6.3362465}
{' No': -4.702723, ' Generally': -2.4418514, ' Typically': -5.731638, ' Yes': -0.11109221, 'Yes': -6.043284}
{' Yes': -0.009191865, ' No': -5.3473034, 'Yes': -5.979193, ' Generally': -7.0052457, ' A': -7.525759}
{' No': -0.008939546, ' Generally': -8.355973, 'No': -4.881042, ' A': -7.8342967, ' Yes': -7.560289}
{' No': -1.0871385, ' Generally': -6.0293665, 'No': -5.926036, ' A': -5.323758, ' Yes': -0.4307875}
{' No': -9.680103, ' A': -8.501078, ' Yes': -0.0025544777, ' yes': -8.945744, 'Yes': -6.176205}
{' An': -5.8760633, ' Ele': -6.9563117, ' Generally': -4.964613, ' Yes': -0.014978173, 'Yes': -5.9337626}
{' An': -8.501811, ' No': -8.876672, ' Generally': -8.277942, ' Yes': -0.003167599, 'Yes': -6.0550113}
{' An': -11.096806, ' ': -10.508209, ' Yes': -0.0018280313, ' yes': -9.469555, 'Yes': -6.378155}
{' Generally': -6.6890817, ' A': -9.297691, ' Yes': -0.003468051, ' yes': -9.157068, 'Yes': -6.2542763}
{' ': -10.661406, ' A': -10.654936, ' Yes': -0.0018714438, ' yes': -9.399294, 'Yes': -6.365557}
{' No': -4.7912664, ' Generally': -2.154172, ' Typically': -5.302594, ' Yes': -0.14561948, 'Yes': -6.120589}
