{' No': -0.018724639, 'No': -4.150448, '\n': -6.2535415, ' Yes': -7.238859, ' ': -9.299589}
{' No': -2.090858, '\n': -4.030999, 'No': -4.321195, ' Yes': -0.21448277, 'Yes': -3.3097794}
{' No': -0.8956689, '\n': -1.047406, ' Yes': -1.8231629, 'No': -2.824414, 'Yes': -4.769751}
{' No': -1.3085388, '\n': -1.4342101, 'No': -3.1760466, ' Yes': -0.911568, 'Yes': -3.2052882}
{' No': -0.23401392, 'No': -2.309972, '\n': -2.6279728, ' Unfortunately': -3.749118, ' Yes': -4.6641707}
{' No': -0.6554144, '\n': -2.8838441, 'No': -2.7763765, ' Yes': -1.0849532, 'Yes': -3.8940563}
{' No': -0.32082614, 'No': -1.9803472, '\n': -2.4220033, ' Yes': -3.2691195, 'Yes': -5.594916}
{' No': -0.92513496, '\n': -3.600046, 'No': -4.219021, ' Yes': -0.60383433, 'Yes': -4.2774696}
{' Yes': -0.56694317, ' No': -0.96468633, '\n': -3.876002, 'No': -4.1460614, 'Yes': -4.26347}
{' No': -0.0749729, '\n': -3.836331, 'No': -3.6928127, ' Yes': -4.3759294, ' Hospital': -4.630793}
{' No': -0.15341823, '\n': -2.6657035, 'No': -3.6694686, ' Yes': -3.153351, 'Yes': -6.6069384}
{' No': -0.033893265, 'No': -3.764465, '\n': -5.3197627, ' Yes': -5.614772, ' Unfortunately': -6.872861}
{' No': -0.046983935, '\n': -4.7600117, 'No': -3.5294688, ' Yes': -4.9854965, ' Unfortunately': -7.939898}
{' No': -0.031732753, '\n': -5.172594, ' ': -8.769952, 'No': -3.9042187, ' Yes': -5.3008003}
{' No': -0.273715, '\n': -3.7106504, 'No': -2.7212782, ' Yes': -1.9516172, 'Yes': -5.12781}
{' No': -0.37680793, '\n': -1.6547792, 'No': -2.9955513, ' Yes': -3.0685248, ' Hospital': -4.1175056}
{' Yes': -0.94918483, '\n': -1.2021451, ' No': -1.3211789, 'No': -3.9414601, 'Yes': -4.1418214}
{' No': -0.09599655, 'No': -2.9625373, '\n': -3.4799187, ' Unfortunately': -5.6862216, ' Yes': -5.826217}
{' No': -0.13266192, '\n': -2.9909801, 'No': -2.9522855, ' Yes': -4.029827, ' Patient': -6.578737}
{' No': -0.30082154, '\n': -2.7324677, 'No': -3.372883, ' Yes': -1.8740617, 'Yes': -5.229195}
{' No': -0.63631684, '\n': -1.7637753, 'No': -3.2132688, ' Yes': -1.4109178, 'Yes': -4.6313252}
{' No': -0.6981215, '\n': -0.8788466, 'No': -3.1037915, ' Unfortunately': -3.5628524, ' Yes': -5.2247477}
{'\n': -0.6413119, ' No': -1.2449076, ' Yes': -1.9231646, 'No': -3.850363, 'Yes': -4.791052}
{' No': -0.1934731, '\n': -2.627124, 'No': -2.9047174, ' Yes': -5.5815415, ' Unfortunately': -3.2118711}
{' No': -0.18711767, 'No': -2.5975027, '\n': -2.6144457, ' Yes': -4.303551, ' Unfortunately': -5.1541357}
{' No': -0.41530904, '\n': -1.462163, 'No': -3.0168524, ' Yes': -2.9614916, 'Yes': -6.0112557}
{' Yes': -0.06815124, ' No': -3.4016068, 'Yes': -3.9401298, '\n': -4.5150948, 'No': -6.599073}
{' No': -2.747803, '\n': -5.041224, 'No': -5.7930684, ' Yes': -0.1006093, 'Yes': -3.8785117}
{' Yes': -0.41413134, ' No': -1.7683623, '\n': -2.5234282, ' Sur': -2.8947089, 'Yes': -3.9368403}
{' No': -0.034573846, 'No': -3.5039227, '\n': -6.002322, ' Yes': -6.9235315, ' Not': -8.972219}
{' Yes': -0.7004963, ' No': -0.7779557, '\n': -4.133764, 'No': -4.158756, 'Yes': -4.7063346}
{' No': -0.027277403, 'No': -3.8907206, '\n': -5.766363, ' Yes': -5.7924347, ' ': -8.925055}
{' No': -0.07235051, ' Yes': -3.5788848, 'No': -3.6576927, '\n': -4.210467, 'Yes': -7.2383337}
{' No': -0.09702033, '\n': -4.415752, 'No': -2.9133542, ' Yes': -3.7625532, ' Unfortunately': -6.8072844}
{' No': -0.072347306, '\n': -3.7666047, 'No': -3.2587733, ' Yes': -5.099218, ' Unfortunately': -7.4138956}
{' No': -0.035425812, 'No': -3.6103387, '\n': -5.3642006, ' Yes': -6.1383348, ' Unfortunately': -7.8125443}
{' No': -0.117011204, '\n': -3.09386, 'No': -3.1853018, ' Yes': -3.901858, ' Patient': -6.9076533}
{' No': -0.020204054, '\n': -5.8746314, ' ': -8.845254, 'No': -4.139528, ' Yes': -6.9513526}
{' No': -0.035853736, '\n': -5.223594, ' ': -8.978879, 'No': -3.6737225, ' Yes': -5.4797416}
{' No': -0.110954404, ' Yes': -2.5522845, 'No': -3.9199276, '\n': -5.569032, ' Doctor': -6.308475}
{' No': -0.2932913, ' Hospital': -1.5303231, '\n': -4.155409, 'No': -4.4889755, ' Not': -5.472063}
{' No': -0.10060384, '\n': -3.194838, ' Yes': -3.508269, 'No': -3.885142, ' Sur': -6.324219}
{' No': -0.029674817, 'No': -3.8188438, '\n': -5.530216, ' Yes': -6.3797474, ' Patient': -7.156948}
{' No': -0.010671032, 'No': -4.681913, '\n': -7.1755953, ' Yes': -7.789458, ' ': -9.203658}
{' No': -0.49047723, ' Yes': -1.4944922, '\n': -2.2740066, 'No': -3.0679345, 'Yes': -4.7519517}
{' No': -1.599268, '\n': -3.1002824, 'No': -4.0450306, ' Yes': -0.3524914, 'Yes': -3.5930955}
{' No': -0.5291434, '\n': -1.2007686, 'No': -2.8465357, ' Yes': -4.851304, ' Unfortunately': -3.4287844}
{' No': -0.6575885, '\n': -1.1553397, 'No': -2.8167014, ' Yes': -2.5015788, ' Unfortunately': -4.5694137}
{' No': -0.13498744, '\n': -3.1363337, 'No': -2.9290488, ' Yes': -6.0902424, ' Unfortunately': -3.7757115}
{' No': -0.2031511, '\n': -2.3020756, 'No': -2.6642277, ' Yes': -4.8213325, ' Unfortunately': -5.716794}
{' No': -0.034414116, 'No': -3.9314551, '\n': -4.6993365, ' Yes': -5.3388877, ' ': -9.074292}
{' No': -0.29997125, '\n': -4.7285123, 'No': -3.824263, ' Yes': -1.4963099, 'Yes': -5.5128064}
{' No': -0.04948541, ' Not': -6.982236, '\n': -4.1033297, 'No': -3.9929342, ' Hospital': -4.5225954}
{' No': -0.02599896, 'No': -4.0867553, '\n': -4.7871933, ' ': -8.970933, ' Yes': -9.023245}
{' No': -0.026574103, 'No': -3.84542, '\n': -5.4698644, ' Not': -8.648431, ' Unfortunately': -8.88166}
{' No': -0.032676924, 'No': -3.6197567, '\n': -5.3490047, ' Yes': -8.547316, ' Unfortunately': -8.85481}
{' No': -0.05857445, 'No': -3.047304, '\n': -5.177515, ' Yes': -5.7209544, ' ': -8.497292}
{' No': -0.056642532, '\n': -5.796142, 'No': -3.0813787, ' Yes': -5.196806, 'Yes': -8.69406}
{' No': -0.077773266, 'No': -3.2076333, '\n': -4.022805, ' Hospital': -4.455821, ' Yes': -6.352734}
{' No': -0.07268331, '\n': -3.3133695, ' ': -7.1432824, 'No': -3.4590795, ' Yes': -6.8702292}
{' No': -0.030924086, '\n': -6.6252136, ' ': -9.223941, 'No': -3.5598986, ' Yes': -7.7434077}
{' No': -0.04157029, 'No': -3.3286169, '\n': -5.691325, ' Yes': -7.1695566, ' Unfortunately': -8.022672}
{' No': -0.03759395, '\n': -5.8858604, ' ': -9.098787, 'No': -3.402258, ' Yes': -7.4223385}
{' No': -0.07009029, 'No': -3.219893, '\n': -3.8649929, ' Yes': -5.156632, ' ': -7.8901296}
{' No': -0.18342654, '\n': -4.5531144, 'No': -3.062195, ' Yes': -2.2489994, 'Yes': -5.5415444}
{' No': -0.138356, '\n': -3.115006, 'No': -3.1390922, ' Yes': -5.3732724, ' Hospital': -3.4443517}
{' No': -0.093590304, '\n': -3.0499632, ' ': -7.138718, 'No': -3.3360581, ' Yes': -5.4333825}
{' No': -0.030565502, '\n': -6.1322703, ' ': -9.251756, 'No': -3.609745, ' Yes': -7.4938827}
{' No': -0.053210456, '\n': -4.770543, 'No': -3.228959, ' Yes': -6.5358453, ' Unfortunately': -6.47354}
{' No': -0.048147913, 'No': -3.2431438, '\n': -4.9721475, ' Yes': -7.2769513, ' ': -8.804319}
{' No': -0.041617516, 'No': -3.2698925, '\n': -5.991294, ' ': -9.336619, ' Yes': -9.363107}
{' No': -0.064296484, '\n': -5.974806, 'No': -2.9284625, ' Yes': -5.1450458, 'Yes': -8.52247}
{' No': -0.06165428, '\n': -4.706769, 'No': -3.0264275, ' Yes': -7.3049746, ' Hospital': -7.566175}
{' No': -0.060198568, '\n': -3.7007968, ' ': -7.929671, 'No': -3.4171817, ' Unfortunately': -8.586994}
{' No': -0.055730313, '\n': -6.108403, 'No': -2.976274, ' Yes': -7.866376, ' Unfortunately': -7.9468565}
{' No': -0.051764656, '\n': -5.8770742, 'No': -3.06141, ' Yes': -7.565133, ' Unfortunately': -8.8006735}
{' No': -0.04898882, 'No': -3.089062, '\n': -6.289578, ' Yes': -8.53964, ' ': -9.058073}
{' No': -0.029389042, 'No': -3.6991086, '\n': -5.5587068, ' Yes': -8.706174, ' ': -9.154936}
{' No': -0.034166332, 'No': -3.5962675, ' Yes': -5.6735625, '\n': -6.026146, ' ': -9.202073}
{' No': -0.025726888, '\n': -5.9515314, ' ': -8.316957, 'No': -3.9054282, ' Hospital': -6.3121037}
{' No': -0.05141099, '\n': -3.7267456, ' ': -7.53376, 'No': -3.6967108, ' Yes': -8.472209}
{' No': -0.034240652, 'No': -3.4368358, '\n': -6.7893705, ' Yes': -8.977141, ' Unfortunately': -9.460515}
{' No': -0.026987351, 'No': -3.712286, '\n': -6.462831, ' Yes': -7.974903, ' Unfortunately': -8.69557}
{' No': -0.020799851, '\n': -6.271721, ' ': -9.474382, 'No': -3.9895875, ' Yes': -10.08407}
{' No': -0.10237658, 'No': -2.6427264, '\n': -3.7380288, ' Yes': -6.774358, ' ': -7.3302827}
{' No': -0.13496315, '\n': -4.1294503, 'No': -2.6737604, ' Yes': -3.2560816, 'Yes': -6.263129}
{' No': -0.06472249, 'No': -3.0583615, '\n': -4.3319955, ' Yes': -6.357233, ' ': -7.772167}
{' No': -0.08555073, 'No': -2.9887319, '\n': -3.5786574, ' Yes': -6.0373273, ' ': -7.5055943}
{' No': -0.07455931, '\n': -5.1104574, 'No': -2.7418377, ' Yes': -7.354407, ' Unfortunately': -8.168831}
{' No': -0.06437194, '\n': -5.143515, ' ': -8.708304, 'No': -2.89972, ' Yes': -6.943913}
{' No': -0.11560484, '\n': -3.8800397, ' ': -7.368799, 'No': -2.4414563, ' Yes': -7.6243935}
{' No': -0.28649247, '\n': -2.9886599, 'No': -1.9891101, ' Yes': -2.9518728, 'Yes': -5.4149866}
{' No': -0.8031786, ' Yes': -0.9882812, 'No': -2.3542728, '\n': -3.044685, 'Yes': -3.3641548}
{' No': -0.3973509, '\n': -1.9396483, 'No': -2.0455081, ' Yes': -3.12781, ' Unfortunately': -5.5436234}
{' No': -0.60974663, '\n': -1.6642892, 'No': -1.9578549, ' Yes': -2.2781885, 'Yes': -4.139856}
{' No': -0.26890785, '\n': -3.069786, 'No': -1.7888548, ' Yes': -4.6092796, ' Unfortunately': -4.773405}
{' No': -0.26941088, '\n': -3.2766473, 'No': -1.9374732, ' Yes': -3.088455, 'Yes': -5.4235377}
{' No': -0.32932922, 'No': -1.6039473, '\n': -2.7544582, ' Yes': -4.6330132, ' Unfortunately': -6.014656}
{' No': -0.09060705, 'No': -3.0279124, ' Yes': -3.7809489, '\n': -4.270006, 'Yes': -7.117884}
{' No': -0.17376904, ' Yes': -2.326704, 'No': -3.0841465, '\n': -4.405348, 'Yes': -5.720968}
{' No': -0.061731942, 'No': -3.4189115, '\n': -3.7822003, ' Yes': -6.098784, ' Unfortunately': -6.8879642}
{' No': -0.098072626, '\n': -2.9701753, 'No': -3.332072, ' Yes': -5.50948, ' ': -6.7073216}
{' No': -0.083704375, 'No': -2.7734742, '\n': -4.193785, ' Unfortunately': -6.936968, ' Yes': -6.986626}
{' No': -0.06598893, '\n': -4.5361023, 'No': -2.9915376, ' Yes': -6.3019047, ' Unfortunately': -7.4884853}
{' No': -0.08865061, 'No': -2.6821449, '\n': -4.197654, ' Yes': -7.329464, ' ': -7.897581}
{' No': -0.31095067, 'No': -2.0780385, '\n': -2.6793969, ' Yes': -2.7228847, 'Yes': -5.1406684}
{' No': -0.24050923, '\n': -2.1976855, ' ': -6.3438196, 'No': -2.408356, ' Yes': -4.793377}
{' No': -0.3542802, '\n': -1.8773954, ' Yes': -2.5812068, 'No': -2.7788484, 'Yes': -5.329498}
{' No': -0.19707528, '\n': -3.0195124, 'No': -2.1274817, ' Yes': -5.0055814, ' Unfortunately': -6.356788}
{' No': -0.17979532, '\n': -2.8644073, 'No': -2.4479933, ' Yes': -4.0105867, 'Yes': -6.798708}
{' No': -0.2689525, '\n': -2.647338, 'No': -2.6302595, ' Yes': -2.4536104, 'Yes': -5.2032557}
{' No': -0.2631324, 'No': -2.4628563, ' Yes': -2.6608524, '\n': -2.6872141, 'Yes': -5.470627}
{' No': -0.27809137, '\n': -2.0894966, 'No': -2.2561913, ' Yes': -5.5382953, ' Unfortunately': -4.920751}
{' No': -0.45790341, '\n': -1.4736046, ' Yes': -2.6348062, 'No': -2.8743577, 'Yes': -5.336041}
{' No': -0.19450931, '\n': -3.1468046, 'No': -2.1671197, ' Yes': -6.5068674, ' Unfortunately': -4.1711364}
{' No': -0.15248117, '\n': -3.312454, 'No': -2.3370037, ' Yes': -5.331777, ' Unfortunately': -6.2155795}
{' No': -0.24475934, '\n': -2.2048745, ' ': -6.79502, 'No': -2.3956175, ' Yes': -4.412144}
{' No': -2.4128067, '\n': -4.630906, 'No': -5.476142, ' Yes': -0.13596651, 'Yes': -3.784995}
{' No': -3.6717343, '\n': -5.968098, 'No': -6.596223, ' Yes': -0.057673372, 'Yes': -3.66511}
{' No': -1.1986989, '\n': -2.871058, ' Yes': -0.58101165, ' Sur': -3.080464, 'Yes': -4.058089}
{' No': -0.032110516, 'No': -3.5284178, '\n': -6.442669, ' Yes': -7.823013, ' ': -8.962628}
{' Yes': -0.29626048, ' No': -1.5257202, 'Yes': -4.171663, '\n': -4.429956, 'No': -4.79886}
{' No': -0.039248485, 'No': -3.5023143, ' Yes': -5.1893125, '\n': -6.062014, 'Yes': -8.562955}
{' No': -0.07555062, '\n': -3.8568597, 'No': -3.32091, ' Yes': -4.242821, 'Yes': -7.639461}
{' No': -0.08795331, '\n': -4.915317, 'No': -2.6789148, ' Yes': -5.0070987, ' Unfortunately': -7.136241}
{' No': -0.12694825, 'No': -2.9196842, '\n': -2.921143, ' Hospital': -4.9590898, ' Yes': -6.378587}
{' No': -0.038946074, 'No': -3.4250963, '\n': -5.353683, ' Yes': -7.6438155, ' ': -8.59484}
{' No': -0.04917438, '\n': -4.5668936, ' ': -8.250363, 'No': -3.4437723, ' Yes': -5.323491}
{' No': -0.03682658, 'No': -3.5980215, '\n': -4.8551817, ' Yes': -7.466977, ' ': -8.287123}
{' No': -0.36726558, ' Yes': -1.4584483, '\n': -3.1299875, 'No': -3.7256563, 'Yes': -5.2242546}
{' No': -2.0326505, '\n': -4.684529, 'No': -5.257191, ' Yes': -0.17860663, 'Yes': -4.1206937}
{' No': -0.2503374, '\n': -3.5903528, 'No': -3.389095, ' Yes': -3.2263603, ' Hospital': -2.178663}
{' No': -1.3736762, '\n': -1.5540047, ' Yes': -0.75702274, ' Sur': -3.586586, 'Yes': -4.1930537}
{' No': -0.13231216, '\n': -3.5578701, 'No': -3.4457238, ' Yes': -2.8685277, ' Patient': -6.099026}
{' No': -0.054286297, ' Yes': -3.7164087, 'No': -3.8054168, '\n': -5.2873583, 'Yes': -7.463601}
{' No': -0.20477664, ' Yes': -2.4977033, 'No': -2.9247472, '\n': -3.1359155, 'Yes': -5.8049393}
{' Yes': -0.6598871, ' No': -0.97289443, 'No': -3.25794, '\n': -3.2899911, 'Yes': -3.7155702}
{' No': -0.17997655, '\n': -2.8162525, 'No': -2.4141798, ' Yes': -6.399537, ' Unfortunately': -4.548234}
{' No': -0.61830664, '\n': -1.5678401, 'No': -3.1464188, ' Yes': -1.6520666, 'Yes': -4.577323}
{' No': -0.1013924, '\n': -4.0990176, 'No': -2.6660879, ' Yes': -7.550405, ' Unfortunately': -4.7750907}
{' No': -0.11230415, '\n': -3.3312962, 'No': -2.7617965, ' Yes': -5.344974, ' Unfortunately': -6.8008184}
{' No': -0.028498422, 'No': -3.8201623, '\n': -5.352261, ' Yes': -6.754933, ' ': -8.849339}
{' No': -0.18535706, ' Yes': -2.0311286, 'No': -3.5719612, '\n': -5.0016356, 'Yes': -5.905392}
{' No': -0.049457982, 'No': -3.6904967, '\n': -4.3928547, ' Hospital': -4.751587, ' Yes': -7.4101634}
{' No': -0.03994399, '\n': -4.306837, ' ': -8.277177, 'No': -3.6944447, ' Yes': -8.041311}
{' No': -0.026733808, '\n': -6.725928, ' ': -9.5556965, 'No': -3.693411, ' Yes': -9.247963}
{' No': -0.030282546, '\n': -5.820886, 'No': -3.6420624, ' Yes': -8.22432, ' Unfortunately': -8.755919}
{' No': -0.05513073, 'No': -3.3760302, '\n': -4.461703, ' Yes': -4.9614453, ' ': -7.854786}
{' No': -0.03756969, '\n': -5.88599, ' ': -8.595103, 'No': -3.4447162, ' Yes': -6.38299}
{' No': -0.02859839, '\n': -5.369943, 'No': -4.206178, ' Yes': -5.1972876, ' Hospital': -6.1447587}
{' No': -0.036536094, 'No': -3.8449998, '\n': -4.6877146, ' Yes': -5.4656777, ' ': -8.114949}
{' No': -0.021255655, 'No': -4.076334, '\n': -6.0777225, ' Yes': -6.537161, ' ': -9.017153}
{' No': -0.015890455, '\n': -5.882438, ' ': -9.8046665, 'No': -4.6451726, ' Yes': -5.786667}
{' No': -0.018013425, 'No': -4.211958, '\n': -6.019938, ' Yes': -7.6881924, ' ': -9.645065}
{' No': -0.020539781, 'No': -4.3837295, '\n': -5.079393, ' Yes': -6.5982656, ' ': -8.714427}
{' No': -0.08136125, '\n': -4.836068, 'No': -3.6970818, ' Yes': -3.164014, ' Doctor': -6.5006895}
{' No': -0.038350265, '\n': -4.721154, 'No': -4.398148, ' Yes': -4.5517125, ' Hospital': -5.468665}
{' No': -0.10550033, ' Yes': -2.9196367, '\n': -3.442536, 'No': -4.5631227, ' Sur': -6.5571876}
{' No': -0.020264147, '\n': -5.5504804, ' ': -8.5938, 'No': -4.3443017, ' Yes': -6.0077386}
{' No': -0.030553885, ' Yes': -4.4513187, '\n': -4.596285, 'No': -4.9848633, 'Pat': -8.235658}
{' No': -0.009970816, 'No': -4.7707415, '\n': -7.0028005, ' Yes': -7.717889, ' ': -10.144124}
{' No': -0.024243336, '\n': -6.713103, ' ': -10.14875, 'No': -3.794648, ' Yes': -8.578847}
{' No': -0.031959854, '\n': -6.779568, ' ': -9.880256, 'No': -3.57662, ' Yes': -6.1190095}
{' No': -0.039626885, '\n': -5.779895, 'No': -4.0731964, ' Yes': -4.071422, ' Hospital': -7.3079066}
{' No': -0.024272282, '\n': -5.5455465, ' ': -8.705762, 'No': -4.417489, ' Yes': -4.933976}
{' No': -0.019923523, 'No': -4.1157446, ' Yes': -6.1768637, '\n': -6.973954, ' ': -8.882309}
{' No': -0.03724465, '\n': -5.930484, 'No': -4.3665767, ' Yes': -3.9034724, 'Yes': -8.255863}
{' No': -0.008276546, 'No': -4.851931, '\n': -8.201389, ' Yes': -9.162767, ' ': -10.388601}
{' No': -0.01480333, 'No': -4.5989304, '\n': -5.848719, ' Yes': -6.467016, ' ': -8.843069}
{' No': -0.30427602, ' Yes': -1.4467148, 'No': -4.272982, '\n': -5.0055566, 'Yes': -5.731785}
{' No': -0.056895632, ' Hospital': -3.6777544, ' Yes': -4.214471, 'No': -4.721099, '\n': -5.4971647}
{' No': -0.038674302, ' Yes': -4.4262, '\n': -4.4926233, 'No': -4.5257916, ' Sur': -6.010644}
{' No': -0.014069757, 'No': -4.558957, '\n': -6.533828, ' Yes': -6.82149, ' Band': -7.5082884}
{' No': -0.03768648, '\n': -4.7696333, 'No': -4.935071, ' Yes': -3.9483366, ' Patient': -7.7113094}
{' No': -0.011679788, 'No': -4.5702004, '\n': -6.9340367, ' Yes': -8.761997, ' ': -9.459113}
{' No': -0.045782078, '\n': -4.595552, ' ': -8.4526005, 'No': -3.4238486, ' Yes': -6.380435}
{' No': -0.14083302, '\n': -3.8872757, 'No': -3.3326147, ' Yes': -2.6273594, 'Yes': -6.1434493}
{' No': -0.079601124, '\n': -3.3867738, 'No': -3.7033422, ' Yes': -4.7644362, ' Hospital': -5.151466}
{' No': -0.15040503, '\n': -2.9628897, 'No': -3.8679895, ' Yes': -2.7758625, 'Yes': -6.4052753}
{' No': -0.043278355, 'No': -3.5140612, '\n': -4.6094136, ' Yes': -6.4664726, ' ': -7.616556}
{' No': -0.046554845, '\n': -4.7845497, ' ': -8.380523, 'No': -3.3715878, ' Yes': -6.137106}
{' No': -0.05871224, 'No': -3.1983244, '\n': -4.2607574, ' Yes': -6.4840465, ' ': -8.220726}
{' No': -0.37057158, '\n': -2.1830256, 'No': -2.5553038, ' Yes': -2.351269, ' Unfortunately': -4.326176}
{' Yes': -0.059141144, 'Yes': -3.3406045, ' No': -4.4245925, '\n': -4.895828, 'No': -6.785167}
{' No': -0.77057093, ' Yes': -0.8553508, 'No': -2.959717, '\n': -3.4819949, 'Yes': -4.07304}
{' No': -0.7786024, '\n': -3.6979482, 'No': -2.9160707, ' Yes': -0.8517053, 'Yes': -3.604553}
{' No': -0.99273115, '\n': -3.5456638, 'No': -2.921093, ' Yes': -0.68339163, 'Yes': -3.5543058}
{' No': -1.4094687, '\n': -4.411107, 'No': -3.7261496, ' Yes': -0.38226998, 'Yes': -3.4356623}
{' No': -0.5955779, '\n': -1.7600466, 'No': -2.4586189, ' Yes': -1.8148447, 'Yes': -4.3425984}
{' No': -0.07376738, ' Yes': -3.2485757, 'No': -3.9973931, '\n': -4.374438, 'Yes': -7.1354203}
{' No': -1.524896, '\n': -4.457903, 'No': -5.08505, ' Yes': -0.2907787, 'Yes': -4.217416}
{' No': -0.16866742, '\n': -5.4617367, 'No': -4.7400455, ' Yes': -1.970448, ' Hospital': -6.9025407}
{' No': -0.52552384, '\n': -3.7490995, 'No': -4.618221, ' Yes': -1.003431, 'Yes': -5.015508}
{' No': -0.024517076, '\n': -5.4445724, ' ': -8.307046, 'No': -4.152031, ' Yes': -5.641977}
{' No': -0.14617862, ' Yes': -2.2395546, 'No': -4.3128695, '\n': -4.323314, 'Yes': -6.702739}
{' No': -0.012511199, 'No': -4.635546, '\n': -6.5428066, ' Yes': -6.728987, ' ': -9.921371}
{' No': -0.5896142, '\n': -3.7645006, 'No': -3.2772572, ' Yes': -0.99284106, 'Yes': -4.4503736}
{' No': -0.66084194, '\n': -2.12251, 'No': -3.1277263, ' Yes': -1.27773, ' Hospital': -3.654769}
{' Yes': -0.37493125, ' No': -1.487894, '\n': -3.1886442, 'Yes': -3.882421, 'No': -4.4351044}
{' No': -0.13878602, 'No': -2.7746825, '\n': -2.9484556, ' Yes': -4.9202094, ' Unfortunately': -5.5189033}
{' No': -0.19582458, ' Yes': -2.5894554, 'No': -2.9986732, '\n': -3.1108081, 'Yes': -5.9970474}
{' No': -0.17212059, '\n': -3.1263707, 'No': -3.7471745, ' Yes': -2.4342208, 'Yes': -6.272683}
{' No': -0.70154417, ' Yes': -1.3678287, '\n': -1.6536067, 'No': -3.320534, 'Yes': -4.711281}
{' No': -0.38078332, '\n': -2.6907237, 'No': -2.9810526, ' Yes': -1.7162039, ' Unfortunately': -5.018318}
{' No': -3.4919705, '\n': -4.416647, 'No': -7.1598377, ' Yes': -0.062241055, 'Yes': -4.1836133}
{' No': -0.109859936, 'No': -2.9243264, '\n': -3.620909, ' Unfortunately': -4.340941, ' Yes': -5.05551}
{' No': -0.10047202, '\n': -3.888085, 'No': -3.4733891, ' Yes': -3.288138, ' Unfortunately': -5.9235477}
{' No': -0.18816872, '\n': -2.3974068, 'No': -2.8392763, ' Yes': -4.1263285, ' Unfortunately': -5.732352}
{' Yes': -0.0709069, ' No': -3.1475747, 'Yes': -4.0851965, '\n': -5.053899, 'No': -6.368781}
{' No': -4.4663606, '\n': -6.1874447, ' Yes': -0.032381177, ' yes': -7.609194, 'Yes': -4.0796905}
{' Yes': -0.13189062, ' Sur': -2.9035523, ' No': -3.0772371, 'Yes': -4.1639223, '\n': -5.6338034}
{' No': -0.03377285, 'No': -3.5262425, '\n': -6.1783223, ' Yes': -6.580281, ' ': -8.847672}
{' Yes': -0.03441979, ' No': -4.1899467, 'Yes': -4.641786, ' Patient': -5.041122, '\n': -6.8183}
{' No': -0.02681689, '\n': -6.469708, 'No': -4.5490694, ' Yes': -4.2704134, 'Yes': -8.721994}
{' No': -0.027294, '\n': -7.005428, 'No': -4.561321, ' Yes': -4.1813374, 'Yes': -8.613162}
{' No': -0.0719398, ' Yes': -3.238663, 'No': -3.6692142, '\n': -5.795917, 'Yes': -7.3424296}
{' No': -0.068168476, 'No': -3.46549, ' Yes': -3.645597, '\n': -5.1535716, ' Hospital': -6.7412863}
{' No': -0.03707039, '\n': -5.463542, ' ': -8.410014, 'No': -3.5285864, ' Yes': -6.186055}
{' No': -0.0808746, '\n': -5.3801546, 'No': -4.1911783, ' Yes': -2.9018013, ' Patient': -6.383683}
{' No': -0.009732927, '\n': -7.129905, ' ': -9.688884, 'No': -4.824514, ' Yes': -7.20761}
{' No': -0.031970438, 'No': -3.771005, '\n': -5.087775, ' Yes': -6.283746, ' ': -8.402669}
{' No': -0.05611184, 'No': -3.586183, ' Yes': -3.8569427, '\n': -5.4358134, ' Doctor': -7.700717}
{' No': -0.040576007, '\n': -5.6392026, 'No': -3.9127166, ' Yes': -4.267499, ' Hospital': -6.680337}
{' No': -0.18833756, '\n': -4.6612434, 'No': -4.348606, ' Yes': -1.9430851, ' Sur': -5.8194847}
{' No': -0.062490243, ' Yes': -3.426708, 'No': -4.3342586, '\n': -4.762378, ' Patient': -5.8455744}
{' No': -0.0074604396, '\n': -8.0714655, ' ': -9.606503, 'No': -4.967772, ' Yes': -9.73299}
{' No': -0.28481326, ' Yes': -2.301424, '\n': -2.6394045, 'No': -2.7863276, ' Unfortunately': -4.9060407}
{' Yes': -0.32174498, ' No': -2.2127762, '\n': -2.2813835, 'Yes': -3.111288, 'No': -4.2666454}
{' No': -0.16319071, 'No': -2.651201, '\n': -2.9331682, ' Yes': -4.4534264, ' Unfortunately': -4.459871}
{' No': -1.576289, '\n': -3.3020792, 'No': -4.3098993, ' Yes': -0.34540266, 'Yes': -3.5690868}
{' No': -0.22604345, '\n': -3.135208, 'No': -2.2200239, ' Yes': -4.922226, ' Unfortunately': -3.3679156}
{' No': -0.17877418, '\n': -2.775011, 'No': -2.5492172, ' Yes': -4.2807183, ' Unfortunately': -5.259329}
{' No': -0.012506854, '\n': -6.157353, ' ': -9.73115, 'No': -4.700917, ' Yes': -6.806253}
{' No': -1.9782871, '\n': -5.994543, 'No': -6.33173, ' Yes': -0.1629128, 'Yes': -4.951674}
{' No': -0.01816534, '\n': -6.344463, 'No': -4.3579783, ' Yes': -6.2242994, ' Hospital': -7.2114177}
{' No': -0.017532649, 'No': -4.6283555, ' Yes': -5.429985, '\n': -5.9335675, ' Sur': -9.0879755}
{' No': -0.016715549, 'No': -4.2686305, '\n': -6.2601576, ' Yes': -7.96243, ' ': -9.137364}
{' No': -0.016550463, 'No': -4.776978, ' Yes': -5.391421, '\n': -6.48016, ' Patient': -6.6018796}
{' No': -0.03586418, '\n': -4.817919, ' ': -8.877661, 'No': -3.7595294, ' Yes': -5.667421}
