{'\n': -2.1818035, ' 4': -2.3421, ' 6': -2.3980253, ' 7': -2.5073662, ' 8': -1.9333103}
{'\n': -2.0609083, ' 4': -2.3072293, ' 5': -2.4863749, ' 6': -2.4492838, ' 8': -1.9170408}
{'\n': -2.0493023, ' 4': -2.3081696, ' 5': -2.4887917, ' 6': -2.4489264, ' 8': -1.9073727}
{' 8': -1.9372482, '\n': -2.0233784, ' 4': -2.3237364, ' 6': -2.4730027, ' 5': -2.5043612}
{'\n': -2.1341963, ' 4': -2.3030577, ' 5': -2.466898, ' 6': -2.4061377, ' 8': -1.9201527}
{'\n': -1.9144585, ' 8': -1.936411, ' 4': -2.3299582, ' 6': -2.458212, ' 5': -2.510506}
{'\n': -1.9819566, ' 4': -2.3231528, ' 5': -2.4814408, ' 6': -2.4325411, ' 8': -1.921815}
{'\n': -1.4590211, ' 4': -2.430229, ' 5': -2.6275191, ' 6': -2.5594563, ' 8': -2.045012}
{'\n': -1.9785862, ' 4': -2.3155422, ' 5': -2.486969, ' 6': -2.427494, ' 8': -1.9243488}
{' 8': -1.9437004, '\n': -1.9544493, ' 4': -2.3295884, ' 6': -2.4388747, ' 5': -2.5017333}
{'\n': -1.9596524, ' 4': -2.3340812, ' 5': -2.4908166, ' 6': -2.424666, ' 8': -1.9420525}
{'\n': -1.8516442, ' 8': -1.9553412, ' 4': -2.3353527, ' 6': -2.4488513, ' 5': -2.511006}
{' 8': -1.953147, '\n': -1.9569063, ' 4': -2.3246384, ' 6': -2.4231923, ' 5': -2.4933577}
{'\n': -1.9029158, ' 4': -2.3402727, ' 5': -2.4929225, ' 6': -2.4277763, ' 8': -1.9531964}
{' 8': -1.9300952, '\n': -2.024134, ' 4': -2.327537, ' 6': -2.3743215, ' 5': -2.4582362}
{'\n': -1.6504785, ' 8': -2.0035667, ' 4': -2.3991902, ' 6': -2.513532, ' 5': -2.5753195}
{'\n': -1.6486055, ' 8': -2.0414543, ' 4': -2.4268572, ' 6': -2.5500882, ' 5': -2.5900757}
{'\n': -1.5800706, ' 4': -2.429598, ' 5': -2.6014662, ' 6': -2.5587962, ' 8': -2.0116503}
{'\n': -1.3595228, ' 4': -2.5494673, ' 5': -2.7074604, ' 6': -2.6886024, ' 8': -2.1267185}
{'\n': -1.6953107, ' 4': -2.3823795, ' 5': -2.5775146, ' 6': -2.539238, ' 8': -1.9593143}
{'\n': -1.7562344, ' 8': -1.9628183, ' 4': -2.3835309, ' 6': -2.5278628, ' 7': -2.5527997}
{'\n': -1.853195, ' 4': -2.361184, ' 5': -2.5101907, ' 6': -2.4643705, ' 8': -1.9312618}
{' 8': -1.912278, '\n': -2.110447, ' 4': -2.3227453, ' 6': -2.4267035, ' 5': -2.4788148}
{'\n': -1.3491454, ' 8': -2.0946136, ' 4': -2.4777055, ' 6': -2.6422381, ' 5': -2.6705832}
{'\n': -1.3973664, ' 8': -2.1021411, ' 4': -2.515231, ' 6': -2.6747825, ' 5': -2.6767538}
{'\n': -1.6845673, ' 8': -2.0364263, ' 4': -2.4253302, ' 6': -2.543639, ' 5': -2.5763528}
{'\n': -1.8287197, ' 4': -2.3785398, ' 5': -2.5302067, ' 6': -2.487911, ' 8': -1.9634521}
{'\n': -1.7134855, ' 4': -2.3784425, ' 5': -2.5315752, ' 6': -2.4727354, ' 8': -1.989191}
{'\n': -1.7406099, ' 8': -1.9856365, ' 4': -2.3816364, ' 6': -2.4789016, ' 5': -2.5298831}
{'\n': -1.7667943, ' 4': -2.368666, ' 5': -2.5111115, ' 6': -2.4539235, ' 8': -1.9918624}
{'\n': -1.8679738, ' 4': -2.3621926, ' 5': -2.4783053, ' 6': -2.4105887, ' 8': -1.9676309}
{' 8': -1.8829215, '\n': -2.0204089, ' 4': -2.3019679, ' 6': -2.3988678, ' 5': -2.4772894}
{'\n': -1.722017, ' 4': -2.3724527, ' 5': -2.5595405, ' 6': -2.5124242, ' 8': -1.9575164}
{'\n': -1.5918595, ' 8': -1.9960934, ' 4': -2.415913, ' 6': -2.5584598, ' 7': -2.5982652}
{'\n': -1.7518321, ' 4': -2.3848782, ' 5': -2.5592244, ' 6': -2.5167313, ' 8': -1.9919606}
{'\n': -1.7181513, ' 4': -2.3703654, ' 5': -2.567383, ' 6': -2.5062022, ' 8': -1.9431967}
{'\n': -1.8284394, ' 8': -1.9313407, ' 4': -2.358543, ' 6': -2.443508, ' 5': -2.5152373}
{'\n': -1.7687799, ' 8': -1.9757884, ' 4': -2.375707, ' 6': -2.4734213, ' 5': -2.540869}
{'\n': -1.7435532, ' 8': -1.9874477, ' 4': -2.3906746, ' 6': -2.4698315, ' 5': -2.5366917}
{'\n': -2.146104, ' 4': -2.2757788, ' 5': -2.460273, ' 6': -2.3906138, ' 8': -1.8825839}
{'\n': -2.2011578, ' 4': -2.2767239, ' 5': -2.443923, ' 6': -2.3707647, ' 8': -1.8784552}
{' 8': -1.9058073, '\n': -1.9860255, ' 4': -2.317191, ' 6': -2.3951166, ' 5': -2.48052}
{'\n': -1.9438804, ' 4': -2.3524537, ' 5': -2.4842935, ' 6': -2.4117758, ' 8': -1.9438299}
{'\n': -2.132918, ' 4': -2.280293, ' 5': -2.4385667, ' 6': -2.3435197, ' 8': -1.886}
{' 8': -1.9058198, '\n': -2.121641, ' 4': -2.3133144, ' 6': -2.3414001, ' 5': -2.44629}
{'\n': -2.1492786, ' 4': -2.2905245, ' 5': -2.435016, ' 6': -2.2942247, ' 8': -1.9154712}
{' 8': -1.879368, ' 6': -2.228568, ' 4': -2.256486, '\n': -2.315565, ' 5': -2.3695478}
