{' Odd': -5.3440533, ':': -6.4328976, ' 1': -4.820511, ' odd': -0.07137524, ' even': -2.9387343}
{'\n': -6.764526, ' Odd': -5.1222787, ':': -7.1086364, ' 1': -6.112656, ' odd': -0.011806134}
{' even': -0.0036239328, ' 0': -6.22656, ' Even': -7.351343, ':': -7.9080577, '\n': -8.541201}
{' odd': -0.011749566, ' Odd': -4.6839337, '\n': -7.2765026, ' 1': -7.77506, ' ': -7.995373}
{' even': -0.0036425977, ' Even': -6.102181, ':': -7.652071, ' EVEN': -8.174108, ' 0': -8.703704}
{' odd': -0.007777498, ' Odd': -5.2686987, ' even': -6.6525903, '\n': -8.206285, ' 1': -8.320901}
{' ': -9.977849, ' Even': -8.775467, ' EVEN': -9.983015, ' odd': -9.055169, ' even': -0.00046157953}
{'\n': -7.382321, ' Odd': -4.537493, ' ': -7.995084, ' odd': -0.014019825, ' even': -6.6188684}
{'\n': -7.3981624, ' ': -5.747287, ':': -6.6965446, ' 0': -5.6622868, ' even': -0.010187926}
{' Odd': -4.496499, ':': -7.5539317, ' 1': -7.3824735, ' odd': -0.014348283, ' even': -6.989508}
{' even': -0.00028317483, ' Even': -8.439019, ' EVEN': -10.996521, ' an': -11.533088, ' ': -11.596819}
