{' Odd': -4.7056913, ' 1': -3.330519, ' odd': -0.18252678, ' 0': -5.1136103, ' even': -2.221595}
{' ': -7.5817084, ' an': -7.139375, ' Even': -7.2305355, ' 0': -3.6401682, ' even': -0.029998934}
{' Odd': -5.643549, ' 1': -1.4868174, ' one': -6.4850664, ' odd': -0.34869313, ' even': -2.8862705}
{' ': -6.958476, ' an': -6.878181, ' Even': -7.6949296, ' 0': -4.4607463, ' even': -0.015203393}
{' Odd': -4.5030804, ' ': -6.949791, ' 1': -3.4268837, ' "': -7.390361, ' odd': -0.049177323}
{' even': -0.010170828, ' 0': -4.953833, ' Even': -7.0600495, ' EVEN': -7.818617, ' ': -7.880796}
{' Odd': -6.5667057, ' ': -6.285616, ' 1': -2.2005963, ' "': -6.637813, ' odd': -0.12718062}
{' even': -0.024365354, ' 0': -4.0400224, ' Even': -6.1017623, ':': -6.785057, ' 1': -7.6707654}
{' Odd': -4.0900197, ' 1': -3.6096835, ' odd': -0.062452182, ' 0': -6.262284, ' even': -5.109084}
{':': -5.886664, ' an': -5.36976, ' Even': -5.1755977, ' 0': -4.9289117, ' even': -0.028151}
{' Odd': -4.566325, ':': -6.6190205, ' 1': -5.6568074, ' odd': -0.024865493, ' even': -5.3099966}
{' ': -4.391458, ':': -5.816231, ' odd': -4.8007026, ' 0': -2.1798444, ' even': -0.15603696}
{' odd': -0.098108396, ' 1': -3.0064201, ' Odd': -3.9758751, ':': -5.32829, ' ': -5.3284483}
{' even': -0.0021368593, ' 0': -6.8060293, ' Even': -7.9961996, ' ': -8.051029, ' an': -9.251054}
{' Odd': -5.0457554, ' ': -5.6827736, ' 1': -2.9465363, ' odd': -0.08324751, ' even': -4.5684514}
{' ': -6.6239686, ' 1': -6.3943667, ' odd': -5.764924, ' 0': -3.4459047, ' even': -0.042374834}
