{' No': -0.09881018, ' Yes': -2.6181371, 'No': -4.0900593, '\n': -5.7983394, 'Yes': -6.7311544}
{' No': -0.038577035, 'No': -3.9416242, ' Yes': -4.485528, '\n': -5.151437, ' Hospital': -7.2498097}
{' No': -0.05792471, '\n': -3.759377, 'No': -3.9337182, ' Yes': -4.533921, ' Sur': -6.3970375}
{' No': -0.013447325, 'No': -4.4464207, '\n': -7.077188, ' Yes': -7.429151, ' ': -9.534826}
{' No': -0.060362536, '\n': -5.601601, 'No': -4.0039353, ' Yes': -3.3487327, 'Yes': -7.280831}
{' Yes': -0.88199013, ' No': -0.9728086, '\n': -1.9267824, 'No': -3.305145, 'Yes': -3.7998044}
{' Yes': -0.47375193, ' No': -1.4888716, '\n': -2.2826014, 'Yes': -3.5640247, 'No': -3.986924}
{' No': -0.22526471, '\n': -2.4089558, 'No': -2.8750908, ' Yes': -2.9709063, 'Yes': -6.217931}
{' No': -0.67968214, '\n': -2.0556052, 'No': -3.2422967, ' Yes': -1.1860794, 'Yes': -4.011214}
{' No': -0.13881472, 'No': -2.4790475, '\n': -3.1891744, ' Yes': -6.258447, ' ': -6.750629}
{' No': -0.20590934, '\n': -3.2070765, 'No': -2.683786, ' Yes': -2.6321483, 'Yes': -5.634231}
{' Yes': -0.06293779, 'Yes': -3.4260073, '\n': -3.7531157, ' No': -5.624281, ' ': -7.4679475}
{' Yes': -0.044448424, 'Yes': -3.52465, '\n': -4.80956, ' No': -5.375125, 'No': -7.8125753}
{' No': -2.5607285, '\n': -2.4573407, 'No': -4.4672437, ' Yes': -0.2425504, 'Yes': -3.3019564}
{' No': -6.3931446, '\n': -3.1531816, ' ': -6.8702087, ' Yes': -0.09824227, 'Yes': -3.0551703}
{' No': -0.41768122, '\n': -1.6868043, 'No': -2.5273614, ' Yes': -2.8990023, ' Unfortunately': -4.4604936}
{' Yes': -0.12885366, 'Yes': -3.1082902, '\n': -3.2731082, ' No': -3.4287267, 'No': -5.509343}
{' No': -3.5788343, '\n': -4.729587, 'No': -6.3338213, ' Yes': -0.06542185, 'Yes': -3.7447984}
{' Yes': -0.19207878, ' No': -2.2428732, '\n': -3.2051, 'Yes': -4.0934725, 'No': -4.846841}
{' No': -0.3703648, '\n': -1.9694039, 'No': -2.9155173, ' Yes': -2.2195086, 'Yes': -5.240022}
{' No': -0.096089125, ' Not': -6.6702185, '\n': -3.4864163, 'No': -2.996653, ' Yes': -4.884833}
{' Yes': -0.29743105, ' No': -1.7161226, '\n': -3.2892272, 'Yes': -3.9230294, 'No': -4.554126}
{' No': -1.0378164, '\n': -2.9844544, 'No': -3.9582455, ' Yes': -0.5819678, 'Yes': -4.2572246}
{' No': -1.7669073, '\n': -1.8371531, 'No': -4.1520967, ' Yes': -0.466029, 'Yes': -3.8344657}
{' No': -4.4910355, '\n': -1.7827744, ' ': -7.018768, ' Yes': -0.23754355, 'Yes': -3.5282598}
{' No': -0.38193795, '\n': -1.5777558, ' Yes': -3.147536, 'No': -3.2213902, ' Unfortunately': -4.0216303}
{' No': -1.173693, '\n': -2.0882516, 'No': -3.7975962, ' Yes': -0.6596015, 'Yes': -3.9228134}
{' Yes': -0.024662891, ' No': -4.489741, 'Yes': -4.5112004, '\n': -6.459107, 'No': -8.279148}
{' Yes': -0.020298816, 'Yes': -4.308675, ' No': -5.2485394, '\n': -7.1208363, ' yes': -8.138941}
{' No': -7.083151, '\n': -5.2840047, ' Yes': -0.050463285, ' Sur': -3.6929154, 'Yes': -4.0637975}
{' No': -0.029176991, '\n': -6.2759094, ' ': -8.89009, 'No': -3.7556994, ' Yes': -5.770323}
{' No': -0.8921156, '\n': -4.8410883, 'No': -4.68175, ' Yes': -0.57690907, 'Yes': -4.8409276}
{' No': -0.044824872, 'No': -3.5233138, '\n': -4.575852, ' Yes': -5.627636, ' ': -8.315744}
{' No': -0.07533678, ' Yes': -3.3800242, 'No': -3.4580767, '\n': -5.162073, 'Yes': -7.296882}
{' No': -0.0674091, 'No': -3.1749032, '\n': -4.2071567, ' Yes': -4.942325, ' ': -7.712015}
{' No': -0.036633655, '\n': -5.209153, ' ': -8.502709, 'No': -3.7238305, ' Yes': -5.1621337}
{' No': -0.33862376, ' Yes': -1.4030691, 'No': -3.9026115, '\n': -4.185868, 'Yes': -5.3905416}
{' No': -0.030939208, '\n': -5.5816655, ' ': -8.759882, 'No': -4.012163, ' Yes': -4.801653}
{' No': -0.19964324, ' Yes': -1.9007502, 'No': -4.122693, '\n': -4.8365755, ' Doctor': -5.3606176}
{' No': -0.05049934, '\n': -4.8499455, 'No': -3.7527487, ' Yes': -4.192349, ' Hospital': -6.2404156}
{' No': -2.4348958, '\n': -3.8396618, ' Yes': -1.266288, ' Sur': -0.52773595, 'Yes': -4.983371}
{' No': -0.10681428, '\n': -3.6916263, 'No': -4.120114, ' Yes': -2.9279337, ' Patient': -5.6300898}
{' No': -7.2295313, '\n': -3.7818217, ' ': -7.669532, ' Yes': -0.049773797, 'Yes': -3.7287555}
{' No': -2.587208, '\n': -2.3404334, 'No': -5.506523, ' Yes': -0.22156538, 'Yes': -3.8885024}
{' Yes': -0.70520616, ' No': -1.1399405, '\n': -1.9711267, 'No': -3.6352673, 'Yes': -4.205309}
{' Yes': -0.14518653, '\n': -2.596631, 'Yes': -2.947032, ' No': -5.2596445, ' The': -6.872914}
{' No': -0.23006539, '\n': -2.2504282, 'No': -3.1211364, ' Yes': -3.403388, ' Unfortunately': -4.36517}
{' No': -0.055279315, '\n': -5.0735726, 'No': -3.8014417, ' Yes': -3.7116663, 'Yes': -7.6348386}
{' No': -0.05617533, ' Yes': -3.6458073, 'No': -3.6758344, '\n': -6.0143447, 'Yes': -7.7609005}
{' No': -0.075941786, '\n': -4.4632, 'No': -3.3593183, ' Yes': -3.6585124, 'Yes': -7.698201}
{' No': -0.5155588, ' Yes': -1.3761506, '\n': -2.2236583, 'No': -3.714108, ' Sur': -4.857104}
{' No': -0.03233359, 'No': -3.6701415, ' Yes': -5.796135, '\n': -5.9204216, ' Not': -7.92799}
{' No': -0.38050792, ' Yes': -1.2642723, 'No': -3.791383, 'Yes': -4.987617, '\n': -5.510795}
{' No': -0.21752773, ' Yes': -1.8122332, 'No': -4.110348, '\n': -4.356152, 'Yes': -5.9926624}
{' No': -3.7462425, '\n': -5.686735, 'No': -7.2445083, ' Yes': -0.043878663, 'Yes': -4.2076855}
{' No': -0.13848613, ' Yes': -2.6212895, 'No': -3.3088064, '\n': -4.021613, 'Yes': -6.567652}
{' Yes': -0.4923262, ' No': -1.2093061, '\n': -2.821109, 'Yes': -4.2088823, 'No': -4.5929427}
{' No': -0.03947893, 'No': -3.554461, '\n': -5.184544, ' Yes': -5.7119255, ' Not': -7.344715}
{' No': -0.1618304, ' Yes': -2.199657, 'No': -3.8494885, '\n': -4.454532, 'Yes': -6.029285}
{' No': -0.039154943, 'No': -3.3441036, '\n': -5.8880353, ' Yes': -8.584987, ' ': -9.173729}
{' No': -0.07168953, '\n': -5.967266, 'No': -3.209892, ' Yes': -3.6737115, 'Yes': -7.218603}
{' No': -0.03477137, '\n': -6.115818, ' ': -8.981569, 'No': -3.478535, ' Yes': -7.024378}
{' No': -0.0511934, 'No': -3.293999, '\n': -4.457365, ' Yes': -7.092703, ' ': -8.679326}
{' No': -0.03995671, 'No': -3.3797562, '\n': -5.6830726, ' Yes': -6.5886164, ' ': -8.790986}
{' No': -0.05674233, '\n': -5.9265294, 'No': -3.143603, ' Yes': -4.7168736, 'Yes': -8.102789}
{' No': -0.026908483, 'No': -4.391889, ' Yes': -4.5048137, '\n': -5.860053, 'Yes': -8.982211}
{' No': -1.6691991, '\n': -5.8149624, 'No': -5.75905, ' Yes': -0.22723022, 'Yes': -4.7787876}
{' No': -0.041329797, '\n': -5.6611714, 'No': -4.2282934, ' Yes': -3.8173895, 'Yes': -8.529035}
{' No': -0.026133308, 'No': -4.188332, '\n': -5.1820703, ' Yes': -5.3709893, ' ': -9.022203}
{' No': -0.022120534, 'No': -4.0269284, '\n': -5.8319535, ' Yes': -7.239968, ' ': -8.643344}
{' No': -0.06233646, '\n': -5.926375, 'No': -3.9363863, ' Yes': -3.2894788, 'Yes': -7.235907}
{' No': -1.6890961, '\n': -2.6248603, 'No': -3.9177415, ' Yes': -0.38050613, 'Yes': -3.294273}
{' No': -2.8006237, '\n': -3.1236253, 'No': -5.13394, ' Yes': -0.16571878, 'Yes': -3.2074797}
{' No': -0.35342008, ' Yes': -1.9899309, '\n': -2.4366014, 'No': -2.7344415, 'Yes': -5.0927253}
{' Yes': -0.5455544, ' No': -1.4023716, '\n': -2.1132596, 'Yes': -3.4321623, 'No': -3.9709997}
{' No': -0.1285282, 'No': -2.4307303, '\n': -3.7055812, ' Yes': -5.3848104, ' Unfortunately': -6.368299}
{' No': -0.23462646, ' Yes': -2.2679515, 'No': -2.6708808, '\n': -3.5319896, 'Yes': -5.2194476}
{' Yes': -0.06518076, 'Yes': -3.4802845, '\n': -3.6230323, ' No': -5.467679, ' ': -7.57843}
{' Yes': -0.054424755, 'Yes': -3.321833, '\n': -4.5492806, ' No': -5.3101463, 'No': -7.500567}
{' No': -2.1779382, '\n': -2.036123, 'No': -4.1389256, ' Yes': -0.35173586, 'Yes': -3.430347}
{' No': -6.8309727, '\n': -2.6807158, ' ': -6.7365594, ' Yes': -0.13442084, 'Yes': -2.9171832}
{' No': -0.41628957, '\n': -1.7463524, 'No': -2.4010174, ' Yes': -2.8601677, ' Unfortunately': -4.7377386}
{' Yes': -0.19116242, '\n': -2.8344822, ' No': -2.9232886, 'Yes': -2.9710808, 'No': -4.8546925}
{' No': -1.518237, '\n': -4.0765505, 'No': -4.1836724, ' Yes': -0.32028663, 'Yes': -3.845555}
{' Yes': -0.2558277, ' No': -2.1180084, '\n': -2.6881835, 'Yes': -3.8777149, 'No': -4.4716973}
{' No': -0.83809656, '\n': -1.6892395, 'No': -3.2733438, ' Yes': -1.1210194, 'Yes': -4.1425858}
{' No': -0.08808126, ' Not': -6.180784, '\n': -3.7619722, 'No': -2.9408627, ' Yes': -5.5148635}
{' Yes': -0.41277564, ' No': -1.375363, '\n': -3.1457944, 'Yes': -3.8649125, 'No': -4.06123}
{' No': -1.5228039, '\n': -2.3290877, 'No': -4.3143363, ' Yes': -0.43415985, 'Yes': -3.9160266}
{' No': -0.9925248, ' Yes': -1.1548688, '\n': -1.3540819, 'No': -3.3263376, 'Yes': -4.444299}
{' Yes': -0.24910733, '\n': -1.7325821, 'Yes': -3.5939102, ' No': -4.395424, ' ': -6.767694}
{' No': -0.3115278, '\n': -1.7384096, 'No': -3.1134932, ' Yes': -3.8963513, ' Unfortunately': -3.9488928}
{' No': -0.74233353, ' Yes': -1.0891086, '\n': -2.0015156, 'No': -3.454381, 'Yes': -4.397422}
{' No': -4.4226475, '\n': -5.687504, 'No': -7.910644, ' Yes': -0.030653013, 'Yes': -4.262005}
{' No': -3.6140428, '\n': -5.9935703, 'No': -6.992802, ' Yes': -0.047741678, 'Yes': -4.1511903}
{' No': -6.029172, '\n': -4.8709364, ' Yes': -0.036050037, ' Sur': -5.2497797, 'Yes': -3.959531}
{' No': -0.040400106, ' Not': -8.4755535, '\n': -5.5218606, 'No': -3.4729085, ' Yes': -5.5341306}
{' No': -0.98225695, '\n': -4.6670065, 'No': -4.4937277, ' Yes': -0.52281296, 'Yes': -4.588435}
{' No': -0.047625776, 'No': -3.547557, '\n': -4.623475, ' Yes': -4.910688, ' ': -8.332671}
{' No': -0.18219389, '\n': -4.205698, 'No': -3.4142702, ' Yes': -2.1617012, 'Yes': -6.006357}
{' No': -0.09484169, '\n': -3.8102577, ' ': -7.5258183, 'No': -3.180022, ' Yes': -3.6948075}
{' No': -0.051308967, '\n': -4.660306, ' ': -8.359682, 'No': -3.5011053, ' Yes': -4.6443205}
{' No': -0.27341205, '\n': -4.3501463, 'No': -3.9532082, ' Yes': -1.5948251, 'Yes': -5.686814}
{' No': -0.09643682, '\n': -4.4754744, 'No': -3.9825373, ' Yes': -2.8098612, 'Yes': -6.7706385}
{' No': -0.24617185, '\n': -5.0048404, 'No': -3.9380624, ' Yes': -1.6692219, 'Yes': -5.875602}
{' No': -0.05476266, 'No': -3.738028, ' Yes': -3.861504, '\n': -5.263724, ' Hospital': -6.1240425}
{' No': -1.3618416, '\n': -3.6801875, ' Yes': -0.40365833, ' Sur': -3.6463246, 'Yes': -4.3929214}
{' No': -0.07743412, ' Yes': -3.1080623, 'No': -3.927799, '\n': -4.9151416, ' Patient': -6.8584533}
{' Yes': -0.05631944, '\n': -3.665109, 'Yes': -3.846675, ' No': -5.0266733, ' ': -7.786814}
{' Yes': -0.22007452, '\n': -2.4931266, ' No': -2.5266654, 'Yes': -3.6375053, 'No': -5.13637}
{' No': -0.6808616, '\n': -2.0213327, 'No': -3.1470978, ' Yes': -1.2003261, 'Yes': -4.6763086}
{' No': -4.7487545, '\n': -1.7449917, ' ': -6.4878354, ' Yes': -0.26269755, 'Yes': -3.1319509}
{' No': -0.19895233, '\n': -2.346299, 'No': -2.9821362, ' Yes': -4.2305493, ' Unfortunately': -4.3017526}
{' No': -0.076372415, 'No': -3.0674858, ' Yes': -4.0557804, '\n': -4.7528343, 'Yes': -7.3386803}
{' No': -0.068220794, 'No': -3.1422982, ' Yes': -3.9667747, '\n': -5.8068542, 'Yes': -7.500315}
{' No': -0.07290773, 'No': -2.957021, '\n': -4.441591, ' Yes': -5.139644, ' ': -7.896617}
{' No': -0.13106236, 'No': -3.0863905, '\n': -3.2112145, ' Yes': -3.4020047, 'Yes': -6.53648}
{' No': -0.03751183, 'No': -3.3920307, '\n': -5.998459, ' Yes': -7.803692, ' ': -8.857244}
{' No': -0.10089053, ' Yes': -3.051576, 'No': -3.181268, '\n': -5.2915297, 'Yes': -6.3743296}
{' No': -0.11172512, ' Yes': -3.1199725, 'No': -3.2696383, '\n': -3.834231, 'Yes': -6.617089}
{' Yes': -0.15290895, ' No': -2.354529, 'Yes': -3.7473857, '\n': -4.0236382, 'No': -5.4221845}
{' No': -0.20567805, ' Yes': -2.1543643, 'No': -3.3053138, '\n': -3.5254314, 'Yes': -6.0268846}
{' Yes': -0.76809216, ' No': -1.1394167, '\n': -1.9115019, ' Sur': -3.5627108, 'Yes': -3.971284}
{' No': -0.042010367, 'No': -3.3204527, '\n': -5.565373, ' Yes': -7.1387777, ' ': -8.844588}
{' No': -0.1258232, '\n': -4.019294, 'No': -3.3373632, ' Yes': -2.802579, 'Yes': -6.233098}
{' No': -0.054488197, '\n': -5.8381543, ' ': -8.859211, 'No': -3.0024304, ' Yes': -8.345744}
{' No': -0.08241946, 'No': -2.8950202, ' Yes': -3.9076967, '\n': -5.8658648, 'Yes': -7.2369375}
{' No': -0.058681775, '\n': -6.080213, ' ': -8.993674, 'No': -2.9174347, ' Yes': -7.8283024}
{' No': -0.05655467, '\n': -4.503645, ' ': -8.864179, 'No': -3.1470277, ' Yes': -7.4487586}
{' No': -0.055168647, 'No': -2.9985106, '\n': -5.8675156, ' Yes': -7.4580607, ' ': -8.773785}
{' No': -0.058855228, 'No': -3.0320034, ' Yes': -5.2344, '\n': -5.7732353, 'Yes': -8.37454}
{' No': -0.027808418, 'No': -3.7602816, '\n': -5.851126, ' Yes': -6.7800493, ' ': -9.428361}
{' No': -0.13114922, '\n': -5.1487727, 'No': -3.9030702, ' Yes': -2.353727, 'Yes': -6.457683}
{' No': -0.032110702, '\n': -5.787928, 'No': -3.6487298, ' Yes': -6.302254, ' Hospital': -8.035183}
{' No': -0.060318537, '\n': -3.8590858, 'No': -3.3412402, ' Yes': -6.8437138, ' Sur': -7.8068714}
{' No': -0.047058772, 'No': -3.1331484, '\n': -6.1953716, ' Yes': -9.123523, ' ': -9.255408}
{' No': -0.05551027, 'No': -3.207648, ' Yes': -4.986241, '\n': -5.1028714, 'Yes': -8.2036495}
{' No': -0.20556997, ' Yes': -2.1759107, 'No': -3.1188772, '\n': -3.7631564, 'Yes': -5.4682574}
{' Yes': -0.6584964, ' No': -0.9046989, 'No': -3.5211651, '\n': -3.6532683, 'Yes': -3.8504176}
{' No': -0.123791926, '\n': -3.7008486, 'No': -2.9106665, ' Yes': -3.3433313, 'Yes': -6.7018805}
{' No': -0.40477222, ' Yes': -1.4323391, 'No': -3.097914, '\n': -3.3578477, 'Yes': -4.332358}
{' No': -0.08979956, '\n': -4.550981, ' ': -7.864026, 'No': -2.6212747, ' Yes': -6.2943106}
{' No': -0.12848794, 'No': -2.7721474, ' Yes': -3.138709, '\n': -4.422288, 'Yes': -6.1582136}
{' No': -4.1410785, '\n': -3.5206254, 'No': -5.892303, ' Yes': -0.10661287, 'Yes': -2.96454}
{' Yes': -0.116031684, 'Yes': -2.8035524, '\n': -3.5346434, ' No': -4.1625576, 'No': -5.855087}
{' Yes': -0.7743561, ' No': -1.2080853, '\n': -2.0296242, 'No': -2.6868107, 'Yes': -3.3123887}
{' Yes': -0.18439122, '\n': -2.533539, 'Yes': -2.5879688, ' No': -4.58473, 'No': -6.301462}
{' No': -0.31600198, 'No': -1.8453847, '\n': -2.469101, ' Yes': -4.0975933, ' Unfortunately': -5.047415}
{' Yes': -0.3699915, ' No': -1.730999, 'Yes': -2.9239254, '\n': -3.1349926, 'No': -3.4366608}
{' No': -0.38202763, '\n': -2.928008, 'No': -2.5815382, ' Yes': -1.7286747, 'Yes': -4.6764}
{' Yes': -0.8459562, ' No': -0.8870463, '\n': -2.3957095, 'No': -3.0394852, 'Yes': -4.0427256}
{' No': -0.23112813, 'No': -2.1298535, '\n': -2.6655343, ' Yes': -4.1918344, 'Yes': -6.4827495}
{' No': -0.1569545, 'No': -2.3761966, '\n': -3.1185539, ' Yes': -5.196467, ' ': -6.9832053}
{' No': -0.5812774, ' Yes': -1.0858893, 'No': -2.9880097, '\n': -3.324237, 'Yes': -4.175266}
{' No': -0.3903983, '\n': -3.1577837, 'No': -2.7490923, ' Yes': -1.5868952, 'Yes': -4.705193}
{' No': -0.24496248, '\n': -2.447601, 'No': -2.5002, ' Yes': -3.1706102, ' Unfortunately': -5.8806396}
{' No': -1.8335474, '\n': -2.2315004, 'No': -4.385694, ' Yes': -0.376909, 'Yes': -3.4228663}
{' No': -0.21852238, 'No': -2.165044, '\n': -2.708381, ' Unfortunately': -4.7429914, ' Yes': -5.763011}
{' No': -0.31485423, '\n': -2.7081819, 'No': -2.7152333, ' Yes': -2.0669866, 'Yes': -5.0511956}
{' No': -6.158527, '\n': -6.886744, ' Yes': -0.01837677, ' yes': -8.763629, 'Yes': -4.2219577}
{' No': -6.2735667, '\n': -6.661851, ' Yes': -0.030187324, ' yes': -7.9586787, 'Yes': -3.6530776}
{' No': -6.16967, '\n': -5.8263397, ' Yes': -0.02475759, ' Sur': -7.6177726, 'Yes': -4.003744}
{' No': -0.05338838, '\n': -5.7335634, ' ': -8.445405, 'No': -3.0718093, ' Yes': -6.211513}
{' No': -1.4950488, '\n': -6.214403, 'No': -5.2827797, ' Yes': -0.27857423, 'Yes': -4.4907494}
{' No': -0.04156116, 'No': -3.705139, ' Yes': -4.774692, '\n': -4.9450874, ' ': -8.281912}
{' No': -0.16672872, '\n': -4.2791004, 'No': -3.026117, ' Yes': -2.4361053, 'Yes': -5.9653378}
{' No': -0.114901066, '\n': -3.2378428, ' ': -7.2603345, 'No': -2.8816152, ' Yes': -4.478047}
{' No': -0.056048296, '\n': -4.9545717, ' ': -8.500038, 'No': -3.105166, ' Yes': -6.132178}
{' No': -0.17207344, '\n': -3.7975886, 'No': -3.4961185, ' Yes': -2.2871647, 'Yes': -5.8965125}
{' Yes': -0.02789551, 'Yes': -3.9762082, '\n': -5.0192723, ' No': -6.505152, ' ': -8.26502}
{' Yes': -0.03235175, 'Yes': -3.8302336, '\n': -5.353978, ' No': -5.4571733, ' yes': -7.7786226}
{' Yes': -0.07226235, ' No': -3.2008784, 'Yes': -4.1023755, '\n': -4.835707, 'No': -6.0279865}
{' Yes': -0.076232366, 'Yes': -3.553859, '\n': -3.7883983, ' Sur': -4.0545206, ' No': -6.036216}
{' Yes': -0.33711684, ' No': -1.6003194, '\n': -2.9462266, 'Yes': -3.945063, 'No': -4.847422}
{' No': -4.4468784, '\n': -4.052229, 'No': -7.1230774, ' Yes': -0.061166693, 'Yes': -3.562315}
{' Yes': -0.17618605, ' No': -2.4835935, 'Yes': -3.282616, '\n': -3.503754, 'No': -4.8118534}
{' No': -0.449315, '\n': -3.013892, 'No': -2.8119535, ' Yes': -1.429303, 'Yes': -4.8141255}
{' No': -4.239389, '\n': -2.9854214, 'No': -6.7434087, ' Yes': -0.11160988, 'Yes': -3.2746158}
{' No': -0.11813114, 'No': -2.5825458, '\n': -3.5446064, ' Unfortunately': -5.61049, ' Yes': -6.410741}
{' No': -0.04808074, '\n': -4.528143, ' ': -8.146746, 'No': -3.4498103, ' Yes': -5.580578}
{' No': -0.035487447, '\n': -5.258449, ' ': -8.693093, 'No': -3.6803827, ' Yes': -5.542783}
{' No': -0.053050045, 'No': -3.4673126, '\n': -4.2471375, ' Yes': -5.259988, ' ': -7.7679086}
{' No': -0.117592566, '\n': -4.108535, 'No': -3.9432054, ' Yes': -2.6466146, ' Sur': -6.1855054}
{' No': -0.025328899, '\n': -5.314336, ' ': -8.639804, 'No': -4.0502276, ' Yes': -6.170091}
{' No': -0.083652265, '\n': -5.151298, 'No': -4.174236, ' Yes': -2.8522813, 'Yes': -7.11074}
{' No': -0.04873032, '\n': -4.839477, 'No': -4.3315043, ' Yes': -3.6541495, 'Yes': -7.8942175}
{' Yes': -0.20525356, ' No': -1.8609331, '\n': -4.3713565, 'Yes': -4.555914, 'No': -5.779461}
{' No': -0.23675038, ' Yes': -1.8877265, '\n': -3.5102544, 'No': -3.7931392, ' Hospital': -5.803181}
{' No': -0.94294286, '\n': -3.735198, ' Yes': -0.5707486, ' Sur': -4.8100715, 'Yes': -5.0628595}
{' No': -0.035960253, '\n': -4.59595, 'No': -4.109603, ' Yes': -4.913701, ' The': -7.892022}
{' No': -0.20861584, '\n': -3.0460086, 'No': -4.741142, ' Yes': -2.0843308, ' The': -6.1705556}
{' No': -0.025873497, '\n': -6.6270194, ' ': -10.08864, 'No': -3.7408965, ' Yes': -7.7726383}
{' No': -0.0496591, 'No': -3.7115338, ' Yes': -3.8078892, '\n': -6.686691, 'Yes': -7.751748}
{' No': -0.029610716, '\n': -5.7041197, ' ': -8.391422, 'No': -3.7208927, ' Yes': -6.7302594}
{' No': -0.06152388, 'No': -3.675274, ' Yes': -3.786028, '\n': -4.617325, ' Sur': -7.3450317}
{' No': -0.032022074, '\n': -5.777799, ' ': -8.225222, 'No': -3.886106, ' Yes': -4.9587092}
{' No': -0.17917275, '\n': -4.9852905, 'No': -4.215399, ' Yes': -1.9752103, 'Yes': -6.1321874}
{' No': -0.09180889, ' Yes': -2.7059658, 'No': -4.393893, '\n': -4.921799, 'Yes': -7.026026}
{' Yes': -0.11327935, ' No': -2.5047321, 'Yes': -4.538732, '\n': -4.710603, ' Doctor': -6.0447288}
{' No': -0.081853084, '\n': -4.823247, 'No': -4.0543985, ' Yes': -3.0110748, ' Hospital': -6.031005}
{' No': -0.27833894, '\n': -3.7865784, 'No': -4.5280676, ' Yes': -1.6509585, ' Sur': -4.2914267}
{' No': -0.020825414, 'No': -4.5366087, ' Yes': -5.202241, '\n': -5.8751245, ' Band': -6.961121}
{' No': -0.49517712, '\n': -3.6632524, 'No': -5.010903, ' Yes': -1.04757, 'Yes': -5.651142}
{' Yes': -0.61083394, ' No': -0.9356668, '\n': -3.4901636, 'No': -4.0238967, 'Yes': -4.156725}
{' Yes': -0.10061906, ' No': -3.0665364, 'Yes': -3.694466, '\n': -3.8444755, 'No': -6.1655545}
{' No': -0.32922488, ' Yes': -1.4817363, 'No': -3.662595, '\n': -3.8109639, 'Yes': -5.4831038}
{' No': -3.9423754, '\n': -4.0947137, 'No': -7.520275, ' Yes': -0.06020015, 'Yes': -3.8782234}
{' No': -0.042076632, '\n': -4.8138337, ' ': -8.278855, 'No': -3.5820298, ' Yes': -5.402481}
{' No': -0.25492787, ' Yes': -2.1229947, 'No': -2.9068615, '\n': -3.1493542, 'Yes': -5.042602}
{' Yes': -0.07510904, 'Yes': -3.347343, '\n': -3.4995816, ' No': -5.273172, ' ': -7.3455005}
{' Yes': -0.046533927, 'Yes': -3.4722462, '\n': -4.4643655, ' No': -6.3453717, ' The': -7.901087}
{' Yes': -0.0416937, 'Yes': -3.5412283, '\n': -5.1532946, ' No': -5.4231024, ' The': -7.5793314}
{' Yes': -0.03688793, 'Yes': -3.4106061, '\n': -6.0605316, ' yes': -8.120505, ' The': -8.533022}
{' No': -1.1597604, '\n': -3.2169864, 'No': -3.3691792, ' Yes': -0.552533, 'Yes': -3.7334638}
{' Yes': -0.055247255, 'Yes': -3.1206844, '\n': -5.281863, ' No': -5.807743, ' The': -7.358376}
{' Yes': -0.29187864, ' No': -1.7003336, '\n': -3.309716, 'Yes': -3.8799884, 'No': -4.4479775}
{' Yes': -0.29867864, ' No': -1.9122686, '\n': -2.6234848, 'Yes': -3.858682, 'No': -4.275773}
{' Yes': -0.6402651, ' No': -1.0229479, '\n': -2.8018937, 'No': -3.6078384, 'Yes': -3.830378}
{' No': -0.099332266, 'No': -2.875898, '\n': -3.6169047, ' Unfortunately': -5.494268, ' Yes': -5.5657015}
{' Yes': -0.38440046, ' No': -1.3840705, '\n': -3.4810095, 'Yes': -4.152322, 'No': -4.3206987}
{' No': -0.5730391, ' Yes': -1.1133299, '\n': -2.663642, 'No': -3.7662919, 'Yes': -4.9493876}
{' No': -1.8109673, '\n': -3.7857656, 'No': -4.7759867, ' Yes': -0.23827463, 'Yes': -4.2485285}
{' Yes': -0.019983722, 'Yes': -4.1782613, '\n': -5.590797, ' No': -8.496022, ' yes': -8.619068}
{' No': -0.19985752, '\n': -2.5662096, ' Yes': -2.9963167, 'No': -3.2014997, ' Unfortunately': -5.2717566}
{' No': -0.60303336, '\n': -3.5980418, 'No': -3.972565, ' Yes': -0.9376738, 'Yes': -4.9300675}
{' Yes': -0.01374671, 'Yes': -4.6129494, ' No': -5.9984317, '\n': -6.9259567, ' yes': -9.02927}
{' Yes': -0.02198008, 'Yes': -4.2825255, ' No': -5.070734, '\n': -6.847612, ' yes': -8.1375475}
{' Yes': -0.052125912, ' Sur': -3.508455, 'Yes': -3.9891527, '\n': -6.934627, ' No': -8.048971}
{' No': -0.049916837, '\n': -5.5250583, 'No': -3.4072015, ' Yes': -4.5389323, 'Yes': -8.131683}
{' No': -3.642686, '\n': -6.130305, ' Yes': -0.046361037, ' Patient': -5.1164217, 'Yes': -4.6763024}
{' No': -0.020340605, 'No': -4.2127767, ' Yes': -5.52529, '\n': -6.73707, 'Yes': -9.734945}
{' No': -0.3347514, ' Yes': -1.3590776, 'No': -4.106905, '\n': -5.0522594, 'Yes': -5.6263237}
{' No': -0.07777977, 'No': -3.3968503, ' Yes': -3.4209445, '\n': -5.0203247, 'Yes': -7.6299133}
{' No': -0.042024165, 'No': -3.9543872, ' Yes': -4.035192, '\n': -5.718015, 'Yes': -8.210675}
{' No': -0.64949936, '\n': -4.8644857, 'No': -4.9328775, ' Yes': -0.8133254, ' Patient': -4.300199}
{' No': -0.061741326, ' Yes': -3.2913287, 'No': -4.009228, '\n': -5.6740513, 'Yes': -7.281101}
{' No': -0.20402531, '\n': -4.441234, 'No': -3.8104417, ' Yes': -1.9200134, 'Yes': -6.261276}
{' No': -0.07621211, ' Yes': -3.2668722, 'No': -3.6070364, '\n': -5.0785084, ' Hospital': -7.143362}
{' Yes': -0.33192873, ' No': -1.3695855, ' Sur': -4.5944886, 'Yes': -4.8473744, 'No': -5.309134}
