{' ': -10.746939, ' Generally': -9.173347, ' Yes': -0.0015200131, ' yes': -10.15593, 'Yes': -6.613252}
{' No': -5.0563207, ' ': -9.179052, ' Yes': -0.008139348, ' yes': -10.019264, 'Yes': -6.478743}
{' Yes': -0.003387666, ' Generally': -6.2918854, 'Yes': -6.792597, ' No': -8.542701, ' yes': -9.712707}
{' Yes': -0.011787741, ' No': -5.189665, ' Generally': -5.4143314, 'Yes': -6.617565, ' Typically': -9.350626}
{' No': -1.2143412, ' Generally': -5.022929, 'No': -6.1761494, ' Yes': -0.3675052, 'Yes': -6.6926203}
{' No': -8.412832, ' Generally': -8.425728, ' Yes': -0.0014843154, ' yes': -9.872835, 'Yes': -6.9871483}
{' No': -6.1960692, ' ': -9.187365, ' Yes': -0.0031299281, ' yes': -10.129125, 'Yes': -6.9788775}
{' No': -0.64995503, ' Generally': -2.4081395, 'No': -5.2235103, ' Yes': -0.99043006, ' It': -5.15067}
{' No': -0.017931074, ' Generally': -5.1628075, 'No': -4.859745, ' Yes': -5.6036377, ' It': -8.899185}
{' No': -0.22150724, ' Generally': -4.6265917, 'No': -5.3026075, ' Yes': -1.6987565, 'Yes': -8.150863}
{' No': -0.8475856, ' ': -7.742309, 'No': -6.3097277, ' Yes': -0.56506723, 'Yes': -7.07109}
{' Yes': -0.017395146, ' Generally': -4.2111645, 'Yes': -6.7560163, ' It': -7.6085415, ' Typically': -8.44562}
{' No': -9.924758, ' ': -9.958105, ' Generally': -6.3140445, ' Yes': -0.0029178704, 'Yes': -6.990646}
{' No': -8.180072, ' ': -9.544137, ' Yes': -0.0014342356, ' yes': -10.361575, 'Yes': -6.8702216}
{' Yes': -0.0286715, ' No': -4.058073, ' Generally': -4.6952095, 'Yes': -6.693851, 'No': -8.824928}
{' No': -4.579651, ' ': -9.277105, 'No': -9.688489, ' Yes': -0.011751194, 'Yes': -6.7277026}
{' No': -0.009937281, ' ': -8.993419, ' Generally': -11.101872, 'No': -5.460153, ' Yes': -5.2084994}
{' ': -11.0542, ' Generally': -8.406331, ' Yes': -0.0021321406, ' yes': -10.094829, 'Yes': -6.3054514}
{' ': -10.226425, ' Generally': -7.7100496, ' Yes': -0.002755162, ' yes': -9.99487, 'Yes': -6.139122}
{' No': -0.26401597, ' Yes': -1.4937733, 'No': -5.045262, 'Yes': -7.2845197, ' Generally': -8.55451}
{' No': -0.007473592, ' ': -10.63191, ' Generally': -11.929525, 'No': -5.092018, ' Yes': -6.677656}
{' No': -6.6253886, ' ': -9.615448, ' Generally': -9.970757, ' Yes': -0.0033744483, 'Yes': -6.2834754}
{' Yes': -0.0065393853, ' No': -5.32446, 'Yes': -6.4812226, ' ': -9.87509, ' yes': -10.344784}
{' No': -8.665088, ' Generally': -7.707954, ' Yes': -0.0022312398, ' yes': -9.855234, 'Yes': -6.5213785}
{' Yes': -0.012768286, ' No': -4.584103, 'Yes': -6.391266, ' Generally': -7.525486, ' ': -9.240986}
{' Yes': -0.5025014, ' No': -0.943221, 'No': -5.925685, ' Generally': -6.6236596, 'Yes': -6.6902714}
{' Yes': -0.001648428, 'Yes': -6.686765, ' No': -8.309048, ' yes': -9.810156, ' ': -9.951481}
{' Yes': -0.0055251885, ' No': -5.5087347, 'Yes': -6.644853, ' ': -9.3251, ' yes': -10.0086355}
{' No': -0.8382843, ' Generally': -3.2659502, 'No': -5.257693, ' Yes': -0.65551645, ' It': -6.3528676}
{' No': -0.012799857, ' ': -9.399028, ' Generally': -6.3450747, 'No': -4.805366, ' Yes': -5.984359}
{' No': -0.3472512, ' Generally': -5.928926, 'No': -5.381055, ' Yes': -1.2547334, 'Yes': -7.624759}
{' No': -0.5209284, ' ': -7.857163, 'No': -6.00484, ' Yes': -0.9102373, 'Yes': -7.2717404}
{' No': -8.220287, ' Generally': -4.7232804, ' Yes': -0.011395008, 'Yes': -6.469704, ' It': -8.209739}
{' No': -9.564389, ' ': -10.120998, ' Generally': -7.0618668, ' Yes': -0.002288533, 'Yes': -6.6817303}
{' No': -8.2307205, ' ': -9.722104, ' Yes': -0.001685683, ' yes': -10.250262, 'Yes': -6.6344695}
{' No': -4.7326875, ' Generally': -6.015402, 'No': -9.429533, ' Yes': -0.01300098, 'Yes': -6.571274}
{' No': -4.66155, ' ': -9.370271, 'No': -9.556376, ' Yes': -0.011374812, 'Yes': -6.4074106}
{' No': -0.011081317, ' ': -9.188991, 'No': -5.255346, ' Yes': -5.171966, 'Yes': -11.206838}
{' ': -10.782271, ' Generally': -8.081742, ' Yes': -0.0020808312, ' yes': -10.063008, 'Yes': -6.394349}
{' ': -10.012513, ' Generally': -7.168987, ' Yes': -0.0029693402, ' yes': -9.916377, 'Yes': -6.210013}
{' No': -0.17579415, ' Yes': -1.8783259, 'No': -4.9022365, 'Yes': -7.641336, ' Generally': -8.29169}
{' No': -0.0075204317, ' ': -10.552957, ' Generally': -11.204316, 'No': -5.072004, ' Yes': -6.750118}
{' Yes': -0.0042761397, ' No': -6.0798483, 'Yes': -6.3540773, ' Generally': -9.351865, ' ': -9.477868}
{' Yes': -0.008342357, ' No': -5.006866, 'Yes': -6.523502, ' ': -9.535707, 'No': -10.170524}
{' Yes': -0.0024190175, 'Yes': -6.6191406, ' Generally': -7.1330795, ' No': -8.953754, ' ': -9.814047}
{' No': -4.7855244, ' ': -9.233252, ' Generally': -6.6608334, ' Yes': -0.011520596, 'Yes': -6.4740987}
{' No': -1.5280882, ' Generally': -6.2095165, 'No': -6.4198513, ' Yes': -0.2516866, 'Yes': -6.4982}
{' No': -7.9209795, ' Generally': -9.526544, ' Yes': -0.0017507043, ' yes': -9.849973, 'Yes': -6.727985}
{' No': -5.7646937, ' ': -9.157994, ' Yes': -0.0045965044, ' yes': -10.042682, 'Yes': -6.661357}
{' No': -1.0775676, ' Generally': -3.1132216, 'No': -5.5000124, ' Yes': -0.5021738, ' It': -6.1089754}
{' No': -0.023915825, ' ': -9.147168, ' Generally': -5.453014, 'No': -4.6980257, ' Yes': -4.6287875}
{' No': -0.45853308, ' Generally': -5.4595003, 'No': -5.419093, ' Yes': -1.027312, 'Yes': -7.402586}
{' No': -1.2049035, ' ': -7.6489573, 'No': -6.590983, ' Yes': -0.36066523, 'Yes': -6.776068}
{' No': -7.7145867, ' Generally': -4.502051, ' Yes': -0.014158861, 'Yes': -6.6132193, ' It': -7.25161}
{' No': -9.724711, ' ': -10.017097, ' Generally': -6.686524, ' Yes': -0.002598938, 'Yes': -6.7480917}
{' No': -8.786239, ' ': -9.694148, ' Yes': -0.001627651, ' yes': -10.3048, 'Yes': -6.5925865}
{' Yes': -0.018940864, ' No': -4.4641423, ' Generally': -5.2186933, 'Yes': -6.5484343, 'No': -9.056216}
{' No': -4.7753816, ' ': -9.288759, 'No': -9.687172, ' Yes': -0.010182389, 'Yes': -6.5109277}
{' No': -0.010501698, ' ': -9.013076, 'No': -5.287399, ' Yes': -5.250896, 'Yes': -11.3393545}
{' Yes': -0.001861711, 'Yes': -6.511404, ' Generally': -8.18092, ' yes': -10.131138, ' ': -11.04809}
{' No': -9.548131, ' Generally': -7.7660327, ' Yes': -0.002570969, ' yes': -10.018465, 'Yes': -6.2370358}
{' No': -0.090655014, ' Generally': -8.730984, 'No': -4.9390836, ' Yes': -2.538466, 'Yes': -8.355597}
{' No': -0.0057955943, 'No': -5.2265787, ' Yes': -7.8824716, ' ': -10.836607, ' Generally': -12.413835}
{' No': -5.2371984, ' ': -9.446939, ' Generally': -9.698023, ' Yes': -0.0072675766, 'Yes': -6.3800964}
{' No': -3.4677117, ' ': -9.331729, 'No': -8.758931, ' Yes': -0.03346384, 'Yes': -6.5440416}
{' No': -8.833249, ' Generally': -7.709515, ' Yes': -0.0019716513, ' yes': -10.005702, 'Yes': -6.680634}
{' No': -3.7157273, ' Generally': -7.398794, 'No': -8.659976, ' Yes': -0.02720721, 'Yes': -6.483067}
{' Yes': -0.6115779, ' No': -0.7934799, 'No': -5.887546, ' Generally': -6.8313537, 'Yes': -6.874206}
{' Yes': -0.0015991725, 'Yes': -6.7801237, ' No': -8.021419, ' yes': -9.98845, ' ': -10.047032}
{' No': -5.4527316, ' ': -9.290162, ' Yes': -0.005635895, ' yes': -10.128442, 'Yes': -6.74232}
{' No': -0.13751273, ' Generally': -3.9720635, 'No': -4.8490396, ' Yes': -2.3280988, ' It': -5.90921}
{' No': -0.011284327, ' ': -9.572763, ' Generally': -6.431431, 'No': -4.9316735, ' Yes': -6.1376667}
{' No': -0.18381836, ' Generally': -6.3336453, 'No': -5.36534, ' Yes': -1.8270811, 'Yes': -8.284837}
{' No': -0.1590116, ' ': -8.289945, 'No': -5.7293224, ' Yes': -1.9431989, 'Yes': -8.32619}
{' No': -7.1175723, ' Generally': -4.539512, ' Yes': -0.014234312, 'Yes': -6.631746, ' It': -7.0900207}
{' No': -9.530228, ' ': -10.298574, ' Generally': -7.192728, ' Yes': -0.0019730856, 'Yes': -6.8529797}
{' Yes': -0.0016084857, 'Yes': -6.739075, ' No': -8.016957, ' ': -9.819307, ' yes': -10.361849}
{' No': -4.773987, ' Generally': -6.548139, 'No': -9.678191, ' Yes': -0.011304699, 'Yes': -6.764564}
{' No': -4.781436, ' ': -9.486085, 'No': -9.897744, ' Yes': -0.009913924, 'Yes': -6.64013}
{' No': -0.010663741, ' Yes': -5.1640944, 'No': -5.344976, ' ': -9.278083, 'Yes': -11.2915125}
{' Generally': -7.372417, ' Yes': -0.0024643065, ' yes': -9.864862, 'Yes': -6.4185734, ' It': -9.383062}
{' Yes': -0.0046212957, ' Generally': -6.0929213, 'Yes': -6.226112, ' It': -9.160014, ' yes': -9.637879}
{' No': -0.52435637, ' Generally': -4.870052, 'No': -4.884708, ' Yes': -0.9425445, 'Yes': -6.500642}
{' No': -0.01331485, ' Generally': -8.082487, 'No': -4.777488, ' A': -9.702942, ' Yes': -5.4391375}
{' No': -6.606984, ' Generally': -7.3690686, ' Yes': -0.0039990833, ' yes': -9.751529, 'Yes': -6.305463}
{' No': -5.5455527, ' ': -10.505313, ' Yes': -0.0056802537, ' yes': -10.128384, 'Yes': -6.4052925}
{' No': -8.823095, ' Generally': -6.1451454, ' Yes': -0.0037309583, ' yes': -9.632261, 'Yes': -6.704491}
{' No': -5.559566, ' Generally': -5.163033, ' Typically': -9.324744, ' Yes': -0.011568712, 'Yes': -6.473343}
{' No': -1.5627263, ' Generally': -4.854844, 'No': -6.330163, ' Yes': -0.25035593, 'Yes': -6.4254756}
{' No': -8.327626, ' Generally': -7.694713, ' Yes': -0.0018726387, ' yes': -9.672687, 'Yes': -6.873032}
{' No': -6.0460534, ' ': -10.077676, ' Yes': -0.0036691567, ' yes': -9.988477, 'Yes': -6.737532}
{' No': -0.7988808, ' Generally': -2.1791222, 'No': -5.208791, ' Yes': -1.0068066, ' It': -2.9024365}
{' No': -0.053639147, ' Generally': -3.9414601, 'No': -4.59969, ' Yes': -3.912129, ' It': -6.693372}
{' No': -1.4586442, ' Generally': -3.8806465, 'No': -6.365527, ' Yes': -0.29758385, 'Yes': -6.786853}
{' No': -2.5327723, ' ': -8.629227, 'No': -7.8479714, ' Yes': -0.084969014, 'Yes': -6.627907}
{' Generally': -3.7143772, ' Typically': -8.135167, ' Yes': -0.029671809, 'Yes': -6.6342835, ' It': -6.08108}
{' No': -9.834035, ' Generally': -5.578309, ' Yes': -0.0050945277, ' yes': -10.184155, 'Yes': -6.8211737}
{' Yes': -0.0014140002, 'Yes': -6.731531, ' No': -8.8927555, ' ': -10.2858715, ' yes': -10.33797}
{' No': -4.5576925, ' Generally': -4.8676233, ' Typically': -9.1350565, ' Yes': -0.020300824, 'Yes': -6.5981183}
{' No': -4.732373, 'No': -9.627405, ' Yes': -0.010462727, ' yes': -9.916634, 'Yes': -6.5785027}
{' No': -0.025769763, ' ': -9.590329, 'No': -5.3619914, ' A': -9.790294, ' Yes': -3.8858273}
{' ': -10.715103, ' Generally': -7.720923, ' Yes': -0.0034090178, ' yes': -9.770447, 'Yes': -5.8674836}
{' ': -9.90875, ' Generally': -6.68049, ' Yes': -0.00479251, ' yes': -9.656531, 'Yes': -5.716841}
{' No': -1.5209789, ' Generally': -5.6457686, 'No': -5.1626606, ' Yes': -0.26529887, 'Yes': -5.399294}
{' No': -0.17785674, ' Generally': -6.85886, 'No': -4.1369247, ' Yes': -1.9336131, 'Yes': -6.958382}
{' No': -5.6915092, ' ': -9.112593, ' Generally': -7.778408, ' Yes': -0.007370187, 'Yes': -5.7200317}
{' No': -4.2890983, ' ': -9.315976, 'No': -8.783864, ' Yes': -0.01666573, 'Yes': -5.9914904}
{' No': -8.1569395, ' Generally': -6.1614585, ' Yes': -0.0045030974, ' yes': -9.575044, 'Yes': -6.2764506}
{' No': -5.2153287, ' Generally': -5.408959, 'No': -9.225039, ' Yes': -0.012802636, 'Yes': -6.032097}
{' No': -2.991026, ' Generally': -5.096613, 'No': -7.104759, ' Yes': -0.062160622, 'Yes': -5.9593673}
{' Yes': -0.0054815575, ' No': -5.888759, 'Yes': -6.2682776, ' Generally': -7.4219813, ' ': -9.607011}
{' No': -4.903349, ' ': -9.678482, 'No': -9.693115, ' Yes': -0.009386304, 'Yes': -6.3560033}
{' No': -1.430859, ' Generally': -2.4467337, 'No': -5.103674, ' Yes': -0.4256118, ' It': -4.8956037}
{' No': -0.10373786, ' Generally': -3.6548853, 'No': -3.947545, ' Yes': -2.9738894, ' It': -7.4108324}
{' No': -0.6157678, ' Generally': -4.4302745, 'No': -4.8850183, ' Yes': -0.82494295, 'Yes': -6.79243}
{' No': -1.8385152, ' ': -8.021758, 'No': -6.3654346, ' Yes': -0.17817774, 'Yes': -6.20476}
{' Generally': -4.2982397, ' Typically': -8.817621, ' Yes': -0.016780036, 'Yes': -6.144965, ' It': -8.207875}
{' Yes': -0.0050623585, ' Generally': -5.747612, 'Yes': -6.4204116, ' No': -9.39517, ' ': -10.090555}
{' No': -7.693433, ' ': -9.721649, ' Yes': -0.002448949, ' yes': -10.181914, 'Yes': -6.279685}
{' No': -5.034982, ' Generally': -5.098604, 'No': -9.052568, ' Yes': -0.015226511, 'Yes': -6.1895003}
{' No': -4.712371, ' ': -9.660077, 'No': -9.070275, ' Yes': -0.011405016, 'Yes': -6.1746774}
{' No': -0.04462354, ' ': -8.928494, 'No': -4.813012, ' Yes': -3.3453321, 'Yes': -9.351569}
{' ': -10.479644, ' Generally': -8.627737, ' Yes': -0.0028316122, ' yes': -9.360091, 'Yes': -5.9903684}
{' ': -9.705559, ' Generally': -8.427201, ' Yes': -0.0038482905, ' yes': -9.099793, 'Yes': -5.682843}
{' No': -5.6118875, ' ': -8.756876, ' Generally': -8.611723, ' Yes': -0.008786081, 'Yes': -5.401139}
{' Yes': -0.5861038, ' No': -0.838877, 'No': -4.9684086, 'Yes': -5.734577, ' ': -7.6000576}
{' No': -8.583175, ' ': -9.298667, ' Yes': -0.0038485297, ' yes': -9.059782, 'Yes': -5.698171}
{' No': -8.954332, ' ': -9.293527, ' Yes': -0.0033300142, ' yes': -9.18617, 'Yes': -5.812305}
{' ': -9.609655, ' Generally': -8.476454, ' Yes': -0.002544378, ' yes': -9.063545, 'Yes': -6.1613894}
{' No': -9.212279, ' Generally': -8.148558, ' Yes': -0.003099495, ' yes': -9.123336, 'Yes': -5.9958987}
{' No': -6.5602317, ' Generally': -8.02957, ' Yes': -0.0046735117, ' yes': -9.028913, 'Yes': -5.937714}
{' Yes': -0.0020122065, 'Yes': -6.3233604, ' yes': -9.211506, ' ': -9.949635, ' Generally': -10.324837}
{' No': -9.052053, ' ': -9.25597, ' Yes': -0.0024375399, ' yes': -9.160125, 'Yes': -6.162315}
{' Yes': -0.4235478, ' No': -1.3918802, ' Generally': -3.0399988, ' It': -3.297716, 'No': -5.483385}
{' No': -0.06983881, ' Generally': -4.2731676, 'No': -4.305249, ' Yes': -3.3490977, ' It': -5.747627}
{' No': -0.4684704, ' Generally': -4.8373766, 'No': -4.9553304, ' Yes': -1.0307587, 'Yes': -6.8984857}
{' Yes': -0.1587431, ' No': -1.9498655, 'Yes': -6.049751, 'No': -6.7399135, ' ': -7.131473}
{' Generally': -4.759693, ' Yes': -0.01265576, 'Yes': -6.2843895, ' In': -8.755421, ' It': -6.6214013}
{' ': -9.63898, ' Generally': -6.6471057, ' Yes': -0.0034044133, ' yes': -9.397312, 'Yes': -6.2944884}
{' Yes': -0.002239665, 'Yes': -6.19929, ' yes': -9.329895, ' ': -9.445632, ' No': -10.506575}
{' No': -6.3412704, ' Generally': -6.0313454, ' Yes': -0.0065275053, ' yes': -9.2876835, 'Yes': -6.216128}
{' No': -7.4506116, ' ': -9.460027, ' Yes': -0.0031004518, ' yes': -9.24281, 'Yes': -6.067204}
{' No': -0.024938395, ' ': -8.241955, 'No': -4.7610583, ' Yes': -4.154321, 'Yes': -9.731931}
{' Yes': -0.0022719838, 'Yes': -6.4993997, ' Generally': -7.4664936, ' It': -9.570242, ' yes': -10.046837}
{' Generally': -6.653045, ' Typically': -9.999023, ' Yes': -0.0033793524, ' yes': -9.876016, 'Yes': -6.296617}
{' No': -1.3835015, ' Generally': -4.743012, 'No': -5.8200536, ' Yes': -0.30995038, 'Yes': -5.984923}
{' No': -0.13173531, ' Generally': -6.3144774, 'No': -4.946848, ' Yes': -2.1762984, 'Yes': -7.7811675}
{' No': -8.248426, ' Generally': -7.7556376, ' Yes': -0.0025388813, ' yes': -9.928657, 'Yes': -6.3790298}
{' No': -7.7414937, ' ': -10.239741, ' Yes': -0.0020718127, ' yes': -10.220709, 'Yes': -6.4700146}
{' No': -10.003991, ' Generally': -7.0651584, ' Yes': -0.0021291538, ' yes': -9.906561, 'Yes': -6.8309703}
{' No': -6.411922, ' ': -9.805029, ' Generally': -5.9952826, ' Yes': -0.005767957, 'Yes': -6.586044}
{' No': -4.0529118, ' Generally': -5.6535926, 'No': -8.892887, ' Yes': -0.023348259, 'Yes': -6.4339466}
{' No': -8.660051, ' Generally': -8.416328, ' Yes': -0.001560608, ' yes': -9.940111, 'Yes': -6.8555617}
{' No': -6.7866178, ' ': -9.84783, ' Yes': -0.002319958, ' yes': -10.087479, 'Yes': -6.83148}
{' No': -0.8671551, ' Generally': -2.1437244, 'No': -5.4351745, ' Yes': -0.82947344, ' It': -4.3240967}
{' No': -0.06160471, ' Generally': -3.7446718, 'No': -4.813243, ' Yes': -3.7147417, ' It': -6.5312533}
{' No': -0.71376944, ' Generally': -3.8963065, 'No': -5.7336707, ' Yes': -0.72516596, 'Yes': -7.1440406}
{' Yes': -0.21457554, ' No': -1.6570612, 'Yes': -6.7060246, 'No': -7.073067, ' ': -8.445122}
{' No': -7.5763783, ' Generally': -4.0635266, ' Yes': -0.023300856, 'Yes': -6.7257137, ' It': -5.811555}
{' No': -9.33943, ' Generally': -5.56909, ' Typically': -9.960445, ' Yes': -0.0051789437, 'Yes': -6.8482037}
{' No': -9.1165285, ' ': -10.117223, ' Yes': -0.0012713525, ' yes': -10.399154, 'Yes': -6.8341837}
{' No': -5.0077085, ' Generally': -5.186149, ' Typically': -9.173474, ' Yes': -0.014205412, 'Yes': -6.614001}
{' Yes': -0.005126102, ' No': -5.6190763, 'Yes': -6.6096754, ' yes': -10.054592, ' ': -10.214693}
{' No': -0.0121761, ' ': -9.200294, ' Generally': -10.680964, 'No': -5.314706, ' Yes': -4.959266}
{' Generally': -6.3105297, ' Yes': -0.0045478237, ' yes': -9.503754, 'Yes': -6.1300755, ' It': -8.305658}
{' Yes': -0.0060713473, ' Generally': -5.702961, 'Yes': -6.106844, ' Typically': -9.104108, ' It': -9.218687}
{' Yes': -0.017032705, ' Generally': -4.926485, ' No': -5.411125, 'Yes': -5.600429, ' It': -7.550739}
{' No': -1.5837908, ' Generally': -4.4587126, 'No': -6.1058435, ' Yes': -0.25559333, 'Yes': -5.6923757}
{' ': -9.748804, ' Generally': -7.3352985, ' Yes': -0.0030694208, ' yes': -9.496106, 'Yes': -6.1407247}
{' No': -9.484615, ' ': -9.932383, ' Yes': -0.0022051358, ' yes': -9.6657095, 'Yes': -6.2211814}
{' Generally': -5.234558, ' Typically': -8.889561, ' Yes': -0.0071184495, ' yes': -9.289782, 'Yes': -6.623579}
{' Yes': -0.016025392, ' Generally': -4.3503585, 'Yes': -6.321969, ' No': -7.889859, ' Typically': -8.260501}
{' No': -5.692904, ' Generally': -4.743182, ' Typically': -8.444596, ' Yes': -0.01504019, 'Yes': -6.22267}
{' Yes': -0.0028215095, 'Yes': -6.626944, ' Generally': -6.7390275, ' yes': -9.303824, ' No': -9.512419}
{' No': -10.340622, ' ': -9.940616, ' Yes': -0.0014187149, ' yes': -9.623237, 'Yes': -6.67868}
{' No': -3.119732, ' Generally': -1.3890226, ' Typically': -5.2743335, ' Yes': -0.46620557, ' It': -2.9074018}
{' No': -0.6321199, ' Generally': -1.668409, 'No': -5.024837, ' Yes': -1.4101446, ' It': -4.3145733}
{' Yes': -0.088419616, ' No': -3.08586, ' Generally': -3.371819, 'Yes': -6.386481, ' A': -7.1431775}
{' Yes': -0.009586198, ' No': -4.921934, 'Yes': -6.306678, ' ': -8.783076, ' yes': -9.42921}
{' Generally': -2.9593742, ' Typically': -7.152352, ' Yes': -0.06132772, 'Yes': -6.4947762, ' It': -5.751811}
{' Yes': -0.01421315, ' Generally': -4.3981147, 'Yes': -6.644614, ' Typically': -8.982208, ' A': -9.307773}
{' ': -10.121044, ' Generally': -10.901928, ' Yes': -0.0015887234, ' yes': -9.892171, 'Yes': -6.5318084}
{' No': -6.1336126, ' Generally': -4.030211, ' Typically': -8.084034, ' Yes': -0.023348685, 'Yes': -6.349667}
{' No': -7.9036074, ' Generally': -9.457349, ' Yes': -0.0022179184, ' yes': -9.5848675, 'Yes': -6.416934}
{' No': -0.11045431, ' Yes': -2.3277452, 'No': -5.1539, ' A': -7.80725, ' ': -8.104733}
{' Yes': -0.0019090668, 'Yes': -6.620546, ' Generally': -7.6737247, ' yes': -10.055167, ' It': -10.912312}
{' Generally': -6.6793003, ' Typically': -10.119417, ' Yes': -0.0029815952, ' yes': -9.840811, 'Yes': -6.4812036}
{' No': -3.39938, ' Generally': -6.2674356, 'No': -8.101414, ' Yes': -0.039099034, 'Yes': -6.035462}
{' No': -0.15864377, ' Generally': -7.1524806, 'No': -5.2043915, ' Yes': -1.9681033, 'Yes': -7.7814155}
{' Yes': -0.0020419497, 'Yes': -6.465495, ' No': -8.536593, ' Generally': -8.620618, ' yes': -9.934197}
{' Yes': -0.0018361505, 'Yes': -6.509499, ' No': -8.188111, ' yes': -10.270722, ' ': -10.575198}
{' Generally': -6.637704, ' Typically': -10.188485, ' Yes': -0.0023854964, ' yes': -9.7933855, 'Yes': -7.030587}
{' No': -5.7605124, ' Generally': -5.3570967, ' Typically': -9.3471, ' Yes': -0.009551236, 'Yes': -6.625021}
{' No': -2.9077196, ' Generally': -5.0492144, 'No': -7.9744616, ' Yes': -0.065493755, 'Yes': -6.5591364}
{' Yes': -0.0015269405, 'Yes': -6.9899354, ' Generally': -8.033989, ' No': -8.704097, ' yes': -9.771628}
{' No': -8.182317, ' ': -10.745128, ' Yes': -0.0012985077, ' yes': -10.132742, 'Yes': -6.958524}
{' No': -1.2056496, ' Generally': -1.588487, ' Typically': -5.5360065, ' Yes': -0.75772023, ' It': -4.3442016}
{' No': -0.038274772, ' Generally': -3.9687917, 'No': -4.9408545, ' Yes': -4.6224594, ' It': -7.7177963}
{' No': -0.9989372, ' Generally': -3.6309943, 'No': -6.102094, ' Yes': -0.5101849, 'Yes': -7.0047126}
{' No': -1.8806502, ' ': -8.917779, 'No': -7.5611615, ' Yes': -0.16743147, 'Yes': -6.9510846}
{' Generally': -3.3381588, ' Typically': -7.6228228, ' Yes': -0.04022157, 'Yes': -6.7142477, ' It': -6.8781943}
{' No': -9.271726, ' Generally': -4.886883, ' Typically': -9.550785, ' Yes': -0.008958671, 'Yes': -6.879398}
{' No': -9.990355, ' ': -10.64006, ' Yes': -0.0011903713, ' yes': -10.178304, 'Yes': -6.8425174}
{' Yes': -0.018343745, ' Generally': -4.5689588, ' No': -5.14627, 'Yes': -6.587346, ' Typically': -8.77702}
{' No': -6.3916607, ' ': -10.732889, ' Yes': -0.003040425, ' yes': -9.976122, 'Yes': -6.682543}
{' No': -0.03313718, ' ': -9.514596, 'No': -5.4327035, ' A': -9.5979, ' Yes': -3.5767236}
{' Yes': -0.0023436148, 'Yes': -6.7057943, ' Generally': -6.9345694, ' yes': -9.936902, ' Typically': -10.595363}
{' Generally': -6.364242, ' Typically': -9.94982, ' Yes': -0.0035459902, ' yes': -9.761621, 'Yes': -6.4277115}
{' No': -4.3948064, ' Generally': -5.864808, 'No': -9.026464, ' Yes': -0.018275024, 'Yes': -6.028712}
{' No': -1.5727553, ' Generally': -5.964442, 'No': -6.5878224, ' Yes': -0.24138598, 'Yes': -6.16062}
{' No': -9.618459, ' Generally': -8.047633, ' Yes': -0.0019792365, ' yes': -9.856938, 'Yes': -6.533672}
{' Yes': -0.0017255673, 'Yes': -6.522229, ' No': -8.6446085, ' yes': -10.147704, ' ': -10.491042}
{' Generally': -5.8912454, ' Typically': -9.649374, ' Yes': -0.0039489944, ' yes': -9.626169, 'Yes': -6.9873743}
{' No': -6.409485, ' Generally': -4.723456, ' Typically': -8.81562, ' Yes': -0.012352355, 'Yes': -6.665062}
{' Yes': -0.010898659, ' No': -5.304933, ' Generally': -5.500147, 'Yes': -6.6556206, ' A': -8.918184}
{' No': -9.382661, ' Generally': -7.403815, ' Yes': -0.0017440164, ' yes': -9.635684, 'Yes': -7.024132}
{' No': -8.7976265, ' ': -10.309929, ' Yes': -0.0011220442, ' yes': -9.983074, 'Yes': -7.032292}
{' No': -2.0659525, ' Generally': -1.5353396, ' Typically': -5.5548153, ' Yes': -0.4516357, ' It': -4.810257}
{' No': -0.31544727, ' Generally': -2.2301505, ' Typically': -6.165399, 'No': -5.1818104, ' Yes': -1.895117}
{' Yes': -0.22131987, ' No': -1.8517635, ' Generally': -3.2881687, 'Yes': -6.8591275, ' A': -6.944411}
{' No': -3.7950554, ' ': -8.782263, 'No': -9.376902, ' Yes': -0.02424822, 'Yes': -6.7724285}
{' Yes': -0.04567957, ' Generally': -3.1898615, 'Yes': -6.8600917, ' It': -7.280915, ' Typically': -7.485864}
{' Generally': -4.482862, ' Typically': -9.1105, ' A': -9.441405, ' Yes': -0.0126836505, 'Yes': -7.0316653}
{' No': -10.803381, ' ': -10.290955, ' Yes': -0.0011277727, ' yes': -10.075016, 'Yes': -6.8931336}
{' No': -5.5459013, ' Generally': -4.1234493, ' Typically': -8.314271, ' Yes': -0.022519877, 'Yes': -6.652612}
{' No': -7.784767, ' ': -10.27405, ' Yes': -0.0017241341, ' yes': -9.846459, 'Yes': -6.739727}
{' No': -0.2892026, 'No': -5.653998, ' A': -8.369827, ' Yes': -1.400178, 'Yes': -7.8599725}
{' Generally': -7.404971, ' Yes': -0.0020817858, ' yes': -10.005481, 'Yes': -6.6088357, ' It': -10.691788}
{' ': -10.8380575, ' Generally': -7.419471, ' Yes': -0.0023688287, ' yes': -9.886983, 'Yes': -6.41139}
{' No': -5.626779, ' ': -9.710515, ' Generally': -7.2325034, ' Yes': -0.0069899927, 'Yes': -6.026248}
{' No': -1.0915052, ' Generally': -7.015518, 'No': -6.022348, ' Yes': -0.41758737, 'Yes': -6.253975}
{' Yes': -0.0017796035, 'Yes': -6.496439, ' Generally': -9.1175995, ' No': -9.639456, ' yes': -9.982361}
{' Yes': -0.0017348806, 'Yes': -6.4661317, ' No': -9.091163, ' yes': -10.249694, ' ': -10.603966}
{' ': -10.517313, ' Generally': -7.043211, ' Yes': -0.0019588124, ' yes': -9.835056, 'Yes': -6.978525}
