{' No': -0.005300159, 'No': -5.3742537, ' Yes': -7.407945, ' ': -10.08948, 'Yes': -13.439017}
{' No': -0.22299206, ' ': -7.9200444, 'No': -5.0824966, ' Yes': -1.6484206, 'Yes': -7.628248}
{' No': -0.010671032, ' ': -8.620584, ' Generally': -9.444024, 'No': -4.973386, ' Yes': -5.695525}
{' No': -0.008892878, 'No': -4.9843416, ' Generally': -6.8895674, ' Yes': -7.2794, ' ': -9.098254}
{' Yes': -0.5625723, ' No': -0.86159503, 'No': -5.734697, ' Generally': -6.3337684, 'Yes': -6.6975474}
{' No': -0.01362628, 'No': -4.398199, ' Generally': -7.2147465, ' Yes': -8.473879, ' An': -9.035124}
{' An': -9.266713, ' No': -0.012374626, ' Generally': -7.1281447, 'No': -4.499075, ' Yes': -9.008561}
{' Yes': -0.5283938, ' No': -0.90954506, 'No': -5.4825144, 'Yes': -6.5449133, ' Generally': -6.958087}
{' No': -1.9698498, ' Generally': -3.0794284, ' A': -5.413684, ' Yes': -0.22099395, 'Yes': -5.968516}
{' No': -7.249388, ' Generally': -8.866454, ' Yes': -0.0030068834, ' yes': -9.14061, 'Yes': -6.2769933}
{' Generally': -6.1710243, ' Typically': -9.96976, ' Yes': -0.003390238, ' yes': -9.498906, 'Yes': -6.7887006}
{' No': -0.3650956, ' Generally': -7.4320583, 'No': -5.275662, ' Yes': -1.207606, 'Yes': -7.2779884}
{' No': -0.020383857, ' ': -8.688797, ' Generally': -8.133427, 'No': -4.996645, ' Yes': -4.3605137}
{' No': -0.011066792, 'No': -5.0158634, ' Generally': -5.914306, ' Yes': -6.7892017, ' A': -8.659239}
{' No': -1.4857575, ' Generally': -5.583486, 'No': -6.3464746, ' Yes': -0.26848188, 'Yes': -6.4100924}
{' No': -0.014251485, 'No': -4.429958, ' Generally': -6.5271053, ' Yes': -8.205834, ' An': -8.277406}
{' An': -8.223245, ' No': -0.013841102, ' Generally': -5.9712806, 'No': -4.5735774, ' Yes': -8.383321}
{' An': -6.7631135, ' No': -0.58044755, ' Generally': -5.8808827, 'No': -5.166295, ' Yes': -0.8461031}
{' No': -2.9021857, ' Generally': -3.0481834, ' A': -5.2679234, ' Yes': -0.1215272, 'Yes': -6.0644627}
{' No': -7.1423817, ' Generally': -8.126014, ' A': -8.934132, ' Yes': -0.003185177, 'Yes': -6.3181033}
{' Generally': -5.586113, ' Typically': -9.283522, ' Yes': -0.004953751, ' yes': -9.6951685, 'Yes': -6.938009}
