{':': -2.9423916, ' 1': -2.9849327, ' odd': -1.7180533, ' 0': -2.0141978, ' even': -0.94109094}
{' Odd': -5.4486923, ' Even': -4.3321486, ' odd': -1.7956511, ' 0': -4.1584687, ' even': -0.26384118}
{' odd': -0.36336288, ' even': -1.9197286, ' Odd': -2.841601, ' 1': -3.4997327, ' 0': -4.394974}
{' even': -0.8827416, ' 0': -1.4033706, ' ': -1.5490996, '\n': -3.8227155, '?': -3.9634233}
{' odd': -0.56337637, ' even': -1.1394786, ' none': -4.1896772, ' Odd': -4.7358727, ' not': -4.7522655}
{'\n': -4.4937167, ' ': -4.4586816, ' odd': -3.9437153, ' 0': -2.8550057, ' even': -0.17540231}
{' 1': -3.729868, ' none': -3.6227453, ' odd': -0.470173, ' 0': -2.970567, ' even': -1.6510782}
{' ': -3.6885543, ' 1': -4.1793866, ' odd': -3.5287747, ' 0': -1.7579867, ' even': -0.35411227}
{' odd': -0.6469911, ' even': -0.97731346, ' 1': -3.8106909, ' 0': -4.5510674, '\n': -4.670616}
{' Even': -4.77682, ' EVEN': -5.9444666, ' odd': -5.0861993, ' 0': -5.829219, ' even': -0.034198586}
{' odd': -0.785524, ' 1': -2.2383802, ' 11': -2.6905715, '\n': -2.7444644, ' 3': -2.8759093}
{' an': -2.9202373, ' not': -2.9416528, ' odd': -2.597925, ' even': -0.56795293, ' 8': -3.1049619}
{'\n': -3.7137437, ' 1': -1.6642795, ' odd': -0.7258782, ' 0': -2.081203, ' even': -2.7785513}
{'\n': -4.844841, ' odd': -4.3839602, ' 0': -2.0943933, ' zero': -4.0135713, ' even': -0.23560691}
{' Odd': -4.5600147, ' 1': -3.6231298, ' odd': -0.39910135, ' 0': -3.988636, ' even': -1.4166956}
{' an': -5.751556, ' Even': -4.4173737, ' odd': -4.572381, ' 0': -4.4176226, ' even': -0.062352385}
{' Odd': -4.34654, ' 1': -4.3925076, ' odd': -0.15848327, ' 0': -3.4607863, ' even': -3.1081045}
{' ': -5.047417, ' Even': -5.6663766, ' odd': -4.4233155, ' 0': -1.6262668, ' even': -0.2661386}
{' even': -0.8044528, ' odd': -0.836812, ' 0': -3.0938702, ' 1': -3.443489, ' ': -4.300441}
{' even': -0.09554453, ' 0': -3.1804283, ' Even': -4.5825152, ' ': -4.732843, '\n': -4.9882264}
{' odd': -0.49572012, ' 1': -1.7645199, ' 0': -2.4397814, ' even': -3.0779917, ' zero': -4.5500755}
{' even': -0.9046482, ' an': -1.7599454, ' odd': -2.3429322, ' a': -3.2866654, ' the': -3.3084843}
