{' 2': -0.5821651, ' 1': -1.0164589, ' two': -2.836449, ' one': -4.4423275, ' number': -5.336175}
{' number': -6.15816, ' #': -5.9753556, ' 1': -0.047595084, ' 2': -3.799819, ' one': -4.0359926}
{' number': -6.1924043, ' #': -5.985717, ' 1': -0.04114271, ' 2': -4.1048, ' one': -4.027421}
{' #': -5.7096257, ' 1': -0.07284087, ' 2': -3.1477027, ' one': -4.0068464, ' two': -5.8502703}
{' number': -6.2528396, ' #': -5.9604797, ' 1': -0.036771547, ' 2': -4.354555, ' one': -4.040487}
{' number': -6.1654773, ' #': -5.9348702, ' 1': -0.046977, ' 2': -3.752698, ' one': -4.1435347}
{' 1': -0.04159844, ' 2': -4.02386, ' one': -4.0836706, ' #': -5.97068, ' number': -6.2205667}
{' number': -6.2141795, ' #': -6.04964, ' 1': -0.04117513, ' 2': -4.035924, ' one': -4.0831842}
{' number': -6.3245845, ' #': -6.059509, ' 1': -0.03799984, ' 2': -4.150951, ' one': -4.129688}
{' #': -5.816205, ' 1': -0.08482905, ' 2': -2.8830867, ' one': -4.1305957, ' two': -5.60891}
{' number': -6.262777, ' #': -6.2043247, ' 1': -0.030696467, ' 2': -5.2598267, ' one': -3.8941529}
{' 2': -0.7220941, ' 1': -0.7764708, ' two': -3.2631783, ' one': -4.7665563, ' #': -5.6202936}
{' #': -5.469605, ' 1': -0.29536194, ' 2': -1.5343298, ' one': -4.1675673, ' two': -4.061433}
{' #': -5.507832, ' 1': -0.315456, ' 2': -1.465961, ' one': -4.2461886, ' two': -4.019983}
{' #': -5.5455055, ' 1': -0.149223, ' 2': -2.227325, ' one': -4.1267834, ' two': -4.8388495}
{' 1': -0.24415022, ' 2': -1.7178708, ' one': -4.1579413, ' two': -4.273279, ' #': -5.4258013}
{' #': -5.5004888, ' 1': -0.41949886, ' 2': -1.2034287, ' one': -4.471947, ' two': -3.7660182}
{' #': -5.457186, ' 1': -0.18271488, ' 2': -2.0092738, ' one': -4.1546636, ' two': -4.6210103}
{' #': -5.495661, ' 1': -0.17931385, ' 2': -2.0250132, ' one': -4.1745243, ' two': -4.635729}
{' #': -5.3903913, ' 1': -0.22523612, ' 2': -1.7962296, ' one': -4.1689367, ' two': -4.382701}
{' #': -5.4332056, ' 1': -0.13417904, ' 2': -2.3765533, ' one': -4.001757, ' two': -4.950337}
{' #': -5.479825, ' 1': -0.16871645, ' 2': -2.1021748, ' one': -4.114176, ' two': -4.6579456}
{' #': -5.41198, ' 1': -0.14751501, ' 2': -2.2615192, ' one': -4.03871, ' two': -4.862701}
{' 1': -0.115305796, ' 2': -2.561612, ' one': -3.985358, ' two': -5.117695, ' #': -5.481503}
{' #': -5.502865, ' 1': -0.113796294, ' 2': -2.5602703, ' one': -4.032928, ' two': -5.152782}
{' #': -5.245294, ' 1': -0.33907092, ' 2': -1.4155918, ' one': -4.1852756, ' two': -3.884708}
{' 1': -0.17811997, ' 2': -2.020052, ' one': -4.2727375, ' two': -4.606085, ' #': -5.709154}
{' #': -5.6118007, ' 1': -0.11442504, ' 2': -2.5072892, ' one': -4.1991816, ' two': -5.2042494}
{' #': -5.716476, ' 1': -0.0786234, ' 2': -3.0316548, ' one': -4.01652, ' two': -5.6200147}
{' #': -5.380097, ' 1': -0.21812682, ' 2': -1.8365978, ' one': -4.116873, ' two': -4.3904305}
{' #': -5.5742764, ' 1': -0.10903217, ' 2': -2.6207814, ' one': -3.989737, ' two': -5.182142}
{' 1': -0.112343565, ' 2': -2.565905, ' one': -4.0550466, ' two': -5.1870704, ' #': -5.59129}
{' #': -5.6084003, ' 1': -0.07356482, ' 2': -3.2105315, ' one': -3.8691804, ' two': -5.728145}
{' 1': -0.105028704, ' 2': -2.6886487, ' one': -3.9426692, ' two': -5.270089, ' #': -5.4523053}
{' #': -5.6405354, ' 1': -0.07011247, ' 2': -3.220684, ' one': -3.9799461, ' two': -5.7692356}
{' 1': -0.1430189, ' 2': -2.3038104, ' one': -3.9980204, ' two': -4.8507576, ' #': -5.4820747}
{' number': -6.2676144, ' #': -5.9288325, ' 1': -0.039648652, ' 2': -4.1493115, ' one': -4.071776}
{' #': -5.816082, ' 1': -0.053668834, ' 2': -3.5998266, ' one': -4.0287547, ' two': -6.213756}
{' number': -6.192286, ' #': -5.7358, ' 1': -0.05089156, ' 2': -3.768638, ' one': -3.9519248}
{' 1': -0.09058604, ' 2': -2.8714333, ' one': -3.9792101, ' two': -5.466608, ' #': -5.4706736}
{' number': -6.2525587, ' #': -5.7335024, ' 1': -0.044498462, ' 2': -4.0391064, ' one': -3.9583051}
{' 1': -0.063387245, ' 2': -3.3089964, ' one': -4.1181107, ' #': -5.5966105, ' two': -6.0062923}
{' #': -5.7077255, ' 1': -0.055545114, ' 2': -3.5428479, ' one': -4.0523043, ' two': -6.169988}
{' number': -6.2073264, ' #': -5.7040253, ' 1': -0.05037057, ' 2': -3.7183409, ' one': -4.0446615}
{' number': -6.3167, ' #': -5.8090363, ' 1': -0.045568768, ' 2': -3.867422, ' one': -4.073515}
{' #': -5.6952076, ' 1': -0.084591284, ' 2': -2.915312, ' one': -4.0563607, ' two': -5.5438337}
{' number': -6.27541, ' #': -6.1264567, ' 1': -0.03669011, ' 2': -4.382904, ' one': -4.010332}
{' #': -5.447514, ' 1': -0.46348575, ' 2': -1.2010632, ' one': -3.9064405, ' two': -3.1940858}
{' #': -5.6189413, ' 1': -0.16593352, ' 2': -2.2054882, ' one': -3.7485273, ' two': -4.412748}
{' #': -5.636935, ' 1': -0.15553656, ' 2': -2.2842808, ' one': -3.7304761, ' two': -4.4800887}
{' #': -5.7634397, ' 1': -0.08583393, ' 2': -3.0214455, ' one': -3.7873144, ' two': -5.2964}
{' #': -5.633751, ' 1': -0.13031003, ' 2': -2.51239, ' one': -3.6868837, ' two': -4.6913834}
{' #': -5.541638, ' 1': -0.22316132, ' 2': -1.8994614, ' one': -3.7604063, ' two': -3.961208}
{' #': -5.6600194, ' 1': -0.08844547, ' 2': -3.0156093, ' one': -3.7324407, ' two': -5.2451243}
{' #': -5.744571, ' 1': -0.090450905, ' 2': -2.9461772, ' one': -3.7917483, ' two': -5.2289205}
{' #': -5.547404, ' 1': -0.1061449, ' 2': -2.7791584, ' one': -3.698502, ' two': -4.9970717}
{' #': -5.6559825, ' 1': -0.07757576, ' 2': -3.2551193, ' one': -3.667112, ' two': -5.4645834}
{' #': -5.70083, ' 1': -0.101012185, ' 2': -2.836543, ' one': -3.722987, ' two': -4.987249}
{' #': -5.674435, ' 1': -0.07749943, ' 2': -3.2962701, ' one': -3.6127377, ' two': -5.51796}
{' #': -5.751567, ' 1': -0.073800236, ' 2': -3.3584318, ' one': -3.6356993, ' two': -5.56479}
{' #': -5.724687, ' 1': -0.06688327, ' 2': -3.4949987, ' one': -3.6828654, ' two': -5.6924887}
{' #': -5.539186, ' 1': -0.13451529, ' 2': -2.486087, ' one': -3.6561174, ' two': -4.6668434}
{' #': -5.8829136, ' 1': -0.06367116, ' 2': -3.5122926, ' one': -3.7809067, ' two': -5.658733}
{' #': -5.814103, ' 1': -0.063097514, ' 2': -3.5430856, ' one': -3.747206, ' two': -5.808928}
{' number': -6.067507, ' #': -5.840858, ' 1': -0.04974805, ' 2': -4.1480985, ' one': -3.6730218}
{' #': -5.558728, ' 1': -0.105240785, ' 2': -2.7958572, ' one': -3.689717, ' two': -5.0034647}
{' #': -5.8317547, ' 1': -0.063330285, ' 2': -3.6678967, ' one': -3.602503, ' two': -5.8263106}
{' #': -5.769707, ' 1': -0.073283106, ' 2': -3.4007573, ' one': -3.6041474, ' two': -5.531571}
{' number': -5.9816785, ' #': -5.8513255, ' 1': -0.05730645, ' 2': -3.9547672, ' one': -3.5565796}
{' #': -5.8326344, ' 1': -0.06264241, ' 2': -3.6893702, ' one': -3.6092067, ' two': -5.8737206}
{' number': -6.0731688, ' #': -5.8584995, ' 1': -0.051555205, ' 2': -4.1344047, ' one': -3.616132}
{' #': -5.744066, ' 1': -0.07518069, ' 2': -3.309691, ' one': -3.6552684, ' two': -5.5124564}
{' number': -6.179022, ' #': -6.0661483, ' 1': -0.039404154, ' 2': -4.8328342, ' one': -3.6901436}
{' number': -6.0950656, ' #': -5.918834, ' 1': -0.044452723, ' 2': -4.4711947, ' one': -3.666954}
{' 1': -0.042493053, ' one': -3.6538322, ' 2': -4.689088, ' #': -5.867388, ' number': -6.064996}
{' 1': -0.056954186, ' one': -3.6709144, ' 2': -3.8440025, ' #': -5.7282567, ' number': -5.930855}
{' number': -6.116803, ' #': -5.847127, ' 1': -0.043124944, ' 2': -4.7738204, ' one': -3.5988383}
{' number': -6.0783544, ' #': -5.8931794, ' 1': -0.04600024, ' 2': -4.328734, ' one': -3.692179}
{' number': -6.1614065, ' #': -5.913514, ' 1': -0.044317015, ' 2': -4.4569373, ' one': -3.6751952}
{' number': -6.1166034, ' #': -5.9480414, ' 1': -0.045322508, ' 2': -4.3916264, ' one': -3.6712415}
{' number': -6.286672, ' #': -6.07653, ' 1': -0.03965609, ' 2': -4.7934914, ' one': -3.681763}
{' #': -5.9129825, ' 1': -0.062442984, ' 2': -3.5423374, ' one': -3.7653925, ' two': -5.751917}
{' number': -6.187356, ' #': -6.3573613, ' 1': -0.038223248, ' 2': -4.8548236, ' one': -3.7043474}
{' #': -5.5310817, ' 1': -0.5377638, ' 2': -1.0543483, ' one': -4.071333, ' two': -3.15444}
{' #': -5.59333, ' 1': -0.35971257, ' 2': -1.3985232, ' one': -3.910955, ' two': -3.5794103}
{' #': -5.6865826, ' 1': -0.18356287, ' 2': -2.053579, ' one': -3.866771, ' two': -4.4002905}
{' 1': -0.09505916, ' 2': -2.8071964, ' one': -3.9109464, ' two': -5.2238793, ' #': -5.912109}
{' #': -5.567426, ' 1': -0.2707747, ' 2': -1.6780088, ' one': -3.819656, ' two': -3.8562503}
{' number': -5.725844, ' 1': -0.24920566, ' 2': -1.7198648, ' one': -4.0417337, ' two': -4.063899}
{' #': -5.766753, ' 1': -0.10368014, ' 2': -2.7203221, ' one': -3.8605196, ' two': -5.13171}
{' #': -5.8285494, ' 1': -0.11310281, ' 2': -2.5654533, ' one': -3.99013, ' two': -5.072993}
{' #': -5.5657396, ' 1': -0.12949514, ' 2': -2.4670177, ' one': -3.8212311, ' two': -4.8323007}
{' #': -5.756873, ' 1': -0.07951722, ' 2': -3.1087606, ' one': -3.809114, ' two': -5.506267}
{' 1': -0.10228585, ' 2': -2.7325747, ' one': -3.8988361, ' two': -5.0804753, ' #': -5.7893724}
{' #': -5.6890674, ' 1': -0.09895441, ' 2': -2.8029585, ' one': -3.8064604, ' two': -5.226572}
{' #': -5.836276, ' 1': -0.06940894, ' 2': -3.3402886, ' one': -3.7777712, ' two': -5.6827793}
{' #': -5.8778067, ' 1': -0.066377655, ' 2': -3.3794398, ' one': -3.81378, ' two': -5.7611217}
{' 1': -0.18280943, ' 2': -2.0787196, ' one': -3.7909732, ' two': -4.3907695, ' #': -5.554425}
{' 1': -0.10925381, ' 2': -2.6054144, ' one': -4.0630765, ' two': -4.935981, ' number': -5.950419}
{' #': -5.923338, ' 1': -0.06570296, ' 2': -3.3486369, ' one': -3.8880773, ' two': -5.7712803}
{' #': -5.9934573, ' 1': -0.049543407, ' 2': -3.9369965, ' one': -3.8020782, ' two': -6.2732477}
{' #': -5.5917335, ' 1': -0.13899738, ' 2': -2.3740761, ' one': -3.8349051, ' two': -4.770829}
{' #': -5.8599696, ' 1': -0.064776994, ' 2': -3.4662929, ' one': -3.7591758, ' two': -5.7978587}
{' #': -5.9249816, ' 1': -0.06368761, ' 2': -3.4596379, ' one': -3.8106737, ' two': -5.7730885}
{' #': -5.934146, ' 1': -0.058125388, ' 2': -3.6971707, ' one': -3.7217586, ' two': -5.9868655}
{' 1': -0.06052001, ' 2': -3.6018348, ' one': -3.7501466, ' #': -5.844194, ' two': -5.9359784}
{' 1': -0.04825356, ' one': -3.7822948, ' 2': -4.0151415, ' #': -5.9983854, ' two': -6.3173}
{' #': -5.769563, ' 1': -0.08971304, ' 2': -2.955239, ' one': -3.7657478, ' two': -5.31832}
{' number': -6.4215097, ' #': -6.2462444, ' 1': -0.03497375, ' 2': -4.7401276, ' one': -3.8698392}
{' number': -6.341323, ' #': -6.0804677, ' 1': -0.04089455, ' 2': -4.424767, ' one': -3.7881649}
{' number': -6.3713045, ' #': -6.03705, ' 1': -0.036858305, ' 2': -4.6407685, ' one': -3.8510823}
{' #': -5.7755055, ' 1': -0.061958306, ' 2': -3.5461595, ' one': -3.7764168, ' two': -5.927296}
{' number': -6.305737, ' #': -5.926206, ' 1': -0.039254125, ' 2': -4.6640425, ' one': -3.7586868}
{' number': -6.288975, ' #': -6.022835, ' 1': -0.04463632, ' 2': -4.123963, ' one': -3.8461268}
{' number': -6.3642817, ' #': -6.053278, ' 1': -0.04341075, ' 2': -4.2116194, ' one': -3.8208175}
{' number': -6.346999, ' #': -6.0736513, ' 1': -0.041000612, ' 2': -4.38043, ' one': -3.8101943}
{' number': -6.536829, ' #': -6.205917, ' 1': -0.032802068, ' 2': -4.8564234, ' one': -3.910846}
{' #': -6.0772557, ' 1': -0.05154855, ' 2': -3.7113917, ' one': -3.9512217, ' two': -6.087437}
{' 1': -0.033767916, ' one': -3.913311, ' 2': -4.7384186, ' number': -6.380876, ' #': -6.445053}
{' 1': -0.27817348, ' 2': -1.6056079, ' two': -3.9882793, ' one': -4.0505486, ' #': -5.7909317}
{' #': -5.837999, ' 1': -0.16211769, ' 2': -2.1546962, ' one': -4.015042, ' two': -4.605021}
{' #': -5.858605, ' 1': -0.16946825, ' 2': -2.1046336, ' one': -4.0233006, ' two': -4.5534554}
{' #': -6.0083275, ' 1': -0.07815403, ' 2': -3.0388513, ' one': -3.9881978, ' two': -5.5079484}
{' #': -5.822288, ' 1': -0.15735884, ' 2': -2.2059026, ' one': -3.9375825, ' two': -4.5927377}
{' #': -5.894707, ' 1': -0.11504476, ' 2': -2.5435057, ' one': -4.0210314, ' two': -4.9968615}
{' #': -5.908989, ' 1': -0.09691657, ' 2': -2.7480817, ' one': -4.013602, ' two': -5.2708035}
{' #': -5.9873576, ' 1': -0.09904299, ' 2': -2.703785, ' one': -4.0600452, ' two': -5.244461}
{' #': -5.7745967, ' 1': -0.12131245, ' 2': -2.5016243, ' one': -3.9373386, ' two': -4.9654703}
{' #': -5.886408, ' 1': -0.077888854, ' 2': -3.0822067, ' one': -3.9073107, ' two': -5.5500336}
{' #': -5.91118, ' 1': -0.10412196, ' 2': -2.6731582, ' one': -3.9988973, ' two': -5.0809665}
{' 1': -0.085573725, ' 2': -2.9633448, ' one': -3.8829463, ' two': -5.434452, ' #': -5.846191}
{' #': -6.020056, ' 1': -0.07140142, ' 2': -3.2291865, ' one': -3.8622608, ' two': -5.6609535}
{' 1': -0.06739227, ' 2': -3.2879329, ' one': -3.9230974, ' two': -5.7609406, ' #': -5.9209723}
{' #': -5.708037, ' 1': -0.17567357, ' 2': -2.0971842, ' one': -3.8964832, ' two': -4.462224}
{' #': -6.1475973, ' 1': -0.063852146, ' 2': -3.304262, ' one': -4.0420094, ' two': -5.7247725}
{' #': -6.118757, ' 1': -0.06596124, ' 2': -3.2978623, ' one': -3.941005, ' two': -5.77677}
{' #': -6.13328, ' 1': -0.048208896, ' 2': -3.8577354, ' one': -3.9184995, ' two': -6.274017}
{' #': -5.7829742, ' 1': -0.12291932, ' 2': -2.494898, ' one': -3.909763, ' two': -4.9249725}
{' #': -6.018206, ' 1': -0.062770285, ' 2': -3.4488573, ' one': -3.8383245, ' two': -5.848887}
{' 1': -0.069889426, ' 2': -3.2528381, ' one': -3.886265, ' two': -5.6493297, ' #': -6.010069}
{' number': -6.219383, ' #': -6.0972157, ' 1': -0.049695745, ' 2': -3.906055, ' one': -3.8169856}
{' #': -5.978333, ' 1': -0.05865908, ' 2': -3.582991, ' one': -3.8333955, ' two': -5.963632}
{' #': -6.094825, ' 1': -0.049744103, ' 2': -3.8412137, ' one': -3.8724504, ' two': -6.2328024}
{' #': -5.9010572, ' 1': -0.082925424, ' 2': -3.002212, ' one': -3.8941054, ' two': -5.446896}
{' number': -6.412442, ' #': -6.361561, ' 1': -0.032875426, ' 2': -4.6956253, ' one': -3.9753363}
{' number': -6.384431, ' #': -6.2384806, ' 1': -0.03866148, ' 2': -4.3574843, ' one': -3.9045231}
{' number': -6.3520627, ' #': -6.17178, ' 1': -0.036936413, ' 2': -4.5150476, ' one': -3.896613}
{' #': -5.9369507, ' 1': -0.06373074, ' 2': -3.4079862, ' one': -3.8771956, ' two': -5.8674064}
{' number': -6.4059544, ' #': -6.1465826, ' 1': -0.035577804, ' 2': -4.647566, ' one': -3.8871899}
{' number': -6.3075323, ' #': -6.1390057, ' 1': -0.04387773, ' 2': -3.986766, ' one': -3.9864855}
{' number': -6.3844614, ' #': -6.203438, ' 1': -0.03877294, ' 2': -4.245901, ' one': -3.9858096}
{' number': -6.3859434, ' #': -6.17593, ' 1': -0.03587647, ' 2': -4.462207, ' one': -3.976138}
{' 1': -0.03281962, ' one': -4.0258956, ' 2': -4.6048603, ' #': -6.2707076, ' number': -6.5066905}
{' 1': -0.059870772, ' 2': -3.3939254, ' one': -4.03979, ' two': -5.8872647, ' #': -6.1400084}
{' number': -6.5546684, ' #': -6.4915323, ' 1': -0.026406463, ' 2': -5.6100607, ' one': -3.9691002}
{' 1': -0.62908965, ' 2': -0.9161361, ' two': -3.1156142, ' one': -4.199169, ' number': -5.561306}
{' #': -5.7976913, ' 1': -0.21370101, ' 2': -1.8879049, ' one': -3.8777862, ' two': -4.259397}
{' #': -5.787711, ' 1': -0.21066563, ' 2': -1.8923255, ' one': -3.9479816, ' two': -4.289408}
{' #': -5.932055, ' 1': -0.114739865, ' 2': -2.5650725, ' one': -3.932304, ' two': -5.028203}
{' 1': -0.1987096, ' 2': -1.9727577, ' one': -3.8541129, ' two': -4.3149166, ' #': -5.736713}
{' number': -5.530962, ' 1': -0.32244104, ' 2': -1.498947, ' one': -3.9113598, ' two': -3.7204494}
{' #': -5.8594284, ' 1': -0.124591485, ' 2': -2.4686677, ' one': -3.9262674, ' two': -4.956613}
{' #': -5.800774, ' 1': -0.15504918, ' 2': -2.1990957, ' one': -4.019109, ' two': -4.7201524}
{' #': -5.6554418, ' 1': -0.17655793, ' 2': -2.088759, ' one': -3.9016976, ' two': -4.5110135}
{' #': -5.763781, ' 1': -0.11453425, ' 2': -2.6088636, ' one': -3.8149967, ' two': -5.0340214}
{' 1': -0.12225108, ' 2': -2.5050101, ' one': -3.9006155, ' two': -4.9013586, ' #': -5.8717237}
{' #': -5.7265635, ' 1': -0.1281693, ' 2': -2.4601758, ' one': -3.843003, ' two': -4.934015}
{' 1': -0.09724575, ' 2': -2.811563, ' one': -3.8256834, ' two': -5.22866, ' #': -5.92472}
{' #': -5.8831806, ' 1': -0.09325001, ' 2': -2.8420558, ' one': -3.8898997, ' two': -5.3210807}
{' #': -5.5841312, ' 1': -0.27802557, ' 2': -1.6320313, ' one': -3.8941905, ' two': -3.950318}
{' number': -5.952502, ' 1': -0.08345768, ' 2': -2.9763331, ' one': -3.9542556, ' two': -5.381374}
{' #': -5.8866386, ' 1': -0.0966612, ' 2': -2.7685094, ' one': -3.9666178, ' two': -5.2898774}
{' 1': -0.06605082, ' 2': -3.3576157, ' one': -3.8550005, ' two': -5.7696495, ' #': -6.060022}
{' #': -5.6993165, ' 1': -0.15427697, ' 2': -2.2518418, ' one': -3.833646, ' two': -4.6536107}
{' #': -5.999058, ' 1': -0.08504546, ' 2': -3.0085053, ' one': -3.7810845, ' two': -5.433518}
{' #': -5.9348283, ' 1': -0.09217511, ' 2': -2.8986726, ' one': -3.7903829, ' two': -5.292374}
{' #': -6.0435414, ' 1': -0.065696724, ' 2': -3.4566612, ' one': -3.7267911, ' two': -5.7852654}
{' #': -5.950853, ' 1': -0.07174306, ' 2': -3.2579403, ' one': -3.8157423, ' two': -5.6684933}
{' 1': -0.05913349, ' 2': -3.5823476, ' one': -3.801523, ' two': -5.949527, ' #': -6.048936}
{' #': -5.816157, ' 1': -0.12116603, ' 2': -2.5262945, ' one': -3.8489416, ' two': -4.9670844}
{' number': -6.286548, ' #': -6.306464, ' 1': -0.03714938, ' 2': -4.5726066, ' one': -3.8540914}
{' 1': -0.04735064, ' one': -3.8599575, ' 2': -3.9523375, ' #': -6.159109, ' number': -6.21796}
{' number': -6.202314, ' #': -6.123315, ' 1': -0.04421234, ' 2': -4.1114955, ' one': -3.8651404}
{' #': -5.857393, ' 1': -0.08745944, ' 2': -2.979374, ' one': -3.791309, ' two': -5.4070854}
{' number': -6.1521783, ' #': -6.0196896, ' 1': -0.047777813, ' 2': -4.1161294, ' one': -3.7305915}
{' #': -6.0379596, ' 1': -0.059843246, ' 2': -3.4754581, ' one': -3.925438, ' two': -5.9507174}
{' number': -6.221171, ' #': -6.1653633, ' 1': -0.04837329, ' 2': -3.8815088, ' one': -3.8883257}
{' number': -6.2393203, ' #': -6.1585507, ' 1': -0.045295566, ' 2': -4.0059333, ' one': -3.9011111}
{' number': -6.3675723, ' #': -6.3094606, ' 1': -0.038650017, ' 2': -4.42714, ' one': -3.858373}
{' #': -6.1123376, ' 1': -0.0725127, ' 2': -3.1960227, ' one': -3.871791, ' two': -5.6121793}
{' number': -6.3068457, ' #': -6.373808, ' 1': -0.032059245, ' 2': -5.1728897, ' one': -3.8381789}
{' number': -5.7764564, ' 1': -0.28424048, ' 2': -1.5912225, ' one': -4.035536, ' two': -3.928903}
{' #': -5.890854, ' 1': -0.18065304, ' 2': -2.0398085, ' one': -4.01878, ' two': -4.4572606}
{' 1': -0.14040597, ' 2': -2.317469, ' one': -3.9941924, ' two': -4.7486196, ' #': -5.9083695}
{' #': -5.9852896, ' 1': -0.092225045, ' 2': -2.8433807, ' one': -3.9257092, ' two': -5.251986}
{' 1': -0.16403389, ' 2': -2.1537476, ' one': -3.9726925, ' two': -4.5312247, ' #': -5.9004054}
{' number': -5.633863, ' 1': -0.27534825, ' 2': -1.6182913, ' one': -4.102285, ' two': -3.9468265}
{' #': -5.966404, ' 1': -0.09478953, ' 2': -2.7904682, ' one': -3.9689405, ' two': -5.2625847}
{' #': -5.9941483, ' 1': -0.11504169, ' 2': -2.521011, ' one': -4.0719833, ' two': -5.0417857}
{' #': -5.776511, ' 1': -0.12971763, ' 2': -2.4361331, ' one': -3.9021327, ' two': -4.8360047}
{' #': -5.857132, ' 1': -0.08748006, ' 2': -2.9463935, ' one': -3.8562367, ' two': -5.353997}
{' #': -5.910313, ' 1': -0.10432228, ' 2': -2.6814213, ' one': -3.972841, ' two': -5.05907}
{' #': -5.793836, ' 1': -0.09599452, ' 2': -2.8296561, ' one': -3.8410296, ' two': -5.2600913}
{' #': -5.938473, ' 1': -0.08190891, ' 2': -3.038198, ' one': -3.8525233, ' two': -5.4273124}
{' #': -5.921407, ' 1': -0.0672661, ' 2': -3.33683, ' one': -3.85082, ' two': -5.7321525}
{' #': -5.742768, ' 1': -0.19370416, ' 2': -1.9866766, ' one': -3.934318, ' two': -4.341092}
{' 1': -0.06052204, ' 2': -3.4296412, ' one': -3.9826908, ' two': -5.7606587, ' number': -6.1021953}
{' #': -6.004351, ' 1': -0.07131719, ' 2': -3.171756, ' one': -3.9788563, ' two': -5.650982}
{' number': -6.384747, ' #': -6.233283, ' 1': -0.04310814, ' 2': -4.011942, ' one': -3.9819336}
{' 1': -0.09643498, ' 2': -2.7732441, ' one': -3.9657853, ' two': -5.2367964, ' #': -5.9047475}
{' 1': -0.062829755, ' 2': -3.4826674, ' one': -3.795732, ' two': -5.8145666, ' #': -6.030806}
{' #': -6.045766, ' 1': -0.070960455, ' 2': -3.229293, ' one': -3.8907425, ' two': -5.5710335}
{' number': -6.176064, ' #': -6.129477, ' 1': -0.05059758, ' 2': -3.9672787, ' one': -3.7293808}
{' #': -6.021076, ' 1': -0.060207117, ' 2': -3.5704875, ' one': -3.7858746, ' two': -5.902664}
{' #': -6.131746, ' 1': -0.0503156, ' 2': -3.889152, ' one': -3.8030012, ' two': -6.184673}
{' #': -5.907657, ' 1': -0.08840927, ' 2': -2.94622, ' one': -3.8236213, ' two': -5.326738}
{' number': -6.3879676, ' #': -6.392219, ' 1': -0.032521863, ' 2': -4.8281493, ' one': -3.9293437}
{' number': -6.3269043, ' #': -6.162457, ' 1': -0.038771886, ' 2': -4.4344397, ' one': -3.863162}
{' number': -6.299942, ' #': -6.145094, ' 1': -0.03730745, ' 2': -4.572208, ' one': -3.8564181}
{' 1': -0.055807766, ' 2': -3.6350143, ' one': -3.8771255, ' #': -6.0101514, ' two': -6.062875}
{' number': -6.340414, ' #': -6.0879793, ' 1': -0.03603669, ' 2': -4.70412, ' one': -3.8512354}
{' 1': -0.043589294, ' 2': -3.9903874, ' one': -3.9953542, ' #': -6.181664, ' number': -6.286545}
{' number': -6.3416915, ' #': -6.183155, ' 1': -0.039413083, ' 2': -4.2938724, ' one': -3.924638}
{' number': -6.3491836, ' #': -6.2122555, ' 1': -0.037313882, ' 2': -4.408665, ' one': -3.9401476}
{' number': -6.5030684, ' #': -6.3116336, ' 1': -0.030929312, ' 2': -4.790529, ' one': -4.0215583}
{' #': -6.246605, ' 1': -0.052262746, ' 2': -3.6441853, ' one': -3.988126, ' two': -6.059704}
{' number': -6.309712, ' #': -6.607104, ' 1': -0.033081543, ' 2': -4.8286595, ' one': -3.8955467}
{' #': -5.9173346, ' 1': -0.22517312, ' 2': -1.8261938, ' one': -3.947936, ' two': -4.148013}
{' 1': -0.15109771, ' 2': -2.240131, ' one': -3.9474747, ' two': -4.6436777, ' #': -6.031532}
{' #': -5.931213, ' 1': -0.1582061, ' 2': -2.2014742, ' one': -3.9133556, ' two': -4.560548}
{' #': -6.2103577, ' 1': -0.07528408, ' 2': -3.0884526, ' one': -3.9602807, ' two': -5.542718}
{' #': -5.981285, ' 1': -0.13711368, ' 2': -2.3714828, ' one': -3.8680134, ' two': -4.72768}
{' #': -6.050109, ' 1': -0.11103686, ' 2': -2.5965354, ' one': -3.957472, ' two': -5.004357}
{' 1': -0.09280243, ' 2': -2.8234482, ' one': -3.9376757, ' two': -5.279789, ' #': -6.0449924}
{' #': -6.0957313, ' 1': -0.09617858, ' 2': -2.750689, ' one': -3.999369, ' two': -5.25894}
{' 1': -0.12274855, ' 2': -2.5027227, ' one': -3.8791723, ' two': -4.9115624, ' #': -5.831364}
{' #': -5.949981, ' 1': -0.08333814, ' 2': -3.02009, ' one': -3.8271356, ' two': -5.423336}
{' #': -6.095198, ' 1': -0.08232594, ' 2': -2.9753902, ' one': -3.9649782, ' two': -5.39926}
{' #': -5.9073634, ' 1': -0.09076296, ' 2': -2.9056835, ' one': -3.8216074, ' two': -5.314939}
{' #': -6.1109977, ' 1': -0.059336748, ' 2': -3.5684917, ' one': -3.805867, ' two': -5.938821}
{' 1': -0.053100392, ' 2': -3.696491, ' one': -3.8702104, ' two': -6.1164804, ' #': -6.2742996}
{' #': -5.7716923, ' 1': -0.1663108, ' 2': -2.1708274, ' one': -3.8301363, ' two': -4.4808187}
{' 1': -0.04553689, ' 2': -3.9391718, ' one': -3.9400969, ' two': -6.267409, ' number': -6.3000093}
{' #': -6.157055, ' 1': -0.06708767, ' 2': -3.2478547, ' one': -3.980404, ' two': -5.735473}
{' 1': -0.04452676, ' one': -3.870445, ' 2': -4.0448055, ' #': -6.3300014, ' number': -6.4312396}
{' #': -5.8679996, ' 1': -0.12592968, ' 2': -2.46679, ' one': -3.8944097, ' two': -4.8777113}
{' #': -6.19883, ' 1': -0.059272807, ' 2': -3.527523, ' one': -3.8397732, ' two': -5.932798}
{' 1': -0.055577375, ' 2': -3.6236563, ' one': -3.871066, ' two': -5.987627, ' #': -6.2413483}
