{' No': -0.01724444, 'No': -4.245142, '\n': -6.1593676, ' Yes': -7.7318993, ' ': -9.192548}
{' No': -0.045676824, 'No': -3.311729, '\n': -4.9708858, ' Yes': -7.502099, ' Unfortunately': -8.29405}
{' No': -0.03614557, ' Not': -8.275786, '\n': -5.5331035, 'No': -3.4944506, ' Yes': -7.531369}
{' No': -0.12821889, 'No': -2.5249147, '\n': -3.3684988, ' Yes': -5.6381392, ' Unfortunately': -7.02163}
{' No': -0.48836347, '\n': -1.669304, 'No': -2.4246085, ' Yes': -2.3960476, ' Unfortunately': -4.8470383}
{' Yes': -0.47459552, ' No': -1.2182384, 'Yes': -3.3193927, 'No': -3.3737504, '\n': -4.723541}
{' No': -0.2699874, '\n': -3.0451586, 'No': -2.1826537, ' Yes': -3.024563, ' Unfortunately': -4.1861725}
{' No': -0.55653584, '\n': -3.4588776, 'No': -2.3210163, ' Yes': -1.3492223, 'Yes': -3.5341012}
{' No': -0.31610772, '\n': -4.4626546, 'No': -2.4486609, ' Yes': -1.8736848, 'Yes': -4.874322}
{' No': -0.4521307, ' Yes': -1.3468794, 'No': -2.6063416, 'Yes': -4.119727, '\n': -4.8390784}
{' No': -0.40194947, 'No': -1.9815068, '\n': -2.072703, ' Yes': -2.9791284, ' Unfortunately': -4.883406}
{' No': -0.03577022, '\n': -5.4287887, 'No': -4.014644, ' Yes': -4.397796, 'Yes': -8.405587}
{' Yes': -0.7151289, ' No': -0.7816363, '\n': -3.7667704, 'No': -4.3934197, 'Yes': -4.723517}
{' No': -0.08490166, '\n': -4.8487697, 'No': -4.7600455, ' Yes': -2.8293433, ' Hospital': -5.626947}
{' No': -0.12938674, '\n': -4.2982955, 'No': -4.251104, ' Yes': -2.4232595, 'Yes': -6.274669}
{' No': -0.022056248, '\n': -6.2354527, ' ': -8.929939, 'No': -3.9944928, ' Yes': -6.787048}
{' No': -0.021382853, '\n': -5.104112, 'No': -4.5085883, ' Yes': -5.9320135, ' Patient': -7.7035704}
{' No': -0.01741413, 'No': -4.235649, '\n': -6.4576697, ' Yes': -6.809036, ' ': -9.971996}
{' No': -1.8044736, '\n': -3.428789, 'No': -4.2862587, ' Yes': -0.2774199, 'Yes': -3.5155156}
{' No': -0.17012887, '\n': -3.912957, 'No': -2.8225448, ' Yes': -4.0949335, ' Hospital': -3.0729148}
{' Yes': -0.10110497, 'Yes': -3.259472, ' No': -3.4247897, '\n': -4.6046295, ' Sur': -4.947226}
{' No': -0.059590347, '\n': -4.910985, 'No': -3.1080139, ' Yes': -5.760561, ' Unfortunately': -6.9026856}
{' No': -0.16102767, 'No': -2.96026, '\n': -3.0778594, ' Yes': -3.287765, ' Patient': -4.6775413}
{' No': -0.088475876, ' Yes': -2.999702, 'No': -3.821775, '\n': -4.467899, 'Yes': -6.8895874}
{' No': -0.4323555, '\n': -2.8600838, 'No': -2.8232553, ' Yes': -1.5354649, 'Yes': -4.6055675}
{' No': -0.10407996, '\n': -3.7709098, 'No': -2.991884, ' Yes': -5.750677, ' Unfortunately': -4.149469}
{' Yes': -0.2922221, ' No': -1.6280317, 'Yes': -3.7505653, '\n': -3.9189923, 'No': -4.636649}
{' No': -0.09379774, 'No': -2.9162905, '\n': -3.87697, ' Unfortunately': -5.0583572, ' Yes': -5.2375374}
{' No': -0.093291424, '\n': -4.7701554, 'No': -3.3362417, ' Yes': -3.2632878, ' Unfortunately': -6.0579576}
{' No': -0.21528198, 'No': -2.5089984, '\n': -2.5156531, ' Yes': -3.8552392, ' Unfortunately': -5.0328455}
{' No': -2.449321, '\n': -5.1647596, 'No': -5.876455, ' Yes': -0.11715823, 'Yes': -4.2305675}
{' No': -2.417286, '\n': -5.147015, ' Yes': -0.12559517, 'Yes': -4.1960464, ' Doctor': -5.527738}
{' Yes': -0.50231224, ' No': -1.409701, ' Sur': -2.1480088, 'Yes': -4.2245774, 'No': -4.5809426}
{' No': -0.03660886, 'No': -3.4561298, '\n': -5.9655976, ' Yes': -6.657771, ' ': -8.374618}
{' No': -0.29858086, '\n': -4.8858914, 'No': -3.9723995, ' Yes': -1.9775606, ' Patient': -2.4424713}
{' No': -0.016464295, '\n': -6.946996, ' ': -9.872935, 'No': -4.387882, ' Yes': -5.87477}
{' No': -0.8938835, '\n': -5.114712, 'No': -4.8657403, ' Yes': -0.5646924, 'Yes': -4.797091}
{' No': -0.036518723, '\n': -6.2019253, 'No': -3.7840486, ' Yes': -4.5655675, ' Doctor': -8.6658945}
{' No': -0.04028716, 'No': -3.7819765, '\n': -4.7856145, ' Hospital': -5.497471, ' Yes': -6.3396277}
{' No': -0.03697006, '\n': -5.48793, ' ': -8.450768, 'No': -3.498232, ' Yes': -6.597299}
{' No': -0.06079411, '\n': -4.147168, 'No': -3.4739141, ' Yes': -4.8643026, ' Patient': -5.714091}
{' No': -0.01359347, '\n': -6.9620485, ' ': -9.542829, 'No': -4.4236045, ' Yes': -7.7243114}
{' No': -0.046497464, 'No': -3.4144208, '\n': -4.8980885, ' Yes': -5.4294167, ' ': -8.112608}
{' No': -0.11515276, ' Yes': -2.8535025, 'No': -3.2329025, '\n': -4.7176175, 'Yes': -6.6418934}
{' No': -0.031070162, 'No': -4.161838, '\n': -4.7541075, ' Yes': -5.551324, ' Hospital': -6.665082}
{' No': -0.055580087, 'No': -3.7708108, ' Yes': -4.0946765, '\n': -4.3356376, 'Yes': -7.9474173}
{'Pat': -7.1934867, ' No': -0.057060257, '\n': -4.602808, 'No': -3.9098184, ' Yes': -3.776289}
{' No': -0.01383808, 'No': -4.339962, '\n': -7.478865, ' Yes': -9.664602, ' ': -10.146148}
{' No': -0.5434989, ' Yes': -1.4103259, '\n': -2.4688947, 'No': -2.736574, 'Yes': -4.0662513}
{' No': -1.6408691, '\n': -2.6644232, 'No': -3.650177, ' Yes': -0.41846856, 'Yes': -3.0751762}
{' No': -0.1322882, 'No': -2.7473052, ' Unfortunately': -3.1134377, '\n': -4.8269463, ' Not': -6.244398}
{' No': -0.2161414, '\n': -3.8098547, 'No': -2.7618432, ' Yes': -2.3945472, ' Unfortunately': -4.7076764}
{' No': -0.16832669, '\n': -4.4350677, 'No': -2.2011025, ' Yes': -5.029588, ' Unfortunately': -3.896049}
{' No': -0.15451221, 'No': -2.3561094, '\n': -3.3533475, ' Yes': -4.8632655, ' Unfortunately': -5.716163}
{' No': -0.070464164, '\n': -5.583649, 'No': -4.4542475, ' Yes': -2.9581003, 'Yes': -7.530717}
{' No': -2.5689976, '\n': -6.5213785, ' Yes': -0.09608979, 'Yes': -4.801057, ' Doctor': -5.653695}
{' No': -0.021124214, '\n': -5.301487, 'No': -4.3577614, ' Yes': -6.925123, ' Hospital': -6.8867836}
{' No': -0.019567398, '\n': -5.491878, 'No': -4.4549675, ' Yes': -5.789659, ' Sur': -8.740702}
{' No': -0.018603427, 'No': -4.0937777, '\n': -6.5713654, ' Yes': -8.54409, ' ': -9.670453}
{' No': -0.114993595, ' Yes': -2.5787024, 'No': -4.2091537, ' Patient': -4.3783603, '\n': -5.7087126}
{' No': -0.03128649, '\n': -5.6680145, 'No': -3.7414436, ' Yes': -5.688843, 'Yes': -9.395353}
{' No': -0.0522804, '\n': -6.5082855, 'No': -3.2272816, ' Yes': -4.6949496, 'Yes': -8.327355}
{' No': -0.024274604, 'No': -4.095094, '\n': -5.159456, ' Yes': -7.510337, ' Not': -7.9436994}
{' No': -0.035778616, 'No': -4.048718, '\n': -4.1404195, ' Yes': -7.006478, ' ': -8.263909}
{' No': -0.036387917, '\n': -6.20209, 'No': -3.8197532, ' Yes': -4.478227, 'Yes': -8.602067}
{' No': -0.042736877, '\n': -6.305283, 'No': -3.412274, ' Yes': -5.0878453, ' Unfortunately': -8.391169}
{' No': -0.027800819, 'No': -3.689656, '\n': -6.570481, ' Yes': -7.064385, ' ': -9.650432}
{' No': -0.0913058, '\n': -4.182872, 'No': -3.1692457, ' Yes': -3.5636318, 'Yes': -6.8245034}
{' Yes': -0.53272617, ' No': -0.9634131, 'No': -4.378532, 'Yes': -4.459724, '\n': -5.14809}
{' No': -0.032861937, '\n': -4.7401505, 'No': -3.8409424, ' Yes': -6.9749775, ' Unfortunately': -7.9308515}
{' No': -0.11162276, '\n': -2.8100765, 'No': -3.4536045, ' Yes': -4.504275, ' ': -7.1791677}
{' No': -0.03475755, ' Not': -8.433797, '\n': -6.071937, 'No': -3.688417, ' Yes': -5.085071}
{' No': -0.019767635, '\n': -7.5269938, 'No': -4.1525726, ' Yes': -5.802913, ' Unfortunately': -9.261064}
{' No': -0.02513641, ' Not': -9.4077215, '\n': -6.2211733, 'No': -3.8751383, ' Yes': -6.3017735}
{' No': -0.025467863, '\n': -5.434468, ' ': -9.2502985, 'No': -3.8916652, ' Yes': -8.371961}
{' No': -0.033487815, 'No': -3.6068368, ' Yes': -5.3625817, '\n': -6.988247, 'Yes': -9.206926}
{' No': -0.025479725, '\n': -4.9094553, ' ': -8.145876, 'No': -4.0967536, ' Yes': -7.9771686}
{' No': -0.036436316, 'No': -3.6383722, '\n': -4.6967235, ' Yes': -8.884388, ' ': -9.143462}
{' No': -0.021313436, 'No': -3.9579606, '\n': -6.7798576, ' Yes': -7.2803535, ' ': -9.803407}
{' No': -0.028462607, '\n': -7.1922045, 'No': -3.6533349, ' Yes': -6.6628575, 'Yes': -10.236373}
{' No': -0.03132689, '\n': -6.8489056, ' ': -9.443231, 'No': -3.522244, ' Yes': -9.041733}
{' No': -0.0138714425, 'No': -4.4779024, ' Yes': -6.5165396, '\n': -7.11279, ' ': -9.773819}
{' No': -0.064008586, ' Yes': -3.070051, 'No': -4.2866607, '\n': -6.761682, 'Yes': -7.588117}
{' No': -0.010318542, 'No': -4.8161426, '\n': -6.6473002, ' Yes': -8.20864, ' Unfortunately': -8.542811}
{' No': -0.0130955465, 'No': -4.6526923, '\n': -5.9228125, ' Yes': -7.5843573, ' Unfortunately': -9.083776}
{' No': -0.014031309, 'No': -4.5031214, ' Yes': -6.3068185, '\n': -7.2192826, ' Unfortunately': -9.060739}
{' No': -0.012626666, 'No': -4.6305084, ' Yes': -6.0740867, '\n': -7.9890175, ' Unfortunately': -10.117381}
{' No': -0.016814103, '\n': -6.660513, ' ': -9.442091, 'No': -4.2039785, ' Yes': -8.157203}
{' No': -0.10309201, 'No': -2.725824, '\n': -3.5464723, ' Yes': -6.0853057, ' ': -7.460879}
{' No': -0.24229655, ' Yes': -2.09207, 'No': -2.9321444, '\n': -3.446022, 'Yes': -5.245993}
{' No': -0.097149715, 'No': -2.7184227, '\n': -3.785073, ' Unfortunately': -6.385876, ' Yes': -6.974304}
{' No': -0.1622972, '\n': -2.6767664, 'No': -2.572503, ' Yes': -6.302846, ' Unfortunately': -6.8142}
{' No': -0.084704615, 'No': -2.767484, '\n': -4.281686, ' Yes': -6.007285, ' Unfortunately': -6.634172}
{' No': -0.0761703, '\n': -4.2034936, 'No': -2.8916934, ' Yes': -6.647993, ' Unfortunately': -7.3339214}
{' No': -0.1996447, '\n': -2.837435, 'No': -2.1484666, ' Yes': -6.1255956, ' Unfortunately': -6.458306}
{' No': -1.1781687, '\n': -2.521402, 'No': -3.232644, ' Yes': -0.6218274, 'Yes': -3.4720967}
{' Yes': -0.36385337, ' No': -1.4900608, 'Yes': -3.3900278, 'No': -3.7394123, '\n': -3.943657}
{' No': -0.6594444, '\n': -1.049358, 'No': -2.5874326, ' Yes': -3.7213988, ' Unfortunately': -3.7527325}
{' No': -1.1609963, '\n': -1.3071392, 'No': -2.870877, ' Yes': -1.1723145, 'Yes': -3.2129333}
{' No': -0.49319673, '\n': -1.7720872, 'No': -2.2499924, ' Yes': -2.42099, ' Unfortunately': -4.397665}
{' No': -0.42797607, ' Yes': -1.8063883, 'No': -2.3630366, '\n': -2.6652522, 'Yes': -4.360328}
{' No': -0.35323444, '\n': -2.2466443, 'No': -2.089572, ' Yes': -2.9299266, ' Unfortunately': -5.205503}
{' No': -0.2681884, '\n': -4.2089214, 'No': -3.8949695, ' Yes': -1.6335561, 'Yes': -5.4810925}
{' Yes': -0.21464674, ' No': -1.79153, 'Yes': -4.292699, '\n': -4.9499717, 'No': -5.3887587}
{' No': -0.04314019, ' Yes': -3.682548, 'No': -4.7099013, '\n': -5.052448, ' ': -7.659927}
{' No': -0.07853719, ' Yes': -3.251049, 'No': -4.0391808, '\n': -4.052744, 'Yes': -7.0277557}
{' No': -0.041625965, 'No': -3.6994019, ' Yes': -4.474104, '\n': -5.6105685, ' Unfortunately': -7.649047}
{' No': -0.030334093, '\n': -5.936713, 'No': -4.0142493, ' Yes': -4.746679, 'Yes': -8.773408}
{' No': -0.022891628, 'No': -4.207357, ' Yes': -5.4739985, '\n': -5.726234, ' ': -9.109137}
{' Yes': -0.1034206, ' No': -3.0631468, 'Yes': -3.5371764, '\n': -4.034909, 'No': -5.68768}
{' No': -0.38932213, '\n': -1.5359209, 'No': -2.8893147, ' Unfortunately': -4.1981335, ' Yes': -4.5076427}
{' No': -4.6398664, '\n': -2.952702, ' ': -7.4502697, ' Yes': -0.08943794, 'Yes': -3.83383}
{' No': -0.13950866, '\n': -3.0047312, 'No': -2.9102833, ' Yes': -3.9338007, ' Unfortunately': -6.025862}
{' No': -0.18983366, ' Yes': -2.7585208, '\n': -2.8152206, 'No': -3.1728888, ' Patient': -5.5245695}
{' No': -0.448279, ' Yes': -1.1897265, '\n': -3.43854, 'No': -4.0826783, 'Yes': -5.00037}
{' Yes': -0.19922997, ' No': -2.3694856, '\n': -3.0961165, 'Yes': -3.410709, 'No': -4.9002566}
{' No': -0.6743207, '\n': -0.87207264, 'No': -3.3921266, ' Unfortunately': -3.8751626, ' Yes': -5.139811}
{' Yes': -0.23733126, '\n': -1.9776399, ' No': -3.2682834, 'Yes': -3.4922943, 'No': -6.1862116}
{' No': -0.21522802, '\n': -2.4299574, 'No': -2.9154384, ' Unfortunately': -3.398938, ' Yes': -4.400489}
{' No': -0.16776639, ' Yes': -2.8668592, 'No': -3.039903, '\n': -3.164474, ' Unfortunately': -5.721837}
{' No': -0.35515678, '\n': -1.9740343, 'No': -3.204383, ' Yes': -2.20045, 'Yes': -5.381625}
{' No': -1.6139463, '\n': -5.828868, 'No': -5.3835535, ' Yes': -0.24563532, 'Yes': -4.5255766}
{' Yes': -0.12547766, ' No': -2.400647, 'Yes': -4.0180078, '\n': -5.4856615, 'No': -5.6425734}
{' No': -0.883434, '\n': -3.7209713, 'No': -4.176746, ' Yes': -0.63692826, 'Yes': -4.411741}
{' No': -0.057839893, 'No': -3.0900738, '\n': -5.159917, ' Yes': -5.559333, ' Not': -8.07602}
{' No': -0.12919177, ' Yes': -2.2901375, 'No': -4.165725, '\n': -5.844438, 'Yes': -6.7286863}
{' No': -0.02308082, '\n': -6.6388435, 'No': -4.1225796, ' Yes': -5.281433, 'Yes': -9.329071}
{' No': -0.09205381, ' Yes': -2.6859677, 'No': -4.278198, '\n': -5.366798, 'Yes': -6.9289327}
{' No': -0.10768097, '\n': -5.2750316, 'No': -3.5650973, ' Yes': -2.7065463, 'Yes': -6.7766757}
{' No': -0.13777655, '\n': -2.7755194, 'No': -3.365756, ' Hospital': -3.9452486, ' Yes': -5.557941}
{' No': -0.05342975, 'No': -3.240056, '\n': -5.0865583, ' Yes': -5.2549257, ' Not': -7.6078606}
{' No': -0.0703825, '\n': -4.1257524, 'No': -3.6002553, ' Yes': -3.809005, ' Patient': -6.8701005}
{' No': -0.021402827, '\n': -6.2310963, ' ': -9.223175, 'No': -4.037874, ' Yes': -6.6019588}
{' No': -0.03400574, 'No': -3.6970115, '\n': -5.095716, ' Yes': -6.0941863, ' ': -8.934328}
{' No': -0.07448405, '\n': -4.816519, 'No': -3.8644812, ' Yes': -3.4270363, ' Doctor': -4.731758}
{' No': -0.025908364, 'No': -4.2068853, '\n': -5.11146, ' Hospital': -5.941265, ' Yes': -7.3456483}
{' No': -0.026769193, 'No': -4.1361475, '\n': -4.778207, ' Yes': -6.357854, ' ': -8.804098}
{' No': -0.02565473, '\n': -5.9629803, 'No': -3.9839215, ' Yes': -5.595078, ' Patient': -8.80109}
{' No': -0.014878104, 'No': -4.2983117, '\n': -7.1503186, ' Yes': -8.183585, ' ': -9.602824}
{' No': -0.5960566, '\n': -2.0930088, 'No': -3.1859136, ' Yes': -1.3166777, 'Yes': -4.4348226}
{' No': -1.0542741, '\n': -2.6886885, 'No': -3.6230626, ' Yes': -0.6399082, 'Yes': -3.8530564}
{' No': -0.7194973, '\n': -0.96259665, ' Unfortunately': -2.7222667, 'No': -3.0095096, ' ': -5.406578}
{' No': -1.4109436, '\n': -0.6041333, 'No': -3.5851629, ' Yes': -1.8622376, 'Yes': -4.3829837}
{' No': -0.32107806, '\n': -1.8066012, 'No': -2.6988208, ' Unfortunately': -3.5833862, ' Yes': -4.7831616}
{' No': -0.22588618, '\n': -2.1098375, 'No': -2.7350547, ' Yes': -5.228183, ' Unfortunately': -4.8625555}
{' No': -0.03908546, '\n': -5.1411057, 'No': -3.8787532, ' Yes': -4.476757, 'Yes': -8.464245}
{' No': -4.4994764, '\n': -6.9724813, ' Yes': -0.023701644, ' yes': -7.8623223, 'Yes': -4.578612}
{' No': -0.03768357, '\n': -5.0736823, 'No': -3.6282825, ' Unfortunately': -7.050121, ' Hospital': -6.781331}
{' No': -0.02555481, '\n': -4.7489223, ' ': -8.791453, 'No': -4.21554, ' Yes': -6.571474}
{' No': -0.023700666, '\n': -6.2376533, 'No': -3.8998334, ' Yes': -7.226381, ' Unfortunately': -8.522347}
{' No': -0.034453414, '\n': -6.170172, 'No': -3.971688, ' Yes': -4.424556, ' Patient': -7.6327868}
{' No': -0.024252495, '\n': -5.8798695, ' ': -9.389578, 'No': -3.9231226, ' Yes': -6.713955}
{' No': -0.06223433, ' Not': -7.8626947, '\n': -5.0304294, 'No': -3.1030707, ' Yes': -4.8541102}
{' No': -0.03523532, 'No': -4.10241, '\n': -4.1577463, ' ': -7.263123, ' Yes': -7.4430547}
{' No': -0.042492494, '\n': -3.6654613, 'No': -4.2099175, ' Yes': -7.53808, ' ': -7.814209}
{' No': -0.033019386, '\n': -5.112197, ' ': -8.500791, 'No': -3.7402585, ' Yes': -6.063853}
{' No': -0.04686612, ' Not': -7.91365, '\n': -4.683312, 'No': -3.6887555, ' Yes': -4.6133738}
{' No': -0.030163305, '\n': -5.9894905, ' ': -9.201468, 'No': -3.6680453, ' Yes': -6.579098}
{' No': -0.0531994, '\n': -4.361955, ' ': -8.093093, 'No': -3.4166863, ' Yes': -5.1920047}
{' No': -0.25054032, ' Yes': -1.693728, 'No': -3.7291434, '\n': -4.83013, 'Yes': -5.63234}
{' No': -0.03236191, ' Not': -7.321266, '\n': -4.24999, ' ': -7.313087, 'No': -4.1889515}
{' No': -0.1820801, '\n': -2.0718315, 'No': -3.3641155, ' Yes': -5.9756613, ' ': -6.364301}
{' No': -0.019628184, ' Not': -8.869163, '\n': -6.5226893, 'No': -4.054466, ' Yes': -8.127623}
{' No': -0.030402662, '\n': -5.998538, 'No': -3.8105595, ' Pat': -7.264146, ' Yes': -6.1137266}
{' No': -0.023988966, '\n': -5.9667697, ' ': -9.213106, 'No': -3.9002151, ' Yes': -7.3547378}
{' No': -0.023252048, '\n': -5.480613, ' ': -8.969846, 'No': -3.985517, ' Yes': -9.500489}
{' No': -0.03187912, 'No': -3.586107, '\n': -5.8619647, ' Yes': -7.3390703, ' ': -9.024187}
{' No': -0.034299187, ' Not': -7.693982, '\n': -4.348745, ' ': -7.1236625, 'No': -4.0137033}
{' No': -0.043027986, '\n': -3.9014816, ' ': -7.6669154, 'No': -3.8529835, ' no': -9.71608}
{' No': -0.02436224, '\n': -5.95448, ' ': -9.050488, 'No': -3.8551002, ' Yes': -9.080562}
{' No': -0.03413753, 'No': -3.5431879, '\n': -5.5441513, ' Yes': -7.872249, ' no': -9.002551}
{' No': -0.023545468, 'No': -3.8296843, '\n': -6.611676, ' ': -9.117087, ' Yes': -9.873448}
{' No': -0.008659516, 'No': -4.908016, '\n': -6.9904666, ' Yes': -8.391757, ' ': -9.902414}
{' No': -0.013987489, '\n': -7.0004225, ' ': -9.626399, 'No': -4.7524743, ' Yes': -5.4801373}
{' No': -0.017881924, '\n': -4.963322, 'No': -5.1886716, ' Hospital': -6.270788, ' ': -6.759312}
{' No': -0.029364737, '\n': -3.9208078, ' ': -7.137414, 'No': -4.9241915, ' Yes': -7.849311}
{' No': -0.008480665, '\n': -6.3554173, ' ': -9.059156, 'No': -5.0584607, ' Yes': -8.766224}
{' No': -0.0076051108, '\n': -7.607994, ' ': -9.85293, 'No': -5.0049443, ' Yes': -8.527922}
{' No': -0.009929637, '\n': -7.457992, ' ': -9.849869, 'No': -4.690794, ' Yes': -10.2359085}
{' No': -0.10246255, '\n': -3.505733, ' ': -7.1746078, 'No': -2.7542856, ' Yes': -6.241046}
{' No': -0.13583916, '\n': -3.2101722, 'No': -2.7655997, ' Yes': -3.874866, 'Yes': -6.915128}
{' No': -0.12886348, '\n': -3.1816819, ' ': -6.8048906, 'No': -2.5821428, ' Unfortunately': -6.3530226}
{' No': -0.1524384, '\n': -2.5108979, ' ': -6.74105, 'No': -2.8672342, ' Unfortunately': -6.965155}
{' No': -0.087944135, '\n': -4.3523407, 'No': -2.6898174, ' Yes': -6.951481, ' Unfortunately': -6.538875}
{' No': -0.076451614, 'No': -2.8903363, '\n': -4.1591043, ' Unfortunately': -6.94958, ' Not': -7.667323}
{' No': -0.2186156, '\n': -2.5572882, ' ': -6.3819346, 'No': -2.1808043, ' Yes': -6.3225355}
{' No': -0.94825774, '\n': -2.3752387, 'No': -3.1666396, ' Yes': -0.80586267, 'Yes': -3.8148007}
{' No': -1.0773222, '\n': -3.6784098, 'No': -3.354046, ' Yes': -0.56426454, 'Yes': -3.6151145}
{' No': -0.5029535, '\n': -1.4868249, 'No': -2.4333293, ' Yes': -3.5785282, ' Unfortunately': -3.2017279}
{' No': -0.62914175, '\n': -1.3815451, 'No': -2.4245443, ' Yes': -2.4155684, ' Unfortunately': -3.8565779}
{' No': -0.3826952, '\n': -1.9731474, 'No': -2.4319315, ' Yes': -2.8776367, ' Unfortunately': -3.669274}
{' No': -0.46861774, ' Yes': -1.861339, 'No': -2.2277653, '\n': -2.4435189, 'Yes': -4.201129}
{' No': -0.4255918, '\n': -1.9175999, 'No': -2.1640046, ' Yes': -2.717683, ' Unfortunately': -4.746593}
{' No': -0.23984101, ' Yes': -1.7748123, 'No': -3.723703, '\n': -4.216148, 'Yes': -5.50518}
{' No': -1.4439007, '\n': -4.4609523, 'No': -4.989324, ' Yes': -0.31488958, 'Yes': -4.3308043}
{' No': -0.07673501, '\n': -4.0215592, 'No': -3.7303472, ' Yes': -4.501581, ' Hospital': -4.4851036}
{' No': -0.24176681, '\n': -1.8826339, ' Yes': -3.4423432, 'No': -3.767117, ' ': -5.946184}
{' No': -0.020826085, 'No': -4.211654, '\n': -5.691299, ' Yes': -6.3327823, ' Unfortunately': -8.361097}
{' No': -0.059678096, 'No': -3.3341644, '\n': -4.603217, ' Yes': -4.6377363, ' Not': -7.6968827}
{' No': -0.02499156, 'No': -3.9360728, '\n': -5.828017, ' Yes': -6.26638, ' ': -8.980044}
{' Yes': -0.22719835, ' No': -2.0643163, '\n': -3.192744, 'Yes': -3.6738346, 'No': -4.806596}
{' No': -0.37295353, ' Not': -5.4423094, '\n': -1.4682064, 'No': -2.9464893, ' Unfortunately': -4.4616337}
{' Yes': -0.6557359, ' No': -1.2967024, '\n': -1.7395028, 'Yes': -4.1622205, 'No': -4.305331}
{' No': -0.119369514, '\n': -3.153488, 'No': -2.8843172, ' Yes': -4.942831, ' Unfortunately': -5.7077627}
{' No': -0.13517362, '\n': -2.7965846, 'No': -3.1401956, ' Yes': -4.0109406, ' Patient': -6.514997}
{' No': -0.2644951, ' Yes': -1.8273649, '\n': -3.1525278, 'No': -3.7573388, 'Yes': -5.4333086}
{' Yes': -0.19010128, '\n': -2.7267911, ' No': -2.7514396, 'Yes': -3.325542, 'No': -5.175161}
{' No': -0.9652457, '\n': -0.59036773, ' ': -5.1851854, 'No': -3.743768, ' Unfortunately': -3.5596857}
{' Yes': -0.5987553, '\n': -1.2805468, ' No': -2.134026, 'Yes': -3.3136163, 'No': -4.5950584}
{' No': -0.26289615, '\n': -1.9753003, 'No': -3.1507533, ' Unfortunately': -3.2954774, ' Yes': -5.2198815}
{' No': -0.4105683, '\n': -1.8876705, ' Yes': -2.1152267, 'No': -3.015526, 'Yes': -5.1667233}
{' No': -0.43493852, '\n': -1.3462869, 'No': -3.1913564, ' Yes': -3.1369286, 'Yes': -6.1625137}
{' No': -1.3557714, '\n': -4.8216033, 'No': -4.982591, ' Yes': -0.33581868, 'Yes': -4.436145}
{' Yes': -0.70696676, ' No': -0.76078445, 'No': -4.141472, '\n': -4.4714737, 'Yes': -4.6459503}
{' Yes': -0.74505424, ' No': -0.9204788, ' Sur': -2.7992344, '\n': -3.4553602, 'No': -4.092621}
{' No': -0.024218906, '\n': -5.7850122, ' ': -8.50264, 'No': -3.909963, ' Yes': -8.176642}
{' No': -0.044708684, '\n': -5.149039, 'No': -4.398047, ' Yes': -3.747389, ' Patient': -6.645514}
{' No': -0.024873864, '\n': -6.039041, ' ': -9.128042, 'No': -3.9153862, ' Yes': -6.2099032}
{' No': -2.2680907, '\n': -4.799083, 'No': -6.1809077, ' Yes': -0.13648199, 'Yes': -4.335298}
{' No': -0.1964954, '\n': -4.457478, 'No': -3.7484665, ' Yes': -1.9791758, 'Yes': -6.004101}
{' No': -0.2165747, '\n': -2.9970465, 'No': -3.4039352, ' Yes': -5.1302958, ' Hospital': -2.4352179}
{' No': -0.021282626, ' Not': -8.0755825, '\n': -5.7747326, 'No': -4.2485313, ' Yes': -5.865064}
{' No': -0.06531934, '\n': -3.7969284, 'No': -3.7637293, ' Yes': -4.246388, ' Patient': -6.2700577}
{' No': -0.02187596, 'No': -4.1057167, '\n': -5.879402, ' Yes': -6.1891904, ' ': -8.73054}
{' No': -0.04640693, '\n': -3.8803985, ' ': -7.745305, 'No': -3.7807264, ' Yes': -6.6566377}
{' No': -0.09807638, '\n': -4.048249, 'No': -4.14921, ' Yes': -3.6969686, ' Doctor': -3.4025328}
{' No': -0.01779782, 'No': -4.516325, '\n': -5.398787, ' Hospital': -7.249617, ' ': -7.4663014}
{' No': -0.058071885, '\n': -3.3853707, ' ': -7.189438, 'No': -4.2111917, ' Yes': -5.0417085}
{' No': -0.02116975, 'No': -4.634516, '\n': -4.6519985, ' Patient': -7.5339527, ' Yes': -7.5415206}
{' No': -0.010808575, '\n': -7.394235, ' ': -9.456174, 'No': -4.618095, ' Yes': -8.825991}
{' No': -0.32088816, '\n': -1.8517833, 'No': -2.8753698, ' Yes': -3.0571244, ' Unfortunately': -4.829551}
{' Yes': -0.49942535, ' No': -1.4463801, '\n': -2.2687542, 'Yes': -3.6515174, 'No': -3.9556534}
{' No': -0.65849143, '\n': -1.0009806, 'No': -2.825661, ' Unfortunately': -3.169142, ' ': -5.286339}
{' No': -0.62471014, '\n': -1.2458326, 'No': -2.7799625, ' Yes': -2.6234763, ' Unfortunately': -4.0063877}
{' No': -0.23078969, '\n': -2.348784, 'No': -2.6565328, ' Unfortunately': -3.6415713, ' Not': -5.2639203}
{' No': -0.2003878, '\n': -2.3044164, 'No': -2.7124212, ' Unfortunately': -4.595529, ' Yes': -5.987918}
{' No': -0.02402633, 'No': -4.23191, '\n': -5.139375, ' Yes': -5.7688704, ' ': -9.204037}
{' Yes': -0.19930759, ' No': -1.8076413, 'Yes': -4.788747, '\n': -5.375016, 'No': -5.9335217}
{' No': -0.037419748, '\n': -4.047784, 'No': -4.1718955, ' Unfortunately': -7.0568924, ' Not': -7.276824}
